date, total, chap, img, tab, bib
2019-10-28 23:57:37, 0,     0,     0,    0, 0
2019-11-22 00:31:13, 13467, 0,     0,    0, 12916
2019-11-22 00:31:53, 13467, 0,     0,    0, 12916
2019-11-28 21:13:13, 13477, 0,     0,    0, 12916
2019-11-29 20:03:39, 13717, 0,     0,    0, 12916
2019-12-01 16:13:21, 14392, 422,   0,    0, 13169
2019-12-08 21:29:16, 16120, 1805,  266,  0, 13235
2019-12-12 00:21:25, 16162, 1749,  382,  0, 13235
2019-12-13 16:56:12, 16163, 1750,  382,  0, 13235
2019-12-17 00:13:26, 16507, 1915,  408,  0, 13381
2019-12-28 19:51:46, 20397, 2081,  2621, 0, 13381
2020-01-01 20:03:44, 21961, 2627,  3595, 0, 13423
2020-01-06 21:28:10, 24380, 4600,  3665, 0, 13795
2020-01-09 19:42:31, 26601, 5266,  4225, 0, 14776
2020-01-10 14:47:31, 26602, 5266,  4225, 0, 14776
2020-01-12 22:08:20, 27444, 5624,  4271, 0, 15233
2020-01-19 22:34:57, 27555, 5680,  4271, 0, 15288
2020-01-22 22:10:17, 27598, 5723,  4271, 0, 15288
2020-02-08 17:53:32, 29532, 7207,  4271, 0, 15719
2020-02-09 14:51:51, 29532, 7207,  4271, 0, 15719
2020-02-10 11:29:27, 29501, 7207,  4271, 0, 15719
2020-02-10 19:04:52, 30001, 7667,  4271, 0, 15761
2020-02-11 19:37:34, 30444, 7950,  4331, 0, 15920
2020-02-20 19:28:57, 27383, 8595,  4331, 0, 12133
2020-02-21 15:12:16, 19429, 8753,  4331, 0, 3989
2020-02-24 19:43:18, 21543, 10004, 4331, 0, 4848
2020-02-25 22:21:01, 22501, 10073, 4331, 0, 5497
2020-02-26 20:14:32, 22915, 10085, 4331, 0, 5787
2020-02-27 20:22:42, 23213, 10240, 4287, 0, 5846
2020-03-01 19:12:07, 23267, 10291, 4287, 0, 5846
2020-03-02 22:37:21, 23270, 10295, 4287, 0, 5846
2020-03-03 00:14:04, 23285, 10304, 4287, 0, 5846
2020-03-06 00:41:44, 23596, 10511, 4287, 0, 5950
2020-03-10 00:40:19, 23793, 10728, 4287, 0, 5950
2020-03-11 19:56:17, 24214, 10955, 4287, 0, 6144
2020-03-14 00:42:25, 25058, 11208, 4806, 0, 6214
2020-03-15 01:58:43, 24372, 11218, 4050, 0, 6214
2020-03-16 00:31:16, 25231, 11755, 4343, 0, 6214
2020-03-18 01:08:41, 26649, 12677, 4443, 0, 6548
2020-03-19 00:56:45, 27090, 12809, 4448, 0, 6852
2020-03-20 00:24:11, 27479, 12980, 4666, 0, 6852
2020-03-21 01:13:19, 27587, 13095, 4659, 0, 6852
2020-03-21 23:41:44, 27814, 13322, 4659, 0, 6852
2020-03-29 01:48:46, 29465, 14364, 5163, 0, 6953
2020-03-30 01:42:58, 29761, 14433, 5163, 565, 7003
2020-03-31 00:42:15, 30057, 14530, 5396, 565, 7003
2020-04-01 01:02:18, 30248, 14719, 5396, 565, 7003
2020-04-01 01:03:51, 30248, 14719, 5396, 565, 7003
2020-04-02 01:36:08, 30381, 14864, 5370, 565, 7003
2020-04-04 02:05:34, 33352, 16921, 5370, 1173, 7262
2020-04-05 02:09:04, 33398, 16947, 5370, 1193, 7262
2020-04-06 01:12:15, 41870, 18500, 13367, 1193, 7769
2020-04-07 02:21:09, 43477, 19954, 13367, 1193, 7919
2020-04-08 01:20:41, 47790, 21692, 14860, 2123, 8077
2020-04-11 00:09:18, 55299, 23999, 19988, 2123, 8151
2020-04-13 01:19:27, 58709, 26296, 19988, 3042, 8207
2020-04-14 23:59:39, 58938, 26462, 20051, 3042, 8207
2020-04-17 01:33:19, 59449, 26971, 20051, 3042, 8207
2020-04-18 01:15:22, 59054, 27000, 19624, 3042, 8207
2020-04-19 01:23:46, 60273, 27669, 20030, 3042, 8343
2020-04-20 13:28:20, 63542, 30698, 20030, 3042, 8388
2020-04-23 02:19:21, 62201, 28988, 20531, 3042, 8424
2020-05-22 01:37:35, 62228, 29295, 20531, 3042, 8424
2020-05-24 00:31:10, 62715, 29701, 20531, 3117, 8424
2020-05-25 12:45:30, 64748, 30738, 20755, 3117, 9168
2020-05-26 02:06:08, 66305, 32064, 20966, 3117, 9188
2020-05-27 01:53:05, 66718, 32477, 20966, 3117, 9188
2020-05-27 23:59:16, 67424, 33039, 21110, 3117, 9188
2020-05-29 00:37:51, 67826, 33451, 21110, 3117, 9188
2020-07-05 21:43:28, 69652, 33546, 22831, 3117, 9188
2020-07-17 19:39:40, 70645, 34161, 23219, 3117, 9188
2020-07-19 21:39:24, 71284, 34797, 23219, 3117, 9188
2020-07-21 12:32:52, 72050, 35089, 23338, 3344, 9326
2020-08-04 23:54:06, 73250, 36428, 22498, 3825, 9522
2020-08-05 22:46:25, 73790, 36744, 22721, 3825, 9522
2020-08-07 23:15:38, 74466, 37139, 22943, 3825, 9578
2020-08-08 17:59:06, 76183, 37737, 23985, 3825, 9634
2020-08-10 22:17:30, 76335, 37774, 23996, 3859, 9699
2020-08-12 21:52:45, 78336, 39742, 23996, 3859, 9723
2020-08-13 18:15:14, 78882, 39775, 24481, 3859, 9723
2020-08-14 23:21:34, 81316, 39953, 26717, 3859, 9723
2020-08-15 19:06:38, 81921, 40494, 26780, 3859, 9723
2020-08-16 23:15:16, 82975, 41285, 27043, 3859, 9723
2020-08-17 18:57:16, 84775, 42696, 27300, 3859, 9853
2020-08-18 19:13:06, 85740, 43436, 27523, 3859, 9853
2020-08-19 18:42:29, 87586, 45221, 27523, 3932, 9853
2020-08-20 19:47:56, 89559, 45927, 28775, 3932, 9853
2020-08-23 20:50:07, 90859, 47024, 28800, 4040, 9913
2020-08-24 20:03:54, 93041, 47969, 29313, 4758, 9913
2020-08-28 00:54:07, 95119, 49523, 29478, 5057, 9960
2020-08-28 21:24:16, 96032, 50275, 29487, 5057, 10123
2020-08-29 20:13:59, 97542, 50399, 30800, 5117, 10123
2020-08-30 20:04:51, 98209, 50986, 30800, 5117, 10202
2020-08-31 19:01:02, 98598, 51375, 30800, 5117, 10202
2020-09-02 12:20:48, 98729, 51492, 30771, 5110, 10236
2020-09-05 00:29:04, 99882, 52530, 30704, 5292, 10236
2020-09-05 14:32:58, 100124, 52545, 30704, 5292, 10463
2020-09-05 19:48:35, 100768, 52802, 30704, 5318, 10820
2020-09-06 00:59:41, 101260, 53295, 30704, 5329, 10820
2020-09-06 23:04:31, 102428, 54113, 30704, 5503, 10992
2020-09-08 01:28:51, 103867, 55458, 30704, 5493, 11056
2020-09-09 00:03:53, 105060, 56422, 30704, 5595, 11173
2020-09-10 00:24:20, 106731, 57491, 31306, 5595, 11173
2020-09-10 23:42:00, 106770, 57468, 31322, 5596, 11233
2020-09-11 20:07:25, 107079, 57551, 31549, 5577, 11233
2020-09-12 14:21:43, 106919, 57561, 31549, 5577, 11233
2020-09-16 01:04:15, 107213, 57565, 31811, 5577, 11221
2020-09-17 00:15:20, 107776, 57823, 32089, 5581, 11221
2020-09-18 00:38:37, 108131, 58175, 32090, 5581, 11221
2020-09-18 18:54:57, 108379, 58302, 32195, 5581, 11221
2020-09-20 00:21:09, 108590, 58511, 32195, 5581, 11221
2020-09-21 10:04:15, 108815, 58736, 32195, 5581, 11221
2020-09-21 23:19:36, 109318, 58826, 32608, 5581, 11221
2020-09-22 23:40:46, 110483, 59614, 32899, 5581, 11308
2020-09-24 00:10:11, 111077, 59882, 32873, 5690, 11550
2020-09-24 23:48:22, 111673, 60368, 32873, 5780, 11561
2020-09-26 10:35:09, 111733, 60448, 32826, 5784, 11584
2020-09-27 00:13:53, 112620, 61234, 32826, 5784, 11685
2020-09-27 19:30:05, 112620, 61284, 32827, 5806, 11685
2020-09-29 16:11:36, 112766, 61331, 32817, 5756, 11838
