energy, cts
-8.7941, 5478.45
0.15, 15853.3
0.3, 7000
0.6, 2490
0.9, 1283.33
1.2, 3803.33
1.5, 5686.67
1.8, 13080
2.1, 8530
2.4, 17920
3, 27716.7
3.6, 43026.7
3.9, 50606.7
4.2, 53270
4.5, 55946.7
4.8, 45326.7
5.1, 31130
5.4, 21120
5.7, 17623.3
6.3, 7100
6.6, 676.667
6.9, 3306.67
7.2, 1505.56
8.1, 1.48867
23.55, 0.0948177
329.4, 3.09804
354.9, 20.1235
363, 37.6
370.5, 69.1667
377.7, 125.714
381.9, 204.167
384.3, 295.455
387.6, 401.667
388.8, 546.667
391.2, 800
393, 1182.67
394.5, 1717.33
396, 2553.33
396.9, 3223.33
397.5, 3840
397.8, 4868.33
398.4, 6480
398.7, 9293.33
399, 14453.3
399.3, 26683.3
399.6, 49243.3
399.9, 81096.7
400.2, 108733
400.5, 126277
400.8, 134997
401.1, 140462
401.7, 143302
404.7, 139680
406.2, 135502
407.7, 132846
409.2, 129894
411.9, 127029
415.5, 124345
417.6, 122430
420.6, 120310
423.6, 118678
426, 116825
429.6, 114701
433.8, 113032
436.5, 110418
441.3, 108042
445.8, 105771
451.2, 112393
451.8, 118957
452.1, 126850
452.4, 130493
453.3, 124810
453.6, 117310
453.9, 108648
454.5, 102808
456, 100743
461.1, 98466.3
463.8, 97097.3
467.1, 95898.9
474.3, 92840.4
479.1, 90704.2
487.2, 88641.6
493.5, 87120.9
500.1, 85957.7
505.8, 87457.8
506.7, 91535
507.3, 96386.7
507.6, 103903
507.9, 113603
508.2, 132533
508.5, 164087
508.8, 212723
509.1, 291560
509.4, 407187
509.7, 550183
510, 698000
510.3, 807733
510.6, 836133
510.9, 778773
511.2, 653010
511.5, 511143
511.8, 378800
512.1, 286103
512.4, 220170
512.7, 173570
513, 143267
513.3, 121420
513.6, 108130
513.9, 97533.3
514.2, 91713.3
514.5, 85768.3
515.1, 81208.3
515.7, 77958.7
517.2, 75805.8
520.8, 74233.1
524.4, 72786.7
529.2, 71462.4
534.3, 70270.8
536.7, 68424.3
539.7, 66919.5
543.9, 65701.7
548.7, 69240
549, 73410
550.5, 68321.7
551.1, 64791.7
552.3, 63264.9
558, 61906.3
564, 61013.9
571.2, 59767.8
579, 61348.9
579.9, 64373.3
580.2, 70026.7
580.5, 83046.7
580.8, 110760
581.1, 177647
581.4, 309823
581.7, 548067
582, 918803
582.3, 1.38334e+06
582.6, 1.8341e+06
582.9, 2.10088e+06
583.5, 1.7812e+06
583.8, 1.30468e+06
584.1, 834550
584.4, 476823
584.7, 255097
585, 138327
585.3, 82666.7
585.6, 60653.3
585.9, 50893.3
586.2, 46846.7
586.8, 44194.3
588.9, 42244
591.9, 40858.5
599.7, 40206.7
602.1, 39293.5
608.7, 38498.6
618.9, 37814.3
625.2, 37055.5
637.2, 36252.4
651.6, 35162.8
658.8, 34475
663, 33496.7
665.7, 32692.4
670.2, 31540.2
681, 30854.8
687.9, 30228
694.8, 29410.9
706.8, 28422.3
715.2, 27993.3
720.9, 30016.7
721.5, 31722.8
723.3, 29470
724.8, 34356.7
725.1, 42996.7
725.4, 61713.3
725.7, 95620
726, 155553
726.3, 239040
726.6, 336813
726.9, 428290
727.2, 475758
727.8, 406130
728.1, 310750
728.4, 212977
728.7, 136683
729, 83553.3
729.3, 52586.7
729.6, 37740
729.9, 29746.7
730.2, 26440
730.5, 24306.4
738.6, 23603.8
750.9, 22732.6
761.1, 24733.3
761.7, 28133.3
762, 31893.3
762.3, 39580
762.6, 46863.3
762.9, 55166.7
763.2, 59136.7
763.8, 53543.3
764.1, 46650
764.4, 38693.3
764.7, 31790
765, 27586.7
765.3, 24203.3
