energy, cts
-9.11396, 2044.61
0.15, 9233.33
0.3, 1580
0.75, 1184.44
1.2, 5480
1.5, 580
1.8, 1180
2.1, 1616.67
2.4, 6010
2.7, 4196.67
3, 4970
3.3, 8240
3.6, 6963.33
3.9, 8940
4.2, 11416.7
4.5, 12700
5.1, 22936.7
5.4, 9446.67
5.7, 7540
6, 11663.3
6.3, 3593.33
6.6, 4680
6.9, 3253.33
7.2, 377.333
10.2, 0.0325071
379.35, 2.04082
386.7, 7.61905
393, 28.8889
394.8, 92.7778
396.6, 246.667
397.2, 646.667
397.8, 1380
398.1, 2276.67
398.4, 3793.33
398.7, 6443.33
399, 10116.7
399.3, 15160
399.6, 21336.7
399.9, 27680
400.2, 34440
400.5, 38273.3
400.8, 42800
401.1, 45383.3
401.4, 47971.7
402, 49848.8
405.3, 48102.2
408, 46815.8
413.7, 45534.5
417, 44452.5
430.5, 45758.7
432, 46998.5
445.2, 46059.1
450.6, 48960.8
451.8, 51258.7
453.3, 49235.6
454.2, 46228.7
455.7, 44117.7
459.6, 43224.5
463.8, 42513
484.8, 41982.9
491.1, 41161.4
503.1, 42418.3
504.9, 44631.1
505.8, 46700
506.1, 50723.3
506.7, 55010
507, 60526.7
507.3, 68463.3
507.6, 77233.3
507.9, 90890
508.2, 107503
508.5, 128647
508.8, 153587
509.1, 181213
509.4, 208350
509.7, 234410
510, 252647
510.3, 265045
510.9, 256230
511.2, 238410
511.5, 214157
511.8, 187847
512.1, 160133
512.4, 133177
512.7, 111877
513, 94250
513.3, 80060
513.6, 66993.3
513.9, 58820
514.2, 52736.7
514.5, 47106.7
514.8, 43960
515.1, 40515
515.7, 38131.1
516.6, 35456.7
519.3, 34366.7
524.7, 33812.9
529.5, 32929.2
539.7, 31466
547.8, 32656.1
551.1, 31179.3
552.6, 30192.5
559.8, 29472.3
570, 29096.5
577.5, 31570
578.1, 34763.3
578.7, 38573.3
579, 43986.7
579.3, 51133.3
579.6, 60753.3
579.9, 76113.3
580.2, 95643.3
580.5, 125773
580.8, 166020
581.1, 220823
581.4, 286953
581.7, 357890
582, 436797
582.3, 505213
582.6, 556263
582.9, 576602
583.5, 541987
583.8, 483713
584.1, 409947
584.4, 331260
584.7, 259103
585, 194340
585.3, 145887
585.6, 106193
585.9, 80013.3
586.2, 60240
586.5, 47660
586.8, 38703.3
587.1, 34053.3
587.4, 29410
587.7, 26266.7
588, 23360
588.6, 20946.7
589.8, 19386.7
591.6, 18691.4
600.9, 18199.1
606.3, 17765.4
620.1, 17210.3
634.8, 16804.2
651.6, 16396
661.5, 15700
671.7, 15048.4
684.6, 14617.1
694.5, 14175.8
704.7, 13820.4
720.9, 14935.6
721.8, 16394.2
723, 18131.7
723.6, 20710
723.9, 23530
724.2, 26866.7
724.5, 32293.3
724.8, 39936.7
725.1, 51380
725.4, 62053.3
725.7, 77530
726, 96646.7
726.3, 114903
726.6, 130463
726.9, 142947
727.2, 147000
727.8, 138190
728.1, 126077
728.4, 108440
728.7, 91390
729, 72626.7
729.3, 58336.7
729.6, 45796.7
729.9, 34703.3
730.2, 28150
730.5, 23100
730.8, 19560
731.1, 17333.3
731.4, 15310
731.7, 13761.1
732.6, 12332.7
734.1, 11358.6
751.5, 10969
759.6, 12008.9
760.5, 12957.8
761.4, 14726.7
761.7, 16143.3
762, 17570
762.3, 19908.3
762.9, 21961.7
764.1, 19880
764.7, 16970
765.3, 15006.7
765.6, 13633.3
765.9, 12013.3
766.8, 10961.7
769.2, 10414.6
780.6, 10981.3
782.1, 12226.7
782.7, 14121.7
783.3, 15940
783.6, 17733.3
783.9, 19780
784.2, 23153.3
784.5, 25823.3
784.8, 28683.3
785.1, 30930.8
786.3, 28813.3
786.6, 25810
786.9, 23020
787.2, 20270
787.5, 17710
787.8, 15790
788.1, 14120
788.4, 12756.7
788.7, 11581.7
789.3, 10484
790.8, 9754.15
811.5, 9466.82
831.3, 9118.09
853.8, 9586.67
855.3, 10385.6
856.2, 11763.3
856.8, 13533.3
857.1, 15453.3
857.4, 16890
857.7, 20523.3
858, 23603.3
858.3, 29370
858.6, 37183.3
858.9, 46296.7
859.2, 55870
859.5, 66816.7
859.8, 77190
860.1, 84110
860.4, 92285.6
861.3, 84596.7
861.6, 74916.7
861.9, 65806.7
862.2, 53653.3
862.5, 43456.7
862.8, 35073.3
863.1, 27770
863.4, 22316.7
863.7, 18296.7
864, 15286.7
864.3, 12793.3
864.6, 11113.3
865.2, 9444.17
866.4, 8548.33
867.6, 7990.8
890.1, 8834.17
891.3, 10402.2
892.2, 12446.7
892.8, 14176.7
894.9, 11933.3
895.2, 10670
895.8, 9355
896.4, 8242.22
898.2, 7534.65
926.4, 8113.33
929.4, 7271.69
949.5, 7843.33
950.4, 8881.11
951.3, 10200.8
953.7, 8894.44
954.6, 7668.89
955.5, 6990.49
980.1, 7312.67
981.6, 8065.45
984.9, 7202.08
987.3, 6781.85
1011.6, 6628.91
1031.7, 6459.32
1073.1, 6859.44
1074.9, 7367.78
1075.8, 8510
1076.7, 9790
1077, 11173.3
1077.6, 12803.3
1077.9, 14476.7
1078.5, 16515
1079.7, 15410
1080, 13860
1080.6, 12030
1080.9, 10533.3
1081.2, 9328.33
1081.8, 7931.67
1082.4, 7127.78
1083.3, 6302.98
1091.7, 7244.44
1092.6, 8066.67
1093.2, 9106.67
1095.3, 8206.67
1095.9, 7235.83
1097.1, 6261.75
1114.2, 6045.61
1137.9, 5935.77
1188.3, 5757.39
1280.7, 5984.21
1286.4, 5661.3
1341.6, 5602.68
1403.1, 5363.84
1442.7, 5244.05
1467.9, 5112.96
1508.1, 5545.56
1509.9, 6361.67
1511.1, 7773.33
1511.7, 9088.33
1512.3, 10258.6
1514.4, 8890
1515, 7447.78
1515.9, 6328.33
1516.5, 5517.33
1518, 4931.93
1585.2, 5292.96
1587.9, 6139.17
1589.1, 7108.89
1590, 8800
1590.6, 10521.7
1591.2, 12483.3
1591.5, 14135
1592.1, 16737.2
1593.9, 14705
1594.5, 12018.3
1595.1, 10160
1595.4, 8786.67
1596, 7256.67
1596.6, 6536.67
1597.5, 5827.22
1599.3, 5334.22
1614, 5842.78
1615.8, 6859.17
1617, 8108.33
1617.6, 9636.67
1618.2, 11586.7
1618.5, 13070
1618.8, 15150
1619.1, 17363.3
1619.4, 19846.7
1619.7, 23576.7
1620, 26243.3
1620.3, 28263.3
1620.6, 30455.3
1622.1, 26450
1622.4, 23516.7
1622.7, 20696.7
1623, 17840
1623.3, 15496.7
1623.6, 13113.3
1623.9, 11406.7
1624.2, 9673.33
1624.5, 8405
1625.1, 7025
1625.7, 6167.78
1626.6, 5573.33
1628.1, 5165.81
1677, 5638
1678.5, 6141.43
1680.6, 5677.92
1683, 5172.93
1724.7, 5294.17
1762.8, 5454.24
1801.5, 5690.42
1803.9, 6226.67
1805.1, 7021.67
1808.1, 6062.08
1810.5, 5521.02
1855.5, 5708.8
1890.6, 5873.02
1938.9, 5745.25
2008.2, 5815.22
2039.4, 5919.63
2063.7, 6049.6
2088.9, 6275.79
2094.6, 6759.33
2096.1, 7336.67
2097, 8251.11
2097.9, 9426.67
2098.5, 10403.3
2099.1, 12223.3
2099.7, 14663.3
2100.3, 17426.7
2100.6, 19170
2100.9, 21863.3
2101.2, 24036.7
2101.5, 27793.3
2101.8, 30843.3
2102.1, 33486.7
2102.4, 36220
2102.7, 40535
2103.3, 43306.7
2104.5, 40161.7
2105.1, 35786.7
2105.4, 33060
2105.7, 29730
2106, 26390
2106.3, 23753.3
2106.6, 20433.3
2106.9, 18136.7
2107.2, 16606.7
2107.5, 13723.3
2108.1, 11756.7
2108.4, 10336.7
2109, 9450
2109.6, 8210
2110.8, 7495.33
2112.3, 6803.24
2143.5, 6966.04
2165.7, 7210.2
2190.6, 7473.82
2217.3, 7821.82
2236.5, 8101.05
2253.6, 8390.34
2268.3, 8722.33
2277.3, 9116.21
2296.8, 9451.29
2311.5, 9692.73
2321.4, 10088.7
2333.1, 10418
2342.1, 10783.6
2355.3, 11136.7
2368.2, 11361.4
2376.3, 10849
2380.2, 10066.1
2383.5, 9302.78
2387.1, 8700.48
2393.4, 8269.26
2401.5, 7995.48
2410.8, 7710.45
2417.4, 7473.11
2426.4, 7226.11
2433.6, 6928.19
2440.8, 6698.77
2446.5, 6483.33
2452.5, 6156.52
2459.4, 5847.54
2466.3, 5534.21
2472, 5168.33
2478, 4904.51
2483.1, 4600
2488.5, 4379
2491.5, 4111.33
2496, 3901.05
2501.7, 3539.44
2507.1, 3299.65
2512.8, 3014.76
2519.1, 2829.56
2523.6, 2641.3
2530.5, 2496.27
2538, 2355.59
2547.3, 2207.07
2559.6, 2079.17
2574, 1911.31
2583.9, 1824.18
2601.6, 2121.67
2602.8, 2555.56
2603.7, 3241.67
2604.3, 3990
2604.9, 4903.33
2605.5, 6306.67
2605.8, 7376.67
2606.1, 8450
2606.4, 9593.33
2606.7, 11033.3
2607, 12526.7
2607.3, 14330
2607.6, 16283.3
2607.9, 19036.7
2608.2, 22086.7
2608.5, 25283.3
2608.8, 29376.7
2609.1, 34626.7
2609.4, 39980
2609.7, 48196.7
2610, 57003.3
2610.3, 67756.7
2610.6, 83066.7
2610.9, 101447
2611.2, 122103
2611.5, 148730
2611.8, 178250
2612.1, 212910
2612.4, 250570
2612.7, 289253
2613, 328757
2613.3, 364537
2613.6, 395440
2613.9, 418540
2614.2, 432573
2614.8, 424453
2615.1, 401170
2615.4, 371293
2615.7, 334440
2616, 296563
2616.3, 255473
2616.6, 215123
2616.9, 178367
2617.2, 143610
2617.5, 116103
2617.8, 93053.3
2618.1, 74793.3
2618.4, 59443.3
2618.7, 47256.7
2619, 39183.3
2619.3, 32510
2619.6, 27140
2619.9, 23006.7
2620.2, 19940
2620.5, 16916.7
2620.8, 14390
2621.1, 12336.7
2621.4, 10910
2621.7, 9230
2622, 8136.67
2622.3, 6290
2622.9, 4613.33
2623.5, 3690
2623.8, 2813.33
2624.4, 2083.33
2625, 1476.67
2625.6, 1068.33
2626.2, 753.333
2627.1, 495
2628.9, 287.647
2634, 219.563
2659.2, 197.804
2684.7, 275
2689.5, 229.788
2708.4, 265.701
2774.7, 241.341
2802.3, 218.088
2822.7, 190.273
2855.7, 161.693
2894.1, 134.357
2932.2, 117.01
2973, 95.2928
3017.4, 71.2073
3055.5, 57.8788
3088.5, 48.4466
3119.4, 91.1111
3123, 209.762
3127.2, 119.524
3129.3, 53.8095
3133.5, 36.6032
3165, 29.9197
3189.9, 69.0476
3192, 121.667
3193.2, 228.667
3194.7, 361.111
3195.6, 590
3197.1, 766.667
3198.3, 590
3199.8, 306.111
3201.6, 113.81
3203.7, 40.3922
3208.8, 10.5067
3283.8, 7.74194
3339.6, 4.95413
3372.3, 14.8387
3381.6, 4.16667
3470.4, 36.2963
3473.1, 63.5417
3477.9, 12.1739
3484.8, 1.32198
3731.4, 0.655471
4776.45, 0
