energy, cts
-9.95, 110.271
2.25, 283.333
2.85, 2093.33
4.2, 3476.67
4.5, 4770
4.8, 3250
5.1, 7673.33
5.4, 18966.7
5.7, 16183.3
6, 22076.7
6.3, 52176.7
6.6, 22046.7
6.9, 39356.7
7.2, 9896.67
7.5, 5651.11
7.95, 0.0638357
368.25, 4.07767
383.7, 15.641
391.5, 35.1515
394.8, 89.3333
397.8, 266.667
398.7, 853.333
399, 1770
399.3, 4046.67
399.6, 7570
399.9, 12953.3
400.2, 19220
400.5, 26326.7
400.8, 32170
401.1, 35500
401.4, 38989.4
405, 38236.7
408, 37023.7
413.1, 36027.5
418.2, 35119.4
425.1, 33973.3
431.7, 33263.6
438.9, 32677.1
443.4, 31839.4
451.2, 32955
451.8, 35735
452.4, 37574.4
453.3, 35388.3
453.9, 32796.7
454.2, 30985.4
458.1, 30246.8
464.1, 29629.2
475.2, 28613.1
483.3, 28015.4
494.7, 27477.1
507, 29506.7
507.6, 31266.7
507.9, 34033.3
508.2, 38366.7
508.5, 47166.7
508.8, 58590
509.1, 80046.7
509.4, 106800
509.7, 143810
510, 180923
510.3, 208743
510.6, 220720
510.9, 211487
511.2, 182973
511.5, 150100
511.8, 115657
512.1, 87613.3
512.4, 66886.7
512.7, 52146.7
513, 43490
513.3, 36196.7
513.6, 31976.7
513.9, 29323.3
514.2, 26688.3
514.8, 23997.9
518.1, 23003.1
525.3, 22333.6
534.3, 21758.8
540.3, 21197.2
549, 22739.4
550.8, 20663.5
558.6, 20072.9
570.3, 19688.5
578.1, 20337.1
580.5, 23886.7
580.8, 29736.7
581.1, 45013.3
581.4, 80470
581.7, 143520
582, 242177
582.3, 368120
582.6, 489753
582.9, 562128
583.5, 484297
583.8, 362793
584.1, 235903
584.4, 135503
584.7, 70756.7
585, 36606.7
585.3, 21536.7
585.6, 15186.7
585.9, 12868.3
588.9, 12415.9
591.6, 12061.9
604.2, 11580.9
624, 11252.2
638.7, 10979.6
652.5, 10702.5
663.3, 10247.9
673.5, 9884.65
687.9, 9476.62
709.8, 9213.51
720.9, 10190
723.3, 9415.56
724.2, 10628.3
724.8, 13663.3
725.1, 18840
725.4, 27820
725.7, 42416.7
726, 63943.3
726.3, 87656.7
726.6, 113443
726.9, 131780
727.2, 137320
727.5, 127493
727.8, 105537
728.1, 79106.7
728.4, 53056.7
728.7, 34276.7
729, 21203.3
729.3, 14186.7
729.6, 10220
729.9, 8201.11
730.8, 7522.27
750.6, 7279.52
761.1, 8415
761.7, 10050
762, 11700
762.3, 13940
762.6, 16106.7
762.9, 18017.8
763.8, 15616.7
764.1, 13713.3
764.4, 11036.7
764.7, 9513.33
765, 7768.89
765.9, 6894.21
783, 8308.33
783.6, 10346.7
783.9, 12283.3
784.2, 15673.3
784.5, 19663.3
784.8, 23760
785.1, 26538.9
786, 22240
786.3, 18733.3
786.6, 13890
786.9, 10990
787.2, 9036.67
787.5, 7210
788.4, 6517.71
809.4, 6323
830.1, 6132.39
857.7, 7130
858, 8286.67
858.3, 11023.3
858.6, 16633.3
858.9, 24943.3
859.2, 37926.7
859.5, 54810
859.8, 71950
860.1, 84030
860.4, 88835
861, 73996.7
861.3, 57090
861.6, 39296.7
861.9, 25486.7
862.2, 16293.3
862.5, 10450
862.8, 7940
863.1, 6273.33
863.4, 5393.33
874.2, 5253.22
891.3, 6028.33
891.9, 7263.33
892.2, 8570
892.5, 10246.7
892.8, 12007.5
894, 10206.7
894.3, 9016.67
894.6, 7426.67
894.9, 6176.67
895.5, 5032.59
926.4, 5640.42
928.8, 4871.81
950.4, 5773.33
951, 6998.33
951.6, 8072.5
952.8, 6818.33
953.4, 5983.33
953.7, 5258.33
954.3, 4720.93
981.3, 5296.67
982.2, 5846
983.7, 5110
984.6, 4568.33
1008.6, 4460
1045.2, 4337.63
1073.1, 4598.33
1076.7, 5303.33
1077, 6256.67
1077.3, 7606.67
1077.6, 9673.33
1077.9, 11536.7
1078.2, 13286.7
1078.5, 14631.1
1079.4, 12336.7
1079.7, 10253.3
1080, 8546.67
1080.3, 6686.67
1080.6, 5536.67
1080.9, 4670
1081.5, 4248.63
1091.7, 4634.44
1092.6, 5453.33
1093.2, 6381.67
1093.8, 6996.67
1094.7, 5961.67
1095.3, 4744.44
1096.2, 4189.81
1127.4, 4062.67
1200, 3952.99
1282.5, 4208.89
1285.2, 3869.86
1400.4, 3730.63
1421.1, 3640.36
1462.8, 3524.18
1509.9, 3898.89
1510.8, 4553.33
1511.1, 5776.67
1511.7, 6750
1512, 7750
1512.3, 9017.5
1513.5, 8120
1513.8, 6685
1514.4, 5008.33
1515, 4013.33
1515.6, 3414.21
1589.7, 4141.67
1590.3, 5698.33
1590.9, 7550
1591.2, 8793.33
1591.5, 10650
1591.8, 12476.7
1592.1, 13909.2
1593.3, 12186.7
1593.6, 10346.7
