energy, EnrBEGe, EnrCoax, EnrCoax_2, EnrInvCoax, EnrBEGe_2, EnrAll
989, 0.540407, 0.483218, 0.225544, 0.160002, 0.361771, 1.77094
1004, 0.540407, 0.466511, 0.219119, 0.143295, 0.33671, 1.70604
1019, 0.493499, 0.427956, 0.195343, 0.154861, 0.348276, 1.61994
1034, 0.477434, 0.427313, 0.221689, 0.137511, 0.341208, 1.60516
1049, 0.469081, 0.42153, 0.190845, 0.142009, 0.322573, 1.54604
1064, 0.451731, 0.435024, 0.18956, 0.123375, 0.326429, 1.52612
1079, 0.440165, 0.403538, 0.182492, 0.117591, 0.313577, 1.45736
1094, 0.451731, 0.38169, 0.18699, 0.118877, 0.27695, 1.41624
1109, 0.410606, 0.400968, 0.152933, 0.165142, 0.285304, 1.41495
1124, 0.382333, 0.3592, 0.148435, 0.152933, 0.293015, 1.33592
1139, 0.358558, 0.309722, 0.151005, 0.105383, 0.271167, 1.19583
1154, 0.35663, 0.315505, 0.145865, 0.116306, 0.241609, 1.17591
1169, 0.354702, 0.297513, 0.138154, 0.116949, 0.230685, 1.138
1184, 0.352774, 0.328999, 0.14715, 0.0951013, 0.242894, 1.16692
1199, 0.366911, 0.276308, 0.148435, 0.0989568, 0.203697, 1.09431
1214, 0.308437, 0.26924, 0.134941, 0.0873904, 0.214621, 1.01463
1229, 0.314862, 0.258958, 0.120162, 0.0906033, 0.194058, 0.978644
1244, 0.25446, 0.257673, 0.104097, 0.0706834, 0.165142, 0.852056
1259, 0.265384, 0.2294, 0.108595, 0.066828, 0.166427, 0.836635
1274, 0.247392, 0.226187, 0.109881, 0.0726111, 0.170925, 0.826996
1289, 0.256388, 0.228757, 0.103455, 0.0629725, 0.176066, 0.827638
1304, 0.218476, 0.221689, 0.0893181, 0.0803221, 0.132371, 0.742176
1319, 0.224902, 0.197271, 0.0873904, 0.0578319, 0.158074, 0.725469
1334, 0.197271, 0.195986, 0.0835349, 0.0693983, 0.141367, 0.687557
1349, 0.190203, 0.165785, 0.0719686, 0.0565467, 0.12723, 0.611733
1364, 0.182492, 0.152291, 0.0751814, 0.0706834, 0.130443, 0.61109
1379, 0.165785, 0.155504, 0.0636151, 0.0481932, 0.0906033, 0.5237
1394, 0.148435, 0.134941, 0.0616873, 0.054619, 0.0938162, 0.493499
1409, 0.129158, 0.126588, 0.0604022, 0.0404823, 0.0796795, 0.436309
1424, 0.117591, 0.127873, 0.0552616, 0.04241, 0.0796795, 0.422815
1439, 0.109238, 0.10731, 0.0481932, 0.0430526, 0.0745389, 0.382333
1454, 1.06475, 1.18812, 0.476792, 0.571893, 0.677918, 3.97948
1469, 0.0790369, 0.0732537, 0.0302011, 0.0250605, 0.066828, 0.27438
1484, 0.0681131, 0.0796795, 0.0302011, 0.021205, 0.0514061, 0.250605
1499, 0.0623299, 0.0693983, 0.0391972, 0.016707, 0.0443378, 0.23197
1514, 0.390686, 0.492214, 0.183777, 0.12466, 0.25446, 1.4458
1529, 0.0552616, 0.0494784, 0.0250605, 0.0186347, 0.0391972, 0.187632
1544, 0.050121, 0.0417675, 0.0199199, 0.0179921, 0.0269882, 0.156789
1559, 0.0462655, 0.0340566, 0.0205624, 0.0102812, 0.0276308, 0.138797
1574, 0.0346991, 0.0456229, 0.0218476, 0.0109238, 0.0231328, 0.136226
1589, 0.0276308, 0.0263456, 0.0179921, 0.00963865, 0.021205, 0.102812
1604, 0.0314862, 0.0199199, 0.016707, 0.00771092, 0.0205624, 0.0963865
1619, 0.0289159, 0.0263456, 0.0134941, 0.00835349, 0.0250605, 0.10217
1634, 0.0192773, 0.0199199, 0.00963865, 0.00835349, 0.0154218, 0.0726111
1649, 0.0199199, 0.0192773, 0.00963865, 0.00771092, 0.0109238, 0.0674705
1664, 0.0173496, 0.0154218, 0.00835349, 0.00706834, 0.012209, 0.0604022
