energy, EnrBEGe, EnrCoax, EnrCoax_2, EnrInvCoax, EnrBEGe_2, EnrAll
989, 870, 655, 280, 257, 564, 2626
1004, 860, 657, 285, 222, 520, 2544
1019, 818, 599, 268, 245, 526, 2456
1034, 750, 578, 277, 219, 543, 2367
1049, 740, 587, 271, 225, 510, 2333
1064, 764, 610, 269, 198, 523, 2364
1079, 755, 567, 255, 195, 492, 2264
1094, 749, 545, 234, 199, 468, 2195
1109, 654, 582, 217, 238, 454, 2145
1124, 656, 503, 206, 187, 503, 2055
1139, 644, 459, 202, 181, 459, 1945
1154, 612, 497, 217, 197, 409, 1932
1169, 614, 510, 201, 198, 422, 1945
1184, 610, 484, 210, 166, 405, 1875
1199, 630, 434, 215, 173, 363, 1815
1214, 559, 452, 211, 141, 380, 1743
1229, 598, 427, 196, 165, 347, 1733
1244, 490, 425, 193, 138, 323, 1569
1259, 497, 389, 185, 109, 279, 1459
1274, 451, 403, 177, 133, 317, 1481
1289, 459, 441, 163, 114, 314, 1491
1304, 344, 338, 143, 116, 207, 1148
1319, 341, 305, 149, 74, 243, 1112
1334, 283, 301, 134, 91, 174, 983
1349, 256, 241, 100, 69, 168, 834
1364, 221, 221, 95, 89, 170, 796
1379, 202, 226, 87, 55, 123, 693
1394, 192, 196, 94, 69, 122, 673
1409, 161, 175, 85, 51, 87, 559
1424, 152, 162, 60, 55, 111, 540
1439, 129, 139, 64, 45, 82, 459
1454, 383, 686, 279, 147, 222, 1717
1469, 106, 102, 46, 36, 86, 376
1484, 93, 96, 36, 25, 65, 315
1499, 80, 102, 39, 23, 59, 303
1514, 459, 1155, 438, 134, 257, 2443
1529, 77, 55, 35, 29, 54, 250
1544, 65, 47, 20, 24, 30, 186
1559, 46, 43, 24, 15, 34, 162
1574, 41, 49, 15, 16, 32, 153
1589, 40, 26, 18, 11, 27, 122
1604, 45, 25, 17, 9, 27, 123
1619, 34, 33, 16, 11, 28, 122
1634, 24, 23, 13, 7, 17, 84
1649, 23, 23, 12, 11, 15, 84
1664, 24, 22, 7, 9, 15, 77
1679, 13, 11, 7, 3, 12, 46
1694, 17, 13, 7, 5, 3, 45
1709, 9, 11, 5, 3, 12, 40
1724, 12, 15, 7, 3, 9, 46
1739, 11, 9, 2, 3, 3, 28
1754, 13, 25, 14, 4, 4, 60
1769, 6, 10, 4, 2, 2, 24
1784, 3, 2, 2, 1, 5, 13
1799, 5, 3, 3, 2, 3, 16
1814, 2, 3, 1, 0, 3, 9
1829, 0, 3, 2, 1, 1, 7
1844, 4, 2, 2, 1, 4, 13
1859, 1, 2, 2, 0, 2, 7
1874, 2, 0, 1, 0, 1, 4
1889, 2, 5, 1, 1, 2, 11
1904, 0, 2, 2, 0, 1, 5
1919, 1, 1, 1, 0, 1, 4
1934, 1, 4, 1, 0, 2, 8
1949, 3, 4, 0, 1, 0, 8
1964, 2, 2, 0, 0, 1, 5
1979, 1, 7, 0, 0, 2, 10
1994, 1, 2, 0, 0, 0, 3
2009, 2, 3, 1, 0, 1, 7
2024, 1, 0, 0, 0, 0, 1
2039, 3, 2, 0, 0, 0, 5
2054, 3, 0, 1, 1, 0, 5
2069, 0, 3, 0, 1, 1, 5
2084, 1, 3, 2, 0, 0, 6
2099, 3, 2, 1, 2, 2, 10
2114, 1, 2, 0, 0, 2, 5
2129, 0, 0, 0, 0, 0, 0
2144, 2, 2, 1, 1, 1, 7
2159, 2, 1, 0, 1, 0, 4
2174, 0, 2, 0, 0, 1, 3
2189, 0, 3, 0, 0, 0, 3
2204, 5, 2, 2, 0, 2, 11
2219, 1, 1, 0, 0, 0, 2
2234, 3, 2, 1, 1, 1, 8
2249, 3, 1, 0, 0, 2, 6
2264, 1, 2, 0, 0, 1, 4
2279, 3, 2, 4, 0, 2, 11
2294, 0, 1, 1, 0, 0, 2
2309, 0, 0, 0, 0, 3, 3
2324, 0, 2, 0, 1, 0, 3
2339, 3, 1, 1, 0, 1, 6
2354, 1, 0, 3, 1, 2, 7
2369, 1, 3, 0, 0, 2, 6
2384, 1, 1, 2, 0, 2, 6
2399, 0, 1, 1, 1, 1, 4
2414, 1, 1, 0, 0, 1, 3
2429, 0, 2, 0, 0, 1, 3
2444, 0, 1, 1, 0, 0, 2
2459, 0, 0, 0, 0, 2, 2
2474, 0, 1, 0, 0, 0, 1
2489, 0, 1, 0, 0, 0, 1
2504, 0, 0, 0, 0, 0, 0
2519, 0, 1, 0, 0, 0, 1
2534, 0, 0, 0, 0, 0, 0
2549, 0, 1, 0, 0, 1, 2
2564, 1, 0, 0, 0, 1, 2
2579, 1, 2, 0, 0, 0, 3
2594, 0, 3, 2, 0, 0, 5
2609, 4, 11, 2, 2, 3, 22
2624, 0, 0, 0, 0, 0, 0
2639, 0, 1, 0, 0, 0, 1
2654, 0, 0, 0, 0, 0, 0
2669, 0, 0, 0, 0, 0, 0
2684, 0, 0, 0, 0, 0, 0
2699, 0, 0, 0, 0, 0, 0
2714, 0, 0, 0, 0, 0, 0
2729, 0, 0, 0, 0, 0, 0
2744, 1, 0, 0, 0, 0, 1
2759, 0, 0, 1, 0, 0, 1
2774, 0, 0, 0, 0, 0, 0
2789, 0, 0, 0, 0, 0, 0
2804, 0, 0, 1, 0, 0, 1
2819, 0, 0, 0, 0, 0, 0
2834, 0, 0, 0, 0, 0, 0
2849, 0, 0, 0, 0, 0, 0
2864, 0, 0, 1, 0, 0, 1
2879, 0, 0, 0, 0, 0, 0
2894, 0, 0, 0, 0, 0, 0
2909, 0, 0, 0, 0, 0, 0
2924, 0, 0, 0, 0, 0, 0
2939, 0, 1, 0, 0, 0, 1
2954, 0, 0, 0, 0, 0, 0
2969, 0, 0, 0, 0, 0, 0
2984, 1, 0, 0, 0, 0, 1
2999, 0, 0, 0, 0, 0, 0
3014, 0, 0, 0, 0, 0, 0
3029, 0, 0, 0, 0, 0, 0
3044, 0, 1, 0, 0, 0, 1
3059, 0, 0, 0, 0, 0, 0
3074, 0, 0, 0, 0, 0, 0
3089, 0, 0, 0, 0, 0, 0
3104, 0, 0, 0, 0, 0, 0
3119, 0, 0, 0, 0, 0, 0
3134, 0, 0, 0, 0, 0, 0
3149, 0, 0, 0, 0, 0, 0
3164, 0, 0, 0, 0, 0, 0
3179, 0, 0, 0, 0, 0, 0
3194, 0, 0, 0, 0, 0, 0
3209, 0, 0, 0, 0, 0, 0
3224, 0, 0, 0, 0, 0, 0
3239, 0, 1, 0, 0, 0, 1
3254, 0, 0, 0, 0, 0, 0
3269, 0, 0, 0, 0, 0, 0
3284, 0, 0, 0, 0, 0, 0
3299, 0, 0, 0, 0, 0, 0
3314, 0, 0, 0, 0, 0, 0
3329, 0, 1, 0, 0, 0, 1
3344, 0, 0, 0, 0, 0, 0
3359, 0, 0, 0, 0, 0, 0
3374, 0, 1, 0, 0, 0, 1
3389, 0, 0, 0, 0, 0, 0
3404, 0, 0, 0, 0, 0, 0
3419, 0, 0, 0, 0, 0, 0
3434, 0, 0, 0, 0, 0, 0
3449, 0, 0, 0, 0, 0, 0
3464, 0, 0, 0, 0, 0, 0
3479, 0, 0, 0, 0, 0, 0
3494, 0, 0, 0, 0, 0, 0
3509, 0, 0, 0, 0, 0, 0
3524, 0, 0, 0, 0, 0, 0
3539, 0, 0, 0, 0, 0, 0
3554, 0, 0, 0, 0, 0, 0
3569, 0, 0, 0, 0, 0, 0
3584, 0, 0, 0, 0, 0, 0
3599, 0, 0, 0, 0, 0, 0
3614, 0, 0, 0, 0, 0, 0
3629, 0, 0, 0, 0, 0, 0
3644, 0, 1, 0, 0, 0, 1
3659, 0, 0, 0, 0, 0, 0
3674, 0, 0, 0, 0, 0, 0
3689, 0, 0, 0, 0, 0, 0
3704, 0, 1, 0, 0, 0, 1
3719, 0, 0, 0, 0, 0, 0
3734, 0, 0, 0, 0, 0, 0
3749, 0, 0, 0, 0, 0, 0
3764, 0, 0, 0, 0, 0, 0
3779, 0, 0, 0, 0, 0, 0
3794, 0, 0, 0, 0, 0, 0
3809, 0, 0, 0, 0, 0, 0
3824, 0, 0, 0, 0, 0, 0
3839, 0, 0, 0, 0, 0, 0
3854, 0, 0, 0, 0, 0, 0
3869, 0, 0, 0, 0, 0, 0
3884, 0, 0, 0, 0, 0, 0
3899, 0, 0, 0, 0, 0, 0
3914, 0, 0, 0, 0, 0, 0
3929, 0, 0, 0, 0, 0, 0
3944, 0, 0, 0, 0, 0, 0
3959, 0, 0, 0, 0, 0, 0
3974, 0, 0, 0, 0, 0, 0
3989, 0, 1, 0, 0, 0, 1
4004, 0, 0, 0, 0, 0, 0
4019, 0, 0, 0, 0, 0, 0
4034, 0, 0, 0, 0, 0, 0
4049, 0, 0, 0, 0, 0, 0
4064, 0, 0, 0, 0, 0, 0
4079, 0, 0, 0, 0, 0, 0
4094, 0, 1, 0, 0, 0, 1
4109, 0, 0, 0, 0, 0, 0
4124, 0, 1, 0, 0, 0, 1
4139, 0, 1, 0, 0, 0, 1
4154, 0, 0, 0, 0, 0, 0
4169, 0, 0, 0, 0, 0, 0
4184, 0, 0, 0, 0, 0, 0
4199, 0, 1, 0, 0, 0, 1
4214, 0, 0, 0, 0, 0, 0
4229, 0, 1, 0, 0, 0, 1
4244, 0, 0, 0, 0, 0, 0
4259, 0, 0, 0, 0, 0, 0
4274, 0, 0, 0, 0, 0, 0
4289, 0, 0, 0, 0, 0, 0
4304, 0, 0, 0, 0, 0, 0
4319, 0, 0, 0, 0, 0, 0
