energy, EnrBEGe, EnrCoax, EnrCoax_2, EnrInvCoax, EnrBEGe_2, EnrAll
0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0
2, 0, 0, 0, 0, 0, 0
3, 0, 0, 0, 0, 0, 0
4, 0, 0, 0, 0, 0, 0
5, 0, 0, 0, 0.125302, 0.0192773, 0.14458
6, 0, 0, 0, 4.03859, 0.0192773, 4.05787
7, 0, 0, 0, 27.3641, 0.0674705, 27.4316
8, 0.0578319, 0, 0, 77.8514, 0.163857, 78.073
9, 0.0385546, 0, 0, 143.847, 0.366269, 144.252
10, 0.260243, 0, 0, 202.016, 0.906033, 203.183
11, 0.722899, 0, 0, 233.535, 2.61207, 236.87
12, 2.88196, 0, 0, 233.891, 8.64587, 245.419
13, 6.99766, 0, 0, 217.043, 21.4171, 245.458
14, 14.9206, 0, 0, 194.074, 42.2462, 251.241
15, 29.4172, 0, 0, 170.585, 78.9887, 278.991
16, 47.5571, 0, 0, 147.086, 127.394, 322.037
17, 64.8681, 0, 0, 129.206, 176.31, 370.384
18, 75.2586, 0, 0, 112.782, 215.665, 403.705
19, 80.4152, 0, 0, 100.3, 232.108, 412.823
20, 79.6827, 0, 0, 86.5069, 229.352, 395.541
21, 75.8947, 0.00963865, 0, 77.2827, 214.826, 368.013
22, 70.6416, 0, 0, 68.6464, 196.59, 335.878
23, 64.3091, 0, 0, 62.2078, 176.223, 302.74
24, 58.6512, 0.0192773, 0, 54.5644, 156.657, 269.892
25, 50.3812, 0.0385546, 0, 48.3475, 134.874, 233.641
26, 46.68, 0, 0, 42.6414, 119.172, 208.494
27, 42.2655, 0.0963865, 0, 38.1498, 108.406, 188.917
28, 38.7763, 0.279521, 0, 33.8027, 93.8419, 166.7
29, 32.9738, 0.414462, 0, 30.034, 84.0297, 147.452
30, 31.075, 1.04097, 0, 28.6364, 75.326, 136.078
31, 26.6991, 1.80243, 0.00963865, 25.687, 66.9211, 121.119
32, 25.1183, 2.85304, 0.00963865, 22.3231, 61.9379, 112.242
33, 23.1617, 3.65305, 0, 20.7424, 57.4656, 105.023
34, 20.6845, 4.32775, 0.0867478, 18.9496, 49.9475, 93.9961
35, 18.9014, 5.21451, 0.106025, 18.1881, 46.5836, 88.9936
36, 17.3206, 5.60969, 0.183134, 16.7423, 43.3161, 83.1719
37, 15.1905, 5.40728, 0.260243, 15.3447, 39.6823, 75.8851
38, 14.9399, 5.40728, 0.433739, 14.4387, 37.0606, 72.2802
39, 14.8628, 4.79041, 0.616873, 14.5833, 35.7787, 70.632
40, 13.4556, 4.57836, 0.992781, 12.9929, 33.6196, 65.6392
41, 12.5881, 4.85788, 1.36869, 14.2363, 33.128, 66.179
42, 13.1278, 4.59763, 1.6964, 13.0025, 31.1328, 63.5572
43, 12.858, 4.76149, 1.94701, 13.2339, 30.4196, 63.2199
44, 11.682, 4.66511, 2.52533, 13.1857, 30.4099, 62.4681
45, 11.711, 4.79041, 3.19039, 12.8676, 30.3232, 62.8825
46, 11.8555, 4.40486, 3.47955, 13.6965, 29.8798, 63.3163
47, 11.7688, 4.53016, 4.42414, 13.7929, 29.234, 63.75
48, 11.7688, 4.79041, 4.67474, 13.2146, 28.8485, 63.297
49, 12.1832, 4.72294, 4.89643, 13.2435, 29.7159, 64.7621
50, 11.8266, 4.60727, 5.30126, 13.9471, 30.6413, 66.3235
51, 12.0387, 4.81932, 6.18801, 14.3327, 30.0629, 67.4416
52, 11.9905, 4.79041, 5.97596, 14.3423, 30.6316, 67.7308
53, 11.8845, 4.93499, 6.48681, 14.1784, 31.528, 69.0127
54, 12.8387, 4.56872, 7.44104, 15.5568, 32.3762, 72.7814
55, 13.1664, 5.12776, 7.34465, 15.5375, 33.2726, 74.4489
56, 13.8604, 4.84824, 8.05791, 16.2797, 33.8702, 76.9164
57, 13.6483, 5.95668, 8.68442, 17.8026, 35.9618, 82.0538
58, 13.9182, 5.78319, 8.08682, 17.1472, 36.2028, 81.1381
59, 15.2098, 5.57114, 9.26274, 16.8773, 38.0534, 84.9743
60, 15.4893, 6.29404, 9.01214, 17.9375, 38.7859, 87.5189
61, 16.4917, 5.63861, 9.84106, 18.9592, 41.1281, 92.0587
62, 16.9833, 6.18801, 9.91817, 19.2677, 42.8149, 95.172
63, 17.6291, 6.46753, 10.2652, 19.499, 44.0486, 97.9094
64, 18.6508, 6.55428, 11.2001, 19.1134, 45.2245, 100.743
65, 18.9881, 6.89163, 11.3061, 20.2701, 47.7691, 105.225
66, 19.6628, 7.08441, 12.2218, 21.0701, 49.3595, 109.399
67, 19.046, 7.58562, 12.4049, 21.0508, 51.4415, 111.529
68, 20.7231, 7.57598, 12.8001, 20.5689, 54.6993, 116.367
69, 21.6291, 7.81694, 13.3013, 21.8701, 56.6752, 121.293
70, 22.3327, 8.21213, 14.111, 21.0508, 57.2728, 122.979
71, 22.2749, 8.2796, 14.67, 21.9568, 59.5379, 126.719
72, 23.2773, 9.07961, 15.0845, 22.5159, 61.1572, 131.115
73, 24.1063, 8.93503, 15.1809, 23.287, 63.0078, 134.517
74, 24.5978, 9.52298, 15.6242, 23.6918, 64.1163, 137.553
75, 25.7255, 9.36877, 17.205, 23.9231, 63.9331, 140.156
76, 25.4942, 9.64829, 16.6845, 23.2195, 68.1549, 143.201
77, 26.7954, 9.82178, 17.3496, 23.8267, 67.5573, 145.351
78, 26.5448, 9.8025, 17.6387, 24.5978, 69.485, 148.069
79, 26.275, 10.5447, 18.5448, 24.6267, 71.4031, 151.394
80, 27.3641, 10.2362, 18.7857, 24.9834, 71.4417, 152.811
81, 28.2702, 11.3543, 18.246, 25.4268, 71.8947, 155.192
82, 28.8003, 10.9495, 18.8146, 24.1448, 74.9116, 157.621
