energy, EnrBEGe, EnrCoax, EnrCoax_2, EnrInvCoax, EnrBEGe_2, EnrAll
989, 728, 524, 238, 227, 469, 2186
1004, 720, 505, 225, 201, 434, 2085
1019, 667, 457, 205, 222, 442, 1993
1034, 624, 442, 237, 190, 444, 1937
1049, 617, 446, 218, 194, 420, 1895
1064, 604, 460, 208, 171, 425, 1868
1079, 581, 428, 191, 163, 403, 1766
1094, 598, 412, 181, 161, 360, 1712
1109, 511, 438, 158, 199, 353, 1659
1124, 501, 369, 152, 151, 383, 1556
1139, 470, 322, 152, 148, 349, 1441
1154, 464, 333, 155, 162, 301, 1415
1169, 447, 326, 138, 157, 292, 1360
1184, 444, 333, 151, 130, 311, 1369
1199, 461, 296, 155, 130, 257, 1299
1214, 395, 275, 140, 111, 273, 1194
1229, 403, 268, 136, 122, 238, 1167
1244, 317, 278, 108, 99, 198, 1000
1259, 321, 237, 123, 80, 195, 956
1274, 301, 231, 111, 96, 212, 951
1289, 310, 249, 108, 78, 216, 961
1304, 252, 231, 90, 89, 151, 813
1319, 280, 203, 95, 62, 191, 831
1334, 237, 203, 95, 76, 153, 764
1349, 209, 163, 81, 63, 152, 668
1364, 190, 153, 67, 86, 150, 646
1379, 178, 150, 64, 54, 109, 555
1394, 167, 141, 59, 62, 110, 539
1409, 144, 130, 62, 44, 81, 461
1424, 136, 136, 49, 53, 100, 474
1439, 119, 102, 53, 42, 75, 391
1454, 371, 657, 265, 140, 211, 1644
1469, 96, 76, 31, 33, 79, 315
1484, 79, 83, 28, 25, 61, 276
1499, 72, 71, 35, 20, 55, 253
1514, 145, 287, 95, 49, 94, 670
1529, 70, 45, 22, 27, 50, 214
1544, 60, 40, 20, 24, 29, 173
1559, 45, 37, 22, 14, 31, 149
1574, 36, 47, 13, 14, 30, 140
1589, 32, 20, 16, 10, 26, 104
1604, 42, 21, 17, 9, 26, 115
1619, 30, 26, 14, 10, 26, 106
1634, 23, 16, 12, 7, 16, 74
1649, 21, 19, 11, 10, 14, 75
1664, 22, 17, 6, 9, 14, 68
1679, 10, 8, 6, 3, 11, 38
1694, 17, 8, 5, 4, 2, 36
1709, 9, 10, 3, 3, 10, 35
1724, 10, 11, 6, 1, 7, 35
1739, 7, 7, 1, 2, 3, 20
1754, 9, 15, 5, 3, 1, 33
1769, 3, 7, 4, 1, 0, 15
1784, 2, 1, 1, 0, 4, 8
1799, 4, 2, 1, 2, 2, 11
1814, 1, 1, 0, 0, 2, 4
1829, 0, 1, 0, 1, 0, 2
1844, 2, 0, 0, 0, 3, 5
1859, 0, 1, 1, 0, 1, 3
1874, 1, 0, 1, 0, 1, 3
1889, 0, 1, 0, 0, 0, 1
1904, 0, 0, 0, 0, 0, 0
1919, 0, 0, 0, 0, 0, 0
1934, 0, 0, 0, 0, 0, 0
1949, 1, 3, 0, 0, 0, 4
1964, 0, 0, 0, 0, 1, 1
1979, 0, 0, 0, 0, 0, 0
1994, 0, 1, 0, 0, 0, 1
2009, 1, 0, 1, 0, 1, 3
2024, 0, 0, 0, 0, 0, 0
2039, 1, 0, 0, 0, 0, 1
2054, 2, 0, 0, 1, 0, 3
2069, 0, 0, 0, 0, 0, 0
2084, 0, 0, 0, 0, 0, 0
2099, 0, 0, 0, 0, 0, 0
2114, 0, 0, 0, 0, 1, 1
2129, 0, 0, 0, 0, 0, 0
2144, 0, 0, 0, 0, 0, 0
2159, 0, 0, 0, 0, 0, 0
2174, 0, 0, 0, 0, 0, 0
2189, 0, 2, 0, 0, 0, 2
2204, 2, 1, 1, 0, 0, 4
2219, 0, 0, 0, 0, 0, 0
2234, 0, 0, 0, 0, 0, 0
2249, 0, 0, 0, 0, 1, 1
2264, 0, 0, 0, 0, 0, 0
2279, 0, 0, 1, 0, 0, 1
2294, 0, 0, 0, 0, 0, 0
2309, 0, 0, 0, 0, 0, 0
2324, 0, 0, 0, 0, 0, 0
2339, 0, 0, 0, 0, 1, 1
2354, 0, 0, 2, 0, 0, 2
2369, 0, 0, 0, 0, 0, 0
