energy, EnrBEGe, EnrCoax, EnrCoax_2, EnrInvCoax, EnrBEGe_2, EnrAll
0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0
2, 0, 0, 0, 0, 0, 0
3, 0, 0, 0, 0, 0, 0
4, 0, 0, 0, 0, 0, 0
5, 0, 0, 0, 0.125302, 0.0192773, 0.14458
6, 0, 0, 0, 4.03859, 0.0192773, 4.05787
7, 0, 0, 0, 27.3641, 0.0674705, 27.4316
8, 0.0578319, 0, 0, 77.8514, 0.163857, 78.073
9, 0.0385546, 0, 0, 143.847, 0.366269, 144.252
10, 0.260243, 0, 0, 202.016, 0.906033, 203.183
11, 0.722899, 0, 0, 233.535, 2.61207, 236.87
12, 2.88196, 0, 0, 233.891, 8.64587, 245.419
13, 6.99766, 0, 0, 217.043, 21.4171, 245.458
14, 14.9206, 0, 0, 194.065, 42.2269, 251.212
15, 29.4075, 0, 0, 170.575, 78.9309, 278.914
16, 47.4896, 0, 0, 147.076, 127.095, 321.661
17, 64.4922, 0, 0, 129.206, 175.635, 369.334
18, 74.4296, 0, 0, 112.782, 214.296, 401.507
19, 78.9116, 0, 0, 100.28, 229.294, 408.486
20, 77.2538, 0, 0, 86.4201, 225.448, 389.122
21, 72.8971, 0.00963865, 0, 77.1092, 208.831, 358.847
22, 67.0753, 0, 0, 68.0681, 188.195, 323.338
23, 60.3476, 0, 0, 61.1283, 164.734, 286.21
24, 53.8029, 0.0192773, 0, 52.3282, 141.235, 247.386
25, 45.3402, 0.0192773, 0, 44.8293, 115.346, 205.535
26, 40.3377, 0, 0, 37.7257, 94.9407, 173.004
27, 35.6919, 0.0674705, 0, 31.316, 80.5791, 147.654
28, 31.8075, 0.202412, 0, 25.4942, 63.8464, 121.351
29, 26.2268, 0.35663, 0, 20.7616, 52.3282, 99.6732
30, 24.2412, 0.838562, 0, 18.0339, 42.4679, 85.5815
31, 20.0869, 1.52291, 0, 15.0074, 33.5618, 70.179
32, 17.6194, 2.294, 0.00963865, 12.0001, 28.5497, 60.4729
33, 15.5761, 3.11328, 0, 10.6507, 24.8773, 54.2174
34, 13.1471, 3.38317, 0.0481932, 9.07961, 19.6725, 45.3306
35, 11.0941, 4.01932, 0.0674705, 8.49165, 17.1472, 40.8197
36, 9.72539, 4.02895, 0.0674705, 7.03621, 14.8242, 35.6823
37, 7.73983, 3.8169, 0.134941, 6.71814, 13.6098, 32.0196
38, 7.12296, 3.59522, 0.173496, 6.40006, 11.6049, 28.8967
39, 6.08199, 2.93979, 0.279521, 6.30368, 10.6796, 26.2846
40, 5.52294, 2.56388, 0.414462, 5.00246, 9.98564, 23.4894
41, 4.65547, 2.52533, 0.616873, 5.30126, 9.33985, 22.4388
42, 4.43378, 2.40966, 0.771092, 5.04101, 9.23382, 21.8894
43, 4.20245, 2.52533, 0.983142, 5.12776, 8.45309, 21.2918
44, 4.00968, 2.1205, 1.20483, 5.02174, 8.1543, 20.511
45, 4.26992, 2.294, 1.67712, 5.10848, 8.34707, 21.6966
46, 3.9904, 2.21689, 1.70604, 5.31089, 7.92297, 21.1472
47, 3.74943, 1.96628, 2.08195, 5.32053, 7.45067, 20.5689
48, 3.52774, 2.31328, 2.13014, 4.75185, 7.32537, 20.0484
49, 3.70124, 2.37111, 2.48677, 4.77113, 7.87477, 21.205
50, 3.36389, 2.01448, 2.49641, 4.92535, 7.75911, 20.5592
51, 3.64341, 2.21689, 2.90123, 5.19523, 7.40248, 21.3592
52, 3.51811, 2.07231, 2.72774, 4.70366, 7.75911, 20.7809
53, 3.5663, 2.20725, 3.05545, 4.8386, 7.64345, 21.311
54, 3.7398, 2.08195, 3.43136, 4.86752, 7.83622, 21.9568
55, 3.76871, 2.18797, 2.95906, 5.33981, 7.62417, 21.8797
56, 4.23137, 2.11086, 3.46991, 5.18559, 7.58562, 22.5834
57, 3.82654, 2.80485, 3.64341, 5.39764, 7.97116, 23.6436
58, 4.23137, 2.42894, 3.42172, 5.06993, 8.14466, 23.2966
59, 4.22173, 2.30364, 3.7398, 5.1374, 8.64587, 24.0484
60, 4.26992, 2.73738, 3.70124, 5.45547, 8.1061, 24.2701
61, 4.50125, 2.21689, 3.74943, 5.52294, 8.31815, 24.3087
62, 4.44342, 2.46749, 3.59522, 5.71572, 9.0025, 25.2243
63, 4.66511, 2.5928, 3.47955, 5.8603, 9.59045, 26.1882
64, 4.67474, 2.38075, 3.84582, 5.17595, 8.94466, 25.0219
65, 5.10848, 2.48677, 3.40244, 6.07235, 9.43624, 26.5063
66, 4.7133, 2.65063, 3.88437, 6.535, 9.68684, 27.4701
67, 4.54944, 2.70846, 3.9904, 5.76391, 10.0242, 27.0364
68, 5.42656, 2.72774, 4.05787, 5.46511, 9.68684, 27.3641
69, 5.12776, 2.49641, 3.90365, 5.61933, 10.5736, 27.7207
70, 5.24342, 2.86268, 3.8651, 5.1374, 9.8025, 26.9111
71, 5.48439, 2.57352, 4.241, 5.66752, 10.3712, 28.3376
72, 5.32053, 3.25786, 4.27956, 5.62897, 10.5736, 29.0605
73, 5.76391, 2.93979, 3.95185, 5.80247, 11.1037, 29.5617
74, 5.78319, 2.94943, 4.22173, 5.70608, 10.9495, 29.6099
75, 6.39042, 2.91087, 4.32775, 5.66752, 10.4579, 29.7545
76, 5.53258, 2.86268, 4.06751, 5.57114, 10.4387, 28.4726
77, 5.97596, 2.79521, 4.01932, 5.54222, 11.364, 29.6967
78, 5.72536, 2.68918, 4.1157, 5.59042, 11.2772, 29.3979
79, 5.92777, 3.15184, 4.56872, 5.70608, 11.4025, 30.7569
80, 6.07235, 3.06509, 4.04823, 5.85066, 11.6531, 30.6895
81, 6.34223, 3.2675, 4.17353, 5.46511, 11.1134, 30.3617
