energy, EnrBEGe, EnrCoax, EnrCoax_2, EnrInvCoax, EnrBEGe_2, EnrAll
989, 1146, 1008, 445, 329, 768, 3696
1004, 1165, 989, 461, 294, 750, 3659
1019, 1073, 922, 430, 307, 740, 3472
1034, 1040, 928, 434, 282, 738, 3422
1049, 1012, 923, 415, 299, 693, 3342
1064, 988, 923, 398, 256, 709, 3274
1079, 1022, 876, 407, 254, 699, 3258
1094, 1004, 839, 397, 276, 654, 3170
1109, 964, 893, 367, 356, 672, 3252
1124, 905, 813, 338, 327, 679, 3062
1139, 888, 744, 345, 238, 653, 2868
1154, 866, 770, 345, 266, 604, 2851
1169, 900, 787, 331, 272, 646, 2936
1184, 896, 779, 334, 232, 591, 2832
1199, 907, 713, 348, 247, 547, 2762
1214, 825, 724, 334, 219, 572, 2674
1229, 876, 701, 302, 248, 552, 2679
1244, 746, 680, 289, 205, 520, 2440
1259, 785, 634, 281, 186, 471, 2357
1274, 725, 638, 305, 211, 507, 2386
1289, 722, 665, 265, 197, 499, 2348
1304, 603, 585, 232, 193, 394, 2007
1319, 602, 529, 245, 163, 419, 1958
1334, 502, 504, 221, 168, 345, 1740
1349, 467, 422, 175, 138, 328, 1530
1364, 435, 397, 184, 152, 329, 1497
1379, 391, 391, 160, 107, 235, 1284
1394, 350, 335, 156, 130, 226, 1197
1409, 286, 289, 138, 102, 180, 995
1424, 265, 282, 115, 97, 188, 947
1439, 232, 249, 106, 95, 160, 842
1454, 1746, 1939, 778, 945, 1129, 6537
1469, 188, 184, 74, 61, 140, 647
1484, 162, 162, 65, 59, 110, 558
1499, 153, 166, 77, 54, 112, 562
1514, 2580, 3273, 1388, 1099, 1759, 10099
1529, 116, 104, 75, 38, 76, 409
1544, 101, 82, 35, 31, 50, 299
1559, 79, 69, 34, 20, 51, 253
1574, 74, 85, 38, 23, 44, 264
1589, 60, 52, 32, 20, 43, 207
1604, 58, 39, 27, 17, 40, 181
1619, 59, 59, 25, 22, 51, 216
1634, 38, 44, 18, 16, 26, 142
1649, 38, 43, 18, 16, 24, 139
1664, 39, 34, 17, 13, 24, 127
1679, 29, 22, 15, 5, 22, 93
1694, 32, 23, 11, 7, 10, 83
1709, 16, 22, 9, 8, 20, 75
1724, 34, 35, 16, 15, 26, 126
1739, 26, 16, 8, 4, 12, 66
1754, 59, 62, 33, 27, 30, 211
1769, 11, 18, 7, 5, 4, 45
1784, 21, 9, 6, 6, 8, 50
1799, 8, 7, 6, 9, 10, 40
