energy, EnrBEGe, EnrCoax, EnrCoax_2, EnrInvCoax, EnrBEGe_2, EnrAll
0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0
2, 0, 0, 0, 0, 0, 0
3, 0, 0, 0, 0, 0, 0
4, 0, 0, 0, 0, 0, 0
5, 0, 0, 0.00963865, 0.14458, 0.0385546, 0.192773
6, 0, 0, 0.125302, 5.50367, 0.0385546, 5.66752
7, 0, 0, 0.298798, 34.1304, 0.0674705, 34.4967
8, 0.0867478, 0, 0.944587, 93.8226, 0.231328, 95.0853
9, 0.0385546, 0.00963865, 1.63857, 168.532, 0.510848, 170.729
10, 0.260243, 0.00963865, 3.40244, 229.978, 1.05061, 234.701
11, 0.742176, 0.134941, 5.59042, 260.504, 2.95906, 269.93
12, 2.90123, 0.318075, 7.93261, 256.851, 9.23382, 277.236
13, 7.12296, 0.828924, 11.5471, 235.183, 22.3906, 277.073
14, 15.0845, 2.47713, 15.017, 207.289, 43.6438, 283.511
15, 29.7256, 4.69402, 21.1857, 179.857, 81.0032, 316.466
16, 47.7981, 8.75189, 31.2389, 153.756, 130.324, 371.869
17, 65.0705, 14.5254, 43.0655, 134.286, 180.445, 437.392
18, 75.461, 21.8026, 56.2222, 116.657, 219.607, 489.749
19, 80.6466, 30.6123, 70.1694, 102.902, 236.128, 520.458
20, 79.914, 39.7401, 80.3478, 88.4635, 232.648, 521.113
21, 76.0778, 48.3956, 83.7888, 78.8923, 217.535, 504.689
22, 70.8151, 53.7162, 84.5213, 69.8513, 198.961, 477.865
23, 64.5404, 57.6006, 83.4321, 63.1524, 178.161, 446.886
24, 58.8632, 58.1692, 77.3694, 55.3837, 158.498, 408.283
25, 50.6993, 56.6174, 73.0128, 49.08, 136.743, 366.153
26, 46.998, 53.321, 66.95, 43.2775, 121.428, 331.974
27, 42.5835, 49.4945, 60.6464, 38.5449, 110.796, 302.066
28, 39.1618, 44.0679, 55.0174, 34.1979, 96.4829, 268.928
29, 33.5136, 39.6919, 49.986, 30.4388, 86.7478, 240.378
30, 31.7593, 35.075, 45.0318, 28.8196, 78.1983, 218.884
31, 27.5858, 31.8461, 40.8775, 25.928, 69.9669, 196.204
32, 25.9376, 28.6557, 35.5859, 22.5255, 65.1862, 177.891
33, 24.0484, 23.6822, 33.2533, 20.993, 60.9355, 162.912
34, 21.5038, 22.3809, 30.6702, 19.1616, 53.3499, 147.066
35, 19.9906, 19.3158, 28.6557, 18.458, 50.2174, 136.637
36, 18.217, 16.8291, 25.793, 16.8965, 46.7667, 124.502
37, 16.1351, 14.6411, 24.0773, 15.6146, 43.4028, 113.871
38, 16.0965, 13.0218, 22.8147, 14.6797, 40.6655, 107.278
39, 16.1447, 11.5567, 21.205, 14.8628, 39.3642, 103.134
40, 14.6797, 10.776, 20.2701, 13.4459, 37.1859, 96.3576
41, 13.8315, 10.1109, 19.0652, 14.5062, 37.051, 94.5648
42, 14.6315, 9.96636, 18.6508, 13.2628, 34.9979, 91.5093
43, 14.2074, 9.87961, 18.3134, 13.5905, 34.3232, 90.3141
44, 13.0025, 9.61937, 16.9833, 13.629, 34.3136, 87.5478
45, 13.07, 9.70612, 17.0893, 13.2435, 34.4003, 87.5093
46, 13.176, 9.01214, 16.6941, 14.1303, 34.2558, 87.2683
47, 13.2435, 8.41454, 17.0122, 14.1977, 33.7835, 86.6514
48, 13.2339, 9.20491, 16.4532, 13.5809, 33.8413, 86.3141
49, 13.5712, 9.10852, 16.2893, 13.7543, 34.9015, 87.6249
50, 13.2339, 9.05069, 16.2315, 14.3905, 35.6341, 88.5406
51, 13.6772, 9.62901, 16.6652, 14.8242, 35.2003, 89.996
52, 13.7833, 9.23382, 16.1351, 14.8532, 36.4341, 90.4394
53, 13.3206, 9.5519, 16.3857, 14.67, 37.5714, 91.4997
54, 14.3327, 8.72298, 16.7905, 16.0869, 38.4486, 94.3816
55, 14.7182, 9.91817, 17.1182, 16.0387, 39.4221, 97.2154
56, 15.3062, 9.976, 17.8893, 16.8098, 40.2799, 100.261
57, 15.3544, 10.8146, 18.3327, 18.5062, 43.345, 106.353
58, 15.6435, 10.8435, 17.8797, 17.7737, 43.7498, 105.89
59, 16.7712, 10.0531, 18.5158, 17.7351, 45.3691, 108.444
60, 17.0893, 11.2387, 18.1978, 18.7472, 46.9306, 112.203
61, 18.2845, 11.2001, 19.3062, 19.9038, 48.7137, 117.408
62, 18.8339, 12.164, 20.0387, 20.1255, 50.4294, 121.592
63, 19.364, 11.7591, 20.0195, 20.5978, 52.4342, 124.175
64, 20.6653, 12.0772, 21.3207, 20.1255, 53.1668, 127.355
65, 20.9544, 12.723, 21.7062, 21.2821, 55.9042, 132.57
66, 21.5424, 12.8483, 23.2002, 22.0243, 57.9283, 137.543
67, 21.2436, 13.8218, 23.4123, 22.3809, 59.8656, 140.724
68, 22.7568, 13.8218, 24.4436, 21.793, 63.9717, 146.787
69, 23.7207, 14.564, 24.993, 23.1424, 65.3693, 151.789
70, 24.434, 14.776, 25.0316, 22.1689, 66.2561, 152.667
71, 24.4725, 14.4965, 26.034, 23.1328, 68.126, 156.262
72, 25.6581, 15.6146, 27.0653, 23.8942, 70.4007, 162.633
73, 26.5159, 15.5857, 27.1328, 24.7135, 72.3573, 166.305
74, 26.94, 16.4724, 27.5473, 25.1183, 73.1766, 169.255
75, 27.9521, 16.2315, 30.1208, 25.4268, 73.379, 173.11
76, 27.875, 16.9929, 29.7738, 24.8099, 76.7911, 176.243
77, 28.9738, 17.1472, 30.381, 25.3304, 76.9453, 178.778
78, 29.022, 17.0893, 30.5642, 26.1786, 79.3839, 182.238
79, 28.569, 18.4002, 31.8557, 26.3328, 80.4731, 185.631
80, 29.6967, 18.4291, 32.2895, 26.4003, 80.3863, 187.202
