xunit, xunit_low, fitted_data, total_model, Nnbb_bege, Ac228_holders, Co60_cables, K40_close, K42_close, K42_far, Th228_cables, U238_cables, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
-5, -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.05, 0, 0.05, 0, 0.05, 0, 0
5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.05, 0, 0.05, 0, 0.05, 0, 0
15, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.05, 0, 0.05, 0, 0.05, 0, 0
25, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.05, 0, 0.05, 0, 0.05, 0, 0
35, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.05, 0, 0.05, 0, 0.05, 0, 0
45, 40, 506.8, 5.54605, 3.83105, 0.0197865, 0.00157232, 0.225803, 0.646625, 0.254482, 0.0427749, 0.523961, 6.35, 4.75, 7.05, 4.05, 7.85, 3.25, 673.079
55, 50, 465.9, 5.78748, 4.06627, 0.0204648, 0.00157232, 0.228257, 0.6311, 0.247159, 0.0397848, 0.552879, 6.55, 4.95, 7.35, 4.25, 8.05, 3.45, 604.81
65, 60, 570.4, 6.14361, 4.33603, 0.0211056, 0.00145838, 0.295753, 0.614001, 0.274752, 0.048323, 0.552184, 6.95, 5.35, 7.75, 4.55, 8.55, 3.75, 719.888
75, 70, 679.5, 6.67695, 4.6179, 0.0245151, 0.00140142, 0.341159, 0.674299, 0.332683, 0.056317, 0.628677, 7.55, 5.85, 8.35, 4.95, 9.15, 4.25, 823.402
85, 80, 728.1, 7.14791, 4.8601, 0.030378, 0.00186855, 0.333796, 0.675648, 0.44567, 0.0598004, 0.74065, 8.05, 6.25, 8.85, 5.45, 9.75, 4.55, 852.74
95, 90, 720.8, 7.81717, 5.12412, 0.0362119, 0.00190273, 0.422153, 0.672049, 0.58455, 0.0637225, 0.912463, 8.75, 6.85, 9.65, 6.05, 10.45, 5.15, 806.407
105, 100, 688.8, 8.3735, 5.4446, 0.0401834, 0.00219897, 0.376747, 0.6356, 0.713491, 0.0670861, 1.09359, 9.35, 7.45, 10.25, 6.45, 11.15, 5.65, 743.58
115, 110, 619.1, 8.90245, 5.71605, 0.0468067, 0.00235848, 0.403746, 0.610626, 0.828047, 0.0676062, 1.22721, 9.85, 7.95, 10.85, 6.95, 11.75, 6.05, 646.719
125, 120, 563, 9.3605, 6.01594, 0.0701564, 0.00244963, 0.381656, 0.555728, 0.915141, 0.0689558, 1.35047, 10.35, 8.35, 11.35, 7.35, 12.25, 6.45, 572.239
