par, 0_30_40, 0_30_40_err, 0_30_0, 0_30_0_err, 0_30_-30, 0_30_-30_err, 0_20_0, 0_20_0_err, 0_20_-30, 0_20_-30_err, 0_0_20, 0_0_20_err, 0_0_-27, 0_0_-27_err, 0_0_-40, 0_0_-40_err, 0_0_-70, 0_0_-70_err, 0_0_-95, 0_0_-95_err, 11_0_-24, 11_0_-24_err, 7_0_-5, 7_0_-5_err, -7_0_6, -7_0_6_err
0.5, 1.3313, 0.0159589, 1.10116, 0.0131995, 1.38497, 0.0166108, 1.41055, 0.028771, 0.754708, 0.0153719, 0, 0, 0.603824, 0.00583784, 0.50781, 0.0117316, 0.506316, 0.0217225, 0.316114, 0.0139088, 1.58886, 0.0153793, 2.66034, 0.0257368, 1.87877, 0.0181977
0.6, 1.24528, 0.0159589, 1.06986, 0.0131995, 1.28528, 0.0166108, 1.30424, 0.028771, 0.790805, 0.0153719, 0, 0, 0.661568, 0.00583784, 0.57598, 0.0117316, 0.574623, 0.0217225, 0.394204, 0.0139088, 1.43455, 0.0153793, 2.16669, 0.0257368, 1.64038, 0.0181977
0.7, 1.15705, 0.0159589, 1.03252, 0.0131995, 1.18482, 0.0166108, 1.1979, 0.028771, 0.823106, 0.0153719, 0, 0, 0.720003, 0.00583784, 0.648948, 0.0117316, 0.6478, 0.0217225, 0.488309, 0.0139088, 1.28659, 0.0153793, 1.75287, 0.0257368, 1.42269, 0.0181977
0.8, 1.0738, 0.0159589, 0.995294, 0.0131995, 1.09091, 0.0166108, 1.09892, 0.028771, 0.855703, 0.0153719, 0, 0, 0.782664, 0.00583784, 0.730285, 0.0117316, 0.729423, 0.0217225, 0.604155, 0.0139088, 1.15251, 0.0153793, 1.4164, 0.0257368, 1.23242, 0.0181977
0.9, 1.04521, 0.0159589, 1.00628, 0.0131995, 1.05351, 0.0166108, 1.05737, 0.028771, 0.933051, 0.0153719, 0, 0, 0.892342, 0.00583784, 0.861966, 0.0117316, 0.861457, 0.0217225, 0.784004, 0.0139088, 1.08285, 0.0153793, 1.20043, 0.0257368, 1.11975, 0.0181977
1, 1, 0.0159589, 1, 0.0131995, 0.999998, 0.0166108, 1, 0.028771, 1, 0.0153719, 0, 0, 0.999999, 0.00583784, 1, 0.0117316, 1, 0.0217225, 1, 0.0139088, 1, 0.0153793, 0.999999, 0.0257368, 0.999997, 0.0181977
1.1, 0.971385, 0.0159589, 1.00897, 0.0131995, 0.963733, 0.0166108, 0.960217, 0.028771, 1.08815, 0.0153719, 0, 0, 1.13779, 0.00583784, 1.17789, 0.0117316, 1.17859, 0.0217225, 1.29502, 0.0139088, 0.937626, 0.0153793, 0.845781, 0.0257368, 0.906713, 0.0181977
1.2, 0.914169, 0.0159589, 0.98627, 0.0131995, 0.899825, 0.0166108, 0.893267, 0.028771, 1.14716, 0.0153719, 0, 0, 1.25421, 0.00583784, 1.34417, 0.0117316, 1.34576, 0.0217225, 1.62479, 0.0139088, 0.851731, 0.0153793, 0.693043, 0.0257368, 0.796498, 0.0181977
1.3, 0.87957, 0.0159589, 0.985655, 0.0131995, 0.858952, 0.0166108, 0.849577, 0.028771, 1.23642, 0.0153719, 0, 0, 1.41347, 0.00583784, 1.56825, 0.0117316, 1.57102, 0.0217225, 2.08415, 0.0139088, 0.791015, 0.0153793, 0.580593, 0.0257368, 0.715334, 0.0181977
1.4, 0.874181, 0.0159589, 1.01752, 0.0131995, 0.846966, 0.0166108, 0.834663, 0.028771, 1.37657, 0.0153719, 0, 0, 1.64548, 0.00583784, 1.88999, 0.0117316, 1.89445, 0.0217225, 2.7615, 0.0139088, 0.758846, 0.0153793, 0.502423, 0.0257368, 0.663621, 0.0181977
1.5, 0.795328, 0.0159589, 0.961548, 0.0131995, 0.7645, 0.0166108, 0.750642, 0.028771, 1.40295, 0.0153719, 0, 0, 1.75351, 0.00583784, 2.08506, 0.0117316, 2.09121, 0.0217225, 3.34947, 0.0139088, 0.666402, 0.0153793, 0.397999, 0.0257368, 0.563566, 0.0181977
