bin_low_edge, bin_center, best, 0p5, 0p6, 0p7, 0p8, 0p9, 1p1, 1p2, 1p3, 1p4, 1p5
-15, -7.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 7.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15, 22.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
30, 37.5, 235, 182, 192, 199, 213, 221, 243, 251, 261, 269, 285
45, 52.5, 825, 640, 682, 732, 764, 784, 870, 915, 960, 987, 1052
60, 67.5, 1220, 920, 978, 1031, 1105, 1157, 1288, 1355, 1390, 1443, 1562
75, 82.5, 1313, 975, 1023, 1116, 1191, 1237, 1371, 1467, 1536, 1579, 1711
90, 97.5, 1339, 989, 1054, 1148, 1221, 1282, 1396, 1476, 1563, 1617, 1758
105, 112.5, 1193, 853, 909, 977, 1057, 1117, 1253, 1363, 1428, 1481, 1625
120, 127.5, 1060, 756, 810, 862, 941, 989, 1123, 1209, 1290, 1328, 1425
135, 142.5, 993, 716, 760, 808, 884, 937, 1045, 1137, 1218, 1267, 1368
150, 157.5, 2020, 1417, 1518, 1635, 1772, 1893, 2135, 2292, 2426, 2501, 2760
165, 172.5, 2798, 1977, 2100, 2264, 2463, 2623, 2961, 3200, 3406, 3548, 3944
180, 187.5, 2718, 1919, 2071, 2233, 2399, 2543, 2875, 3127, 3339, 3476, 3829
195, 202.5, 2384, 1713, 1824, 1967, 2124, 2232, 2509, 2719, 2905, 3027, 3322
210, 217.5, 2427, 1708, 1830, 1976, 2137, 2255, 2576, 2797, 3004, 3142, 3481
225, 232.5, 2306, 1688, 1783, 1920, 2071, 2172, 2470, 2672, 2856, 3003, 3320
240, 247.5, 2182, 1567, 1672, 1783, 1941, 2042, 2326, 2541, 2699, 2796, 3068
255, 262.5, 1951, 1400, 1482, 1578, 1713, 1794, 2073, 2233, 2409, 2535, 2778
270, 277.5, 1775, 1248, 1333, 1435, 1549, 1638, 1888, 2046, 2179, 2269, 2477
285, 292.5, 1619, 1192, 1259, 1355, 1460, 1523, 1728, 1853, 1960, 2050, 2253
300, 307.5, 1463, 1079, 1140, 1213, 1295, 1360, 1560, 1682, 1778, 1838, 2022
315, 322.5, 1368, 1003, 1062, 1129, 1206, 1275, 1425, 1524, 1621, 1680, 1842
330, 337.5, 1260, 935, 996, 1072, 1135, 1196, 1314, 1407, 1488, 1553, 1699
345, 352.5, 1191, 909, 954, 1008, 1080, 1121, 1252, 1363, 1456, 1509, 1644
360, 367.5, 1135, 839, 869, 933, 1016, 1069, 1195, 1267, 1330, 1381, 1508
375, 382.5, 1073, 792, 828, 890, 958, 1011, 1122, 1197, 1276, 1324, 1442
390, 397.5, 996, 775, 806, 852, 909, 949, 1052, 1137, 1202, 1253, 1372
405, 412.5, 939, 703, 744, 794, 859, 889, 987, 1057, 1130, 1164, 1279
420, 427.5, 928, 734, 760, 799, 843, 879, 968, 1049, 1097, 1138, 1218
435, 442.5, 864, 659, 687, 731, 779, 809, 898, 943, 1007, 1044, 1133
450, 457.5, 875, 672, 695, 727, 784, 831, 914, 972, 1024, 1053, 1131
465, 472.5, 847, 622, 659, 710, 762, 802, 879, 954, 1007, 1037, 1119
480, 487.5, 777, 599, 623, 668, 711, 734, 820, 874, 913, 950, 1036
495, 502.5, 851, 661, 696, 737, 784, 805, 884, 946, 1000, 1031, 1123
510, 517.5, 791, 611, 641, 688, 733, 756, 833, 895, 932, 968, 1037
525, 532.5, 829, 621, 653, 696, 745, 786, 874, 909, 947, 977, 1040
540, 547.5, 749, 583, 614, 641, 677, 705, 789, 834, 877, 905, 978
555, 562.5, 728, 559, 587, 615, 640, 682, 765, 815, 858, 888, 949
570, 577.5, 708, 549, 566, 608, 644, 669, 736, 780, 829, 853, 912
585, 592.5, 721, 551, 577, 608, 647, 680, 748, 782, 822, 853, 921
600, 607.5, 722, 567, 602, 631, 677, 699, 759, 809, 848, 873, 937
615, 622.5, 752, 589, 617, 650, 690, 719, 777, 825, 857, 886, 954
630, 637.5, 679, 523, 554, 580, 610, 637, 702, 738, 773, 797, 842
645, 652.5, 718, 546, 574, 609, 651, 685, 745, 776, 815, 825, 887
660, 667.5, 676, 506, 533, 576, 616, 647, 707, 755, 786, 800, 846
675, 682.5, 752, 581, 612, 647, 698, 725, 783, 825, 858, 875, 932
690, 697.5, 703, 544, 574, 608, 650, 680, 734, 782, 822, 854, 918
705, 712.5, 705, 537, 561, 598, 634, 666, 731, 775, 817, 842, 893
720, 727.5, 697, 536, 566, 598, 640, 661, 725, 758, 795, 805, 869
735, 742.5, 680, 518, 555, 591, 640, 656, 715, 757, 779, 804, 857
750, 757.5, 714, 541, 573, 614, 657, 681, 741, 801, 832, 850, 904
765, 772.5, 682, 522, 554, 590, 636, 652, 700, 745, 782, 797, 863
780, 787.5, 741, 551, 583, 613, 655, 698, 753, 796, 827, 835, 897
795, 802.5, 756, 590, 623, 664, 700, 725, 784, 833, 867, 873, 938
810, 817.5, 760, 583, 624, 665, 692, 720, 782, 821, 856, 865, 929
825, 832.5, 686, 508, 531, 578, 620, 647, 709, 760, 804, 816, 862
