bin_low_edge, bin_center, onbbM1, onbbM2, onbbM3, onbbM7, nnbbLV
0, 5, 0, 0, 0, 0, 0
10, 15, 0, 0, 0, 0, 0
20, 25, 0, 0, 0, 0, 0
30, 35, 0, 0, 0, 0, 0
40, 45, 21334, 24876, 29443, 65954, 35694
50, 55, 20734, 24415, 29704, 72663, 37038
60, 65, 20217, 24772, 30486, 79216, 38151
70, 75, 19594, 24509, 31266, 85505, 39985
80, 85, 19567, 24784, 31605, 92206, 41540
90, 95, 19424, 24555, 32514, 98983, 43405
100, 105, 18866, 24734, 33342, 105423, 45272
110, 115, 18845, 25002, 34133, 112281, 47451
120, 125, 18646, 25285, 35439, 119578, 49661
130, 135, 18398, 25536, 36935, 125949, 51967
140, 145, 18697, 26481, 38557, 134704, 55556
150, 155, 34212, 49376, 73046, 262294, 106158
160, 165, 65056, 94663, 141873, 510408, 206821
170, 175, 72598, 108842, 163549, 595075, 241052
180, 185, 73359, 112749, 172849, 625970, 253390
190, 195, 74115, 115452, 178362, 650208, 265256
200, 205, 74320, 118970, 185141, 670595, 276012
210, 215, 75216, 120939, 191696, 695936, 287866
220, 225, 76416, 124519, 198926, 723179, 298424
230, 235, 77983, 128745, 207333, 743801, 310139
240, 245, 79079, 132636, 213774, 765504, 323366
250, 255, 80420, 136702, 222233, 787114, 334718
260, 265, 82183, 140914, 229175, 805119, 346881
270, 275, 83647, 145135, 236462, 827466, 357367
280, 285, 86315, 150426, 246332, 847353, 370647
290, 295, 87492, 154685, 255475, 866359, 384970
300, 305, 90196, 160449, 264360, 883039, 397821
310, 315, 91918, 164447, 272464, 900745, 408698
320, 325, 93295, 171048, 282146, 917090, 423733
330, 335, 96511, 175047, 291632, 928757, 435641
340, 345, 97653, 181873, 300506, 942319, 446967
350, 355, 102224, 187094, 309262, 959571, 458260
360, 365, 104559, 193155, 319283, 969980, 472784
370, 375, 106620, 200436, 330589, 980147, 485653
380, 385, 109477, 206473, 340682, 992610, 498919
390, 395, 112497, 211552, 348159, 1.00112e+06, 510618
400, 405, 116381, 218660, 358944, 1.00682e+06, 522921
410, 415, 118346, 226796, 368019, 1.01642e+06, 534385
420, 425, 123204, 232821, 377581, 1.02359e+06, 548356
430, 435, 124669, 237974, 387650, 1.02874e+06, 560519
440, 445, 129424, 245750, 399444, 1.03161e+06, 571875
450, 455, 132596, 252748, 411714, 1.03896e+06, 584367
