lowedge, bincontent
0, 0
0, 1e-06
1, 1e-06
2, 1e-06
3, 1e-06
4, 1e-06
5, 1e-06
6, 1e-06
7, 1e-06
8, 1e-06
9, 1e-06
10, 1e-06
11, 1e-06
12, 1e-06
13, 1e-06
14, 1e-06
15, 1e-06
16, 1e-06
17, 1e-06
18, 1e-06
19, 1e-06
20, 1e-06
21, 1e-06
22, 1e-06
23, 1e-06
24, 1e-06
25, 1e-06
26, 1e-06
27, 1e-06
28, 1e-06
29, 1e-06
30, 1e-06
31, 1e-06
32, 1e-06
33, 1e-06
34, 1e-06
35, 1e-06
36, 1e-06
37, 1e-06
38, 1e-06
39, 1e-06
40, 5018
41, 4752
42, 4500
43, 4302
44, 4045
45, 4073
46, 3899
47, 3701
48, 3597
49, 3721
50, 3518
51, 3530
52, 3488
53, 3424
54, 3515
55, 3519
56, 3525
57, 3709
58, 3602
59, 3659
60, 3657
61, 3661
62, 3798
63, 3856
64, 3814
65, 3885
66, 3916
67, 3995
68, 3988
69, 4016
70, 3945
71, 4013
72, 4210
73, 4212
74, 4186
75, 4167
76, 4011
77, 4175
78, 4226
79, 4344
80, 4226
81, 4245
82, 4236
83, 4285
84, 4346
85, 4260
87, 4266
88, 4202
89, 4327
90, 4123
91, 4214
92, 4222
93, 4241
94, 4215
95, 4236
96, 4050
97, 4141
98, 3994
99, 4152
100, 4159
101, 3930
102, 4090
103, 4115
104, 4083
105, 3969
106, 3805
107, 3835
108, 3906
109, 3830
110, 3824
111, 3718
112, 3820
113, 3810
114, 3688
115, 3669
116, 3551
117, 3600
118, 3491
119, 3676
120, 3497
121, 3437
122, 3320
123, 3375
124, 3271
125, 3178
126, 3243
127, 3144
128, 3123
129, 3142
130, 3154
131, 3072
132, 3021
133, 3002
134, 2888
135, 2948
136, 2912
137, 2854
138, 2718
139, 2802
140, 2813
141, 2626
142, 2638
143, 2704
144, 2555
145, 2535
146, 2550
147, 2561
148, 2586
149, 2504
150, 2567
151, 2572
152, 2562
153, 2520
154, 2706
155, 2776
156, 2979
157, 2920
158, 3113
159, 3205
160, 3154
161, 3189
162, 3135
163, 3184
164, 3228
165, 3076
166, 3085
167, 2982
168, 3075
169, 3115
170, 3058
171, 3009
172, 3073
173, 3027
174, 2920
175, 2943
176, 2987
177, 2929
178, 2901
179, 2963
180, 2984
181, 3026
182, 2828
183, 2963
184, 2987
185, 2989
186, 3036
187, 2889
188, 2862
189, 2947
190, 2866
191, 2868
192, 2888
193, 2793
194, 2865
195, 2816
196, 2705
197, 2745
198, 2626
199, 2642
200, 2657
