lowedge, bincontent
0, 0
0, 1e-06
0.1, 1e-06
0.2, 1e-06
0.3, 1e-06
0.4, 1e-06
0.5, 1e-06
0.6, 1e-06
0.7, 1e-06
0.8, 1e-06
0.9, 1e-06
1, 1e-06
1.1, 1e-06
1.2, 1e-06
1.3, 1e-06
1.4, 1e-06
1.5, 1e-06
1.6, 1e-06
1.7, 1e-06
1.8, 1e-06
1.9, 1e-06
2, 1e-06
2.1, 1e-06
2.2, 1e-06
2.3, 1e-06
2.4, 1e-06
2.5, 1e-06
2.6, 1e-06
2.7, 1e-06
2.8, 1e-06
2.9, 1e-06
3, 1e-06
3.1, 1e-06
3.2, 1e-06
3.3, 1e-06
3.4, 1e-06
3.5, 1e-06
3.6, 1e-06
3.7, 1e-06
3.8, 1e-06
3.9, 1e-06
4, 1e-06
4.1, 1e-06
4.2, 1e-06
4.3, 1e-06
4.4, 1e-06
4.5, 1e-06
4.6, 1e-06
4.7, 1e-06
4.8, 1e-06
4.9, 1e-06
5, 1e-06
5.1, 1e-06
5.2, 1e-06
5.3, 1e-06
5.4, 1e-06
5.5, 1e-06
5.6, 1e-06
5.7, 1e-06
5.8, 1e-06
5.9, 1e-06
6, 1e-06
6.1, 1e-06
6.2, 1e-06
6.3, 1e-06
6.4, 1e-06
6.5, 1e-06
6.6, 1e-06
6.7, 1e-06
6.8, 1e-06
6.9, 1e-06
7, 1e-06
7.1, 1e-06
7.2, 1e-06
7.3, 1e-06
7.4, 1e-06
7.5, 1e-06
7.6, 1e-06
7.7, 1e-06
7.8, 1e-06
7.9, 1e-06
8, 1e-06
8.1, 1e-06
8.2, 1e-06
8.3, 1e-06
8.4, 1e-06
8.5, 1e-06
8.6, 1e-06
8.7, 1e-06
8.8, 1e-06
8.9, 1e-06
9, 1e-06
9.1, 1e-06
9.2, 1e-06
9.3, 1e-06
9.4, 1e-06
9.5, 1e-06
9.6, 1e-06
9.7, 1e-06
9.8, 1e-06
9.9, 1e-06
10, 1e-06
10.1, 1e-06
10.2, 1e-06
10.3, 1e-06
10.4, 1e-06
10.5, 1e-06
10.6, 1e-06
10.7, 1e-06
10.8, 1e-06
10.9, 1e-06
11, 1e-06
11.1, 1e-06
11.2, 1e-06
11.3, 1e-06
11.4, 1e-06
11.5, 1e-06
11.6, 1e-06
11.7, 1e-06
11.8, 1e-06
11.9, 1e-06
12, 1e-06
12.1, 1e-06
12.2, 1e-06
12.3, 1e-06
12.4, 1e-06
12.5, 1e-06
12.6, 1e-06
12.7, 1e-06
12.8, 1e-06
12.9, 1e-06
13, 1e-06
