bin_low_edge, bin_center, lar_psd_M1_enrAll
-57.5779, -8.53896, 0
40.5, 40.75, 4942
41, 48.5, 2229.4
56, 59, 2480.83
62, 63.5, 2662.33
65, 68.5, 2858.43
72, 75.5, 3071.14
79, 88, 3174.61
97, 101.5, 3045.89
106, 110.5, 2835.89
115, 118.5, 2609.71
122, 124.5, 2386
127, 130, 2226.83
133, 135.5, 2058.8
138, 141, 1885.83
144, 150, 1728.92
156, 160.5, 2022.89
165, 168, 1910.17
171, 174.5, 1798.43
178, 182.5, 1706.44
187, 191, 1566.62
195, 199, 1398.12
203, 204.5, 1280.33
206, 212, 1170.42
218, 220.5, 1049.4
223, 228, 925.6
233, 235, 832.5
237, 238, 991.5
239, 240.5, 859.667
242, 246.5, 726
251, 256, 646.2
261, 265.5, 579.889
270, 275.5, 519.636
281, 290.5, 447.368
300, 310, 360.85
320, 324.5, 324.111
329, 339.5, 280
350, 351.5, 336
353, 365.5, 240.04
378, 401.5, 206.191
425, 512, 183.908
599, 693.5, 195.788
788, 836, 181.312
884, 908.5, 167.857
933, 970.5, 152.44
1008, 1047, 129.769
1086, 1112, 112.327
1138, 1172.5, 94.5507
1207, 1224.5, 81.1429
1242, 1274, 65.5469
1306, 1328, 53.4545
1350, 1367, 43.1765
1384, 1397.5, 35.5185
1411, 1434.5, 29.8936
1458, 1458.5, 99
1459, 1459.5, 208
1460, 1461, 369
1462, 1462.5, 228
1463, 1463.5, 82
1464, 1466, 30.5
1468, 1494.5, 18.9623
1521, 1522, 39
1523, 1525, 97.75
1527, 1527.5, 41
1528, 1536.5, 15
1545, 1564.5, 10.4872
1584, 1606, 7.43182
1628, 1653.5, 4.94118
1679, 1712, 2.37879
1745, 1754, 0.888889
1763, 1765.5, 4.8
1768, 1788.75, 0.819277
1809.5, 1846, 0.260274
1882.5, 2249.5, 0.0572207
2616.5, 3483, 0.00807848
4349.5, 4690.25, 0.0366838
5031, 5125.25, 0.307692
5219.5, 6406, 0
7592.5, 7641.54, 0.000421408
