bin_low_edge, bin_center, raw_M1_enrAll
-8.91558, 15.7922, 0
40.5, 40.75, 20380
41, 42.5, 9725.33
44, 47.5, 9224.86
51, 53, 9652.5
55, 56, 10408
57, 58.5, 11271
60, 60.5, 11830
61, 62, 12588.5
63, 64, 13250.5
65, 65.5, 13978
66, 67, 14653.5
68, 68.5, 15444
69, 70.5, 16184
72, 72.5, 17110
73, 74, 17705.5
75, 76, 18385
77, 78, 19017
79, 80.5, 19726
82, 84, 20512.5
86, 95.5, 21284.3
105, 107, 20354.8
109, 110, 19775.5
111, 113, 19218.2
115, 117.5, 18260.2
120, 122, 17252.2
124, 125.5, 16338
127, 129, 15528
131, 132.5, 14925.7
134, 136, 14071.2
138, 140, 13150.8
142, 143.5, 12421.3
145, 147, 11721
149, 152, 11327.8
155, 156.5, 12265.3
158, 161.5, 13018.4
165, 168, 12324.3
171, 173, 11665.2
175, 176.5, 11144.3
178, 180, 10721.8
182, 184.5, 10315
187, 189.5, 9700.6
192, 194, 9175.75
196, 197.5, 8676
199, 201, 8302.25
203, 204.5, 7835
206, 208.5, 7349
211, 213, 6888
215, 216.5, 6544
218, 220.5, 6176.4
223, 224.5, 5780.67
226, 227.5, 5547.33
229, 230.5, 5293.67
232, 236, 4991.5
240, 241, 4666.5
242, 244.5, 4352.8
247, 249, 4044.5
251, 253, 3867.25
255, 257, 3636.75
259, 262.5, 3394
266, 268, 3190.75
270, 273.5, 2959.29
277, 279.5, 2756.8
282, 285.5, 2518.71
289, 293, 2390
297, 300, 2146
303, 308, 1971.8
313, 317, 1758.5
321, 325.5, 1600.33
330, 336, 1448.92
342, 346.5, 1317.89
351, 352, 1528
353, 356, 1180.5
359, 365, 1083.92
371, 376, 963.4
381, 384.5, 893.143
388, 394.5, 816.846
401, 406.5, 724.091
412, 417.5, 670.818
423, 431, 588.438
439, 449, 526.85
459, 470, 467.182
481, 495, 399.536
509, 512.5, 515.857
516, 548.5, 355.708
581, 583, 419
585, 596.5, 354.652
608, 609.5, 494.667
611, 671, 347.408
731, 765.5, 324.884
800, 840.5, 308.074
881, 895.5, 290.207
910, 911.5, 351.333
913, 944.5, 274.73
976, 1001.5, 250.157
1027, 1077.5, 225.05
1128, 1167.5, 196.937
1207, 1227, 183
1247, 1276.5, 162.102
1306, 1318.5, 129.28
1331, 1332.5, 166.333
1334, 1342, 119.5
1350, 1367, 101.824
1384, 1397.5, 81.6296
1411, 1434, 63.9565
1457, 1457.5, 145
1458, 1458.5, 362
1459, 1459.5, 910
1460, 1461, 1753
1462, 1462.5, 900
1463, 1463.5, 296
1464, 1464.5, 105
1465, 1475, 46.15
1485, 1501.5, 38.7879
1518, 1519.5, 85.6667
1521, 1521.5, 272
1522, 1522.5, 679
1523, 1523.5, 1724
1524, 1525, 2700.5
1526, 1526.5, 1285
1527, 1527.5, 396
1528, 1528.5, 121
1529, 1529.5, 64
1530, 1539, 24.9444
1548, 1569, 18.0238
1590, 1612, 13.5
1634, 1658.5, 9.26531
1683, 1704, 5.52381
1725, 1728.5, 12
1732, 1746.5, 4.37931
1761, 1762, 14
1763, 1764.5, 42.3333
1766, 1767, 17.5
1768, 1814.5, 2.91398
1861, 1996, 1.91111
2131, 2166.5, 1.15493
2202, 2204, 11.75
2206, 2326, 1.3625
2446, 2448, 4.5
2450, 2529, 0.708861
2608, 2610, 4
2612, 2615, 18.5
2618, 3304.25, 0.507104
3990.5, 4265.25, 0.855323
4540, 4635, 1.50526
4730, 4817, 2.18966
4904, 4949, 3.44444
4994, 5020, 5.25
5046, 5080.5, 7.63768
5115, 5156, 11.3171
5197, 5209, 5.83333
5221, 5230.5, 2.89474
5240, 5255.25, 0.52459
5270.5, 5629.5, 0.0473538
5988.5, 6819.5, 0
7650.5, 7675.21, 0.000601685
