energy, bege_raw, bege_lar, coax_raw, coax_lar, all_raw, all_lar
0, 0, 0, 0, 0, 0, 0
15, 0, 0, 0, 0, 0, 0
30, 6861, 2535, 4842, 2912, 0, 0
45, 20771, 6502, 13735, 6659, 0, 0
60, 32373, 8329, 19559, 7525, 0, 0
75, 44327, 9984, 27299, 8311, 7, 3
90, 46890, 10030, 30288, 8314, 33, 7
105, 42190, 8730, 27746, 7663, 56, 7
120, 34177, 7565, 23880, 6601, 104, 14
135, 26764, 6033, 19604, 5750, 179, 43
150, 49208, 11779, 24257, 7777, 253, 59
165, 62208, 15495, 27753, 9385, 314, 64
180, 49145, 13382, 34004, 13064, 341, 75
195, 37119, 10495, 32796, 13903, 410, 89
210, 28776, 8837, 27385, 12606, 528, 133
225, 22584, 7550, 22914, 11558, 608, 136
240, 17570, 6198, 19221, 10227, 650, 155
255, 13987, 5307, 16126, 9241, 647, 144
270, 10955, 4434, 13766, 8337, 656, 150
285, 8987, 3960, 12021, 7666, 672, 142
300, 7501, 3349, 10121, 6735, 644, 145
315, 6116, 2888, 8707, 6049, 582, 160
330, 5097, 2547, 7594, 5386, 556, 124
345, 4591, 2488, 6676, 4892, 476, 111
360, 3740, 2032, 5668, 4169, 391, 76
375, 3144, 1803, 5050, 3766, 330, 58
390, 2846, 1649, 4256, 3250, 321, 53
405, 2592, 1573, 3597, 2657, 317, 49
420, 2342, 1452, 3133, 2326, 317, 37
435, 2075, 1276, 2717, 2090, 264, 23
450, 2031, 1283, 2424, 1805, 238, 20
465, 1918, 1233, 2089, 1529, 224, 29
480, 1783, 1148, 1741, 1250, 225, 21
495, 1771, 1164, 1684, 1173, 262, 17
510, 1940, 1247, 1740, 1172, 268, 27
525, 1673, 1136, 1448, 1005, 220, 13
540, 1642, 1121, 1348, 946, 181, 11
555, 1694, 1170, 1441, 1000, 183, 12
570, 1666, 1125, 1426, 1005, 212, 20
585, 1633, 1134, 1327, 960, 189, 14
600, 1865, 1226, 1511, 1001, 219, 13
615, 1622, 1135, 1357, 1005, 168, 21
630, 1630, 1216, 1307, 999, 160, 8
645, 1624, 1192, 1426, 1063, 195, 18
660, 1644, 1209, 1409, 1042, 204, 23
675, 1588, 1159, 1354, 1005, 163, 11
690, 1557, 1147, 1289, 1005, 161, 13
705, 1564, 1157, 1361, 1035, 168, 11
720, 1534, 1151, 1342, 994, 181, 11
735, 1507, 1150, 1301, 990, 158, 17
750, 1454, 1101, 1294, 994, 134, 11
765, 1509, 1133, 1250, 961, 175, 22
780, 1496, 1137, 1292, 981, 177, 12
795, 1450, 1099, 1258, 942, 147, 10
810, 1417, 1061, 1189, 928, 153, 11
825, 1436, 1085, 1230, 933, 161, 19
840, 1425, 1093, 1169, 891, 131, 10
855, 1409, 1048, 1228, 960, 136, 12
870, 1345, 1026, 1204, 913, 180, 23
885, 1332, 980, 1150, 885, 149, 13
900, 1443, 1061, 1188, 895, 162, 27
915, 1305, 966, 1126, 843, 143, 11
930, 1202, 877, 1086, 821, 142, 14
945, 1294, 971, 1070, 817, 153, 15
960, 1234, 888, 1075, 812, 122, 11
975, 1171, 881, 1030, 784, 145, 16
990, 1183, 866, 1010, 747, 121, 12
