xunit, xunit_low, fitted_data, total_model, Nnbb_bege, Ac228_holders, Co60_cables, K40_close, K40_far, K42_close_coax, K42_far, K42_inside_ms, Th228_cables, U238_cables, alpha_high_energy_bege, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
545.599, 526.198, 17728.7, 2872.52, 2330.34, 17.9977, 0.0607005, 17.0097, 8.79728, 1.82613, 86.3274, 5.46121, 7.05043, 336.067, 61.5874, 2889.45, 2855.55, 2906.35, 2838.65, 2922.85, 2822.15, 876.547
570, 565, 78.1, 77.1803, 75.4436, 0.104889, 0.000947785, 0.267726, 0.132844, 0.0119278, 0.839036, 0.0740385, 0.0771421, 0.0901036, 0.1381, 80.05, 74.35, 82.75, 71.55, 85.45, 68.85, 0.331034
580, 575, 76.1, 78.6682, 75.4832, 0.10345, 0.00106852, 0.288902, 0.145699, 0.00982292, 0.781381, 0.0747694, 1.28063, 0.361052, 0.138253, 81.55, 75.85, 84.35, 73.05, 87.05, 70.25, -0.915652
590, 585, 75.8, 77.409, 75.6777, 0.104052, 0.00114096, 0.297977, 0.146868, 0.0128633, 0.772995, 0.0769937, 0.0871581, 0.0929692, 0.138327, 80.25, 74.55, 83.05, 71.85, 85.75, 69.15, -0.578322
600, 595, 79.2, 77.975, 76.3447, 0.103725, 0.0010806, 0.265457, 0.137908, 0.0100568, 0.759367, 0.0756273, 0.0506245, 0.0879865, 0.138436, 80.85, 75.15, 83.55, 72.35, 86.35, 69.65, 0.438689
610, 605, 81, 79.0877, 76.5222, 0.110867, 0.00105645, 0.261675, 0.140245, 0.0121617, 0.763141, 0.0754367, 0.0510236, 1.01138, 0.138562, 81.95, 76.25, 84.75, 73.45, 87.45, 70.65, 0.679981
620, 615, 76.4, 78.5907, 76.9426, 0.117846, 0.00118624, 0.294196, 0.142972, 0.0137989, 0.740708, 0.0717506, 0.0552851, 0.0716328, 0.138651, 81.45, 75.75, 84.25, 72.95, 86.95, 70.25, -0.781432
630, 625, 74.3, 78.4527, 76.839, 0.114701, 0.00117417, 0.289658, 0.134791, 0.0130972, 0.726871, 0.0715917, 0.0511625, 0.0718257, 0.138759, 81.25, 75.65, 84.05, 72.85, 86.85, 70.05, -1.48259
640, 635, 84.4, 78.612, 77.0075, 0.116748, 0.00105947, 0.279826, 0.137518, 0.00982292, 0.724984, 0.0748011, 0.0508075, 0.0699937, 0.138881, 81.45, 75.75, 84.25, 72.95, 86.95, 70.25, 2.06436
650, 645, 79.8, 78.6228, 77.0207, 0.125126, 0.001147, 0.280583, 0.146089, 0.0107584, 0.697519, 0.0728628, 0.0520569, 0.076945, 0.138974, 81.45, 75.75, 84.25, 72.95, 86.95, 70.25, 0.419845
