xunit, xunit_low, fitted_data, total_model, Nnbb_coax, Ac228_holders, Co60_cables, K40_close, K40_far, K42_close_coax, K42_far, K42_inside_ms, Th228_cables, U238_cables, alpha_high_energy_coax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
570, 565, 67.1, 65.3828, 63.5215, 0.0766025, 0.000827048, 0.320666, 0.142583, 0.312696, 0.843648, 0.0450904, 0.0377227, 0.0521936, 0.0292716, 67.95, 62.75, 70.55, 60.25, 73.05, 57.75, 0.671575
580, 575, 66.4, 66.1071, 63.6026, 0.0764891, 0.000748569, 0.313859, 0.141414, 0.291179, 0.822683, 0.0456306, 0.601717, 0.181023, 0.0296737, 68.75, 63.45, 71.25, 60.95, 73.75, 58.45, 0.113933
590, 585, 63.7, 65.6862, 63.8558, 0.0747543, 0.000869306, 0.31991, 0.142193, 0.293284, 0.804233, 0.0447409, 0.0654452, 0.0550021, 0.0299047, 68.25, 63.05, 70.85, 60.55, 73.35, 58.05, -0.774958
600, 595, 65.2, 66.2865, 64.5077, 0.0761755, 0.000833085, 0.320666, 0.144141, 0.258904, 0.822263, 0.0463297, 0.0249649, 0.0542564, 0.0302751, 68.95, 63.65, 71.45, 61.05, 73.95, 58.55, -0.422017
610, 605, 67.2, 66.9814, 64.7531, 0.0812042, 0.000830066, 0.294196, 0.140245, 0.283695, 0.794379, 0.0462979, 0.0248965, 0.531873, 0.0306151, 69.65, 64.35, 72.15, 61.75, 74.75, 59.25, 0.0844755
620, 615, 65.8, 66.8802, 65.149, 0.0850652, 0.000763661, 0.322935, 0.147258, 0.260541, 0.76356, 0.0464886, 0.0285497, 0.0451013, 0.030943, 69.55, 64.25, 72.05, 61.65, 74.65, 59.15, -0.417679
630, 625, 69.2, 66.8783, 65.2195, 0.0820471, 0.000769698, 0.297221, 0.146089, 0.254928, 0.73337, 0.0453128, 0.0235665, 0.0443197, 0.0312294, 69.55, 64.25, 72.05, 61.65, 74.65, 59.15, 0.897756
640, 635, 65.4, 67.031, 65.3597, 0.0847494, 0.000799882, 0.28512, 0.150374, 0.255162, 0.750771, 0.0447091, 0.023492, 0.0444918, 0.0316285, 69.65, 64.35, 72.25, 61.85, 74.75, 59.25, -0.629945
650, 645, 67, 67.0741, 65.4316, 0.0903408, 0.000763661, 0.277558, 0.145699, 0.258904, 0.718904, 0.0493166, 0.0241115, 0.0449347, 0.0319117, 69.75, 64.45, 72.25, 61.85, 74.85, 59.35, -0.0286073
660, 655, 74.1, 67.4045, 65.7841, 0.092278, 0.00088138, 0.276045, 0.147647, 0.243702, 0.712614, 0.0452175, 0.0255984, 0.044227, 0.0322343, 70.05, 64.75, 72.65, 62.15, 75.15, 59.65, 2.57892
670, 665, 69.4, 67.5433, 65.8916, 0.099553, 0.000896472, 0.284364, 0.141024, 0.255396, 0.732741, 0.0426754, 0.0229319, 0.0395582, 0.0326088, 70.15, 64.85, 72.75, 62.35, 75.35, 59.75, 0.714412
680, 675, 68.2, 67.5822, 65.9392, 0.103752, 0.000914582, 0.30554, 0.139856, 0.241831, 0.699196, 0.0485222, 0.0241418, 0.0463238, 0.0329366, 70.25, 64.95, 72.85, 62.35, 75.35, 59.85, 0.23764
690, 685, 66.8, 67.5556, 65.9372, 0.117252, 0.000814974, 0.291927, 0.136739, 0.229435, 0.701922, 0.0465839, 0.0244664, 0.0358867, 0.0333191, 70.25, 64.95, 72.75, 62.35, 75.35, 59.75, -0.2907
700, 695, 66, 67.2124, 65.5529, 0.117232, 0.000893453, 0.312347, 0.157776, 0.246275, 0.679489, 0.0452175, 0.0268033, 0.039857, 0.0336419, 69.85, 64.55, 72.45, 61.95, 74.95, 59.45, -0.467665
710, 705, 68.7, 67.2854, 65.6742, 0.117444, 0.000763661, 0.288902, 0.160113, 0.236919, 0.662717, 0.0450268, 0.024992, 0.0403247, 0.0340087, 69.95, 64.65, 72.55, 62.05, 75.05, 59.55, 0.545356
720, 715, 69.5, 67.0953, 65.4215, 0.108983, 0.000781772, 0.288902, 0.148037, 0.234581, 0.705696, 0.0453446, 0.0687668, 0.0384264, 0.0342852, 69.75, 64.45, 72.35, 61.85, 74.85, 59.35, 0.928363
730, 725, 64.7, 68.3491, 65.3215, 0.121169, 0.000836103, 0.287389, 0.160503, 0.240895, 0.677812, 0.046425, 1.41943, 0.0384643, 0.0346926, 71.05, 65.65, 73.65, 63.05, 76.15, 60.55, -1.39578
740, 735, 63.4, 66.4631, 64.8977, 0.112722, 0.000941748, 0.279826, 0.151543, 0.231306, 0.663555, 0.042453, 0.00587301, 0.0421243, 0.0350359, 69.05, 63.85, 71.65, 61.25, 74.15, 58.75, -1.18814
750, 745, 70.5, 66.4176, 64.8577, 0.120342, 0.000950803, 0.287389, 0.156607, 0.218209, 0.652024, 0.0441371, 0.00591032, 0.0390039, 0.0353488, 69.05, 63.75, 71.65, 61.25, 74.15, 58.75, 1.58407
760, 755, 64.5, 66.0611, 64.5098, 0.124416, 0.00089949, 0.282095, 0.146868, 0.224758, 0.653701, 0.0423259, 0.0066369, 0.0338958, 0.0357324, 68.65, 63.45, 71.25, 60.85, 73.75, 58.35, -0.607376
770, 765, 64.7, 65.6159, 63.9817, 0.148167, 0.00093873, 0.290414, 0.162061, 0.224524, 0.659991, 0.0428978, 0.00567824, 0.0634692, 0.0359862, 68.25, 63.05, 70.75, 60.45, 73.25, 57.95, -0.357545
