xunit, xunit_low, fitted_data, total_model, Ac228_holders, Co60_cables, K40_close, K40_far, K42_close_coax, K42_far, K42_inside_ms, Th228_cables, U238_cables, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
490.982, 446.964, 54.425, 14.2178, 0.614283, 0.00406921, 0.704361, 0.435296, 0.204907, 3.07114, 0.0325865, 0.284737, 8.86638, 14.8375, 13.6125, 15.4125, 13.0125, 15.9875, 12.4375, 67.4402
555, 535, 0.925, 0.733495, 0.0612772, 0.000696879, 0.108682, 0.0715836, 0.0182426, 0.347659, 0.00390053, 0.0477426, 0.0737105, 0.8625, 0.5875, 1.0125, 0.4625, 1.1625, 0.3625, 1.38465
595, 575, 1, 0.83758, 0.0647364, 0.000729704, 0.114165, 0.0726062, 0.0183887, 0.333691, 0.00379328, 0.095631, 0.133839, 0.9875, 0.6875, 1.1375, 0.5375, 1.3125, 0.4375, 1.11434
635, 615, 0.875, 0.742291, 0.0740422, 0.000765548, 0.12159, 0.0798619, 0.0155237, 0.325409, 0.0039323, 0.0434888, 0.0776766, 0.8625, 0.5875, 1.0125, 0.4625, 1.1875, 0.3625, 0.974581
675, 655, 1.25, 0.778823, 0.0887789, 0.00082252, 0.121969, 0.0842446, 0.0150267, 0.316735, 0.00384095, 0.0516221, 0.0957836, 0.9125, 0.6125, 1.0625, 0.4875, 1.2125, 0.3875, 3.04796
715, 695, 0.775, 0.962971, 0.109629, 0.000868174, 0.1296, 0.0869229, 0.0136527, 0.310891, 0.00362248, 0.199819, 0.107965, 1.1125, 0.7875, 1.2875, 0.6625, 1.4625, 0.5375, -1.22637
755, 735, 1.05, 0.83033, 0.144672, 0.000932693, 0.135324, 0.0927665, 0.0136527, 0.307327, 0.00376151, 0.0145267, 0.117368, 0.9625, 0.6625, 1.1125, 0.5375, 1.2875, 0.4125, 1.48818
795, 775, 0.85, 0.985597, 0.188833, 0.00101306, 0.143334, 0.097003, 0.0128341, 0.300094, 0.00386875, 0.0175648, 0.221052, 1.1375, 0.8125, 1.3125, 0.6625, 1.4875, 0.5375, -0.857497
835, 815, 0.9, 0.963336, 0.217821, 0.00112851, 0.146668, 0.104892, 0.0130388, 0.296739, 0.00388861, 0.0168109, 0.16235, 1.1125, 0.7875, 1.2875, 0.6625, 1.4625, 0.5375, -0.385749
875, 855, 1.05, 0.870608, 0.225763, 0.0013149, 0.158133, 0.112586, 0.0126295, 0.303422, 0.00384492, 0.0323296, 0.0205858, 1.0125, 0.7125, 1.1875, 0.5875, 1.3375, 0.4625, 1.20225
915, 895, 1.2, 1.19767, 0.545399, 0.0015394, 0.171351, 0.124273, 0.0107584, 0.306855, 0.00418254, 0.0114357, 0.0218755, 1.3625, 1.0125, 1.5625, 0.8625, 1.7375, 0.7125, 0.0369958
955, 935, 0.9, 1.08384, 0.411762, 0.00191368, 0.188934, 0.131139, 0.0114308, 0.300225, 0.0042024, 0.0118019, 0.0224359, 1.2625, 0.9125, 1.4375, 0.7625, 1.5875, 0.6125, -1.12461
995, 975, 0.875, 0.776927, 0.0644665, 0.00251321, 0.204421, 0.145456, 0.0119863, 0.309685, 0.00431759, 0.0115908, 0.0224904, 0.9125, 0.6125, 1.0625, 0.4875, 1.2125, 0.3875, 0.717208
1035, 1015, 0.975, 0.824436, 0.0638288, 0.00323575, 0.228038, 0.159967, 0.0128926, 0.316918, 0.00449236, 0.0111196, 0.0239433, 0.9625, 0.6625, 1.1125, 0.5375, 1.2625, 0.4125, 1.04498
1075, 1055, 1.35, 0.923803, 0.0811807, 0.00388509, 0.258908, 0.190062, 0.0122494, 0.323811, 0.00480615, 0.023706, 0.0251949, 1.0875, 0.7625, 1.2375, 0.6125, 1.3875, 0.4875, 2.62593
1115, 1095, 1.3, 1.03543, 0.0834372, 0.00448802, 0.31826, 0.222591, 0.0146174, 0.339509, 0.00543373, 0.0112962, 0.0357952, 1.1875, 0.8625, 1.3625, 0.7125, 1.5375, 0.5625, 1.60243
1155, 1135, 1.25, 1.1439, 0.0440109, 0.0184105, 0.396037, 0.265054, 0.0140327, 0.363593, 0.00573957, 0.00851242, 0.0285088, 1.3125, 0.9625, 1.4875, 0.8125, 1.6625, 0.6625, 0.641155
1195, 1175, 1.65, 1.34793, 0.0277121, 0.00407827, 0.527235, 0.331963, 0.0158161, 0.393809, 0.0066015, 0.00897319, 0.0317466, 1.5375, 1.1625, 1.7375, 0.9625, 1.9125, 0.7875, 1.64549
1235, 1215, 1.725, 1.73977, 0.0385053, 0.00350816, 0.74735, 0.434809, 0.0207568, 0.437653, 0.00743563, 0.00943835, 0.0403118, 1.9625, 1.5125, 2.1625, 1.3125, 2.3625, 1.1125, -0.0708104
1275, 1255, 2.125, 2.31967, 0.0311467, 0.00400809, 1.10645, 0.588495, 0.0251128, 0.505476, 0.00920318, 0.0109001, 0.0388806, 2.5625, 2.0625, 2.8125, 1.8375, 3.0375, 1.5875, -0.808384
1315, 1295, 2.125, 3.12768, 0.0291802, 0.016627, 1.58136, 0.77617, 0.0329769, 0.623302, 0.0122338, 0.0123849, 0.0434407, 3.4125, 2.8375, 3.6875, 2.5625, 3.9625, 2.2875, -3.58575
1355, 1335, 2.725, 3.758, 0.0539245, 0.00241285, 1.89863, 0.902342, 0.0442031, 0.774541, 0.015765, 0.0145191, 0.0516685, 4.0875, 3.4375, 4.3875, 3.1375, 4.6875, 2.8375, -3.37018
1395, 1375, 2.775, 4.01821, 0.0386875, 0.00263056, 1.90447, 0.941689, 0.0586159, 0.926619, 0.0203447, 0.0158016, 0.10935, 4.3375, 3.6875, 4.6625, 3.3625, 4.9625, 3.0625, -3.92245
1435, 1415, 3.675, 4.3919, 0.0450062, 0.00276337, 2.08366, 1.11412, 0.0646091, 1.00044, 0.0230218, 0.018108, 0.0401703, 4.7375, 4.0375, 5.0625, 3.7125, 5.3875, 3.3875, -2.16353
1460, 1455, 47, 50.6626, 0.0848725, 0.0029007, 31.438, 17.9391, 0.067708, 1.04429, 0.0255322, 0.019795, 0.0404206, 52.95, 48.35, 55.25, 46.15, 57.35, 43.95, -1.62723
