xunit, xunit_low, fitted_data, total_model, Nnbb_bege, Ac228_holders, Co60_cables, K40_close, K42_inside_ms, K42_nplus_coax, K42_outside_ms, Th228_cables, U238_cables, alpha_high_energy_bege, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
570, 565, 79.3, 78.5567, 76.6889, 0.121467, 0.00103574, 0.424576, 0.125666, 0.00726785, 0.86193, 0.0817817, 0.10474, 0.139381, 81.45, 75.75, 84.15, 72.95, 86.95, 70.15, 0.265185
580, 575, 76.9, 80.2789, 76.9033, 0.120144, 0.00109055, 0.452806, 0.128506, 0.00763124, 0.832869, 1.298, 0.394941, 0.139535, 83.15, 77.35, 85.95, 74.55, 88.75, 71.85, -1.19253
590, 585, 76.8, 78.7863, 76.9257, 0.121228, 0.00102708, 0.464097, 0.12841, 0.0107201, 0.799717, 0.0910641, 0.104684, 0.13961, 81.65, 75.95, 84.45, 73.15, 87.15, 70.45, -0.70764
600, 595, 80.2, 79.4372, 77.7147, 0.120666, 0.00116556, 0.3907, 0.124223, 0.00781294, 0.786371, 0.0524957, 0.0993096, 0.13972, 82.35, 76.55, 85.15, 73.75, 87.85, 71.05, 0.270641
610, 605, 81.4, 80.6888, 77.922, 0.129596, 0.00110786, 0.431351, 0.12533, 0.00817633, 0.801224, 0.0543369, 1.07591, 0.139847, 83.55, 77.85, 86.45, 74.95, 89.15, 72.25, 0.250359
620, 615, 77.6, 80.0531, 78.2763, 0.13641, 0.00123769, 0.46071, 0.11888, 0.0096299, 0.77733, 0.0574613, 0.075182, 0.139937, 82.95, 77.15, 85.75, 74.35, 88.45, 71.65, -0.867006
630, 625, 76.1, 79.8852, 78.1413, 0.132987, 0.00113094, 0.434739, 0.121672, 0.0105384, 0.770656, 0.0531931, 0.0788962, 0.140046, 82.75, 77.05, 85.55, 74.15, 88.35, 71.45, -1.33923
640, 635, 86, 80.0708, 78.3534, 0.135997, 0.00102997, 0.435868, 0.119121, 0.00744954, 0.746977, 0.0527184, 0.0781222, 0.14017, 82.95, 77.15, 85.75, 74.35, 88.55, 71.65, 2.09535
650, 645, 81.5, 80.0924, 78.3771, 0.146599, 0.00123192, 0.426834, 0.121864, 0.00926651, 0.731262, 0.0542386, 0.0837704, 0.140263, 82.95, 77.25, 85.75, 74.35, 88.55, 71.65, 0.497368
660, 655, 84.3, 80.4003, 78.6794, 0.148467, 0.00118287, 0.458452, 0.116233, 0.00690446, 0.720499, 0.0539451, 0.0748873, 0.140388, 83.25, 77.55, 86.15, 74.65, 88.85, 71.95, 1.37531
