xunit, xunit_low, fitted_data, total_model, Nnbb_coax, Ac228_holders, Co60_cables, K40_close, K42_inside_ms, K42_nplus_coax, K42_outside_ms, Th228_cables, U238_cables, alpha_high_energy_coax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
570, 565, 68.4, 66.6993, 64.7718, 0.0876906, 0.000773196, 0.513782, 0.0722426, 0.245835, 0.879151, 0.0400673, 0.0585412, 0.0294852, 69.35, 64.05, 71.95, 61.45, 74.45, 58.95, 0.658507
580, 575, 67.4, 67.3781, 64.8157, 0.0876882, 0.00071838, 0.479906, 0.0732052, 0.227302, 0.849875, 0.613251, 0.200556, 0.0298901, 70.05, 64.75, 72.65, 62.15, 75.15, 59.65, 0.00844462
590, 585, 65.3, 66.9897, 65.1272, 0.0856888, 0.000802046, 0.485552, 0.0713763, 0.225485, 0.840618, 0.0651311, 0.0577983, 0.0301228, 69.65, 64.35, 72.25, 61.75, 74.75, 59.25, -0.65285
600, 595, 67.2, 67.621, 65.7888, 0.0870437, 0.00073569, 0.50249, 0.0733977, 0.206952, 0.847722, 0.0265993, 0.0566714, 0.030496, 70.25, 64.95, 72.85, 62.35, 75.35, 59.85, -0.161882
610, 605, 68.3, 68.2564, 65.9802, 0.0928977, 0.000796276, 0.443772, 0.0734458, 0.223486, 0.817369, 0.025419, 0.568097, 0.0308384, 70.95, 65.55, 73.55, 62.95, 76.05, 60.45, 0.0167004
620, 615, 66.6, 68.2262, 66.4471, 0.096977, 0.000856862, 0.491198, 0.0761411, 0.201138, 0.805745, 0.0282772, 0.0475987, 0.0311687, 70.85, 65.55, 73.45, 62.95, 76.05, 60.45, -0.622581
630, 625, 70.5, 68.1539, 66.5006, 0.0938205, 0.000770311, 0.422317, 0.0732052, 0.199866, 0.759032, 0.0251271, 0.0476724, 0.0314572, 70.85, 65.45, 73.45, 62.85, 75.95, 60.35, 0.89869
640, 635, 66.7, 68.2764, 66.5659, 0.0972821, 0.000784736, 0.444901, 0.0713763, 0.201319, 0.788954, 0.0256808, 0.0482716, 0.0318592, 70.95, 65.65, 73.55, 63.05, 76.05, 60.45, -0.603286
650, 645, 68.4, 68.4507, 66.7675, 0.103934, 0.000816472, 0.448289, 0.0781625, 0.202228, 0.745255, 0.0252458, 0.0471468, 0.0321444, 71.15, 65.75, 73.75, 63.15, 76.25, 60.65, -0.0193778
660, 655, 75.4, 68.6738, 67.0458, 0.105463, 0.000871288, 0.413284, 0.0707506, 0.192961, 0.737936, 0.0265085, 0.0478042, 0.0324694, 71.35, 66.05, 73.95, 63.35, 76.55, 60.85, 2.56668
670, 665, 70.4, 68.821, 67.1231, 0.114241, 0.000888598, 0.459581, 0.0683441, 0.201501, 0.751498, 0.0245586, 0.0444101, 0.0328467, 71.45, 66.15, 74.15, 63.55, 76.65, 60.95, 0.601911
680, 675, 69.3, 68.8947, 67.2107, 0.118135, 0.000900138, 0.459581, 0.0755635, 0.192598, 0.731693, 0.0248749, 0.0475173, 0.0331768, 71.55, 66.25, 74.15, 63.65, 76.75, 61.05, 0.154411
690, 685, 68.3, 68.8866, 67.2478, 0.133624, 0.000816472, 0.436997, 0.0747453, 0.178607, 0.715548, 0.0254239, 0.0393923, 0.0335621, 71.55, 66.25, 74.15, 63.55, 76.75, 61.05, -0.223481
700, 695, 66.9, 68.5741, 66.8687, 0.133407, 0.000931874, 0.485552, 0.0743603, 0.19278, 0.714041, 0.0268563, 0.043605, 0.0338873, 71.25, 65.95, 73.85, 63.25, 76.35, 60.75, -0.639307
710, 705, 69.9, 68.5623, 66.9426, 0.135294, 0.000787621, 0.422317, 0.070558, 0.184603, 0.702632, 0.0253821, 0.0438379, 0.0342567, 71.25, 65.85, 73.85, 63.25, 76.35, 60.75, 0.510879
720, 715, 70.7, 68.3518, 66.6574, 0.124397, 0.000871288, 0.426834, 0.0728201, 0.186784, 0.737505, 0.0697715, 0.0409051, 0.0345353, 71.05, 65.65, 73.65, 63.05, 76.15, 60.55, 0.898165
730, 725, 66, 69.6136, 66.5682, 0.13932, 0.000877058, 0.422317, 0.0719538, 0.185512, 0.715978, 1.43319, 0.0413725, 0.0349456, 72.25, 66.95, 74.95, 64.25, 77.45, 61.75, -1.36961
740, 735, 65, 67.7669, 66.1763, 0.128361, 0.00100112, 0.440384, 0.0703174, 0.183331, 0.685626, 0.00647879, 0.0398229, 0.0352915, 70.45, 65.15, 73.05, 62.55, 75.55, 59.95, -1.06289
750, 745, 71.8, 67.6719, 66.1046, 0.136991, 0.000926104, 0.425705, 0.0703174, 0.171158, 0.677015, 0.0060977, 0.0434949, 0.0356067, 70.35, 65.05, 72.95, 62.45, 75.45, 59.95, 1.5869
760, 755, 65.6, 67.3062, 65.7226, 0.141409, 0.00102997, 0.43248, 0.0664189, 0.174247, 0.687348, 0.00711687, 0.0375536, 0.0359931, 69.95, 64.65, 72.55, 62.05, 75.05, 59.55, -0.657672
770, 765, 65.8, 66.9542, 65.296, 0.168602, 0.000949184, 0.448289, 0.0696917, 0.18206, 0.680459, 0.00653339, 0.0654072, 0.0362487, 69.55, 64.35, 72.15, 61.75, 74.65, 59.25, -0.446066
780, 775, 66.3, 67.0076, 64.9518, 0.20928, 0.00100112, 0.46071, 0.0706062, 0.181696, 0.662807, 0.0127755, 0.420228, 0.0366752, 69.65, 64.35, 72.25, 61.75, 74.75, 59.25, -0.273344
790, 785, 65.9, 67.3092, 64.6406, 0.188752, 0.000923219, 0.433609, 0.0677184, 0.168796, 0.664314, 0.0178005, 1.08972, 0.0369968, 69.95, 64.65, 72.55, 62.05, 75.05, 59.55, -0.543184
800, 795, 66.7, 65.3113, 63.6647, 0.168927, 0.0010242, 0.473131, 0.0683441, 0.179152, 0.690146, 0.00524717, 0.0230653, 0.0375673, 67.95, 62.75, 70.45, 60.15, 72.95, 57.65, 0.543384
810, 805, 61.8, 65.2433, 63.7206, 0.114102, 0.00101266, 0.438126, 0.068681, 0.164435, 0.665606, 0.00567147, 0.0274336, 0.0376925, 67.85, 62.65, 70.35, 60.05, 72.85, 57.65, -1.34807
820, 815, 62.5, 64.5776, 63.0868, 0.122368, 0.00112517, 0.430222, 0.070558, 0.170068, 0.626858, 0.00563976, 0.0259265, 0.0380923, 67.15, 61.95, 69.65, 59.45, 72.15, 56.95, -0.81758
830, 825, 61.8, 63.8914, 62.293, 0.188952, 0.00110209, 0.448289, 0.0671408, 0.164072, 0.657426, 0.00617057, 0.0268495, 0.0384163, 66.45, 61.35, 68.95, 58.75, 71.45, 56.35, -0.827414
840, 835, 67.6, 64.2546, 61.7163, 0.264, 0.00107324, 0.467485, 0.0695473, 0.163527, 0.660655, 0.00598715, 0.867288, 0.0387609, 66.85, 61.65, 69.35, 59.15, 71.85, 56.65, 1.31975
850, 845, 57.4, 62.8852, 61.4003, 0.102499, 0.00111075, 0.444901, 0.0715688, 0.165162, 0.640204, 0.00542997, 0.0148572, 0.0391388, 65.45, 60.35, 67.95, 57.85, 70.35, 55.35, -2.18734
860, 855, 65.7, 62.2596, 60.6134, 0.0996135, 0.00124346, 0.452806, 0.0696436, 0.168251, 0.641927, 0.15761, 0.0156157, 0.0394441, 64.85, 59.75, 67.25, 57.25, 69.75, 54.85, 1.37882
870, 865, 63.4, 61.7035, 60.1754, 0.113636, 0.00124058, 0.483294, 0.0696917, 0.160438, 0.639989, 0.00423136, 0.015705, 0.0398724, 64.25, 59.15, 66.75, 56.65, 69.15, 54.25, 0.682985
880, 875, 61.6, 60.5803, 59.0685, 0.112571, 0.00128385, 0.453935, 0.0673334, 0.159893, 0.657641, 0.00437095, 0.0145449, 0.0402309, 63.05, 58.05, 65.55, 55.65, 67.95, 53.25, 0.414278
890, 885, 59.4, 60.1333, 58.6068, 0.103932, 0.00128674, 0.462968, 0.0706062, 0.170068, 0.65312, 0.00992398, 0.0140988, 0.0405429, 62.65, 57.65, 65.05, 55.15, 67.45, 52.85, -0.299052
