xunit, xunit_low, fitted_data, total_model, Ac228_holders, Co60_cables, K40_close, K42_inside_ms, K42_nplus_coax, K42_outside_ms, Th228_cables, U238_cables, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
555, 535, 0.925, 0.742106, 0.068814, 0.000698905, 0.165042, 0.00665392, 0.014831, 0.360976, 0.0481462, 0.0769445, 0.8625, 0.5875, 1.0125, 0.4625, 1.1875, 0.3625, 1.31885
595, 575, 1, 0.848015, 0.0728324, 0.000738936, 0.169841, 0.00647344, 0.0143313, 0.347145, 0.0967625, 0.139891, 0.9875, 0.6875, 1.1625, 0.5625, 1.3125, 0.4375, 1.04038
635, 615, 0.9, 0.744565, 0.083092, 0.000754082, 0.180748, 0.00645539, 0.0126279, 0.337189, 0.0439521, 0.0797465, 0.8625, 0.5875, 1.0125, 0.4625, 1.1875, 0.3625, 1.12965
675, 655, 1.275, 0.784299, 0.0994481, 0.000833061, 0.183468, 0.00614856, 0.0119238, 0.331431, 0.0518603, 0.099187, 0.9375, 0.6375, 1.0875, 0.5125, 1.2375, 0.3875, 3.13042
715, 695, 0.8, 0.971754, 0.122861, 0.000870206, 0.193964, 0.00650953, 0.0109245, 0.324542, 0.199584, 0.112499, 1.1375, 0.8125, 1.2875, 0.6625, 1.4625, 0.5375, -1.10918
755, 735, 1.075, 0.844753, 0.161542, 0.000906269, 0.203716, 0.00650352, 0.0109926, 0.324461, 0.0147383, 0.121893, 0.9875, 0.6875, 1.1625, 0.5625, 1.3125, 0.4375, 1.54334
795, 775, 0.9, 1.00313, 0.210133, 0.00100112, 0.216779, 0.00625685, 0.0100841, 0.313321, 0.0177348, 0.227822, 1.1625, 0.8375, 1.3375, 0.6875, 1.5125, 0.5625, -0.6361
835, 815, 0.95, 0.978925, 0.242071, 0.00114212, 0.220808, 0.00652157, 0.0101296, 0.312998, 0.0170208, 0.168234, 1.1375, 0.8125, 1.2875, 0.6625, 1.4625, 0.5375, -0.159449
875, 855, 1.05, 0.880859, 0.250467, 0.00131739, 0.239029, 0.00671408, 0.00965261, 0.319214, 0.0323909, 0.0220739, 1.0125, 0.7125, 1.1875, 0.5875, 1.3625, 0.4625, 1.13086
915, 895, 1.225, 1.23087, 0.601503, 0.00154351, 0.256763, 0.00684644, 0.00919837, 0.320048, 0.0115109, 0.023457, 1.4125, 1.0375, 1.5875, 0.8875, 1.7875, 0.7375, -0.0102114
955, 935, 0.9, 1.10756, 0.454124, 0.00190991, 0.283401, 0.00661181, 0.00917566, 0.316792, 0.011808, 0.0237415, 1.2625, 0.9125, 1.4375, 0.7625, 1.6375, 0.6375, -1.26368
995, 975, 0.9, 0.757272, 0.0717141, 0.00250099, 0.308526, 0.00729766, 0.00949363, 0.321959, 0.0118328, 0.0239478, 0.8875, 0.6125, 1.0375, 0.4875, 1.1875, 0.3625, 1.03407
1035, 1015, 0.975, 0.801017, 0.0709118, 0.0031595, 0.340733, 0.00754432, 0.010016, 0.331592, 0.011177, 0.0258831, 0.9375, 0.6375, 1.0875, 0.5125, 1.2625, 0.4125, 1.2143
1075, 1055, 1.375, 0.894149, 0.0899976, 0.00384326, 0.390187, 0.00786318, 0.010175, 0.341333, 0.0237348, 0.0270152, 1.0375, 0.7375, 1.1875, 0.5875, 1.3625, 0.4625, 2.94984
1115, 1095, 1.375, 0.999695, 0.0923458, 0.00442243, 0.47639, 0.00862724, 0.0112879, 0.356509, 0.0117425, 0.03837, 1.1625, 0.8375, 1.3375, 0.6875, 1.5125, 0.5625, 2.26031
1155, 1135, 1.3, 1.09232, 0.0488801, 0.0177438, 0.589694, 0.00943942, 0.011197, 0.376933, 0.00853661, 0.0298929, 1.2625, 0.9125, 1.4375, 0.7625, 1.6125, 0.6125, 1.24205
1195, 1175, 1.675, 1.30246, 0.0309533, 0.00395433, 0.785686, 0.0104682, 0.012855, 0.415466, 0.00933706, 0.0337411, 1.4875, 1.1125, 1.6875, 0.9375, 1.8625, 0.7625, 2.06452
1235, 1215, 1.725, 1.7079, 0.0428424, 0.00344945, 1.1228, 0.0129409, 0.0158303, 0.458465, 0.00945368, 0.0421178, 1.9375, 1.4875, 2.1375, 1.2875, 2.3375, 1.0875, 0.0827533
1275, 1255, 2.125, 2.32151, 0.0346381, 0.00392332, 1.66112, 0.0152631, 0.0204408, 0.533862, 0.0109469, 0.0413203, 2.5625, 2.0625, 2.8125, 1.8375, 3.0375, 1.5875, -0.815706
1315, 1295, 2.15, 3.18126, 0.0324996, 0.0160853, 2.37412, 0.0203107, 0.0264141, 0.652798, 0.0126016, 0.0464289, 3.4875, 2.8875, 3.7625, 2.6125, 4.0375, 2.3375, -3.65678
1355, 1335, 2.75, 3.84646, 0.059632, 0.00233077, 2.84448, 0.0266939, 0.0352264, 0.808705, 0.0148323, 0.0545546, 4.1625, 3.5125, 4.4875, 3.2125, 4.7875, 2.9125, -3.53583
1395, 1375, 2.85, 4.08396, 0.0429807, 0.00259944, 2.85421, 0.0334621, 0.0456966, 0.973492, 0.0158879, 0.115629, 4.4125, 3.7625, 4.7375, 3.4375, 5.0375, 3.1125, -3.8618
1435, 1415, 3.75, 4.36367, 0.0498047, 0.00274008, 3.11621, 0.0371801, 0.0507387, 1.04633, 0.0181259, 0.0425417, 4.7125, 4.0125, 5.0375, 3.6875, 5.3625, 3.3625, -1.85798
1460, 1455, 47.8, 48.3272, 0.0939084, 0.00282447, 47.0019, 0.042691, 0.0527827, 1.06934, 0.0201031, 0.0436794, 50.55, 46.05, 52.75, 43.85, 54.95, 41.75, -0.239809
1492.5, 1465, 1.52727, 1.50691, 0.0517961, 0.00278356, 0.028967, 0.0546446, 0.0630651, 1.21053, 0.0445068, 0.0506193, 1.68182, 1.33636, 1.84545, 1.17273, 2.00909, 1.00909, 0.123033
1525, 1520, 18.1, 19.754, 0.0335739, 0.00271484, 0, 0.895789, 0.941731, 17.806, 0.0182293, 0.0559043, 21.25, 18.35, 22.65, 16.85, 23.95, 15.55, -1.1768
1765, 1530, 0.157447, 0.146551, 0.0188108, 0.00242139, 0, 0.00429839, 0.00343097, 0.00652443, 0.0154055, 0.0956593, 0.164894, 0.128723, 0.181915, 0.109574, 0.201064, 0.0925532, 0.617053
2500, 2000, 0.033, 0.034152, 1.02205e-05, 0.00460399, 0, 0.00103599, 0.000219852, 0.00138201, 0.00954621, 0.0173537, 0.0395, 0.0275, 0.0465, 0.0225, 0.0525, 0.0175, -0.169972
3044.02, 3000, 0.003, 0.0128208, 0, 0, 0, 0.000142704, 4.7241e-05, 0.000415466, 0.0121529, 6.24629e-05, 0.0165, 0.0085, 0.0205, 0.0055, 0.0245, 0.0035, -3.55196
