xunit, xunit_low, fitted_data, total_model, Nnbb_bege, Ac228_holders, Co60_cables, K40_close, K42_inside_ms, K42_nplus_coax, K42_outside_ms, Th228_cables, U238_cables, alpha_high_energy_bege, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
0.5, 0, 0, 543.814, 0, 0, 0, 0, 0, 0, 0, 0, 0, 543.814, 567.5, 520.5, 590.5, 496.5, 613.5, 474.5, -23.3198
1.5, 1, 0, 0.220388, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.220388, 0.5, 0, 1.5, 0, 2.5, 0, -0.733387
2.5, 2, 0, 0.159418, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.159418, 0.5, 0, 1.5, 0, 2.5, 0, -0.643468
3.5, 3, 0, 0.149638, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.149638, 0.5, 0, 1.5, 0, 2.5, 0, -0.627938
4.5, 4, 0, 0.146682, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.146682, 0.5, 0, 1.5, 0, 2.5, 0, -0.627783
5.5, 5, 0, 0.144016, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.144016, 0.5, 0, 1.5, 0, 2.5, 0, -0.627606
6.5, 6, 0, 0.142453, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.142453, 0.5, 0, 1.5, 0, 2.5, 0, -0.627485
7.5, 7, 0, 0.1416, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1416, 0.5, 0, 1.5, 0, 2.5, 0, -0.627414
8.5, 8, 0, 0.14096, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.14096, 0.5, 0, 1.5, 0, 2.5, 0, -0.627358
9.5, 9, 0, 0.140789, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.140789, 0.5, 0, 1.5, 0, 2.5, 0, -0.612296
10.5, 10, 0, 0.140543, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.140543, 0.5, 0, 1.5, 0, 2.5, 0, -0.612279
11.5, 11, 0, 0.142098, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.142098, 0.5, 0, 1.5, 0, 2.5, 0, -0.627456
12.5, 12, 0, 0.14028, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.14028, 0.5, 0, 1.5, 0, 2.5, 0, -0.612261
13.5, 13, 0, 0.140102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.140102, 0.5, 0, 1.5, 0, 2.5, 0, -0.612249
14.5, 14, 0, 0.143793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.143793, 0.5, 0, 1.5, 0, 2.5, 0, -0.627589
15.5, 15, 0, 0.139763, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.139763, 0.5, 0, 1.5, 0, 2.5, 0, -0.612224
16.5, 16, 0, 0.14049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.14049, 0.5, 0, 1.5, 0, 2.5, 0, -0.612276
17.5, 17, 0, 0.139911, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.139911, 0.5, 0, 1.5, 0, 2.5, 0, -0.612235
18.5, 18, 0, 0.139569, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.139569, 0.5, 0, 1.5, 0, 2.5, 0, -0.61221
19.5, 19, 0, 0.139369, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.139369, 0.5, 0, 1.5, 0, 2.5, 0, -0.612195
20.5, 20, 0, 0.139129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.139129, 0.5, 0, 1.5, 0, 2.5, 0, -0.612177
21.5, 21, 0, 0.138954, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.138954, 0.5, 0, 1.5, 0, 2.5, 0, -0.612164
22.5, 22, 0, 0.138692, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.138692, 0.5, 0, 1.5, 0, 2.5, 0, -0.612143
23.5, 23, 0, 0.138352, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.138352, 0.5, 0, 1.5, 0, 2.5, 0, -0.612116
24.5, 24, 0, 0.138261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.138261, 0.5, 0, 1.5, 0, 2.5, 0, -0.612109
25.5, 25, 0, 0.138059, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.138059, 0.5, 0, 1.5, 0, 2.5, 0, -0.612093
26.5, 26, 0, 0.13794, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.13794, 0.5, 0, 1.5, 0, 2.5, 0, -0.612083
27.5, 27, 0, 0.137716, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.137716, 0.5, 0, 1.5, 0, 2.5, 0, -0.612064
28.5, 28, 0, 0.137521, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.137521, 0.5, 0, 1.5, 0, 2.5, 0, -0.612048
29.5, 29, 0, 0.137608, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.137608, 0.5, 0, 1.5, 0, 2.5, 0, -0.612055
