xunit, xunit_low, fitted_data, total_model, Nnbb_coax, Ac228_holders, Co60_cables, K40_close, K42_inside_ms, K42_nplus_coax, K42_outside_ms, Th228_cables, U238_cables, alpha_high_energy_coax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
0.5, 0, 0, 1645.41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1645.41, 1686.5, 1604.5, 1726.5, 1563.5, 1766.5, 1524.5, -40.5636
1.5, 1, 0, 0.319744, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.319744, 0.5, 0, 1.5, 0, 3.5, 0, -0.841851
2.5, 2, 0, 0.107827, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.107827, 0.5, 0, 1.5, 0, 2.5, 0, -0.563372
3.5, 3, 0, 0.0715604, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0715604, 0.5, 0, 1.5, 0, 1.5, 0, -0.495254
4.5, 4, 0, 0.0600556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0600556, 0.5, 0, 1.5, 0, 1.5, 0, -0.476143
5.5, 5, 0, 0.0503789, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0503789, 0.5, 0, 1.5, 0, 1.5, 0, -0.443021
6.5, 6, 0, 0.0447337, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0447337, 0.5, 0, 0.5, 0, 1.5, 0, -0.425724
7.5, 7, 0, 0.0410883, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0410883, 0.5, 0, 0.5, 0, 1.5, 0, -0.423419
8.5, 8, 0, 0.0382619, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0382619, 0.5, 0, 0.5, 0, 1.5, 0, -0.40757
9.5, 9, 0, 0.0368224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0368224, 0.5, 0, 0.5, 0, 1.5, 0, -0.406564
10.5, 10, 0, 0.0361473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0361473, 0.5, 0, 0.5, 0, 1.5, 0, -0.406072
11.5, 11, 0, 0.0403459, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0403459, 0.5, 0, 0.5, 0, 1.5, 0, -0.42291
12.5, 12, 0, 0.0347551, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0347551, 0.5, 0, 0.5, 0, 1.5, 0, -0.405014
13.5, 13, 0, 0.0339522, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0339522, 0.5, 0, 0.5, 0, 1.5, 0, -0.404376
14.5, 14, 0, 0.0445054, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0445054, 0.5, 0, 0.5, 0, 1.5, 0, -0.425588
15.5, 15, 0, 0.0331556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0331556, 0.5, 0, 0.5, 0, 1.5, 0, -0.403722
16.5, 16, 0, 0.0345428, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0345428, 0.5, 0, 0.5, 0, 1.5, 0, -0.404847
17.5, 17, 0, 0.0329277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0329277, 0.5, 0, 0.5, 0, 1.5, 0, -0.389754
18.5, 18, 0, 0.0315573, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0315573, 0.5, 0, 0.5, 0, 1.5, 0, -0.388679
19.5, 19, 0, 0.0309398, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0309398, 0.5, 0, 0.5, 0, 1.5, 0, -0.388173
20.5, 20, 0, 0.0302033, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0302033, 0.5, 0, 0.5, 0, 1.5, 0, -0.387552
21.5, 21, 0, 0.0290836, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0290836, 0.5, 0, 0.5, 0, 1.5, 0, -0.386567
22.5, 22, 0, 0.0286757, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0286757, 0.5, 0, 0.5, 0, 1.5, 0, -0.386195
23.5, 23, 0, 0.0277056, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0277056, 0.5, 0, 0.5, 0, 1.5, 0, -0.385283
24.5, 24, 0, 0.0270577, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0270577, 0.5, 0, 0.5, 0, 1.5, 0, -0.371015
25.5, 25, 0, 0.0263687, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0263687, 0.5, 0, 0.5, 0, 1.5, 0, -0.370388
26.5, 26, 0, 0.0259237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0259237, 0.5, 0, 0.5, 0, 1.5, 0, -0.36997
27.5, 27, 0, 0.025415, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.025415, 0.5, 0, 0.5, 0, 1.5, 0, -0.369482
28.5, 28, 0, 0.0248387, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0248387, 0.5, 0, 0.5, 0, 1.5, 0, -0.368914
29.5, 29, 0, 0.0248387, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0248387, 0.5, 0, 0.5, 0, 1.5, 0, -0.368914
30.5, 30, 0, 0.024543, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.024543, 0.5, 0, 0.5, 0, 1.5, 0, -0.368616
31.5, 31, 0, 0.0242508, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0242508, 0.5, 0, 0.5, 0, 1.5, 0, -0.368317
32.5, 32, 0, 0.0240547, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0240547, 0.5, 0, 0.5, 0, 1.5, 0, -0.368114
33.5, 33, 0, 0.0239079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0239079, 0.5, 0, 0.5, 0, 1.5, 0, -0.36796
34.5, 34, 0, 0.0236304, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0236304, 0.5, 0, 0.5, 0, 1.5, 0, -0.367667
35.5, 35, 0, 0.0234976, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0234976, 0.5, 0, 0.5, 0, 1.5, 0, -0.367525
36.5, 36, 0, 0.023295, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.023295, 0.5, 0, 0.5, 0, 1.5, 0, -0.367307
37.5, 37, 0, 0.0231853, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0231853, 0.5, 0, 0.5, 0, 1.5, 0, -0.367187
38.5, 38, 0, 0.0228032, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0228032, 0.5, 0, 0.5, 0, 1.5, 0, -0.366767
39.5, 39, 0, 0.0230314, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0230314, 0.5, 0, 0.5, 0, 1.5, 0, -0.367019
40.5, 40, 736, 2.00532, 1.42002, 0.0166502, 8.66272e-05, 0.0677512, 0.0423728, 0.114442, 0.0925641, 0.047251, 0.181166, 0.0230166, 3.5, 0.5, 5.5, 0, 7.5, 0, 1.93186
41.5, 41, 664, 2.04652, 1.45597, 0.0177488, 0.000259881, 0.0677512, 0.0476694, 0.114442, 0.118396, 0.0224524, 0.179169, 0.0226613, 3.5, 0.5, 5.5, 0, 7.5, 0, 1.93634
42.5, 42, 610, 2.13025, 1.49192, 0.0179197, 0.000115503, 0.112919, 0.0486324, 0.132607, 0.116243, 0.0110578, 0.175911, 0.0229199, 3.5, 0.5, 5.5, 0, 7.5, 0, 1.9916
43.5, 43, 592, 2.01103, 1.4193, 0.0191892, 2.88757e-05, 0.0677512, 0.0476694, 0.108992, 0.103327, 0.00767292, 0.214467, 0.022629, 3.5, 0.5, 5.5, 0, 7.5, 0, 1.93249
44.5, 44, 539, 2.11916, 1.50414, 0.016577, 8.66272e-05, 0.101627, 0.0438173, 0.134424, 0.107633, 0.00763251, 0.180585, 0.0226354, 3.5, 0.5, 5.5, 0, 7.5, 0, 1.99047
