xunit, xunit_low, fitted_data, total_model, Nnbb_bege, Ac228_holders, Co60_cables, K40_close, K40_far, K42_close_coax, K42_far, K42_inside_ms, Th228_cables, U238_cables, alpha_high_energy_bege, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
7.5, 0, 0, 540.887, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 540.887, 564.5, 517.5, 587.5, 493.5, 610.5, 471.5, -23.257
22.5, 15, 0, 2.0622, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0622, 3.5, 0.5, 5.5, 0, 7.5, 0, -1.99264
37.5, 30, 2535, 28.9865, 21.0458, 0.246764, 0.00108663, 0.476461, 0.120767, 0.0608085, 1.36275, 0.340323, 0.255054, 3.03746, 2.0392, 34.5, 23.5, 40.5, 18.5, 45.5, 13.5, 3.45455
52.5, 45, 6502, 85.94, 65.4604, 0.769095, 0.00335045, 1.42182, 0.41684, 0.191781, 3.86602, 1.01747, 0.551087, 10.2078, 2.03438, 95.5, 76.5, 104.5, 66.5, 113.5, 57.5, 692.103
67.5, 60, 8329, 91.8231, 70.6622, 0.793649, 0.0038334, 1.71677, 0.405153, 0.245573, 4.21195, 1.01112, 0.669581, 10.07, 2.03325, 101.5, 81.5, 111.5, 72.5, 120.5, 62.5, 859.612
82.5, 75, 9984, 102.098, 76.7799, 0.997888, 0.00319953, 1.72434, 0.529816, 0.357835, 5.9395, 0.953921, 0.735619, 12.034, 2.04206, 112.5, 91.5, 122.5, 81.5, 132.5, 71.5, 977.984
97.5, 90, 10030, 115.127, 82.5848, 1.27159, 0.0040145, 1.81509, 0.751871, 0.399933, 8.67129, 0.893546, 0.781468, 15.9221, 2.03104, 126.5, 103.5, 137.5, 93.5, 147.5, 82.5, 924.058
112.5, 105, 8730, 127.857, 88.3759, 1.51628, 0.00434653, 1.98904, 0.860951, 0.50284, 11.531, 0.860817, 0.791116, 19.3921, 2.03276, 139.5, 116.5, 150.5, 104.5, 161.5, 93.5, 760.754
127.5, 120, 7565, 141.017, 95.0074, 2.32652, 0.00470874, 1.83778, 0.973926, 0.453725, 13.6128, 0.80076, 0.7704, 23.1998, 2.02883, 153.5, 128.5, 165.5, 116.5, 176.5, 105.5, 625.175
142.5, 135, 6033, 158.059, 103.716, 1.88913, 0.00519169, 2.12517, 1.19209, 0.460742, 15.3194, 0.766759, 0.843587, 29.7114, 2.02862, 171.5, 145.5, 183.5, 132.5, 195.5, 120.5, 467.299
