xunit, xunit_low, fitted_data, total_model, Nnbb_coax, Ac228_holders, Co60_cables, K40_close, K40_far, K42_close_coax, K42_far, K42_inside_ms, Th228_cables, U238_cables, alpha_high_energy_coax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
570, 565, 0, 1634.79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1634.79, 111.7, 106.233, 114.367, 103.567, 117.033, 100.967, -23.8369
580, 575, 0, 0.430186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.430186, 0.1, 0, 0.166667, 0, 0.233333, 0, 0.942845
590, 585, 2912, 9.67305, 6.78536, 0.0715762, 0.00062775, 0.249909, 0.0660175, 0.648966, 0.496647, 0.123767, 0.0893122, 0.793271, 0.347599, 0.833333, 0.366667, 1.1, 0.233333, 1.36667, 0.1, 3.27528
600, 595, 6659, 34.1939, 24.7851, 0.231364, 0.00134518, 0.802737, 0.213586, 3.16087, 1.49415, 0.426481, 0.124382, 2.62618, 0.327781, 2.63333, 1.83333, 3.1, 1.5, 3.5, 1.16667, 3.47896
610, 605, 7525, 44.9553, 32.0617, 0.257692, 0.00185336, 0.992062, 0.209703, 5.9723, 1.75089, 0.431469, 0.140896, 2.81365, 0.323086, 3.43333, 2.5, 3.9, 2.1, 4.36667, 1.7, 3.51839
620, 615, 8311, 54.8685, 38.6523, 0.359389, 0.00176368, 0.901186, 0.25242, 7.61967, 2.47061, 0.433028, 0.182561, 3.64664, 0.348906, 4.16667, 3.1, 4.7, 2.63333, 5.16667, 2.16667, 81.4237
630, 625, 8314, 65.9863, 45.0416, 0.493248, 0.00230175, 1.15109, 0.446589, 8.46832, 4.10365, 0.439575, 0.217156, 5.30544, 0.317359, 4.96667, 3.83333, 5.5, 3.3, 6.03333, 2.76667, 77.0649
640, 635, 7663, 76.6653, 51.4839, 0.646625, 0.00254089, 1.34799, 0.598041, 8.08711, 6.27543, 0.405282, 0.259435, 7.2368, 0.322108, 5.7, 4.5, 6.3, 3.9, 6.9, 3.36667, 65.9369
650, 645, 6601, 87.8732, 58.4591, 1.02225, 0.00304907, 1.52217, 0.702892, 7.62421, 8.72289, 0.369742, 0.280651, 8.85579, 0.31037, 6.5, 5.23333, 7.16667, 4.56667, 7.76667, 3.96667, 62.0997
660, 655, 5750, 98.6737, 65.5219, 0.91055, 0.00355725, 1.75693, 0.854344, 7.07962, 10.0718, 0.361013, 0.324746, 11.4805, 0.308668, 7.3, 5.9, 7.9, 5.23333, 8.56667, 4.56667, 64.6629
