xunit, xunit_low, fitted_data, total_model, Ac228_holders, Co60_cables, K40_close, K40_far, K42_close_coax, K42_far, K42_inside_ms, Th228_cables, U238_cables, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
555, 535, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
595, 575, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
635, 615, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
675, 655, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
715, 695, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0
755, 735, 3, 0.069631, 0.00235852, 0, 0.00275382, 0, 0, 0.0136788, 0.000311755, 0.00129556, 0.0492325, 0.0333333, 0, 0.1, 0, 0.1, 0, 0.473338
795, 775, 7, 0.348742, 0.0124654, 5.97857e-05, 0.0110153, 0.00776677, 0.00226911, 0.0652375, 0.00062351, 0.00371939, 0.245585, 0.0333333, 0, 0.166667, 0, 0.233333, 0, 0.853114
835, 815, 7, 0.694898, 0.0252117, 8.96786e-05, 0.0206536, 0.00582507, 0.0124801, 0.154676, 0.00327343, 0.00814226, 0.464546, 0.1, 0, 0.166667, 0, 0.3, 0, 1.1656
875, 855, 14, 1.20655, 0.0436215, 0.00020925, 0.0309804, 0.0330088, 0.0283639, 0.252532, 0.00264992, 0.0138292, 0.801357, 0.166667, 0, 0.233333, 0, 0.366667, 0, 1.51063
915, 895, 43, 2.00216, 0.0708516, 0.000224196, 0.06678, 0.0582507, 0.030633, 0.400895, 0.00498808, 0.0227585, 1.34678, 0.233333, 0.0333333, 0.366667, 0, 0.5, 0, 1.93152
955, 935, 59, 2.93754, 0.106377, 0.0004185, 0.0922528, 0.0485423, 0.0499204, 0.574511, 0.00576747, 0.0329239, 2.02682, 0.3, 0.0333333, 0.433333, 0, 0.633333, 0, 2.30809
995, 975, 64, 4.00539, 0.152276, 0.000553018, 0.121168, 0.0660175, 0.0658042, 0.7355, 0.00732625, 0.0461196, 2.81062, 0.366667, 0.1, 0.566667, 0.0333333, 0.7, 0, 2.57929
1035, 1015, 75, 5.29623, 0.204185, 0.000732375, 0.144575, 0.10291, 0.091899, 0.945944, 0.0110673, 0.0618156, 3.7331, 0.5, 0.166667, 0.7, 0.0333333, 0.9, 0, 3.15705
1075, 1055, 89, 8.00227, 0.400482, 0.00100141, 0.214109, 0.133977, 0.0975718, 1.43838, 0.014029, 0.0897909, 5.61293, 0.7, 0.3, 0.966667, 0.166667, 1.16667, 0.0333333, 3.24003
1115, 1095, 133, 12.3819, 0.436555, 0.0014797, 0.328393, 0.231061, 0.170183, 2.18861, 0.0238493, 0.139842, 8.86195, 1.03333, 0.566667, 1.3, 0.366667, 1.56667, 0.166667, 3.31891
1155, 1135, 136, 17.9168, 0.55573, 0.00237648, 0.500506, 0.314554, 0.209893, 3.07037, 0.0303961, 0.188734, 13.0443, 1.5, 0.9, 1.76667, 0.633333, 2.1, 0.433333, 3.38022
1195, 1175, 155, 26.1035, 0.706128, 0.00319854, 0.635443, 0.403872, 0.243929, 3.66488, 0.0366312, 0.245615, 20.1638, 2.1, 1.36667, 2.43333, 1.03333, 2.83333, 0.766667, 3.4388
1235, 1215, 144, 24.9087, 0.936827, 0.00403553, 0.777953, 0.502898, 0.283639, 4.47824, 0.0403723, 0.312797, 17.572, 1.96667, 1.3, 2.36667, 1.03333, 2.7, 0.7, 3.43169
1275, 1255, 150, 29.7369, 1.1016, 0.0044092, 0.910825, 0.555324, 0.348308, 4.89492, 0.053466, 0.40776, 21.4602, 2.3, 1.56667, 2.7, 1.23333, 3.16667, 0.966667, 3.45836
1315, 1295, 142, 66.2231, 1.25825, 0.00554512, 1.00445, 0.650467, 0.389152, 5.51994, 0.0593894, 0.874104, 56.4618, 4.96667, 3.83333, 5.5, 3.3, 6.03333, 2.76667, 2.30739
1355, 1335, 145, 29.8564, 1.48916, 0.00617287, 1.18965, 0.685417, 0.412978, 6.2165, 0.0639098, 0.372256, 19.4204, 2.36667, 1.63333, 2.76667, 1.3, 3.16667, 0.966667, 3.45896
1395, 1375, 160, 33.7635, 1.92892, 0.00745827, 1.27433, 0.813569, 0.416382, 6.36592, 0.0607923, 0.731798, 22.1643, 2.63333, 1.83333, 3.03333, 1.43333, 3.5, 1.16667, 3.47711
1435, 1415, 124, 40.4712, 5.3178, 0.00825043, 1.36589, 0.829102, 0.448149, 6.53427, 0.0637539, 0.418588, 25.4854, 3.1, 2.23333, 3.56667, 1.83333, 4.03333, 1.5, 3.50338
1460, 1455, 111, 126.069, 0.632948, 0.00826537, 1.47673, 0.877644, 0.437938, 6.62792, 0.0673391, 0.406518, 115.533, 9.16667, 7.63333, 9.9, 6.9, 10.6333, 6.16667, 30.6315
1492.5, 1465, 76, 11.4303, 0.657191, 0.00778709, 1.43061, 0.88347, 0.431131, 6.44799, 0.0731066, 0.445455, 1.05352, 0.966667, 0.5, 1.23333, 0.3, 1.5, 0.166667, 3.30503
1525, 1520, 58, 11.5163, 0.702306, 0.00923689, 1.48224, 0.798035, 0.441342, 6.39959, 0.0668715, 0.46205, 1.15463, 0.966667, 0.5, 1.23333, 0.3, 1.5, 0.166667, 3.30634
1765, 1530, 53, 11.7202, 0.726394, 0.00877355, 1.54076, 0.920362, 0.398229, 6.27753, 0.0590776, 0.5049, 1.28415, 0.966667, 0.5, 1.23333, 0.3, 1.5, 0.166667, 3.3094
2500, 2000, 49, 11.7972, 0.781512, 0.00996927, 1.49601, 0.961137, 0.382345, 6.25544, 0.0604805, 0.52903, 1.32127, 0.966667, 0.5, 1.23333, 0.3, 1.56667, 0.166667, 3.31022
3044.02, 3000, 37, 11.701, 0.753668, 0.0085643, 1.53181, 0.932012, 0.364192, 6.10707, 0.0651568, 0.606064, 1.33246, 0.966667, 0.5, 1.23333, 0.3, 1.5, 0.166667, -3.06422
3132.05, 3088.04, 23, 11.6281, 0.779508, 0.00865398, 1.52837, 0.916478, 0.348308, 6.0229, 0.0601688, 0.61865, 1.34511, 0.966667, 0.5, 1.23333, 0.3, 1.5, 0.166667, -3.04011
3220.09, 3176.07, 20, 12.3352, 0.898454, 0.00955077, 1.53869, 0.935895, 0.357385, 5.85244, 0.0570512, 1.26271, 1.423, 1.03333, 0.566667, 1.3, 0.366667, 1.56667, 0.166667, -3.29891
3308.13, 3264.11, 29, 11.7807, 0.805496, 0.00916216, 1.57036, 0.920362, 0.340367, 5.59464, 0.0609481, 0.539975, 1.9394, 0.966667, 0.5, 1.23333, 0.3, 1.56667, 0.166667, -3.09106
3396.16, 3352.14, 21, 12.2876, 0.795308, 0.00946109, 1.58689, 1.02715, 0.324483, 5.62621, 0.0637539, 0.58449, 2.26981, 1.03333, 0.566667, 1.3, 0.366667, 1.56667, 0.166667, -3.27899
3484.2, 3440.18, 17, 11.0826, 0.83107, 0.00953582, 1.61029, 1.0058, 0.332425, 5.53782, 0.0581423, 0.542002, 1.15549, 0.966667, 0.5, 1.23333, 0.3, 1.5, 0.166667, -2.86892
3572.23, 3528.21, 27, 11.1924, 0.828948, 0.00937141, 1.63577, 1.00968, 0.285908, 5.56203, 0.0603246, 0.609904, 1.19045, 0.966667, 0.5, 1.23333, 0.3, 1.5, 0.166667, -2.90237
3660.27, 3616.25, 13, 12.4921, 0.8528, 0.0101337, 1.64609, 1.10482, 0.290446, 5.2411, 0.0615717, 0.614365, 2.67081, 1.1, 0.566667, 1.3, 0.366667, 1.63333, 0.233333, -3.36896
3748.3, 3704.29, 11, 11.0296, 0.897405, 0.00999916, 1.63852, 1.08541, 0.285908, 5.34842, 0.0612599, 0.685288, 1.0174, 0.966667, 0.5, 1.23333, 0.3, 1.5, 0.166667, -2.85291
3836.34, 3792.32, 12, 10.8271, 0.943769, 0.0107913, 1.62544, 0.999971, 0.255275, 5.15587, 0.0562718, 0.751465, 1.0282, 0.966667, 0.5, 1.16667, 0.3, 1.43333, 0.1, -2.79233
3924.38, 3880.36, 20, 13.6466, 0.932731, 0.0102234, 1.71563, 1.07376, 0.277966, 5.05801, 0.0545572, 2.8507, 1.67304, 1.16667, 0.633333, 1.43333, 0.433333, 1.7, 0.233333, -3.9
4012.41, 3968.39, 14, 10.8843, 0.95636, 0.0110454, 1.68396, 1.10676, 0.250737, 4.97594, 0.0551807, 0.703849, 1.14051, 0.966667, 0.5, 1.16667, 0.3, 1.43333, 0.1, -2.80937
4100.45, 4056.43, 13, 12.7061, 1.00651, 0.0109707, 1.70805, 1.10482, 0.267755, 5.05906, 0.0568953, 0.582245, 2.9098, 1.1, 0.566667, 1.36667, 0.366667, 1.63333, 0.233333, -3.4802
4188.48, 4144.46, 21, 11.0326, 1.06691, 0.0115087, 1.80719, 1.15919, 0.225776, 5.00645, 0.0634422, 0.627098, 1.06506, 0.966667, 0.5, 1.23333, 0.3, 1.5, 0.166667, -2.85382
4276.52, 4232.5, 8, 11.1393, 1.10529, 0.0113892, 1.82303, 1.21938, 0.222373, 4.85283, 0.0512837, 0.667912, 1.18582, 0.966667, 0.5, 1.23333, 0.3, 1.5, 0.166667, -2.88616
4364.55, 4320.54, 18, 11.3561, 1.1804, 0.0113294, 1.84024, 1.22132, 0.223507, 4.816, 0.0579865, 0.69566, 1.30967, 0.966667, 0.5, 1.23333, 0.3, 1.5, 0.166667, -2.95306
4452.59, 4408.57, 23, 11.5256, 1.26594, 0.0112547, 1.83748, 1.21744, 0.212162, 4.77917, 0.0567394, 0.747221, 1.39818, 0.966667, 0.5, 1.23333, 0.3, 1.5, 0.166667, -3.0068
4540.62, 4496.61, 11, 11.8387, 1.40012, 0.0130183, 1.83404, 1.3087, 0.209893, 4.7455, 0.0575188, 0.812979, 1.45693, 1.03333, 0.566667, 1.3, 0.366667, 1.56667, 0.166667, -3.11093
4628.66, 4584.64, 13, 12.2067, 1.46972, 0.0128689, 1.88292, 1.27957, 0.228046, 4.82968, 0.0551807, 0.894421, 1.55426, 1.03333, 0.566667, 1.3, 0.366667, 1.56667, 0.166667, -3.2463
4716.7, 4672.68, 11, 12.1719, 1.59573, 0.012824, 1.89118, 1.22909, 0.207624, 4.54979, 0.0500367, 1.00047, 1.63518, 1.03333, 0.566667, 1.3, 0.366667, 1.56667, 0.166667, -3.23266
4804.73, 4760.71, 11, 18.2401, 1.78419, 0.013108, 2.03025, 1.37472, 0.186067, 4.68553, 0.0550248, 6.45282, 1.65843, 1.5, 0.9, 1.76667, 0.633333, 2.16667, 0.433333, -3.9
4892.77, 4848.75, 17, 12.0878, 1.92833, 0.0132724, 1.99858, 1.34365, 0.194009, 4.68448, 0.0589217, 0.215887, 1.65065, 1.03333, 0.566667, 1.3, 0.366667, 1.56667, 0.166667, -3.20047
4980.8, 4936.79, 11, 12.4372, 2.17076, 0.0137507, 2.0275, 1.41549, 0.217835, 4.59925, 0.0526866, 0.22155, 1.7184, 1.03333, 0.566667, 1.3, 0.366667, 1.56667, 0.166667, -3.34359
5068.84, 5024.82, 22, 13.4766, 2.50536, 0.0146923, 2.10736, 1.4252, 0.170183, 4.65396, 0.0523749, 0.226662, 2.32082, 1.16667, 0.633333, 1.43333, 0.433333, 1.7, 0.233333, -3.9
5156.88, 5112.86, 12, 18.1894, 2.96284, 0.0149165, 2.14385, 1.39802, 0.187202, 4.46667, 0.0565836, 0.318162, 6.6412, 1.5, 0.9, 1.76667, 0.633333, 2.16667, 0.433333, -3.9
5244.91, 5200.89, 10, 12.3643, 2.80715, 0.0147372, 2.16794, 1.50481, 0.190605, 4.48666, 0.0579865, 0.224527, 0.909872, 1.03333, 0.566667, 1.3, 0.366667, 1.56667, 0.166667, -3.31136
5332.95, 5288.93, 11, 12.4226, 2.9222, 0.0165009, 2.16863, 1.45433, 0.186067, 4.44878, 0.0639098, 0.249765, 0.91247, 1.03333, 0.566667, 1.3, 0.366667, 1.56667, 0.166667, -3.33702
5420.98, 5376.96, 19, 16.8581, 3.63717, 0.0169044, 2.14591, 1.53976, 0.197413, 4.48561, 0.0525308, 0.249186, 4.53361, 1.43333, 0.833333, 1.7, 0.566667, 2.03333, 0.366667, -3.9
