xunit, xunit_low, fitted_data, total_model, Nnbb_bege, Ac228_holders, Co60_cables, K40_close, K42_inside_ms, K42_nplus_coax, K42_outside_ms, Th228_cables, U238_cables, alpha_high_energy_bege, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
7.5, 0, 0, 545.904, 0, 0, 0, 0, 0, 0, 0, 0, 0, 545.904, 569.5, 522.5, 593.5, 498.5, 615.5, 476.5, -23.3646
22.5, 15, 0, 2.08132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.08132, 3.5, 0.5, 5.5, 0, 7.5, 0, -2.00951
37.5, 30, 2724, 32.219, 22.6922, 0.310961, 0.00098092, 0.733974, 0.621354, 0.0654106, 1.61881, 0.27875, 3.83849, 2.05812, 37.5, 25.5, 43.5, 20.5, 50.5, 16.5, 3.47023
52.5, 45, 7003, 95.1805, 70.8509, 0.951802, 0.00360632, 2.25838, 1.83037, 0.16171, 4.5163, 0.609511, 11.9447, 2.05325, 105.5, 84.5, 115.5, 75.5, 124.5, 65.5, 708.055
67.5, 60, 9016, 102.112, 76.3457, 0.989421, 0.00406793, 2.98106, 1.78176, 0.223486, 4.73803, 0.743035, 12.2538, 2.05211, 112.5, 91.5, 122.5, 81.5, 132.5, 71.5, 882.12
82.5, 75, 10764, 113.473, 82.7489, 1.25102, 0.00375058, 2.99236, 1.75818, 0.32887, 6.83688, 0.823727, 14.6687, 2.061, 124.5, 102.5, 135.5, 91.5, 145.5, 81.5, 999.825
97.5, 90, 10849, 127.323, 88.7909, 1.58554, 0.00421219, 3.22949, 1.63881, 0.37066, 9.9109, 0.883871, 18.8587, 2.04987, 139.5, 115.5, 150.5, 104.5, 161.5, 93.5, 950.188
112.5, 105, 9438, 142.168, 95.5641, 1.90898, 0.0047892, 3.36499, 1.57047, 0.432437, 13.0947, 0.885909, 23.2895, 2.05161, 154.5, 129.5, 166.5, 117.5, 178.5, 106.5, 779.629
127.5, 120, 8180, 156.824, 102.594, 2.87657, 0.00568357, 3.42145, 1.44918, 0.421535, 15.4863, 0.870029, 27.6518, 2.04765, 169.5, 143.5, 182.5, 131.5, 194.5, 119.5, 640.678
142.5, 135, 6518, 174.733, 111.517, 2.33724, 0.00608747, 3.56824, 1.37266, 0.390647, 17.1805, 0.941306, 35.3716, 2.04744, 188.5, 161.5, 201.5, 147.5, 214.5, 135.5, 479.872
157.5, 150, 12185, 434.035, 279.441, 5.9917, 0.013704, 7.61075, 3.03602, 0.857606, 40.1193, 2.46335, 92.4509, 2.05107, 455.5, 412.5, 476.5, 391.5, 496.5, 371.5, 564.042
172.5, 165, 15822, 709.269, 476.958, 9.31367, 0.0210032, 11.1225, 4.60167, 1.27369, 62.5007, 3.21713, 138.189, 2.07259, 736.5, 682.5, 762.5, 655.5, 788.5, 629.5, 567.463
187.5, 180, 13641, 751.903, 521.809, 10.0171, 0.0219264, 11.5629, 4.426, 1.14287, 60.8366, 2.95967, 136.956, 2.17061, 779.5, 724.5, 807.5, 696.5, 833.5, 670.5, 470.047
202.5, 195, 10686, 791.1, 552.939, 25.9417, 0.0239748, 10.987, 4.16899, 0.959356, 56.9618, 2.86395, 134.213, 2.04084, 819.5, 762.5, 847.5, 734.5, 875.5, 707.5, 351.8
217.5, 210, 9017, 792.788, 581.907, 10.8771, 0.0306682, 12.8163, 4.00054, 0.83762, 52.8761, 2.69803, 124.704, 2.04155, 821.5, 764.5, 849.5, 736.5, 876.5, 708.5, 292.089
232.5, 225, 7686, 824.7, 613.674, 6.68595, 0.032053, 14.0584, 3.74641, 0.823084, 49.1153, 2.60885, 131.912, 2.04329, 853.5, 795.5, 882.5, 766.5, 910.5, 738.5, 238.923
247.5, 240, 6314, 1093.72, 646.244, 6.32927, 0.0296007, 12.8954, 3.71079, 0.724968, 45.3568, 2.50846, 373.873, 2.04471, 1127.5, 1060.5, 1160.5, 1027.5, 1192.5, 995.5, 157.849
262.5, 255, 5396, 853.029, 678.526, 7.80142, 0.0264271, 11.529, 3.49181, 0.652289, 42.0503, 2.5073, 104.397, 2.04688, 882.5, 823.5, 911.5, 794.5, 940.5, 765.5, 155.546
277.5, 270, 4519, 883.689, 706.516, 8.28314, 0.0253885, 11.4274, 3.2733, 0.563258, 38.9117, 2.63283, 110.007, 2.04848, 913.5, 853.5, 943.5, 823.5, 972.5, 794.5, 122.29
292.5, 285, 4028, 1536.46, 738.616, 5.61763, 0.0263406, 10.3321, 3.26656, 0.501482, 35.4351, 12.833, 727.781, 2.05018, 1576.5, 1496.5, 1615.5, 1457.5, 1653.5, 1419.5, 63.5635
307.5, 300, 3415, 888.861, 771.173, 5.79992, 0.0244364, 9.36099, 3.17367, 0.485129, 33.6958, 1.46479, 61.631, 2.05199, 919.5, 858.5, 948.5, 828.5, 977.5, 799.5, 84.7306
322.5, 315, 2946, 929.08, 802.918, 8.99939, 0.0210898, 9.31583, 3.0312, 0.401549, 29.0847, 5.1018, 68.1524, 2.05427, 960.5, 898.5, 990.5, 867.5, 1020.5, 838.5, 66.1701
337.5, 330, 2588, 1002.73, 832.826, 54.5906, 0.0207147, 8.80769, 2.91088, 0.401549, 27.5025, 1.21057, 72.4052, 2.05595, 1034.5, 970.5, 1066.5, 939.5, 1097.5, 908.5, 50.0622
352.5, 345, 2531, 2025.17, 859.24, 1.90775, 0.0211475, 8.29955, 2.72029, 0.321602, 25.7696, 1.1113, 1123.72, 2.05793, 2070.5, 1979.5, 2115.5, 1934.5, 2159.5, 1891.5, 11.2403
367.5, 360, 2069, 926.614, 883.934, 1.84484, 0.0204551, 8.66089, 2.67168, 0.32887, 24.1659, 1.12408, 1.80314, 2.06036, 957.5, 895.5, 987.5, 865.5, 1017.5, 835.5, 37.5287
382.5, 375, 1842, 952.437, 912.552, 1.80259, 0.0188394, 7.92692, 2.66927, 0.274361, 22.1596, 1.16666, 1.80491, 2.06218, 983.5, 921.5, 1014.5, 890.5, 1044.5, 860.5, 28.8243
397.5, 390, 1671, 973.327, 935.124, 1.75816, 0.0192145, 7.80271, 2.53739, 0.285263, 20.6635, 1.19485, 1.87774, 2.06441, 1004.5, 941.5, 1036.5, 910.5, 1066.5, 880.5, 22.3626
412.5, 405, 1597, 1000.6, 962.985, 2.11526, 0.0199069, 7.71237, 2.5013, 0.254375, 19.8971, 1.19851, 1.85109, 2.06672, 1032.5, 968.5, 1064.5, 936.5, 1094.5, 906.5, 18.8541
427.5, 420, 1480, 1020.54, 984.777, 1.69293, 0.0181182, 7.12519, 2.41322, 0.221669, 19.0598, 1.29688, 1.87112, 2.06886, 1052.5, 988.5, 1084.5, 956.5, 1115.5, 925.5, 14.3823
442.5, 435, 1299, 1044.39, 1009.9, 1.70255, 0.0174546, 7.09132, 2.3776, 0.210768, 17.9683, 1.24393, 1.81514, 2.07122, 1077.5, 1011.5, 1109.5, 979.5, 1140.5, 947.5, 7.87838
457.5, 450, 1319, 1070.53, 1031.34, 2.44094, 0.0180316, 7.57687, 2.27413, 0.167161, 17.2192, 5.42577, 1.98815, 2.07334, 1103.5, 1037.5, 1136.5, 1004.5, 1168.5, 972.5, 7.59413
472.5, 465, 1258, 1087.76, 1052.27, 1.7261, 0.0165602, 7.00098, 2.25776, 0.156259, 16.4938, 1.31801, 4.44821, 2.07569, 1121.5, 1054.5, 1154.5, 1021.5, 1186.5, 989.5, 5.16178
487.5, 480, 1172, 1111.83, 1072.84, 1.62331, 0.016993, 6.89936, 2.14225, 0.167161, 15.7834, 1.12498, 9.15048, 2.07789, 1145.5, 1078.5, 1178.5, 1044.5, 1211.5, 1012.5, 1.80453
502.5, 495, 1177, 1116.18, 1085.13, 1.74039, 0.0174835, 6.96711, 2.16295, 0.172611, 15.3292, 1.14391, 1.43466, 2.08022, 1150.5, 1082.5, 1183.5, 1049.5, 1215.5, 1016.5, 1.82038
517.5, 510, 1264, 1132.85, 1101.59, 1.66705, 0.0171084, 6.65093, 2.09412, 0.168977, 15.6865, 1.38941, 1.50147, 2.08317, 1166.5, 1098.5, 1200.5, 1065.5, 1233.5, 1032.5, 3.89663
532.5, 525, 1160, 1147.1, 1113.64, 1.65092, 0.018147, 6.4138, 2.00027, 0.163527, 13.5747, 1.22027, 6.33084, 2.08513, 1181.5, 1112.5, 1215.5, 1079.5, 1248.5, 1046.5, 0.380957
547.5, 540, 1146, 1160.42, 1131.58, 1.75345, 0.0170795, 6.79773, 1.9608, 0.138089, 13.2518, 1.19413, 1.64555, 2.08737, 1194.5, 1125.5, 1228.5, 1091.5, 1262.5, 1058.5, -0.423351
562.5, 555, 1184, 1173.95, 1144.98, 1.89994, 0.0170507, 7.18165, 1.91797, 0.127187, 13.0969, 1.19286, 1.43871, 2.08969, 1208.5, 1139.5, 1242.5, 1105.5, 1276.5, 1071.5, 0.293429
577.5, 570, 1138, 1194.9, 1151.95, 1.83781, 0.0161563, 6.5606, 1.90978, 0.116286, 12.5544, 13.3912, 4.46664, 2.09239, 1229.5, 1159.5, 1264.5, 1125.5, 1297.5, 1091.5, -1.64604
592.5, 585, 1152, 1185.76, 1158.5, 1.81518, 0.0158967, 6.60577, 1.89968, 0.150808, 11.9689, 1.17615, 1.5311, 2.09452, 1220.5, 1150.5, 1254.5, 1116.5, 1288.5, 1083.5, -0.980291
607.5, 600, 1232, 1203.37, 1167.13, 1.89972, 0.0171084, 6.25572, 1.87994, 0.116286, 11.9043, 0.802819, 11.2679, 2.09725, 1238.5, 1168.5, 1273.5, 1133.5, 1306.5, 1099.5, 0.825407
