xunit, xunit_low, fitted_data, total_model, Nnbb_coax, Ac228_holders, Co60_cables, K40_close, K42_inside_ms, K42_nplus_coax, K42_outside_ms, Th228_cables, U238_cables, alpha_high_energy_coax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
7.5, 0, 0, 1646.37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1646.37, 1687.5, 1605.5, 1727.5, 1564.5, 1767.5, 1525.5, -40.5755
22.5, 15, 0, 0.433234, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.433234, 1.5, 0, 2.5, 0, 3.5, 0, -0.951332
37.5, 30, 3141, 10.5486, 7.29135, 0.0880788, 0.000577012, 0.417801, 0.23006, 0.605048, 0.538168, 0.0960886, 0.931333, 0.350062, 13.5, 6.5, 17.5, 4.5, 21.5, 1.5, 3.29086
52.5, 45, 7237, 36.8001, 26.7395, 0.285524, 0.00147138, 1.17436, 0.743603, 2.70001, 1.66617, 0.131097, 3.0283, 0.330104, 42.5, 29.5, 49.5, 24.5, 55.5, 19.5, 3.48966
67.5, 60, 8120, 47.8548, 34.6154, 0.314525, 0.00150023, 1.4002, 0.745528, 5.11475, 1.94601, 0.1551, 3.23641, 0.325375, 54.5, 40.5, 62.5, 34.5, 69.5, 28.5, 3.52724
82.5, 75, 8920, 58.7095, 41.7083, 0.445179, 0.0023369, 1.59216, 0.747453, 6.56287, 2.78771, 0.194842, 4.31732, 0.351378, 66.5, 50.5, 74.5, 42.5, 81.5, 35.5, 1156.49
97.5, 90, 8991, 70.5169, 48.505, 0.613207, 0.00248115, 2.03254, 0.777775, 7.20062, 4.52922, 0.246583, 6.28988, 0.319607, 79.5, 61.5, 87.5, 53.5, 95.5, 45.5, 1062.29
112.5, 105, 8257, 82.5748, 55.5497, 0.808333, 0.00302931, 2.25838, 0.702693, 6.9626, 7.15763, 0.279359, 8.52868, 0.32439, 92.5, 73.5, 101.5, 63.5, 110.5, 55.5, 899.567
127.5, 120, 7125, 95.3154, 62.7914, 1.26115, 0.00351977, 2.80039, 0.68681, 6.64281, 9.94749, 0.312925, 10.5563, 0.312569, 105.5, 85.5, 115.5, 75.5, 124.5, 65.5, 720.036
142.5, 135, 6203, 106.394, 70.6062, 1.12005, 0.00392368, 3.01494, 0.643493, 6.00324, 10.9786, 0.358076, 13.3548, 0.310855, 117.5, 95.5, 127.5, 85.5, 137.5, 75.5, 591.057
157.5, 150, 8194, 165.549, 114.735, 1.73404, 0.00551046, 3.6247, 0.823498, 7.76025, 16.9781, 0.478349, 19.0909, 0.318078, 178.5, 152.5, 191.5, 139.5, 204.5, 126.5, 623.977
172.5, 165, 9772, 242.556, 176.118, 2.38391, 0.00649138, 4.93456, 0.991471, 10.0333, 23.5416, 0.565026, 23.5933, 0.388758, 258.5, 226.5, 274.5, 210.5, 289.5, 195.5, 611.873
187.5, 180, 13364, 396.007, 287.586, 4.16507, 0.0114537, 8.54798, 1.5363, 13.758, 35.011, 0.924884, 43.7785, 0.688223, 416.5, 375.5, 436.5, 355.5, 455.5, 336.5, 651.66
202.5, 195, 14182, 513.156, 376.672, 11.6712, 0.0159255, 10.6821, 1.79235, 14.3903, 41.017, 1.21701, 55.4066, 0.291, 536.5, 490.5, 558.5, 467.5, 580.5, 445.5, 603.403
217.5, 210, 12841, 538.223, 410.221, 6.12589, 0.0221284, 13.2341, 1.79957, 13.2711, 40.7113, 1.1899, 51.3533, 0.294224, 561.5, 514.5, 585.5, 491.5, 607.5, 468.5, 530.301
232.5, 225, 11787, 569.589, 440.238, 3.84173, 0.0235421, 15.1989, 1.83855, 12.2082, 39.0021, 1.199, 55.7401, 0.299176, 593.5, 545.5, 617.5, 521.5, 640.5, 498.5, 470.015
247.5, 240, 10426, 681.097, 471.624, 3.66809, 0.023167, 13.7648, 1.737, 10.8527, 36.6019, 1.17024, 141.351, 0.303384, 707.5, 654.5, 733.5, 628.5, 759.5, 603.5, 373.399
262.5, 255, 9385, 613.369, 502.889, 4.42679, 0.0211186, 13.5842, 1.64074, 10.4003, 35.1402, 1.16155, 43.7955, 0.309086, 638.5, 588.5, 663.5, 563.5, 687.5, 539.5, 354.176
277.5, 270, 8497, 639.42, 530.898, 4.59181, 0.0205705, 12.534, 1.54641, 9.26469, 32.8218, 1.23793, 46.1907, 0.313979, 665.5, 613.5, 690.5, 588.5, 714.5, 563.5, 310.739
292.5, 285, 7810, 921.696, 561.222, 3.31763, 0.0188971, 11.8791, 1.46266, 8.4198, 30.8026, 5.61002, 298.643, 0.319286, 952.5, 890.5, 982.5, 860.5, 1012.5, 831.5, 226.892
307.5, 300, 6887, 675.193, 592.883, 3.33315, 0.01757, 11.529, 1.49924, 8.00553, 30.0276, 0.716188, 26.8566, 0.325158, 701.5, 648.5, 727.5, 622.5, 752.5, 597.5, 239.058
322.5, 315, 6169, 707.959, 624.979, 4.94777, 0.0172815, 11.2129, 1.40972, 7.26421, 26.5166, 2.34277, 28.9366, 0.332165, 735.5, 680.5, 761.5, 654.5, 787.5, 628.5, 205.244
337.5, 330, 5494, 758.334, 653.726, 29.1625, 0.0169641, 11.4613, 1.3587, 6.79726, 24.8504, 0.661597, 29.9629, 0.336923, 786.5, 730.5, 813.5, 702.5, 840.5, 676.5, 171.969
352.5, 345, 4986, 1219.68, 679.529, 1.3847, 0.0151466, 10.0159, 1.34859, 6.13406, 23.6514, 0.595906, 496.666, 0.343621, 1255.5, 1184.5, 1289.5, 1149.5, 1323.5, 1115.5, 107.843
367.5, 360, 4260, 748.359, 705.98, 1.32792, 0.0163294, 9.54166, 1.261, 6.09954, 22.1768, 0.600273, 1.00541, 0.349769, 776.5, 720.5, 803.5, 693.5, 830.5, 666.5, 128.368
382.5, 375, 3841, 773.195, 732.835, 1.28224, 0.0158101, 9.01094, 1.24993, 5.64894, 21.1005, 0.632081, 1.06376, 0.356099, 801.5, 744.5, 829.5, 717.5, 856.5, 690.5, 110.327
397.5, 390, 3319, 794.784, 755.387, 1.25727, 0.0139348, 8.92061, 1.25426, 5.20378, 20.6979, 0.636066, 1.05078, 0.362368, 823.5, 766.5, 851.5, 738.5, 878.5, 710.5, 89.5368
412.5, 405, 2708, 820.212, 782.135, 1.47874, 0.0154351, 8.87544, 1.20517, 5.0457, 19.5075, 0.601424, 0.978508, 0.369085, 849.5, 791.5, 877.5, 762.5, 905.5, 734.5, 65.9159
427.5, 420, 2366, 842.055, 805.501, 1.21745, 0.0139637, 8.62702, 1.22634, 4.76226, 18.5969, 0.670477, 1.06222, 0.376547, 871.5, 812.5, 900.5, 783.5, 928.5, 755.5, 52.5169
442.5, 435, 2121, 863.752, 828.705, 1.23965, 0.0139637, 8.50281, 1.22827, 4.48245, 17.5873, 0.628026, 0.981881, 0.383262, 893.5, 833.5, 922.5, 804.5, 951.5, 776.5, 42.7786
457.5, 450, 1832, 887.455, 850.418, 1.69217, 0.0135309, 8.45764, 1.17533, 4.45701, 16.9803, 2.75128, 1.12014, 0.389597, 917.5, 857.5, 947.5, 827.5, 976.5, 798.5, 31.7066
472.5, 465, 1562, 905.703, 871.148, 1.26203, 0.0128385, 7.75754, 1.14693, 4.18991, 16.5131, 0.694347, 2.58109, 0.396823, 936.5, 875.5, 966.5, 845.5, 995.5, 815.5, 21.8076
487.5, 480, 1271, 926.072, 890.606, 1.16887, 0.0120595, 7.5317, 1.17099, 4.14449, 15.7102, 0.5874, 4.73716, 0.403272, 956.5, 895.5, 987.5, 864.5, 1016.5, 835.5, 11.3346
502.5, 495, 1198, 934.881, 904.197, 1.24934, 0.0130982, 7.46395, 1.11516, 3.73931, 15.2474, 0.603414, 0.842691, 0.410434, 965.5, 903.5, 996.5, 873.5, 1026.5, 843.5, 8.60544
517.5, 510, 1195, 951.87, 920.637, 1.20207, 0.0126654, 7.63333, 1.13586, 3.82834, 15.4131, 0.740689, 0.846956, 0.419272, 983.5, 920.5, 1013.5, 889.5, 1043.5, 859.5, 7.88044
532.5, 525, 1023, 966.046, 934.458, 1.18071, 0.0122615, 7.36232, 1.07907, 3.62666, 13.9235, 0.663722, 3.31559, 0.424722, 997.5, 934.5, 1028.5, 903.5, 1058.5, 873.5, 1.83241
547.5, 540, 965, 980.473, 951.597, 1.27028, 0.0119153, 7.36232, 1.1272, 3.53944, 13.6027, 0.585925, 0.944767, 0.431936, 1012.5, 948.5, 1043.5, 917.5, 1073.5, 887.5, -0.494149
562.5, 555, 1017, 993.754, 964.967, 1.36183, 0.0130116, 7.5317, 1.09062, 3.63029, 13.3014, 0.575101, 0.844336, 0.43894, 1025.5, 961.5, 1057.5, 930.5, 1087.5, 899.5, 0.737404
577.5, 570, 1019, 1007.38, 972.068, 1.33312, 0.0110498, 7.5317, 1.08917, 3.46858, 12.7933, 6.34163, 2.29942, 0.446787, 1039.5, 975.5, 1071.5, 943.5, 1102.5, 912.5, 0.366026
592.5, 585, 984, 1008.17, 980.266, 1.29264, 0.0114537, 7.45266, 1.08725, 3.30869, 12.6362, 0.784081, 0.876284, 0.453076, 1040.5, 975.5, 1072.5, 944.5, 1102.5, 913.5, -0.76116
607.5, 600, 1024, 1020.5, 988.697, 1.36366, 0.0118864, 6.86548, 1.09495, 3.25055, 12.4209, 0.387413, 5.94938, 0.461496, 1052.5, 988.5, 1084.5, 956.5, 1115.5, 925.5, 0.109485
622.5, 615, 1021, 1022.99, 996.924, 1.43692, 0.0124346, 7.04615, 1.13586, 3.03796, 11.8311, 0.404428, 0.692412, 0.468631, 1055.5, 990.5, 1087.5, 958.5, 1118.5, 927.5, -0.062199
637.5, 630, 1017, 1023.57, 998.213, 1.44388, 0.0116845, 6.53802, 1.07137, 2.98527, 11.7062, 0.386423, 0.743016, 0.47622, 1056.5, 991.5, 1087.5, 959.5, 1119.5, 928.5, -0.205504
652.5, 645, 1085, 1027.1, 1002.36, 1.55549, 0.0125789, 6.4251, 1.11805, 3.03796, 11.0088, 0.386694, 0.713107, 0.483463, 1059.5, 994.5, 1091.5, 962.5, 1122.5, 931.5, 1.80652
667.5, 660, 1057, 1032.35, 1007, 1.68089, 0.0131847, 6.78644, 1.05452, 2.92894, 11.3381, 0.376436, 0.680505, 0.491142, 1064.5, 999.5, 1096.5, 967.5, 1128.5, 936.5, 0.767155
682.5, 675, 1023, 1033.66, 1008.78, 1.8871, 0.0133001, 6.5606, 1.14404, 2.81629, 10.9033, 0.373966, 0.685081, 0.499032, 1066.5, 1001.5, 1098.5, 969.5, 1129.5, 937.5, -0.331619
697.5, 690, 1022, 1029.89, 1004.49, 1.96456, 0.0131847, 7.2607, 1.10265, 2.82356, 10.7095, 0.397585, 0.620064, 0.50723, 1062.5, 997.5, 1094.5, 965.5, 1125.5, 934.5, -0.245924
712.5, 705, 1051, 1026.86, 1002.3, 1.97357, 0.0125789, 6.53802, 1.07714, 2.71636, 10.6988, 0.38962, 0.640412, 0.514866, 1059.5, 994.5, 1091.5, 962.5, 1122.5, 931.5, 0.75339
727.5, 720, 1015, 1038.42, 999.385, 2.01654, 0.0127808, 6.17667, 1.07618, 2.85263, 10.8624, 14.8938, 0.620744, 0.522511, 1071.5, 1005.5, 1103.5, 973.5, 1134.5, 942.5, -0.726764
742.5, 735, 1013, 1016.75, 992.973, 1.94877, 0.0147426, 6.58318, 1.06174, 2.66003, 10.2704, 0.091948, 0.618398, 0.53071, 1049.5, 984.5, 1080.5, 952.5, 1111.5, 921.5, -0.117706
757.5, 750, 1011, 1010.7, 987.062, 2.11885, 0.0148292, 6.40251, 1.0088, 2.62733, 10.2295, 0.104986, 0.590315, 0.538202, 1042.5, 978.5, 1074.5, 946.5, 1105.5, 915.5, 0.00952906
772.5, 765, 980, 1002.24, 977.818, 2.36573, 0.0139637, 6.67352, 1.05693, 2.71091, 10.025, 0.0933166, 0.93196, 0.545586, 1034.5, 970.5, 1065.5, 938.5, 1096.5, 907.5, -0.702355
787.5, 780, 1000, 1010.48, 971.066, 3.30061, 0.0147715, 6.75256, 1.02324, 2.61461, 10.0508, 0.277777, 14.8216, 0.553621, 1042.5, 978.5, 1074.5, 946.5, 1105.5, 915.5, -0.32953
802.5, 795, 961, 979.473, 955.429, 2.25602, 0.0155216, 6.83161, 1.01794, 2.6346, 10.2661, 0.0772037, 0.381566, 0.563702, 1011.5, 947.5, 1042.5, 916.5, 1072.5, 886.5, -0.590257
817.5, 810, 949, 971.85, 949.292, 1.79795, 0.0160986, 6.58318, 1.05789, 2.50196, 9.56001, 0.0883802, 0.382688, 0.569819, 1003.5, 940.5, 1034.5, 909.5, 1064.5, 878.5, -0.732974
832.5, 825, 954, 964.011, 932.099, 3.87444, 0.0164737, 6.76385, 1.02997, 2.4638, 9.97117, 0.0953815, 7.12018, 0.577394, 995.5, 932.5, 1026.5, 901.5, 1056.5, 871.5, -0.322445
847.5, 840, 914, 946.301, 921.998, 1.68006, 0.0163871, 6.8429, 1.0526, 2.4638, 9.61168, 0.0804954, 1.96976, 0.585767, 977.5, 915.5, 1008.5, 884.5, 1038.5, 854.5, -1.05003
862.5, 855, 978, 931.197, 907.051, 1.49522, 0.0184932, 6.9784, 1.03912, 2.54556, 9.63536, 1.59682, 0.243605, 0.593389, 962.5, 900.5, 992.5, 869.5, 1022.5, 840.5, 1.53374
877.5, 870, 929, 914.237, 891.522, 1.76299, 0.0191856, 6.92194, 1.02757, 2.34025, 9.76021, 0.0653047, 0.215051, 0.602085, 944.5, 883.5, 975.5, 853.5, 1004.5, 824.5, 0.488261
892.5, 885, 899, 897.09, 873.868, 1.5144, 0.020282, 7.03486, 1.04056, 2.54193, 10.1176, 0.124234, 0.21862, 0.609747, 927.5, 866.5, 957.5, 836.5, 986.5, 807.5, 0.0637657
907.5, 900, 911, 929.348, 857.479, 50.9916, 0.0218399, 6.92194, 1.0165, 2.45472, 9.56432, 0.0535362, 0.226651, 0.617821, 960.5, 898.5, 990.5, 868.5, 1020.5, 838.5, -0.601865
922.5, 915, 852, 856.929, 835.437, 0.849516, 0.0240614, 6.94452, 1.01794, 2.46562, 9.2694, 0.0659258, 0.229774, 0.625226, 886.5, 827.5, 915.5, 798.5, 944.5, 769.5, -0.168373
937.5, 930, 838, 837.911, 815.49, 1.08155, 0.0271484, 7.43008, 1.00735, 2.33298, 9.43301, 0.0667484, 0.408686, 0.633151, 867.5, 808.5, 896.5, 779.5, 924.5, 751.5, 0.00307013
952.5, 945, 832, 820.244, 797.262, 1.1908, 0.0307836, 8.17534, 1.01457, 2.36568, 9.23065, 0.0979732, 0.234236, 0.641616, 849.5, 791.5, 877.5, 762.5, 905.5, 734.5, 0.410473
967.5, 960, 833, 834.818, 777.397, 36.6137, 0.0293699, 7.14778, 0.990508, 2.30209, 9.34905, 0.0589786, 0.279298, 0.649458, 864.5, 805.5, 892.5, 776.5, 921.5, 748.5, -0.0629054
982.5, 975, 795, 777.575, 755.574, 0.656221, 0.0283024, 7.74625, 1.02853, 2.34206, 9.24788, 0.0611642, 0.232451, 0.658217, 805.5, 749.5, 833.5, 721.5, 860.5, 694.5, 0.624875
997.5, 990, 757, 752.911, 731.274, 0.266604, 0.0303508, 7.90434, 1.02805, 2.26939, 9.19836, 0.0632273, 0.211481, 0.666034, 780.5, 725.5, 808.5, 697.5, 834.5, 670.5, 0.149004
1012.5, 1005, 710, 731.942, 709.049, 0.333957, 0.0278985, 8.75123, 1.0704, 2.27302, 9.46099, 0.0617841, 0.239144, 0.674343, 759.5, 704.5, 786.5, 677.5, 812.5, 651.5, -0.811039
1027.5, 1020, 668, 713.175, 689.831, 0.41398, 0.0305239, 8.72865, 1.05356, 2.32026, 9.81833, 0.0650018, 0.231113, 0.682836, 740.5, 686.5, 766.5, 659.5, 792.5, 633.5, -1.69161
1042.5, 1035, 664, 688.965, 665.83, 0.385491, 0.0319376, 8.94319, 0.969812, 2.22033, 9.59876, 0.060267, 0.235128, 0.690351, 715.5, 662.5, 741.5, 636.5, 767.5, 610.5, -0.951118
1057.5, 1050, 651, 664.161, 640.557, 0.552348, 0.0315625, 9.28195, 1.00687, 2.25848, 9.46745, 0.0631129, 0.243605, 0.698809, 690.5, 637.5, 716.5, 612.5, 741.5, 587.5, -0.510694
1072.5, 1065, 679, 643.974, 619.588, 0.598901, 0.032255, 9.89171, 1.03671, 2.16582, 9.52557, 0.154851, 0.273498, 0.70717, 669.5, 618.5, 695.5, 592.5, 719.5, 568.5, 1.38024
1087.5, 1080, 623, 621.152, 596.464, 0.299902, 0.0319087, 10.4902, 1.00254, 2.12766, 9.57078, 0.218103, 0.231113, 0.71543, 646.5, 595.5, 671.5, 570.5, 695.5, 546.5, 0.0741684
1102.5, 1095, 598, 598.967, 573.357, 0.701774, 0.0329762, 10.9532, 1.00639, 2.18581, 9.66119, 0.0972891, 0.247621, 0.723234, 623.5, 574.5, 648.5, 549.5, 672.5, 525.5, -0.0395083
1117.5, 1110, 629, 579.699, 551.374, 1.14683, 0.0324858, 12.1275, 0.990508, 2.27484, 9.81188, 0.0664438, 1.14307, 0.73138, 604.5, 555.5, 628.5, 531.5, 651.5, 507.5, 2.04764
1132.5, 1125, 539, 554.211, 526.787, 0.196835, 0.028966, 13.1099, 1.02709, 2.1422, 9.86139, 0.0631458, 0.255205, 0.739756, 578.5, 530.5, 601.5, 506.5, 624.5, 483.5, -0.646135
1147.5, 1140, 490, 532.465, 503.288, 0.460387, 0.0297738, 14.4762, 1.05019, 2.09859, 9.95395, 0.0564349, 0.303391, 0.74811, 556.5, 508.5, 579.5, 485.5, 601.5, 463.5, -1.84028
1162.5, 1155, 497, 511.751, 481.122, 0.364716, 0.0416891, 15.6167, 1.0242, 2.12948, 10.3048, 0.060124, 0.331946, 0.755831, 534.5, 488.5, 557.5, 466.5, 579.5, 444.5, -0.652077
1177.5, 1170, 451, 488.816, 455.336, 0.239067, 1.23391, 17.096, 1.02661, 2.22214, 10.5761, 0.0585055, 0.264129, 0.764321, 511.5, 466.5, 533.5, 444.5, 554.5, 422.5, -1.71043
1192.5, 1185, 517, 470.427, 435.403, 0.17645, 0.0196761, 19.264, 1.04489, 2.37659, 11.026, 0.0680349, 0.276621, 0.772208, 492.5, 448.5, 514.5, 426.5, 535.5, 405.5, 2.14726
