xunit, xunit_low, fitted_data, total_model, Ac228_holders, Co60_cables, K40_close, K42_inside_ms, K42_nplus_coax, K42_outside_ms, Th228_cables, U238_cables, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
7.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
22.5, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
37.5, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
52.5, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
67.5, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
82.5, 75, 3, 0.0777946, 0.0028969, 1.44253e-05, 0.00307961, 0.000481296, 0, 0.0182977, 0.000768835, 0.0522558, 0.5, 0, 1.5, 0, 1.5, 0, 0.490392
97.5, 90, 7, 0.383042, 0.0154284, 1.44253e-05, 0.028743, 0.00168454, 0.000908481, 0.0667328, 0.00527739, 0.264253, 1.5, 0, 2.5, 0, 3.5, 0, 0.900817
112.5, 105, 10, 0.772947, 0.0297095, 8.65518e-05, 0.0359288, 0.00481296, 0.0136272, 0.159298, 0.0088315, 0.520653, 1.5, 0, 2.5, 0, 4.5, 0, 1.2133
127.5, 120, 16, 1.30082, 0.0517617, 0.000230805, 0.0605657, 0.00746009, 0.0181696, 0.27016, 0.0151507, 0.877322, 2.5, 0, 3.5, 0, 5.5, 0, 1.55603
142.5, 135, 45, 2.16376, 0.0845634, 0.000259655, 0.097521, 0.00746009, 0.0345223, 0.456366, 0.0250644, 1.458, 3.5, 0.5, 5.5, 0, 7.5, 0, 1.99499
157.5, 150, 65, 3.22832, 0.127789, 0.000432759, 0.151928, 0.00962593, 0.0445156, 0.632885, 0.0369778, 2.22416, 4.5, 0.5, 7.5, 0, 9.5, 0, 2.41891
172.5, 165, 71, 4.35009, 0.182431, 0.000577012, 0.194016, 0.012995, 0.0517834, 0.780343, 0.0495288, 3.07841, 6.5, 1.5, 9.5, 0.5, 11.5, 0, 2.76713
187.5, 180, 80, 5.73898, 0.241509, 0.000677989, 0.224812, 0.0204551, 0.0781294, 1.00207, 0.0660148, 4.10531, 7.5, 2.5, 10.5, 0.5, 13.5, 0, 3.17394
202.5, 195, 95, 8.58849, 0.465782, 0.00106747, 0.327465, 0.0279152, 0.0853972, 1.53163, 0.0940062, 6.05523, 11.5, 5.5, 14.5, 2.5, 18.5, 0.5, 3.25336
217.5, 210, 137, 13.0718, 0.501619, 0.00165891, 0.516348, 0.0385037, 0.134455, 2.3604, 0.143899, 9.37487, 16.5, 8.5, 20.5, 5.5, 25.5, 3.5, 3.32818
232.5, 225, 142, 18.8031, 0.633298, 0.00238017, 0.760664, 0.0481296, 0.195323, 3.21932, 0.193594, 13.7504, 22.5, 13.5, 28.5, 10.5, 32.5, 6.5, 3.38794
247.5, 240, 163, 27.1005, 0.805582, 0.00304374, 0.983423, 0.0555897, 0.183513, 3.78117, 0.249327, 21.0389, 32.5, 21.5, 37.5, 16.5, 43.5, 12.5, 3.44446
262.5, 255, 151, 25.7632, 1.06013, 0.00401023, 1.14767, 0.0640124, 0.272544, 4.64654, 0.317656, 18.2506, 30.5, 19.5, 36.5, 15.5, 41.5, 11.5, 3.43682
277.5, 270, 155, 30.7435, 1.23706, 0.00463052, 1.35298, 0.0818204, 0.294348, 5.0986, 0.410303, 22.2637, 36.5, 24.5, 42.5, 19.5, 48.5, 15.5, 3.4633
292.5, 285, 147, 68.5036, 1.41209, 0.00545276, 1.55623, 0.0974625, 0.324328, 5.87679, 0.862763, 58.3685, 77.5, 59.5, 85.5, 51.5, 93.5, 43.5, 9.48404
