bin_low_edge, bin_center, fitted_data, total_model, Nnbb, K40, K42, Co60, Ac228, Bi212Tl208, Pb214Bi214, Zn65, alpha
-15, -7.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 7.5, 0, 3117.24, 0, 0, 0, 0, 0, 0, 0, 0, 3117.24
15, 22.5, 0, 4.16827, 0, 0, 0, 0, 0, 0, 0, 0, 4.16827
30, 37.5, 47623, 1248.46, 116.467, 182.72, 817.775, 9.3035, 20.0081, 16.9002, 79.7251, 1.54694, 4.01834
45, 52.5, 145816, 3704.71, 375.754, 548.487, 2403.35, 27.1589, 58.5466, 49.2204, 233.646, 4.56179, 3.98357
60, 67.5, 219186, 4198.3, 423.992, 643.051, 2735.93, 28.6327, 61.1146, 53.3835, 243.525, 4.6996, 3.97536
75, 82.5, 295308, 5534.9, 471.778, 837.809, 3738.59, 35.3351, 76.0513, 65.7248, 300.253, 5.33297, 4.02506
90, 97.5, 313338, 6949.19, 521.732, 1010.76, 4809.98, 43.1835, 96.2487, 79.5674, 377.61, 6.15218, 3.96388
105, 112.5, 283616, 7775.51, 572.935, 1094.57, 5418.81, 48.5451, 105.581, 90.0765, 434.309, 6.7103, 3.9732
120, 127.5, 234478, 8059.31, 626.391, 1119.65, 5561.59, 52.0398, 128.338, 94.3742, 465.847, 7.13356, 3.95074
135, 142.5, 186484, 7882.22, 686.757, 1086.3, 5340.97, 52.0385, 114.923, 93.7294, 496.339, 7.21952, 3.94812
150, 157.5, 181758, 9346.84, 944.525, 1350.13, 6113.04, 59.9053, 148.57, 108.203, 611.427, 7.06502, 3.96392
165, 172.5, 173389, 10742.5, 1256.01, 1597.42, 6859.08, 67.6673, 167.454, 126.827, 657.069, 6.85621, 4.09444
180, 187.5, 147362, 10712.9, 1459.06, 1588.52, 6632.13, 67.5568, 168.69, 134.86, 650.785, 6.66131, 4.65925
195, 202.5, 120007, 10434.7, 1628.48, 1525.84, 6244.18, 67.3606, 230.584, 127.335, 600.26, 6.7045, 3.9105
210, 217.5, 95538, 9910.53, 1734.92, 1512, 5780.67, 73.8166, 162.217, 113.172, 521.83, 7.99772, 3.91598
225, 232.5, 77493, 9419.04, 1842.34, 1459.82, 5321.95, 68.0138, 130.895, 103.023, 481.521, 7.56303, 3.92552
240, 247.5, 62061, 8934.25, 1954.73, 1288.96, 4732.63, 59.2115, 113.68, 94.3575, 680.264, 6.49273, 3.93354
255, 262.5, 50548, 8051.98, 2066.83, 1131.03, 4218.57, 52.2286, 119.35, 83.9158, 370.309, 5.79454, 3.94481
270, 277.5, 41583, 7560.86, 2164.41, 1003.47, 3780.81, 46.4232, 118.171, 94.6887, 343.681, 5.24963, 3.95403
285, 292.5, 35422, 7731.69, 2273.28, 896.488, 3406.16, 41.8707, 85.1017, 78.8316, 941.158, 4.84509, 3.96399
300, 307.5, 29237, 6894.83, 2387.45, 811.57, 3261.74, 38.2951, 79.4051, 64.7699, 243.09, 4.53241, 3.97486
315, 322.5, 24550, 6473.01, 2498.56, 742.384, 2785.23, 35.0434, 108.438, 64.9434, 230.122, 4.29908, 3.98806
330, 337.5, 21163, 6398.17, 2602.68, 675.108, 2549.92, 32.5398, 250.182, 58.6999, 220.916, 4.12761, 3.99725
345, 352.5, 18867, 7093.41, 2694.13, 625.329, 2349.28, 30.5396, 52.1879, 55.3778, 1278.62, 3.93831, 4.00951
360, 367.5, 15615, 5809.62, 2784.43, 581.769, 2172.2, 28.712, 49.426, 53.9037, 131.347, 3.80729, 4.02183
375, 382.5, 13516, 5714.7, 2881.64, 541.587, 2020.12, 27.0816, 47.5063, 53.1691, 135.873, 3.69143, 4.03333
390, 397.5, 11743, 5610.74, 2963.16, 506.103, 1882.96, 25.8873, 45.8579, 52.0962, 127.046, 3.58893, 4.04547
405, 412.5, 10288, 5572.82, 3059.45, 484.773, 1767.88, 24.7581, 57.9353, 44.057, 126.387, 3.51543, 4.05833
420, 427.5, 9041, 5491.18, 3138.5, 457.354, 1663.9, 23.7767, 42.091, 40.1712, 117.869, 3.45206, 4.07187
435, 442.5, 8089, 5453.02, 3224.69, 445.769, 1571.18, 22.9035, 42.639, 37.5051, 100.859, 3.39185, 4.08481
450, 457.5, 7493, 5439.43, 3299.45, 418.612, 1486.89, 22.1656, 66.721, 38.9695, 99.1872, 3.33762, 4.09685
465, 472.5, 6835, 5384.02, 3373.39, 400.511, 1411.89, 21.4537, 42.8928, 33.6122, 92.8776, 3.28005, 4.11045
480, 487.5, 6092, 5366.67, 3443.69, 382.96, 1345.58, 20.8918, 37.9109, 32.4219, 95.8559, 3.24105, 4.12277
495, 502.5, 5893, 5392.4, 3490.63, 379.015, 1331.64, 20.4483, 41.3424, 42.301, 79.6354, 3.25334, 4.13625
510, 517.5, 6360, 5501.12, 3548.33, 390.796, 1339.43, 20.2251, 39.2064, 72.4992, 82.7482, 3.73036, 4.15301
525, 532.5, 5328, 5283.91, 3594.82, 346.457, 1173.5, 19.4024, 36.4591, 27.9793, 77.7131, 3.42131, 4.1636
540, 547.5, 5215, 5282.91, 3655.12, 336.097, 1128.68, 19.0515, 38.8276, 25.7228, 71.8094, 3.42166, 4.177
555, 562.5, 5224, 5280.59, 3701.83, 329.33, 1087.02, 18.7064, 43.1118, 24.6488, 68.3121, 3.43068, 4.19026
570, 577.5, 5516, 5483.75, 3729.55, 319.181, 1048.65, 18.4892, 40.2515, 246.078, 73.9398, 3.41245, 4.20528
585, 592.5, 5168, 5232.02, 3753.42, 313.908, 1013, 18.1824, 36.3868, 24.3181, 65.1624, 3.42055, 4.21726
600, 607.5, 5851, 5755.84, 3785.53, 305.195, 980.803, 17.9541, 36.9774, 14.7688, 606.947, 3.43304, 4.2331
615, 622.5, 5166, 5185.48, 3810.95, 299.992, 951.162, 17.7622, 37.9692, 14.2844, 45.6791, 3.4425, 4.24649
630, 637.5, 5134, 5152.35, 3815.15, 293.527, 923.453, 17.63, 36.0665, 13.9978, 44.8095, 3.45594, 4.26071
645, 652.5, 5190, 5133.21, 3825.7, 288.425, 899.538, 17.5405, 37.2168, 13.8153, 43.217, 3.48193, 4.27452
660, 667.5, 5328, 5129.46, 3840.51, 284.192, 875.581, 17.4883, 39.6339, 12.8113, 51.4543, 3.4987, 4.28947
675, 682.5, 5063, 5098.38, 3844.53, 279.017, 855.101, 17.4259, 40.3318, 12.1769, 41.9373, 3.55018, 4.30411
690, 697.5, 5050, 5061.11, 3826.34, 278.953, 834.108, 17.4121, 40.3307, 11.9054, 44.152, 3.59298, 4.31953
705, 712.5, 5073, 5023.21, 3818.25, 274.053, 814.281, 17.3438, 37.2547, 11.4849, 42.5776, 3.63364, 4.33417
720, 727.5, 5048, 5061.28, 3802.33, 271.341, 796.964, 17.4028, 35.9934, 87.875, 41.326, 3.70368, 4.34837
735, 742.5, 4853, 4931.74, 3777.27, 267.174, 779.945, 17.5148, 32.3231, 8.67041, 40.7108, 3.76692, 4.36441
750, 757.5, 4709, 4896.04, 3754.11, 265.857, 764.015, 17.5831, 35.3349, 11.2398, 39.6523, 3.86759, 4.37832
765, 772.5, 4843, 4883.49, 3713.09, 265.252, 750.234, 17.7109, 35.0774, 8.15876, 85.6057, 3.96507, 4.39262
780, 787.5, 4894, 4825.63, 3687.12, 259.933, 737.014, 17.9373, 39.6094, 15.5179, 60.0264, 4.06825, 4.40735
795, 802.5, 4662, 4730.84, 3631.01, 260.113, 723.666, 18.1672, 31.2592, 7.20722, 50.764, 4.22173, 4.42718
810, 817.5, 4599, 4664.43, 3598.63, 258.184, 713.714, 18.9602, 20.258, 7.20692, 38.6574, 4.39045, 4.43831
825, 832.5, 4602, 4609.21, 3535.15, 254.216, 702.775, 18.8156, 34.8876, 7.13245, 47.2296, 4.55246, 4.45251
840, 847.5, 4562, 4538.7, 3497.66, 256.12, 691.748, 19.2706, 19.1384, 6.96758, 38.5363, 4.78966, 4.46846
855, 862.5, 4514, 4497.04, 3436.51, 256.748, 682.509, 19.7309, 14.8251, 40.5211, 36.7063, 5.01508, 4.48274
870, 877.5, 4429, 4394.04, 3376.17, 254.47, 673.93, 20.3021, 16.447, 5.88267, 37.0994, 5.24327, 4.49939
885, 892.5, 4310, 4344.8, 3312.47, 259.769, 681.399, 21.0746, 14.3317, 8.1823, 37.5838, 5.47348, 4.51364
900, 907.5, 4526, 4483.62, 3244.88, 259.469, 665.716, 21.8698, 238.704, 5.57445, 37.6301, 5.24856, 4.52921
915, 922.5, 4176, 4156.1, 3162.74, 258.953, 652.784, 22.8249, 9.6269, 5.59393, 34.6487, 4.38475, 4.54363
930, 937.5, 4004, 4104.56, 3085.19, 261.305, 647.968, 23.791, 10.5972, 5.28307, 61.838, 4.0304, 4.55806
945, 952.5, 4042, 4037.76, 3015.69, 295.297, 643.359, 24.7223, 11.7297, 6.2095, 32.3826, 3.78766, 4.57418
960, 967.5, 4063, 4086.35, 2938.29, 264.678, 639.965, 21.6021, 173.546, 4.98779, 35.1551, 3.53793, 4.58916
