bin_low_edge, bin_center, fitted_data, total_model, K40, K42, Co60, Ac228, Bi212Tl208, Pb214Bi214, Zn65
-15, -7.5, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 7.5, 0, 0, 0, 0, 0, 0, 0, 0, 0
15, 22.5, 0, 0, 0, 0, 0, 0, 0, 0, 0
30, 37.5, 0, 0, 0, 0, 0, 0, 0, 0, 0
45, 52.5, 0, 0, 0, 0, 0, 0, 0, 0, 0
60, 67.5, 0, 0, 0, 0, 0, 0, 0, 0, 0
75, 82.5, 37, 4.72959, 0.705238, 3.23216, 0.0628054, 0.130357, 0.116443, 0.473683, 0.00890047
90, 97.5, 156, 23.5052, 3.56576, 16.0297, 0.314481, 0.641846, 0.597389, 2.31132, 0.0447544
105, 112.5, 284, 43.6867, 6.58259, 29.7207, 0.59533, 1.20806, 1.12613, 4.36616, 0.0876667
120, 127.5, 552, 72.061, 10.9801, 48.8941, 0.96703, 2.04028, 1.8534, 7.1872, 0.138859
135, 142.5, 974, 112.382, 17.393, 75.8467, 1.51788, 3.23836, 2.88816, 11.2869, 0.211129
150, 157.5, 1310, 157.367, 24.2639, 105.905, 2.14262, 4.63539, 4.12206, 16.0072, 0.291602
165, 172.5, 1535, 202.005, 31.2911, 135.305, 2.78342, 6.18162, 5.40851, 20.653, 0.382313
180, 187.5, 1607, 242.618, 37.7956, 161.18, 3.45067, 7.69305, 6.75006, 25.2782, 0.470503
195, 202.5, 1733, 288.505, 45.1538, 189.95, 4.18433, 10.1081, 8.13197, 30.4193, 0.558403
210, 217.5, 1777, 346.071, 55.7938, 226.865, 5.15716, 11.3811, 9.7535, 36.4771, 0.643413
225, 232.5, 1759, 397.097, 65.1969, 258.074, 5.93783, 12.9833, 11.4283, 42.7795, 0.697242
240, 247.5, 1736, 441.151, 71.5638, 283.173, 6.58275, 14.7531, 13.059, 51.2908, 0.728113
255, 262.5, 1599, 468.486, 76.6479, 302.147, 7.27561, 17.0362, 14.4556, 50.1739, 0.749928
270, 277.5, 1495, 497.723, 81.0059, 318.048, 7.94262, 18.4709, 16.3261, 55.149, 0.7801
285, 292.5, 1420, 544.375, 84.4269, 330.964, 8.49783, 19.3607, 17.189, 83.1278, 0.80973
300, 307.5, 1280, 537.999, 87.6208, 346.435, 9.04551, 20.8722, 17.9122, 55.287, 0.82594
315, 322.5, 1119, 539.95, 88.4621, 340.168, 9.37737, 23.7507, 19.1402, 58.203, 0.84855
330, 337.5, 1006, 546.481, 87.7812, 336.138, 9.60694, 32.0772, 19.4163, 60.594, 0.867747
345, 352.5, 893, 586.7, 86.593, 330.354, 9.65732, 18.6074, 19.661, 120.949, 0.877928
360, 367.5, 760, 498.398, 84.4654, 321.894, 9.63142, 18.6563, 19.8389, 43.0117, 0.900247
375, 382.5, 684, 488.679, 82.2996, 313.286, 9.57341, 19.0254, 19.9885, 43.5951, 0.909981
390, 397.5, 615, 476.557, 80.268, 303.815, 9.4698, 18.9278, 19.9781, 43.1789, 0.919056
405, 412.5, 592, 466.465, 78.3259, 295.586, 9.31879, 19.5947, 19.9216, 42.7796, 0.937865
420, 427.5, 578, 453.78, 76.1942, 286.513, 9.18111, 18.338, 19.8156, 42.7863, 0.951691
435, 442.5, 482, 443.98, 74.934, 278.453, 9.08944, 18.3014, 19.6781, 42.5608, 0.962686
450, 457.5, 461, 436.508, 72.9696, 270.832, 8.91283, 20.2672, 19.8132, 42.7306, 0.98262
465, 472.5, 434, 423.986, 71.5743, 263.318, 8.81283, 17.7043, 19.0542, 42.534, 0.988437
480, 487.5, 424, 414.269, 70.4256, 256.139, 8.6605, 16.9259, 18.7033, 42.4088, 1.00525
495, 502.5, 436, 409.135, 70.0996, 251.896, 8.54164, 17.0964, 19.7712, 40.7048, 1.02542
510, 517.5, 490, 408.533, 70.2932, 250.086, 8.4114, 16.655, 21.3348, 40.685, 1.06817
525, 532.5, 396, 385.372, 66.7452, 235.464, 8.2659, 16.2521, 16.95, 40.6353, 1.05927
540, 547.5, 374, 377.769, 65.6957, 230.498, 8.15232, 16.3394, 17.0172, 38.9874, 1.07826
555, 562.5, 367, 372.148, 65.0971, 225.068, 8.08343, 16.6953, 17.4973, 38.6015, 1.10569
570, 577.5, 419, 391.193, 64.5291, 220.908, 7.96624, 15.7541, 41.529, 39.3749, 1.13168
585, 592.5, 358, 357.273, 63.8235, 215.835, 7.89061, 15.3779, 14.5132, 38.6744, 1.15842
600, 607.5, 397, 412.106, 63.5204, 212.301, 7.84693, 15.3585, 12.7424, 99.1471, 1.18975
615, 622.5, 340, 336.389, 62.7407, 208.136, 7.81601, 15.43, 13.3538, 27.7164, 1.19532
630, 637.5, 324, 332.917, 62.5009, 204.917, 7.74888, 15.1179, 14.0198, 27.3871, 1.22629
645, 652.5, 366, 331.407, 61.8763, 201.843, 7.73368, 15.2068, 13.8265, 29.6577, 1.26311
660, 667.5, 366, 329.072, 61.5366, 198.053, 7.72986, 15.4241, 13.9088, 31.1417, 1.27719
675, 682.5, 331, 325.23, 61.2286, 195.32, 7.70485, 15.4693, 14.1089, 30.0851, 1.31289
690, 697.5, 309, 322.639, 60.9504, 192.224, 7.70774, 15.2301, 14.2336, 30.9452, 1.34785
705, 712.5, 300, 318.742, 60.5723, 188.571, 7.68624, 15.2299, 14.014, 31.2883, 1.38006
720, 727.5, 331, 325.354, 60.1286, 186.146, 7.71681, 15.5092, 23.2136, 31.2273, 1.41246
735, 742.5, 306, 310.6, 59.9356, 183.726, 7.72386, 15.2329, 11.4014, 31.1292, 1.45058
750, 757.5, 283, 308.861, 59.9616, 181.561, 7.76809, 15.8348, 11.4567, 30.798, 1.48136
765, 772.5, 314, 312.128, 60.3671, 179.54, 7.79856, 16.2742, 10.5785, 36.0396, 1.53057
780, 787.5, 300, 306.613, 60.2029, 177.347, 7.84768, 17.0521, 11.048, 31.5389, 1.5767
795, 802.5, 277, 299.489, 60.1669, 175.29, 7.88956, 15.6308, 9.41269, 29.481, 1.61769
810, 817.5, 292, 295.45, 60.1344, 173.88, 8.08147, 14.5506, 9.23723, 27.8988, 1.66792
825, 832.5, 318, 297.179, 60.4102, 172.194, 8.07207, 16.4029, 9.10485, 29.2622, 1.73274
840, 847.5, 267, 290.392, 60.3861, 170.703, 8.1751, 13.9767, 8.70488, 26.6434, 1.80303
855, 862.5, 254, 293.307, 60.7606, 169.49, 8.30327, 13.2902, 14.2615, 25.3231, 1.8786
870, 877.5, 310, 285.609, 60.8389, 168.392, 8.44385, 13.9604, 7.20166, 24.8148, 1.95715
885, 892.5, 279, 286.264, 61.5095, 168.568, 8.59856, 13.866, 7.32664, 24.3382, 2.05737
900, 907.5, 294, 315.402, 61.7955, 166.653, 8.74387, 45.2594, 6.8993, 23.8891, 2.16219
915, 922.5, 301, 278.098, 62.2135, 164.758, 8.97531, 9.58186, 6.57858, 23.7415, 2.24963
930, 937.5, 281, 281.384, 62.6887, 163.934, 9.18774, 9.77458, 6.24198, 27.2727, 2.28451
945, 952.5, 290, 282.065, 68.4048, 163.211, 9.45486, 9.86127, 6.18825, 22.616, 2.32882
960, 967.5, 268, 300.003, 63.7932, 163.073, 9.70448, 32.5128, 5.78322, 22.8133, 2.32252
975, 982.5, 286, 272.996, 64.8071, 162.008, 9.93354, 6.28799, 5.63281, 22.0144, 2.31181
990, 997.5, 250, 273.812, 66.1494, 162.246, 10.1847, 5.50421, 5.43691, 22.0594, 2.232
1005, 1012.5, 305, 286.075, 66.5792, 174.372, 10.3693, 5.86522, 5.28968, 21.4642, 2.13477
1020, 1027.5, 273, 278.262, 68.403, 164.513, 10.5504, 5.65586, 5.4919, 21.5091, 2.13865
1035, 1042.5, 283, 274.097, 68.4969, 161.37, 10.6327, 5.65691, 4.90767, 20.965, 2.06764
1050, 1057.5, 286, 277.498, 70.0305, 162.263, 10.6041, 6.44762, 4.81213, 21.2956, 2.04556
1065, 1072.5, 304, 279.329, 71.8527, 162.374, 10.6285, 6.32322, 5.21082, 20.9019, 2.03807
1080, 1087.5, 289, 282.317, 72.7338, 163.284, 10.7104, 4.76094, 8.29756, 20.4594, 2.07086
1095, 1102.5, 263, 282.913, 74.7358, 164.024, 10.8037, 5.38289, 5.0982, 20.7499, 2.11909
1110, 1117.5, 336, 321.488, 76.9437, 164.682, 10.925, 7.12242, 3.96353, 40.7245, 17.1274
1125, 1132.5, 279, 287.832, 78.8822, 166.771, 11.165, 3.86465, 3.90016, 18.1224, 5.12601
1140, 1147.5, 265, 286.489, 81.044, 167.658, 11.3465, 3.85651, 3.83982, 18.6821, 0.0611592
1155, 1162.5, 313, 292.257, 83.2096, 169.487, 12.1552, 4.27845, 3.77703, 19.2978, 0.0524527
1170, 1177.5, 302, 322.444, 86.4551, 171.58, 39.0632, 3.2527, 3.72283, 18.3252, 0.0450259
1185, 1192.5, 306, 296.298, 89.827, 173.531, 8.11835, 2.96968, 3.66592, 18.1478, 0.0380258
1200, 1207.5, 264, 303.334, 93.5753, 176.566, 8.08978, 2.87462, 3.60884, 18.5856, 0.0335852
1215, 1222.5, 308, 310.827, 97.5649, 179.455, 8.8517, 2.77323, 3.57398, 18.5817, 0.0258094
1230, 1237.5, 350, 326.037, 101.435, 183.01, 8.67965, 3.00812, 3.51968, 26.3626, 0.0223384
1245, 1252.5, 326, 325.516, 104.886, 186.471, 8.6939, 3.74829, 3.48088, 18.2194, 0.0170641
1260, 1267.5, 306, 332.142, 107.917, 191.897, 8.90223, 2.33557, 3.46325, 17.6153, 0.0120806
1275, 1282.5, 333, 342.919, 110.932, 197.062, 9.02651, 2.82353, 3.43388, 19.6333, 0.00779518
1290, 1297.5, 339, 345.949, 111.501, 202.46, 9.17064, 2.19887, 3.41491, 17.1977, 0.00537131
1305, 1312.5, 362, 348.481, 111.098, 204.879, 9.2167, 2.2718, 3.39578, 17.6171, 0.0028117
1320, 1327.5, 368, 374.261, 108.745, 205.591, 37.2588, 2.14364, 3.32826, 17.1934, 0.00124102
1335, 1342.5, 353, 339.41, 103.705, 206.318, 6.71176, 2.33955, 3.56797, 16.7669, 0.000155128
1350, 1357.5, 356, 331.19, 98.7622, 205.154, 5.40104, 2.25851, 3.23498, 16.3791, 0
1365, 1372.5, 323, 338.798, 94.7906, 201.675, 5.76278, 4.35689, 3.30119, 28.9112, 0
1380, 1387.5, 304, 316.006, 92.0179, 196.209, 6.306, 1.94033, 3.19748, 16.335, 0
1395, 1402.5, 295, 308.657, 91.3125, 187.065, 6.25668, 1.92619, 3.18204, 18.9148, 0
1410, 1417.5, 305, 295.216, 92.0173, 176.883, 6.16042, 1.9106, 3.15299, 15.0917, 0
1425, 1432.5, 284, 289.331, 95.4991, 168.312, 6.10686, 2.66398, 3.15171, 13.5972, 0
1440, 1447.5, 313, 289.351, 102.476, 162.407, 6.05027, 1.80549, 3.11905, 13.4936, 0
1455, 1462.5, 1156, 1129.37, 945.031, 159.263, 5.94005, 2.64503, 3.10389, 13.3835, 0
1470, 1477.5, 192, 181.754, 0.00620907, 157.312, 5.70748, 2.01183, 3.09569, 13.6206, 0
1485, 1492.5, 186, 186.248, 0, 162.132, 5.35731, 2.1116, 3.08732, 13.5598, 0
1500, 1507.5, 200, 196.822, 0, 169.083, 5.11808, 1.60885, 4.16177, 16.8495, 0
1515, 1522.5, 1667, 1720.57, 0, 1698.14, 4.87568, 1.15282, 3.00551, 13.3993, 0
1530, 1537.5, 46, 31.9613, 0, 6.28059, 4.75582, 1.3306, 2.92891, 16.6653, 0
1545, 1552.5, 35, 26.5296, 0, 4.25881, 4.81411, 1.33115, 2.92216, 13.2033, 0
1560, 1567.5, 31, 26.285, 0, 5.23771, 4.4339, 1.11453, 2.94804, 12.5509, 0
1575, 1582.5, 48, 31.5453, 0, 5.70576, 4.11035, 5.41142, 2.92937, 13.3884, 0
1590, 1597.5, 36, 26.8097, 0, 6.27671, 3.83374, 0.880394, 2.98507, 12.8338, 0
1605, 1612.5, 31, 26.6447, 0, 6.69905, 3.59638, 0.582336, 3.77272, 11.9942, 0
1620, 1627.5, 39, 29.2845, 0, 6.82137, 3.42139, 2.83517, 4.57189, 11.6347, 0
1635, 1642.5, 27, 24.8345, 0, 6.66189, 3.26669, 0.893162, 2.78802, 11.2247, 0
1650, 1657.5, 25, 25.464, 0, 6.39214, 3.11326, 0.236444, 2.8002, 12.9219, 0
1665, 1672.5, 28, 22.9035, 0, 6.0931, 2.99776, 0.591045, 2.96726, 10.2543, 0
1680, 1687.5, 25, 22.3743, 0, 5.64155, 2.89442, 0.25865, 2.9392, 10.6405, 0
1695, 1702.5, 17, 20.6437, 0, 4.94984, 2.78144, 0.16691, 2.91311, 9.83243, 0
1710, 1717.5, 22, 20.0144, 0, 4.29844, 2.70897, 0.205576, 2.93474, 9.86664, 0
1725, 1732.5, 25, 36.9208, 0, 3.8884, 2.63173, 0.171022, 2.99262, 27.2371, 0
1740, 1747.5, 16, 17.7385, 0, 3.68337, 2.56304, 0.106526, 3.0124, 8.37321, 0
1755, 1762.5, 51, 52.3696, 0, 3.25649, 2.5103, 0.0835297, 3.03836, 43.481, 0
1770, 1777.5, 17, 13.1552, 0, 3.04775, 2.46057, 0.054953, 3.05672, 4.53516, 0
1785, 1792.5, 20, 12.7177, 0, 2.88796, 2.4023, 0.064366, 3.09857, 4.26449, 0
1800, 1807.5, 16, 12.926, 0, 2.71013, 2.34897, 0.0537351, 3.522, 4.29115, 0
1815, 1822.5, 23, 12.5049, 0, 2.59876, 2.31173, 0.1052, 3.06554, 4.42367, 0
1830, 1837.5, 14, 17.9705, 0, 7.15611, 2.2769, 0.096059, 3.10905, 5.33241, 0
1845, 1852.5, 18, 19.4064, 0, 1.84502, 2.24667, 0.0440469, 3.14333, 12.1274, 0
1860, 1867.5, 16, 10.9782, 0, 1.6993, 2.21559, 0.0440518, 3.19521, 3.82409, 0
1875, 1882.5, 11, 10.8776, 0, 1.6126, 2.16212, 0.100261, 3.19183, 3.81078, 0
1890, 1897.5, 13, 11.0641, 0, 1.60328, 2.13816, 0.0389268, 3.21399, 4.06975, 0
1905, 1912.5, 10, 10.3088, 0, 1.84428, 2.1221, 0.03387, 3.2679, 3.04061, 0
