time, cts, err
2016-02-04 16:30:28, 1.105391, 0.110061
2016-02-24 16:30:28, 1.205053, 0.117683
2016-03-15 16:30:28, 0.871637, 0.106541
2016-04-04 17:30:28, 0.771538, 0.097248
2016-04-24 17:30:28, 0.837850, 0.096155
2016-05-14 17:30:28, 0.663547, 0.082975
2016-06-03 17:30:28, 0.770573, 0.089617
2016-06-23 17:30:28, 0.497696, 0.103807
2016-07-13 17:30:28, 0.573705, 0.234292
2016-08-02 17:30:28, 0.389897, 0.065919
2016-08-22 17:30:28, 0.586209, 0.077672
2016-09-11 17:30:28, 0.413234, 0.065354
2016-10-01 17:30:28, 0.443970, 0.071110
2016-10-21 17:30:28, 0.389198, 0.063151
2016-11-10 16:30:28, 0.387041, 0.063643
2016-11-30 16:30:28, 0.327060, 0.057827
2016-12-20 16:30:28, 0.314248, 0.056451
2017-01-09 16:30:28, 0.238436, 0.049724
2017-01-29 16:30:28, 0.430481, 0.072783
2017-02-18 16:30:28, 0.233901, 0.049875
2017-03-10 16:30:28, 0.345287, 0.059228
2017-03-30 17:30:28, 0.199779, 0.045838
2017-04-19 17:30:28, 0.304132, 0.107546
2017-05-29 17:30:28, 0.224050, 0.084694
2017-06-18 17:30:28, 0.182672, 0.057772
2017-07-08 17:30:28, 0.120067, 0.040025
2017-07-28 17:30:28, 0.153340, 0.039596
2017-08-17 17:30:28, 0.297348, 0.055226
2017-09-06 17:30:28, 0.192909, 0.044261
2017-09-26 17:30:28, 0.202318, 0.045245
2017-10-16 17:30:28, 0.134830, 0.037398
2017-11-05 16:30:28, 0.155111, 0.040053
2017-11-25 16:30:28, 0.163453, 0.040867
2017-12-15 16:30:28, 0.174175, 0.042248
2018-01-04 16:30:28, 0.121086, 0.034957
2018-01-24 16:30:28, 0.185944, 0.043832
2018-02-13 16:30:28, 0.172297, 0.041792
2018-03-05 16:30:28, 0.136206, 0.045406
2018-03-25 17:30:28, 0.178020, 0.044510
2018-08-12 17:30:28, 0.488678, 0.090771

2018-09-01 17:30:28, 0.402665, 0.066213
2018-09-21 17:30:28, 0.373285, 0.062228
2018-10-11 17:30:28, 0.277959, 0.069501
2018-10-31 16:30:28, 0.383121, 0.062999
2018-11-20 16:30:28, 0.301823, 0.057049
2018-12-10 16:30:28, 0.291677, 0.055131
2018-12-30 16:30:28, 0.281170, 0.057403
2019-01-19 16:30:28, 0.197302, 0.052737
2019-02-08 16:30:28, 0.226380, 0.050627
2019-02-28 16:30:28, 0.310006, 0.060808
2019-03-20 16:30:28, 0.224710, 0.047915
2019-04-09 17:30:28, 0.214047, 0.050458
2019-04-29 17:30:28, 0.175055, 0.045204
2019-05-19 17:30:28, 0.189222, 0.044605
2019-06-08 17:30:28, 0.131159, 0.041479
2019-06-28 17:30:28, 0.196837, 0.045163
2019-07-18 17:30:28, 0.196634, 0.045116
2019-08-07 17:30:28, 0.172676, 0.041884
2019-08-27 17:30:28, 0.091838, 0.030614
2019-09-16 17:30:28, 0.103509, 0.032734
2019-10-06 17:30:28, 0.132802, 0.036835
2019-10-26 17:30:28, 0.139370, 0.038658
2019-11-15 16:30:28, 0.217514, 0.088811
