time, best, up, low
2016-01-24, 0.0930407, 0.0993613, 0.0867201
2016-01-25, 0.0926705, 0.0989408, 0.0864003
2016-01-26, 0.092303, 0.0985231, 0.0860828
2016-01-28, 0.0919379, 0.0981084, 0.0857674
2016-01-29, 0.0915754, 0.0976967, 0.0854542
2016-01-31, 0.0912155, 0.0972878, 0.0851431
2016-02-01, 0.090858, 0.0968817, 0.0848342
2016-02-02, 0.090503, 0.0964786, 0.0845274
2016-02-04, 0.0901504, 0.0960782, 0.0842226
2016-02-05, 0.0898004, 0.0956807, 0.08392
2016-02-06, 0.0894527, 0.095286, 0.0836194
2016-02-08, 0.0891075, 0.094894, 0.0833209
2016-02-09, 0.0887646, 0.0945048, 0.0830244
2016-02-11, 0.0884242, 0.0941184, 0.08273
2016-02-12, 0.0880861, 0.0937346, 0.0824375
2016-02-13, 0.0877503, 0.0933536, 0.0821471
2016-02-15, 0.0874169, 0.0929752, 0.0818586
2016-02-16, 0.0870858, 0.0925995, 0.0815721
2016-02-18, 0.086757, 0.0922265, 0.0812876
2016-02-19, 0.0864305, 0.0918561, 0.081005
2016-02-20, 0.0861063, 0.0914883, 0.0807243
2016-02-22, 0.0857843, 0.091123, 0.0804455
2016-02-23, 0.0854645, 0.0907604, 0.0801687
2016-02-25, 0.085147, 0.0904003, 0.0798937
2016-02-26, 0.0848316, 0.0900427, 0.0796206
2016-02-27, 0.0845185, 0.0896877, 0.0793493
2016-02-29, 0.0842075, 0.0893352, 0.0790799
2016-03-01, 0.0838987, 0.0889851, 0.0788123
2016-03-03, 0.0835921, 0.0886375, 0.0785466
2016-03-04, 0.0832875, 0.0882924, 0.0782826
2016-03-05, 0.0829851, 0.0879497, 0.0780205
2016-03-07, 0.0826848, 0.0876095, 0.0777601
2016-03-08, 0.0823866, 0.0872716, 0.0775015
2016-03-09, 0.0820904, 0.0869362, 0.0772446
2016-03-11, 0.0817963, 0.0866031, 0.0769895
2016-03-12, 0.0815042, 0.0862723, 0.0767361
2016-03-14, 0.0812142, 0.0859439, 0.0764845
2016-03-15, 0.0809262, 0.0856179, 0.0762345
2016-03-16, 0.0806402, 0.0852941, 0.0759862
2016-03-18, 0.0803561, 0.0849726, 0.0757396
2016-03-19, 0.0800741, 0.0846534, 0.0754947
2016-03-21, 0.079794, 0.0843365, 0.0752515
2016-03-22, 0.0795158, 0.0840218, 0.0750098
2016-03-23, 0.0792396, 0.0837093, 0.0747698
2016-03-25, 0.0789653, 0.0833991, 0.0745315
2016-03-26, 0.0786929, 0.0830911, 0.0742947
2016-03-28, 0.0784224, 0.0827852, 0.0740595
2016-03-29, 0.0781537, 0.0824815, 0.073826
2016-03-30, 0.077887, 0.08218, 0.073594
2016-04-01, 0.0776221, 0.0818806, 0.0733635
2016-04-02, 0.077359, 0.0815834, 0.0731346
2016-04-04, 0.0770978, 0.0812882, 0.0729073
2016-04-05, 0.0768383, 0.0809952, 0.0726814
2016-04-06, 0.0765807, 0.0807043, 0.0724571
2016-04-08, 0.0763249, 0.0804154, 0.0722343
2016-04-09, 0.0760708, 0.0801286, 0.072013
2016-04-11, 0.0758185, 0.0798438, 0.0717932
2016-04-12, 0.075568, 0.0795611, 0.0715749
2016-04-13, 0.0753192, 0.0792803, 0.071358
2016-04-15, 0.0750721, 0.0790016, 0.0711425
2016-04-16, 0.0748267, 0.0787249, 0.0709285
2016-04-17, 0.0745831, 0.0784501, 0.070716
2016-04-19, 0.0743411, 0.0781774, 0.0705048
2016-04-20, 0.0741008, 0.0779065, 0.0702951
2016-04-22, 0.0738622, 0.0776376, 0.0700868
2016-04-23, 0.0736252, 0.0773706, 0.0698798
2016-04-24, 0.0733899, 0.0771056, 0.0696743
2016-04-26, 0.0731563, 0.0768424, 0.0694701
2016-04-27, 0.0729242, 0.0765812, 0.0692672
2016-04-29, 0.0726938, 0.0763218, 0.0690658
2016-04-30, 0.0724649, 0.0760642, 0.0688656
2016-05-01, 0.0722377, 0.0758085, 0.0686668
2016-05-03, 0.072012, 0.0755547, 0.0684693
2016-05-04, 0.0717879, 0.0753027, 0.0682731
2016-05-06, 0.0715653, 0.0750524, 0.0680782
2016-05-07, 0.0713443, 0.074804, 0.0678846
2016-05-08, 0.0711248, 0.0745574, 0.0676923
2016-05-10, 0.0709069, 0.0743126, 0.0675012
2016-05-11, 0.0706905, 0.0740695, 0.0673114
2016-05-13, 0.0704755, 0.0738282, 0.0671229
2016-05-14, 0.0702621, 0.0735886, 0.0669356
2016-05-15, 0.0700501, 0.0733508, 0.0667495
2016-05-17, 0.0698397, 0.0731146, 0.0665647
2016-05-18, 0.0696306, 0.0728802, 0.0663811
2016-05-19, 0.0694231, 0.0726475, 0.0661987
2016-05-21, 0.0692169, 0.0724165, 0.0660174
2016-05-22, 0.0690123, 0.0721871, 0.0658374
2016-05-24, 0.068809, 0.0719594, 0.0656585
2016-05-25, 0.0686071, 0.0717334, 0.0654809
2016-05-26, 0.0684067, 0.071509, 0.0653043
2016-05-28, 0.0682076, 0.0712862, 0.065129
2016-05-29, 0.0680099, 0.0710651, 0.0649547
2016-05-31, 0.0678136, 0.0708455, 0.0647816
2016-06-01, 0.0676186, 0.0706276, 0.0646097
2016-06-02, 0.067425, 0.0704113, 0.0644388
2016-06-04, 0.0672328, 0.0701965, 0.0642691
2016-06-05, 0.0670419, 0.0699833, 0.0641005
2016-06-07, 0.0668523, 0.0697717, 0.0639329
2016-06-08, 0.066664, 0.0695616, 0.0637665
2016-06-09, 0.0664771, 0.069353, 0.0636011
2016-06-11, 0.0662914, 0.069146, 0.0634368
2016-06-12, 0.066107, 0.0689405, 0.0632735
2016-06-14, 0.0659239, 0.0687365, 0.0631113
2016-06-15, 0.0657421, 0.068534, 0.0629502
2016-06-16, 0.0655615, 0.068333, 0.06279
2016-06-18, 0.0653822, 0.0681335, 0.062631
2016-06-19, 0.0652042, 0.0679354, 0.0624729
2016-06-20, 0.0650273, 0.0677388, 0.0623158
2016-06-22, 0.0648517, 0.0675437, 0.0621598
2016-06-23, 0.0646774, 0.06735, 0.0620047
2016-06-25, 0.0645042, 0.0671577, 0.0618507
2016-06-26, 0.0643322, 0.0669669, 0.0616976
2016-06-27, 0.0641614, 0.0667774, 0.0615455
2016-06-29, 0.0639919, 0.0665894, 0.0613943
2016-06-30, 0.0638235, 0.0664028, 0.0612441
2016-07-02, 0.0636562, 0.0662175, 0.0610949
2016-07-03, 0.0634901, 0.0660337, 0.0609466
2016-07-04, 0.0633252, 0.0658512, 0.0607993
2016-07-06, 0.0631614, 0.06567, 0.0606529
2016-07-07, 0.0629988, 0.0654902, 0.0605074
2016-07-09, 0.0628373, 0.0653118, 0.0603628
2016-07-10, 0.0626769, 0.0651347, 0.0602192
2016-07-11, 0.0625176, 0.0649589, 0.0600764
2016-07-13, 0.0623595, 0.0647844, 0.0599346
2016-07-14, 0.0622024, 0.0646112, 0.0597936
2016-07-16, 0.0620464, 0.0644394, 0.0596535
2016-07-17, 0.0618915, 0.0642688, 0.0595143
2016-07-18, 0.0617377, 0.0640995, 0.0593759
2016-07-20, 0.061585, 0.0639315, 0.0592385
2016-07-21, 0.0614333, 0.0637647, 0.0591018
2016-07-22, 0.0612826, 0.0635992, 0.0589661
2016-07-24, 0.061133, 0.0634349, 0.0588311
2016-07-25, 0.0609845, 0.0632719, 0.058697
2016-07-27, 0.060837, 0.0631102, 0.0585638
2016-07-28, 0.0606905, 0.0629496, 0.0584313
2016-07-29, 0.060545, 0.0627903, 0.0582997
2016-07-31, 0.0604005, 0.0626321, 0.0581689
2016-08-01, 0.0602571, 0.0624752, 0.0580389
2016-08-03, 0.0601146, 0.0623195, 0.0579097
2016-08-04, 0.0599731, 0.0621649, 0.0577813
2016-08-05, 0.0598326, 0.0620116, 0.0576537
2016-08-07, 0.0596931, 0.0618594, 0.0575268
2016-08-08, 0.0595546, 0.0617083, 0.0574008
2016-08-10, 0.059417, 0.0615584, 0.0572755
2016-08-11, 0.0592803, 0.0614097, 0.057151
2016-08-12, 0.0591446, 0.0612621, 0.0570272
2016-08-14, 0.0590099, 0.0611156, 0.0569042
2016-08-15, 0.0588761, 0.0609703, 0.0567819
2016-08-17, 0.0587432, 0.060826, 0.0566604
2016-08-18, 0.0586113, 0.0606829, 0.0565396
2016-08-19, 0.0584802, 0.0605409, 0.0564196
2016-08-21, 0.0583501, 0.0604, 0.0563002
2016-08-22, 0.0582209, 0.0602601, 0.0561816
2016-08-23, 0.0580926, 0.0601214, 0.0560638
2016-08-25, 0.0579651, 0.0599837, 0.0559466
2016-08-26, 0.0578386, 0.059847, 0.0558301
2016-08-28, 0.0577129, 0.0597115, 0.0557143
2016-08-29, 0.0575881, 0.0595769, 0.0555993
