time, best, up, low
2018-07-26, 0.0618173, 0.0680758, 0.0555587
2018-07-28, 0.0616391, 0.0678388, 0.0554395
2018-07-29, 0.0614623, 0.0676035, 0.055321
2018-07-31, 0.0612866, 0.06737, 0.0552032
2018-08-01, 0.0611122, 0.0671381, 0.0550863
2018-08-02, 0.060939, 0.066908, 0.05497
2018-08-04, 0.060767, 0.0666795, 0.0548546
2018-08-05, 0.0605963, 0.0664527, 0.0547398
2018-08-07, 0.0604267, 0.0662276, 0.0546258
2018-08-08, 0.0602583, 0.0660041, 0.0545125
2018-08-09, 0.0600911, 0.0657822, 0.0544
2018-08-11, 0.0599251, 0.065562, 0.0542881
2018-08-12, 0.0597602, 0.0653434, 0.054177
2018-08-14, 0.0595965, 0.0651264, 0.0540666
2018-08-15, 0.0594339, 0.064911, 0.0539568
2018-08-16, 0.0592725, 0.0646971, 0.0538478
2018-08-18, 0.0591122, 0.0644849, 0.0537394
2018-08-19, 0.058953, 0.0642742, 0.0536318
2018-08-21, 0.0587949, 0.0640651, 0.0535247
2018-08-22, 0.058638, 0.0638575, 0.0534184
2018-08-23, 0.0584821, 0.0636515, 0.0533127
2018-08-25, 0.0583273, 0.063447, 0.0532077
2018-08-26, 0.0581736, 0.063244, 0.0531033
2018-08-28, 0.058021, 0.0630425, 0.0529996
2018-08-29, 0.0578695, 0.0628425, 0.0528965
2018-08-31, 0.057719, 0.062644, 0.052794
2018-09-01, 0.0575696, 0.062447, 0.0526921
2018-09-02, 0.0574212, 0.0622515, 0.0525909
2018-09-04, 0.0572739, 0.0620574, 0.0524903
2018-09-05, 0.0571276, 0.0618648, 0.0523903
2018-09-07, 0.0569823, 0.0616737, 0.0522909
2018-09-08, 0.056838, 0.0614839, 0.0521921
2018-09-09, 0.0566947, 0.0612956, 0.0520939
2018-09-11, 0.0565525, 0.0611088, 0.0519962
2018-09-12, 0.0564112, 0.0609233, 0.0518992
2018-09-14, 0.056271, 0.0607392, 0.0518027
2018-09-15, 0.0561317, 0.0605566, 0.0517068
2018-09-16, 0.0559934, 0.0603753, 0.0516115
2018-09-18, 0.055856, 0.0601954, 0.0515167
2018-09-19, 0.0557197, 0.0600169, 0.0514224
2018-09-21, 0.0555842, 0.0598397, 0.0513287
2018-09-22, 0.0554498, 0.0596639, 0.0512356
2018-09-23, 0.0553162, 0.0594895, 0.051143
2018-09-25, 0.0551836, 0.0593164, 0.0510509
2018-09-26, 0.0550519, 0.0591446, 0.0509593
2018-09-28, 0.0549212, 0.0589741, 0.0508683
2018-09-29, 0.0547914, 0.058805, 0.0507777
2018-09-30, 0.0546624, 0.0586372, 0.0506877
2018-10-02, 0.0545344, 0.0584707, 0.0505982
2018-10-03, 0.0544073, 0.0583054, 0.0505092
2018-10-05, 0.0542811, 0.0581415, 0.0504206
2018-10-06, 0.0541557, 0.0579789, 0.0503326
2018-10-07, 0.0540312, 0.0578175, 0.050245
2018-10-09, 0.0539076, 0.0576574, 0.0501579
2018-10-10, 0.0537849, 0.0574985, 0.0500713
2018-10-12, 0.053663, 0.057341, 0.0499851
2018-10-13, 0.053542, 0.0571846, 0.0498994
2018-10-14, 0.0534218, 0.0570295, 0.0498141
2018-10-16, 0.0533025, 0.0568757, 0.0497293
2018-10-17, 0.053184, 0.056723, 0.049645
2018-10-19, 0.0530663, 0.0565716, 0.049561
2018-10-20, 0.0529495, 0.0564214, 0.0494775
2018-10-21, 0.0528335, 0.0562725, 0.0493945
2018-10-23, 0.0527182, 0.0561247, 0.0493118
2018-10-24, 0.0526038, 0.0559781, 0.0492296
2018-10-26, 0.0524902, 0.0558327, 0.0491477
2018-10-27, 0.0523774, 0.0556885, 0.0490663
2018-10-28, 0.0522654, 0.0555455, 0.0489853
2018-10-30, 0.0521542, 0.0554037, 0.0489047
2018-10-31, 0.0520437, 0.055263, 0.0488244
2018-11-02, 0.051934, 0.0551235, 0.0487446
2018-11-03, 0.0518251, 0.0549851, 0.0486651
2018-11-04, 0.051717, 0.0548479, 0.048586
2018-11-06, 0.0516096, 0.0547119, 0.0485073
2018-11-07, 0.0515029, 0.054577, 0.0484289
2018-11-09, 0.051397, 0.0544432, 0.0483509
2018-11-10, 0.0512919, 0.0543105, 0.0482732
2018-11-11, 0.0511875, 0.054179, 0.0481959
2018-11-13, 0.0510838, 0.0540486, 0.0481189
2018-11-14, 0.0509808, 0.0539193, 0.0480423
2018-11-16, 0.0508786, 0.0537911, 0.047966
2018-11-17, 0.050777, 0.0536641, 0.04789
2018-11-18, 0.0506762, 0.0535381, 0.0478144
2018-11-20, 0.0505761, 0.0534132, 0.0477391
2018-11-21, 0.0504767, 0.0532894, 0.0476641
2018-11-23, 0.050378, 0.0531667, 0.0475893
2018-11-24, 0.05028, 0.053045, 0.0475149
2018-11-25, 0.0501827, 0.0529245, 0.0474408
2018-11-27, 0.050086, 0.052805, 0.047367
2018-11-28, 0.04999, 0.0526865, 0.0472935
2018-11-30, 0.0498947, 0.0525692, 0.0472203
2018-12-01, 0.0498001, 0.0524528, 0.0471474
2018-12-03, 0.0497061, 0.0523376, 0.0470747
2018-12-04, 0.0496128, 0.0522233, 0.0470023
2018-12-05, 0.0495202, 0.0521102, 0.0469302
2018-12-07, 0.0494281, 0.051998, 0.0468583
2018-12-08, 0.0493368, 0.0518869, 0.0467867
2018-12-10, 0.0492461, 0.0517768, 0.0467153
2018-12-11, 0.049156, 0.0516677, 0.0466443
2018-12-12, 0.0490665, 0.0515596, 0.0465734
2018-12-14, 0.0489777, 0.0514525, 0.0465028
2018-12-15, 0.0488895, 0.0513465, 0.0464324
2018-12-17, 0.0488019, 0.0512414, 0.0463623
2018-12-18, 0.0487149, 0.0511373, 0.0462924
2018-12-19, 0.0486285, 0.0510342, 0.0462228
2018-12-21, 0.0485427, 0.0509321, 0.0461533
2018-12-22, 0.0484576, 0.050831, 0.0460841
2018-12-24, 0.048373, 0.0507309, 0.0460152
2018-12-25, 0.048289, 0.0506317, 0.0459464
2018-12-26, 0.0482056, 0.0505334, 0.0458778
2018-12-28, 0.0481228, 0.0504362, 0.0458095
2018-12-29, 0.0480406, 0.0503399, 0.0457413
2018-12-31, 0.047959, 0.0502445, 0.0456734
2019-01-01, 0.0478779, 0.0501501, 0.0456057
2019-01-02, 0.0477974, 0.0500566, 0.0455382
2019-01-04, 0.0477174, 0.049964, 0.0454708
2019-01-05, 0.047638, 0.0498723, 0.0454037
2019-01-07, 0.0475592, 0.0497816, 0.0453368
2019-01-08, 0.0474809, 0.0496918, 0.0452701
2019-01-09, 0.0474032, 0.0496029, 0.0452035
2019-01-11, 0.047326, 0.0495149, 0.0451371
2019-01-12, 0.0472494, 0.0494277, 0.045071
2019-01-14, 0.0471732, 0.0493415, 0.045005
2019-01-15, 0.0470977, 0.0492561, 0.0449392
2019-01-16, 0.0470226, 0.0491717, 0.0448736
2019-01-18, 0.0469481, 0.049088, 0.0448082
2019-01-19, 0.0468741, 0.0490053, 0.0447429
2019-01-21, 0.0468006, 0.0489234, 0.0446778
2019-01-22, 0.0467277, 0.0488424, 0.044613
2019-01-23, 0.0466552, 0.0487621, 0.0445483
2019-01-25, 0.0465832, 0.0486828, 0.0444837
2019-01-26, 0.0465118, 0.0486042, 0.0444194
2019-01-28, 0.0464409, 0.0485265, 0.0443552
2019-01-29, 0.0463704, 0.0484496, 0.0442912
2019-01-30, 0.0463005, 0.0483735, 0.0442274
2019-02-01, 0.046231, 0.0482982, 0.0441638
2019-02-02, 0.046162, 0.0482237, 0.0441003
2019-02-04, 0.0460935, 0.04815, 0.0440371
2019-02-05, 0.0460255, 0.048077, 0.043974
2019-02-06, 0.045958, 0.0480049, 0.0439111
2019-02-08, 0.0458909, 0.0479334, 0.0438484
