time, best, up, low
2016-01-24, 1.17134, 1.21802, 1.12467
2016-01-25, 1.16412, 1.21044, 1.1178
2016-01-26, 1.15695, 1.20291, 1.11098
2016-01-28, 1.14982, 1.19544, 1.10421
2016-01-29, 1.14275, 1.18801, 1.09749
2016-01-31, 1.13572, 1.18064, 1.09081
2016-02-01, 1.12875, 1.17332, 1.08418
2016-02-02, 1.12182, 1.16605, 1.07759
2016-02-04, 1.11494, 1.15883, 1.07105
2016-02-05, 1.10811, 1.15166, 1.06456
2016-02-06, 1.10133, 1.14454, 1.05811
2016-02-08, 1.09459, 1.13747, 1.0517
2016-02-09, 1.0879, 1.13045, 1.04534
2016-02-11, 1.08125, 1.12348, 1.03903
2016-02-12, 1.07466, 1.11656, 1.03275
2016-02-13, 1.0681, 1.10968, 1.02652
2016-02-15, 1.0616, 1.10285, 1.02034
2016-02-16, 1.05514, 1.09607, 1.0142
2016-02-18, 1.04872, 1.08934, 1.00809
2016-02-19, 1.04235, 1.08266, 1.00204
2016-02-20, 1.03602, 1.07602, 0.996019
2016-02-22, 1.02974, 1.06943, 0.990045
2016-02-23, 1.0235, 1.06288, 0.984111
2016-02-25, 1.0173, 1.05638, 0.978219
2016-02-26, 1.01114, 1.04992, 0.972367
2016-02-27, 1.00503, 1.04351, 0.966556
2016-02-29, 0.998965, 1.03715, 0.960785
2016-03-01, 0.992939, 1.03082, 0.955054
2016-03-03, 0.986954, 1.02455, 0.949362
2016-03-04, 0.981011, 1.01831, 0.943711
2016-03-05, 0.975109, 1.01212, 0.938098
2016-03-07, 0.969249, 1.00597, 0.932524
2016-03-08, 0.963429, 0.999869, 0.926988
2016-03-09, 0.957649, 0.993807, 0.921491
2016-03-11, 0.95191, 0.987787, 0.916032
2016-03-12, 0.94621, 0.981809, 0.910611
2016-03-14, 0.94055, 0.975873, 0.905227
2016-03-15, 0.934929, 0.969978, 0.899881
2016-03-16, 0.929348, 0.964124, 0.894571
2016-03-18, 0.923805, 0.958311, 0.889298
2016-03-19, 0.9183, 0.952539, 0.884062
2016-03-21, 0.912834, 0.946807, 0.878862
2016-03-22, 0.907406, 0.941115, 0.873698
2016-03-23, 0.902016, 0.935462, 0.868569
2016-03-25, 0.896663, 0.929849, 0.863476
2016-03-26, 0.891347, 0.924275, 0.858418
2016-03-28, 0.886068, 0.91874, 0.853396
2016-03-29, 0.880825, 0.913243, 0.848408
2016-03-30, 0.87562, 0.907785, 0.843454
2016-04-01, 0.87045, 0.902365, 0.838535
2016-04-02, 0.865316, 0.896983, 0.833649
2016-04-04, 0.860218, 0.891638, 0.828798
2016-04-05, 0.855155, 0.88633, 0.82398
2016-04-06, 0.850127, 0.88106, 0.819195
2016-04-08, 0.845135, 0.875826, 0.814443
2016-04-09, 0.840177, 0.870629, 0.809724
2016-04-11, 0.835253, 0.865468, 0.805038
2016-04-12, 0.830364, 0.860344, 0.800384
2016-04-13, 0.825508, 0.855254, 0.795762
2016-04-15, 0.820687, 0.850201, 0.791172
2016-04-16, 0.815898, 0.845183, 0.786614
2016-04-17, 0.811144, 0.840199, 0.782088
2016-04-19, 0.806422, 0.835251, 0.777592
2016-04-20, 0.801732, 0.830337, 0.773128
2016-04-22, 0.797076, 0.825457, 0.768694
2016-04-23, 0.792452, 0.820612, 0.764291
2016-04-24, 0.78786, 0.8158, 0.759919
2016-04-26, 0.783299, 0.811022, 0.755576
2016-04-27, 0.778771, 0.806278, 0.751264
2016-04-29, 0.774274, 0.801566, 0.746981
2016-04-30, 0.769808, 0.796888, 0.742728
2016-05-01, 0.765373, 0.792242, 0.738504
2016-05-03, 0.760969, 0.787628, 0.73431
2016-05-04, 0.756595, 0.783047, 0.730144
2016-05-06, 0.752252, 0.778498, 0.726007
2016-05-07, 0.747939, 0.773981, 0.721898
2016-05-08, 0.743657, 0.769495, 0.717818
2016-05-10, 0.739403, 0.765041, 0.713766
2016-05-11, 0.73518, 0.760617, 0.709742
2016-05-13, 0.730985, 0.756225, 0.705746
