time, best, up, low
2018-07-26, 0.484435, 0.521615, 0.447255
2018-07-28, 0.481706, 0.518548, 0.444864
2018-07-29, 0.478997, 0.515504, 0.44249
2018-07-31, 0.476306, 0.51248, 0.440132
2018-08-01, 0.473634, 0.509479, 0.43779
2018-08-02, 0.470981, 0.506498, 0.435464
2018-08-04, 0.468347, 0.503539, 0.433155
2018-08-05, 0.465731, 0.500601, 0.430861
2018-08-07, 0.463133, 0.497683, 0.428583
2018-08-08, 0.460554, 0.494787, 0.426321
2018-08-09, 0.457992, 0.49191, 0.424074
2018-08-11, 0.455449, 0.489055, 0.421843
2018-08-12, 0.452923, 0.486219, 0.419627
2018-08-14, 0.450415, 0.483404, 0.417426
2018-08-15, 0.447925, 0.480608, 0.415241
2018-08-16, 0.445452, 0.477833, 0.41307
2018-08-18, 0.442996, 0.475077, 0.410915
2018-08-19, 0.440557, 0.472341, 0.408774
2018-08-21, 0.438136, 0.469624, 0.406648
2018-08-22, 0.435731, 0.466926, 0.404537
2018-08-23, 0.433344, 0.464248, 0.40244
2018-08-25, 0.430973, 0.461589, 0.400357
2018-08-26, 0.428619, 0.458949, 0.398289
2018-08-28, 0.426281, 0.456327, 0.396234
2018-08-29, 0.423959, 0.453725, 0.394194
2018-08-31, 0.421654, 0.45114, 0.392168
2018-09-01, 0.419365, 0.448575, 0.390156
2018-09-02, 0.417092, 0.446027, 0.388157
2018-09-04, 0.414835, 0.443498, 0.386172
2018-09-05, 0.412594, 0.440987, 0.384201
2018-09-07, 0.410368, 0.438493, 0.382243
2018-09-08, 0.408158, 0.436018, 0.380298
2018-09-09, 0.405964, 0.43356, 0.378367
2018-09-11, 0.403784, 0.43112, 0.376449
2018-09-12, 0.401621, 0.428697, 0.374544
2018-09-14, 0.399472, 0.426292, 0.372652
2018-09-15, 0.397338, 0.423904, 0.370773
2018-09-16, 0.395219, 0.421533, 0.368906
2018-09-18, 0.393115, 0.419179, 0.367052
2018-09-19, 0.391026, 0.416841, 0.365211
2018-09-21, 0.388952, 0.414521, 0.363382
2018-09-22, 0.386892, 0.412217, 0.361566
2018-09-23, 0.384846, 0.40993, 0.359762
2018-09-25, 0.382815, 0.40766, 0.35797
2018-09-26, 0.380798, 0.405405, 0.35619
2018-09-28, 0.378795, 0.403167, 0.354423
2018-09-29, 0.376806, 0.400945, 0.352667
2018-09-30, 0.374831, 0.398739, 0.350923
2018-10-02, 0.37287, 0.396549, 0.349191
2018-10-03, 0.370922, 0.394374, 0.34747
2018-10-05, 0.368989, 0.392216, 0.345761
2018-10-06, 0.367068, 0.390073, 0.344064
2018-10-07, 0.365162, 0.387945, 0.342378
2018-10-09, 0.363268, 0.385833, 0.340703
2018-10-10, 0.361388, 0.383736, 0.339039
2018-10-12, 0.359521, 0.381655, 0.337387
2018-10-13, 0.357667, 0.379588, 0.335746
2018-10-14, 0.355826, 0.377537, 0.334115
2018-10-16, 0.353998, 0.3755, 0.332496
2018-10-17, 0.352183, 0.373478, 0.330887
2018-10-19, 0.35038, 0.371471, 0.329289
2018-10-20, 0.34859, 0.369478, 0.327702
2018-10-21, 0.346813, 0.3675, 0.326125
2018-10-23, 0.345048, 0.365537, 0.324559
2018-10-24, 0.343295, 0.363587, 0.323003
2018-10-26, 0.341555, 0.361652, 0.321457
2018-10-27, 0.339827, 0.359732, 0.319922
2018-10-28, 0.338111, 0.357825, 0.318397
2018-10-30, 0.336407, 0.355932, 0.316882
2018-10-31, 0.334715, 0.354053, 0.315376
2018-11-02, 0.333034, 0.352188, 0.313881
2018-11-03, 0.331366, 0.350336, 0.312396
2018-11-04, 0.329709, 0.348499, 0.31092
2018-11-06, 0.328064, 0.346674, 0.309454
2018-11-07, 0.32643, 0.344863, 0.307997
2018-11-09, 0.324808, 0.343066, 0.30655
2018-11-10, 0.323197, 0.341282, 0.305113
2018-11-11, 0.321598, 0.339511, 0.303685
2018-11-13, 0.320009, 0.337753, 0.302266
2018-11-14, 0.318432, 0.336008, 0.300856
2018-11-16, 0.316866, 0.334276, 0.299456
2018-11-17, 0.315311, 0.332557, 0.298064
2018-11-18, 0.313766, 0.330851, 0.296682
2018-11-20, 0.312233, 0.329157, 0.295308
2018-11-21, 0.31071, 0.327476, 0.293944
2018-11-23, 0.309198, 0.325808, 0.292588
2018-11-24, 0.307696, 0.324152, 0.29124
2018-11-25, 0.306205, 0.322509, 0.289902
