xunit, xunit_low, fitted_data, total_model, Nnbb_bege, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_bege, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
541.288, 517.576, 68595.1, 4662.68, 1177.74, 4.44281, 51.9748, 5.19249, 2.20899, 41.0021, 2.69954, 9.74472, 25.9074, 51.6457, 9.95364, 289.063, 84.735, 42.1183, 16.4359, 1954.66, 169.915, 2.06151, 12.6003, 49.7972, 356.418, 238.183, 3.78237, 21.3622, 10.1682, 3.52583, 25.336, 4680.3, 4645.03, 4697.9, 4627.43, 4715.03, 4610.3, 3626.18
572.5, 565, 76.9333, 76.1073, 52.3218, 0.0355893, 0.501241, 0.0440285, 0.0164289, 0.361714, 0.0206692, 0.0550002, 0.32246, 0.464727, 0.0902818, 2.49986, 0.742233, 0.364245, 0.117822, 12.5568, 1.37205, 0.024433, 0.0957249, 0.364975, 2.33079, 1.11325, 0.0168432, 0.0991459, 0.0484404, 0.0414811, 0.0852441, 78.3667, 73.8333, 80.6333, 71.5667, 82.8333, 69.3667, 0.366695
584, 580, 81.375, 82.885, 52.4081, 0.0353318, 0.500149, 0.0439015, 0.218056, 6.60075, 0.332897, 0.448262, 0.321776, 0.442256, 0.0909721, 2.52429, 0.73321, 0.367805, 0.115417, 12.1845, 1.34992, 0.0238209, 0.0912568, 0.354206, 2.27103, 1.13608, 0.0171288, 0.0997925, 0.0474719, 0.0412339, 0.0853289, 86.1875, 79.5625, 89.3125, 76.4375, 92.5625, 73.3125, -0.469118
596, 588, 74.3125, 75.1892, 52.7613, 0.0327703, 0.462688, 0.040182, 0.00985055, 0.237284, 0.0124796, 0.0337205, 0.318715, 0.439438, 0.0884987, 2.42398, 0.731957, 0.353189, 0.112452, 11.8411, 1.32363, 0.0234426, 0.094854, 0.344033, 2.19912, 1.02597, 0.015768, 0.0920765, 0.0448577, 0.0403209, 0.085398, 77.4062, 72.9688, 79.5312, 70.8438, 81.6562, 68.7188, -0.404401
608, 604, 92.375, 91.8291, 53.1214, 0.033697, 0.48153, 0.0421453, 0.00939062, 0.224172, 0.0120554, 0.0325004, 0.317806, 0.430874, 0.0858351, 2.33678, 0.716008, 0.340483, 0.10982, 11.5048, 1.3061, 0.0230032, 0.0910674, 0.342995, 2.13728, 16.1781, 0.180733, 1.30505, 0.33983, 0.0401683, 0.0854969, 95.3125, 88.4375, 98.6875, 85.0625, 101.938, 81.6875, 0.161122
617, 612, 72.9, 74.5499, 53.3157, 0.0341586, 0.492884, 0.0426924, 0.00930029, 0.219911, 0.0116718, 0.0316677, 0.313171, 0.444157, 0.0908906, 2.35775, 0.716167, 0.343539, 0.107982, 11.2177, 1.29278, 0.0227679, 0.0874702, 0.325886, 2.09469, 0.745442, 0.0111104, 0.0642231, 0.0305096, 0.0401141, 0.0855347, 77.35, 71.75, 80.05, 69.05, 82.75, 66.35, -0.60428
627, 622, 72.6, 74.0798, 53.2318, 0.0324363, 0.468382, 0.0402618, 0.00898186, 0.215624, 0.0115894, 0.0308302, 0.312687, 0.423647, 0.0869766, 2.32447, 0.701494, 0.338689, 0.105635, 11.0474, 1.27133, 0.0225181, 0.0889091, 0.326883, 2.05588, 0.706299, 0.0107995, 0.0615685, 0.029418, 0.039683, 0.0856123, 76.85, 71.35, 79.55, 68.55, 82.25, 65.95, -0.543706
637, 632, 75.2, 73.7873, 53.3156, 0.0317293, 0.46109, 0.0395491, 0.00878964, 0.211, 0.0111752, 0.0303099, 0.311552, 0.430189, 0.0834758, 2.29392, 0.707053, 0.334238, 0.10376, 10.8002, 1.24927, 0.0219466, 0.087243, 0.307615, 2.00788, 0.713518, 0.0107128, 0.0617943, 0.0290742, 0.0389565, 0.0856783, 76.55, 71.05, 79.25, 68.35, 81.85, 65.65, 0.52006
647, 642, 70.2, 73.6599, 53.4844, 0.0323096, 0.475646, 0.04077, 0.00874156, 0.209805, 0.0111186, 0.0299565, 0.312358, 0.428156, 0.0813449, 2.27933, 0.694294, 0.332112, 0.101659, 10.6045, 1.23645, 0.0218525, 0.0855769, 0.303629, 1.97308, 0.69002, 0.0102546, 0.0591712, 0.0281343, 0.0394172, 0.085731, 76.45, 70.85, 79.15, 68.15, 81.75, 65.55, -1.2748
657, 652, 79.8, 73.3754, 53.5297, 0.0316265, 0.468173, 0.0400104, 0.00853378, 0.205143, 0.0109723, 0.0291233, 0.311127, 0.418077, 0.0839107, 2.25881, 0.715711, 0.329123, 0.101011, 10.366, 1.22314, 0.0215284, 0.0848196, 0.301636, 1.93861, 0.677585, 0.0103107, 0.0584712, 0.027604, 0.0388443, 0.085812, 76.15, 70.65, 78.85, 67.95, 81.45, 65.25, 2.37178
667, 662, 72.5, 73.4069, 53.6898, 0.0327891, 0.492992, 0.0422947, 0.00813299, 0.191727, 0.0101313, 0.0277078, 0.31059, 0.420552, 0.0814101, 2.19771, 0.682264, 0.32022, 0.0995541, 10.1857, 1.20603, 0.0213377, 0.0854254, 0.28104, 1.90575, 0.867596, 0.0121099, 0.0756272, 0.033791, 0.038732, 0.0858917, 76.15, 70.65, 78.85, 67.95, 81.45, 65.35, -0.334729
677, 672, 78.2, 72.9566, 53.6294, 0.0346493, 0.528221, 0.0451454, 0.00775057, 0.186091, 0.00972571, 0.0267367, 0.311351, 0.430012, 0.0799968, 2.19634, 0.667408, 0.320021, 0.0981087, 10.0347, 1.19683, 0.0211398, 0.081866, 0.312266, 1.87457, 0.647809, 0.00971928, 0.0559058, 0.02606, 0.0388167, 0.0859566, 75.75, 70.25, 78.35, 67.55, 81.05, 64.85, 1.94124
687, 682, 69, 72.669, 53.6878, 0.0330414, 0.505927, 0.0428842, 0.00754701, 0.182357, 0.00969249, 0.0260922, 0.30907, 0.407999, 0.0797358, 2.19862, 0.681534, 0.320353, 0.0964252, 9.79124, 1.17553, 0.0207343, 0.0773221, 0.298314, 1.83447, 0.665028, 0.00980181, 0.0569015, 0.0262018, 0.0383225, 0.0860202, 75.45, 69.95, 78.05, 67.25, 80.75, 64.65, -1.36104
