xunit, xunit_low, fitted_data, total_model, Nnbb_semicoax, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_coax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
540.799, 516.598, 32382.1, 1778.24, 630.4, 1.66826, 17.0711, 2.06964, 0.821528, 13.8484, 1.06039, 3.90868, 9.06448, 14.6347, 3.76558, 112.184, 28.0908, 16.346, 6.48339, 481.218, 51.6749, 0.0621167, 5.46783, 127.941, 139.273, 64.5536, 1.42327, 8.60561, 4.05844, 1.55337, 30.9866, 1789.17, 1767.3, 1799.97, 1756.5, 1810.57, 1745.9, 2810.78
572.5, 565, 42.3333, 41.3572, 31.1287, 0.0177255, 0.198821, 0.0230343, 0.0088712, 0.162703, 0.0121016, 0.0330979, 0.127456, 0.157365, 0.044735, 1.2098, 0.292312, 0.176276, 0.0615942, 4.24452, 0.496756, 0.00061712, 0.0561425, 1.18506, 1.22484, 0.379109, 0.0083441, 0.0496832, 0.0265425, 0.022649, 0.00828793, 43.0333, 39.6333, 44.7, 38.0333, 46.3, 36.3667, 0.587886
584, 580, 48.875, 44.5836, 31.2052, 0.0174723, 0.197267, 0.0226749, 0.125259, 2.86451, 0.212148, 0.302321, 0.126275, 0.159022, 0.0431078, 1.21455, 0.298593, 0.176968, 0.0607013, 4.15547, 0.488433, 0.000566481, 0.0523496, 1.16934, 1.19406, 0.381489, 0.00849001, 0.0505831, 0.026284, 0.0220578, 0.00840119, 47.0625, 42.1875, 49.3125, 39.8125, 51.6875, 37.5625, 1.81785
596, 588, 41.5625, 41.1542, 31.5002, 0.0160246, 0.179927, 0.0206771, 0.00497746, 0.0950181, 0.00681843, 0.0185503, 0.124711, 0.157088, 0.043597, 1.17437, 0.280935, 0.171114, 0.0592943, 4.01913, 0.479286, 0.000582322, 0.0549055, 1.12677, 1.17024, 0.342185, 0.00757124, 0.0447122, 0.0246461, 0.0223298, 0.00849426, 42.7812, 39.5312, 44.4062, 37.9062, 45.9688, 36.3438, 0.254616
608, 604, 42.625, 47.9215, 31.7846, 0.0166406, 0.18914, 0.0215618, 0.00474336, 0.0907423, 0.00637233, 0.0176944, 0.124888, 0.153386, 0.0406616, 1.18036, 0.282871, 0.171985, 0.0575824, 3.91051, 0.475421, 0.000555921, 0.0526336, 1.12324, 1.13524, 5.89283, 0.103864, 0.826157, 0.226691, 0.0225673, 0.0086307, 50.4375, 45.4375, 52.8125, 42.9375, 55.1875, 40.5625, -2.16407
617, 612, 44.1, 41.3737, 31.8649, 0.0170488, 0.195825, 0.0226007, 0.0047064, 0.0898575, 0.00613118, 0.0174031, 0.124522, 0.151618, 0.0409225, 1.1522, 0.277426, 0.167883, 0.0568368, 3.83975, 0.463374, 0.000556977, 0.0492256, 1.14475, 1.11816, 0.448738, 0.00803769, 0.0577747, 0.022794, 0.0219481, 0.00869447, 43.45, 39.25, 45.45, 37.25, 47.45, 35.25, 1.34032
627, 622, 45, 41.0511, 31.9148, 0.0160328, 0.183043, 0.0208148, 0.00455456, 0.0881132, 0.00614787, 0.0170539, 0.122396, 0.15206, 0.0406616, 1.1709, 0.273142, 0.170607, 0.0559882, 3.75783, 0.465063, 0.000538874, 0.0491499, 1.12416, 1.09293, 0.241855, 0.00536713, 0.0315857, 0.0159609, 0.0215878, 0.008784, 43.15, 38.95, 45.15, 36.95, 47.15, 34.95, 1.94902
637, 632, 40.7, 40.8917, 31.9806, 0.015644, 0.18063, 0.0205432, 0.00451711, 0.0868959, 0.00611242, 0.0168843, 0.123212, 0.148701, 0.0414009, 1.09931, 0.26813, 0.160177, 0.0546566, 3.6682, 0.452783, 0.000519564, 0.0489984, 1.11021, 1.07272, 0.247254, 0.00529463, 0.0317397, 0.0157388, 0.0218437, 0.00889539, 42.95, 38.85, 44.95, 36.85, 46.95, 34.85, -0.0947801
647, 642, 43, 40.9681, 32.0939, 0.0160395, 0.187225, 0.0211439, 0.00454043, 0.0866137, 0.00603096, 0.0164552, 0.123047, 0.145518, 0.0390743, 1.11846, 0.276423, 0.162967, 0.0541249, 3.64004, 0.444606, 0.00055215, 0.0492256, 1.11386, 1.0489, 0.237928, 0.00512866, 0.0307335, 0.0153571, 0.0212216, 0.00897473, 43.05, 38.85, 45.05, 36.85, 47.05, 34.95, 1.00386
657, 652, 38.6, 40.9322, 32.194, 0.0156988, 0.184921, 0.0208568, 0.00443637, 0.084896, 0.00591988, 0.0161422, 0.122162, 0.151088, 0.0392482, 1.15403, 0.263299, 0.168149, 0.0533842, 3.53041, 0.442011, 0.000555167, 0.0492256, 1.07499, 1.03982, 0.235167, 0.00515875, 0.0304168, 0.0152013, 0.0219501, 0.00906299, 43.05, 38.85, 45.05, 36.85, 46.95, 34.85, -1.15272
