xunit, xunit_low, fitted_data, total_model, Nnbb_invcoax, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_invcoax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
541.288, 517.576, 21881.1, 1425.28, 449.827, 3.12373, 14.9951, 1.85834, 1.40273, 11.364, 0.908235, 1.57905, 7.13303, 12.8358, 5.80295, 100.312, 25.0878, 14.6161, 2.84183, 521.309, 43.1372, 0.0610953, 34.5441, 20.9387, 70.6456, 59.0077, 2.86316, 8.01429, 1.52408, 6.624, 2.92611, 1435.03, 1415.5, 1444.77, 1405.77, 1454.23, 1396.3, 2098.51
572.5, 565, 31, 30.8067, 22.3063, 0.0325912, 0.159165, 0.018874, 0.0127998, 0.112038, 0.00839695, 0.013047, 0.0947086, 0.131314, 0.0565058, 0.942918, 0.242003, 0.137389, 0.0282034, 4.29291, 0.366708, 0.000546719, 0.463024, 0.179166, 0.637346, 0.327572, 0.013439, 0.0412207, 0.0113665, 0.167341, 0.00984502, 32.3, 29.3667, 33.7, 27.9, 35.1, 26.5, 0.134892
584, 580, 36.125, 33.7491, 22.3812, 0.0327865, 0.159405, 0.019207, 0.361035, 2.53641, 0.191784, 0.0862244, 0.0941197, 0.132058, 0.0563717, 0.94668, 0.230695, 0.137937, 0.0272274, 4.16007, 0.359781, 0.000523486, 0.459124, 0.174819, 0.62256, 0.333915, 0.0139479, 0.0422842, 0.0110791, 0.167945, 0.00985482, 35.8125, 31.6875, 37.9375, 29.5625, 39.9375, 27.5625, 1.15678
596, 588, 31.875, 30.6243, 22.563, 0.0290856, 0.144655, 0.0170902, 0.00868868, 0.0721291, 0.00527371, 0.00792701, 0.0918402, 0.130456, 0.0570512, 0.974892, 0.232859, 0.142048, 0.0266831, 4.02053, 0.350502, 0.000506514, 0.458224, 0.156133, 0.605026, 0.293256, 0.0115233, 0.0360797, 0.0104342, 0.168565, 0.0098628, 32.0312, 29.2188, 33.4062, 27.8438, 34.7812, 26.4688, 0.904024
608, 604, 34.75, 36.853, 22.8036, 0.0314395, 0.153109, 0.0182777, 0.00844077, 0.0705533, 0.00507229, 0.0077252, 0.0914, 0.121891, 0.0546322, 0.94497, 0.219188, 0.137688, 0.0260452, 3.96743, 0.352464, 0.000494068, 0.44464, 0.153226, 0.587079, 5.34811, 0.298853, 0.759569, 0.0671441, 0.170027, 0.00987422, 39.0625, 34.6875, 41.1875, 32.5625, 43.3125, 30.4375, -0.979804
617, 612, 31.8, 30.5263, 22.8675, 0.032415, 0.157937, 0.0186615, 0.0083383, 0.0706225, 0.00500243, 0.00755468, 0.091349, 0.128632, 0.0562739, 0.9224, 0.228758, 0.134399, 0.0256059, 3.82962, 0.34102, 0.00051715, 0.446666, 0.149157, 0.578421, 0.202548, 0.00883517, 0.0255818, 0.00707842, 0.171533, 0.00987858, 32.35, 28.75, 34.05, 26.95, 35.75, 25.25, 0.729027
627, 622, 31.3, 30.4462, 22.8707, 0.0301264, 0.148903, 0.0173699, 0.00819688, 0.0683751, 0.00480024, 0.00736416, 0.0896143, 0.128279, 0.0571219, 0.936079, 0.22174, 0.136393, 0.0253425, 3.77803, 0.337369, 0.000496633, 0.45015, 0.149489, 0.562501, 0.195983, 0.00843894, 0.0247418, 0.006788, 0.171852, 0.00988755, 32.25, 28.65, 33.95, 26.95, 35.65, 25.25, 0.489339
637, 632, 31.1, 30.3102, 22.896, 0.0296194, 0.146996, 0.0169764, 0.00807145, 0.0669364, 0.00483215, 0.00727697, 0.0898546, 0.122444, 0.052947, 0.912825, 0.217001, 0.133004, 0.0245036, 3.6861, 0.333205, 0.000464047, 0.446742, 0.144174, 0.550893, 0.195983, 0.00850095, 0.0253578, 0.00669438, 0.172895, 0.00989518, 32.05, 28.55, 33.85, 26.75, 35.55, 25.05, 0.453666
647, 642, 30.2, 30.3455, 22.9922, 0.0313, 0.152109, 0.0178417, 0.00802819, 0.0669896, 0.00486164, 0.00712912, 0.0894629, 0.120234, 0.0551214, 0.90325, 0.219553, 0.131609, 0.0241041, 3.62431, 0.327925, 0.000470685, 0.459313, 0.150154, 0.547065, 0.190072, 0.00808101, 0.0239054, 0.00656625, 0.173909, 0.00990126, 32.15, 28.55, 33.85, 26.85, 35.55, 25.15, -0.0835135
657, 652, 29.2, 30.27, 23.0219, 0.0305295, 0.149789, 0.0174889, 0.00786618, 0.0656748, 0.00478392, 0.00697954, 0.0894234, 0.125273, 0.0536646, 0.920576, 0.212626, 0.134134, 0.0238008, 3.54864, 0.326416, 0.000484564, 0.445833, 0.142181, 0.532278, 0.186044, 0.00816263, 0.0237094, 0.00641421, 0.175437, 0.00991062, 32.05, 28.45, 33.75, 26.75, 35.45, 25.05, -0.615001
