xunit, xunit_low, fitted_data, total_model, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
494.783, 469.565, 865, 286.49, 0.927251, 8.94043, 0.838555, 0.597315, 9.50683, 0.579604, 1.01982, 5.51686, 4.10554, 1.00022, 24.8663, 7.05948, 3.62317, 1.25754, 132.911, 12.5397, 0.0662859, 2.53908, 8.43077, 26.3138, 28.5584, 0.639272, 2.82542, 0.795242, 1.03172, 290.275, 282.675, 294.075, 278.925, 297.725, 275.225, 152.852
530, 520, 11.65, 12.1239, 0.0424885, 0.418205, 0.0376767, 0.0317704, 0.519201, 0.0298103, 0.0390787, 0.303189, 0.186649, 0.0438743, 1.09757, 0.31534, 0.159923, 0.0540688, 5.4046, 0.500661, 0.00288415, 0.107709, 0.348725, 1.07305, 1.16131, 0.0268446, 0.117877, 0.0298236, 0.0715971, 12.925, 11.325, 13.725, 10.525, 14.475, 9.775, -0.608709
550, 540, 12.4, 11.8337, 0.0421164, 0.417072, 0.0374185, 0.0318201, 0.525707, 0.0298483, 0.0379366, 0.298133, 0.181433, 0.0432546, 1.08279, 0.313198, 0.15777, 0.0527082, 5.23432, 0.495071, 0.00283211, 0.105968, 0.34233, 1.04101, 1.11912, 0.0259187, 0.113945, 0.0286284, 0.0733936, 12.625, 11.025, 13.375, 10.275, 14.125, 9.525, 0.73615
570, 560, 12.95, 11.6174, 0.041803, 0.417328, 0.0373538, 0.0325127, 0.539752, 0.030379, 0.0373858, 0.2937, 0.177455, 0.0423631, 1.07971, 0.309621, 0.15732, 0.0516868, 5.0753, 0.479811, 0.00279469, 0.103185, 0.334773, 1.0131, 1.11856, 0.0255757, 0.11264, 0.027813, 0.0755032, 12.425, 10.825, 13.175, 10.075, 13.925, 9.325, 1.74846
584, 580, 13, 12.8892, 0.0400411, 0.398009, 0.0356458, 0.0941858, 1.76451, 0.0955726, 0.110156, 0.293195, 0.185821, 0.0418031, 1.07285, 0.306169, 0.15632, 0.0509587, 4.97128, 0.480757, 0.00274378, 0.105598, 0.319948, 0.990619, 1.12918, 0.0256119, 0.112638, 0.0275535, 0.0780084, 14.1875, 11.5625, 15.4375, 10.3125, 16.6875, 9.0625, 0.0873123
596, 588, 12.1875, 11.156, 0.0393581, 0.392697, 0.0349429, 0.0249511, 0.405613, 0.0227102, 0.026426, 0.288804, 0.180489, 0.0416401, 1.06601, 0.306567, 0.155324, 0.0500996, 4.90961, 0.468641, 0.00271719, 0.1007, 0.306868, 0.975362, 1.11451, 0.0252296, 0.110988, 0.0267752, 0.078951, 12.0312, 10.2812, 12.8438, 9.46875, 13.6562, 8.65625, 1.23534
608, 604, 11.375, 14.4668, 0.0394276, 0.394076, 0.0351575, 0.0247566, 0.403461, 0.0226422, 0.0257547, 0.289103, 0.176759, 0.042768, 1.06186, 0.299447, 0.15472, 0.0495492, 4.824, 0.462691, 0.00268155, 0.0984039, 0.316419, 0.970236, 4.14602, 0.0796659, 0.381997, 0.085219, 0.0799895, 15.8125, 13.0625, 17.1875, 11.6875, 18.5625, 10.4375, -2.29917
622, 612, 11.2, 10.6218, 0.03923, 0.393763, 0.0348493, 0.0260627, 0.421509, 0.023585, 0.0257353, 0.286104, 0.180571, 0.0429175, 1.05707, 0.303378, 0.154022, 0.0489484, 4.7385, 0.458026, 0.00265454, 0.102351, 0.314342, 0.948909, 0.816254, 0.0193691, 0.0832014, 0.0192976, 0.0811201, 11.375, 9.875, 12.125, 9.125, 12.825, 8.425, 0.793446
642, 632, 11.7, 10.4872, 0.0385929, 0.3889, 0.0342354, 0.0272432, 0.443115, 0.0245148, 0.0251093, 0.285221, 0.178582, 0.0411454, 1.04824, 0.306226, 0.152736, 0.0479399, 4.64742, 0.452255, 0.00261879, 0.100629, 0.316585, 0.923627, 0.799485, 0.0191169, 0.0814243, 0.0184365, 0.0837977, 11.225, 9.725, 11.975, 9.025, 12.675, 8.325, 1.67484
662, 652, 10.8, 10.4121, 0.0385665, 0.389753, 0.034296, 0.0273582, 0.443954, 0.0244349, 0.0244054, 0.284173, 0.180107, 0.0413954, 1.03803, 0.299686, 0.151247, 0.0471327, 4.51489, 0.445413, 0.00258062, 0.0984134, 0.308197, 0.904076, 0.896357, 0.0214411, 0.0907569, 0.0190762, 0.0863227, 11.175, 9.675, 11.875, 8.925, 12.575, 8.225, 0.537662
