xunit, xunit_low, fitted_data, total_model, Nnbb_bege, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_bege, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
0.5, 0, 0, 332.489, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 332.489, 351.5, 313.5, 369.5, 295.5, 387.5, 277.5, -18.2343
1.5, 1, 0, 0.134746, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.134746, 0.5, 0, 1.5, 0, 2.5, 0, -0.611793
2.5, 2, 0, 0.0974686, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0974686, 0.5, 0, 1.5, 0, 2.5, 0, -0.546494
3.5, 3, 0, 0.0914891, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0914891, 0.5, 0, 1.5, 0, 2.5, 0, -0.530407
4.5, 4, 0, 0.0896814, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0896814, 0.5, 0, 1.5, 0, 2.5, 0, -0.529938
5.5, 5, 0, 0.0880517, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0880517, 0.5, 0, 1.5, 0, 2.5, 0, -0.529491
6.5, 6, 0, 0.087096, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.087096, 0.5, 0, 1.5, 0, 2.5, 0, -0.529218
7.5, 7, 0, 0.0865746, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0865746, 0.5, 0, 1.5, 0, 2.5, 0, -0.529065
8.5, 8, 0, 0.0861832, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0861832, 0.5, 0, 1.5, 0, 2.5, 0, -0.528949
9.5, 9, 0, 0.0860789, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0860789, 0.5, 0, 1.5, 0, 2.5, 0, -0.528918
10.5, 10, 0, 0.0859282, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0859282, 0.5, 0, 1.5, 0, 2.5, 0, -0.528872
11.5, 11, 0, 0.0868786, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0868786, 0.5, 0, 1.5, 0, 2.5, 0, -0.529155
12.5, 12, 0, 0.0857674, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0857674, 0.5, 0, 1.5, 0, 2.5, 0, -0.528824
13.5, 13, 0, 0.0856585, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0856585, 0.5, 0, 1.5, 0, 2.5, 0, -0.528791
14.5, 14, 0, 0.0879153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0879153, 0.5, 0, 1.5, 0, 2.5, 0, -0.529453
15.5, 15, 0, 0.0854515, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0854515, 0.5, 0, 1.5, 0, 2.5, 0, -0.528728
16.5, 16, 0, 0.0858955, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0858955, 0.5, 0, 1.5, 0, 2.5, 0, -0.528863
17.5, 17, 0, 0.0855415, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0855415, 0.5, 0, 1.5, 0, 2.5, 0, -0.528755
18.5, 18, 0, 0.0853326, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0853326, 0.5, 0, 1.5, 0, 2.5, 0, -0.528691
19.5, 19, 0, 0.0852106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0852106, 0.5, 0, 1.5, 0, 2.5, 0, -0.528654
20.5, 20, 0, 0.0850637, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0850637, 0.5, 0, 1.5, 0, 2.5, 0, -0.528608
21.5, 21, 0, 0.0849566, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0849566, 0.5, 0, 1.5, 0, 2.5, 0, -0.528575
