xunit, xunit_low, fitted_data, total_model, Nnbb_semicoax, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_coax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
0.5, 0, 0, 460.809, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 460.809, 482.5, 438.5, 504.5, 417.5, 525.5, 396.5, -21.4665
1.5, 1, 0, 0.0895466, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0895466, 0.5, 0, 1.5, 0, 2.5, 0, -0.529902
2.5, 2, 0, 0.0301979, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0301979, 0.5, 0, 0.5, 0, 1.5, 0, -0.387547
3.5, 3, 0, 0.020041, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.020041, 0.5, 0, 0.5, 0, 1.5, 0, -0.350163
4.5, 4, 0, 0.016819, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.016819, 0.5, 0, 0.5, 0, 1.5, 0, -0.332675
5.5, 5, 0, 0.014109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014109, 0.5, 0, 0.5, 0, 1.5, 0, -0.315433
6.5, 6, 0, 0.012528, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.012528, 0.5, 0, 0.5, 0, 1.5, 0, -0.313022
7.5, 7, 0, 0.0115071, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0115071, 0.5, 0, 0.5, 0, 1.5, 0, -0.311282
8.5, 8, 0, 0.0107155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0107155, 0.5, 0, 0.5, 0, 1.5, 0, -0.296579
9.5, 9, 0, 0.0103124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0103124, 0.5, 0, 0.5, 0, 1.5, 0, -0.295867
10.5, 10, 0, 0.0101233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0101233, 0.5, 0, 0.5, 0, 1.5, 0, -0.295523
11.5, 11, 0, 0.0112992, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0112992, 0.5, 0, 0.5, 0, 1.5, 0, -0.310907
12.5, 12, 0, 0.00973343, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00973343, 0.5, 0, 0.5, 0, 1.5, 0, -0.294792
13.5, 13, 0, 0.00950856, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00950856, 0.5, 0, 0.5, 0, 1.5, 0, -0.294356
14.5, 14, 0, 0.0124641, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0124641, 0.5, 0, 0.5, 0, 1.5, 0, -0.312918
15.5, 15, 0, 0.00928547, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00928547, 0.5, 0, 0.5, 0, 1.5, 0, -0.293913
16.5, 16, 0, 0.00967396, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00967396, 0.5, 0, 0.5, 0, 1.5, 0, -0.294678
17.5, 17, 0, 0.00922165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00922165, 0.5, 0, 0.5, 0, 1.5, 0, -0.293784
18.5, 18, 0, 0.00883787, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00883787, 0.5, 0, 0.5, 0, 1.5, 0, -0.292988
19.5, 19, 0, 0.00866492, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00866492, 0.5, 0, 0.5, 0, 1.5, 0, -0.292618
20.5, 20, 0, 0.00845866, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00845866, 0.5, 0, 0.5, 0, 1.5, 0, -0.292166
21.5, 21, 0, 0.00814507, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00814507, 0.5, 0, 0.5, 0, 1.5, 0, -0.291457
22.5, 22, 0, 0.00803086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00803086, 0.5, 0, 0.5, 0, 1.5, 0, -0.291191
23.5, 23, 0, 0.00775917, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00775917, 0.5, 0, 0.5, 0, 1.5, 0, -0.277451
24.5, 24, 0, 0.00757771, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00757771, 0.5, 0, 0.5, 0, 1.5, 0, -0.277053
25.5, 25, 0, 0.00738476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00738476, 0.5, 0, 0.5, 0, 1.5, 0, -0.276619
26.5, 26, 0, 0.00726013, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00726013, 0.5, 0, 0.5, 0, 1.5, 0, -0.276332
27.5, 27, 0, 0.00711766, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00711766, 0.5, 0, 0.5, 0, 1.5, 0, -0.275998
