bin_low_edge, bin_center, halflifebege, halflifesemicoax, halflifeinvcoax
1.796e+21, 1.798e+21, 0, 0, 0
1.8e+21, 1.802e+21, 0, 0, 0
1.804e+21, 1.806e+21, 0, 0, 0
1.808e+21, 1.81e+21, 0, 0, 0
1.812e+21, 1.814e+21, 0, 0, 0
1.816e+21, 1.818e+21, 0, 0, 0
1.82e+21, 1.822e+21, 0, 0, 0
1.824e+21, 1.826e+21, 0, 0, 0
1.828e+21, 1.83e+21, 0, 0, 0
1.832e+21, 1.834e+21, 0, 0, 0
1.836e+21, 1.838e+21, 0, 0, 0
1.84e+21, 1.842e+21, 0, 0, 0
1.844e+21, 1.846e+21, 0, 0, 0
1.848e+21, 1.85e+21, 0, 0, 0
1.852e+21, 1.854e+21, 0, 0, 0
1.856e+21, 1.858e+21, 0, 0, 0
1.86e+21, 1.862e+21, 0, 6.25e-07, 1.75e-06
1.864e+21, 1.866e+21, 0, 5e-07, 1.125e-06
1.868e+21, 1.87e+21, 0, 1.625e-06, 1.875e-06
1.872e+21, 1.874e+21, 0, 2.25e-06, 4.625e-06
1.876e+21, 1.878e+21, 0, 7.875e-06, 8.25e-06
1.88e+21, 1.882e+21, 0, 2.7375e-05, 1.9e-05
1.884e+21, 1.886e+21, 0, 8.7875e-05, 4.9125e-05
1.888e+21, 1.89e+21, 2.5e-07, 0.000188375, 9.1375e-05
1.892e+21, 1.894e+21, 8.25e-06, 0.000441875, 0.000151
1.896e+21, 1.898e+21, 2.0625e-05, 0.0008845, 0.000296625
1.9e+21, 1.902e+21, 5.6125e-05, 0.001581, 0.000452875
1.904e+21, 1.906e+21, 0.0001195, 0.00294725, 0.000740625
1.908e+21, 1.91e+21, 0.0002875, 0.00502025, 0.00120163
1.912e+21, 1.914e+21, 0.00065025, 0.00813137, 0.001885
1.916e+21, 1.918e+21, 0.00136587, 0.0124592, 0.00280362
1.92e+21, 1.922e+21, 0.00281237, 0.0180541, 0.00394713
1.924e+21, 1.926e+21, 0.005382, 0.0251515, 0.0055285
1.928e+21, 1.93e+21, 0.00966125, 0.034021, 0.00769925
1.932e+21, 1.934e+21, 0.015835, 0.0438381, 0.010144
1.936e+21, 1.938e+21, 0.0239011, 0.0534436, 0.0139545
1.94e+21, 1.942e+21, 0.0353664, 0.0627099, 0.017854
1.944e+21, 1.946e+21, 0.0484141, 0.0702354, 0.0221699
1.948e+21, 1.95e+21, 0.0618699, 0.0761189, 0.0269666
1.952e+21, 1.954e+21, 0.0752112, 0.0790966, 0.0324609
1.956e+21, 1.958e+21, 0.0859019, 0.0782482, 0.0375471
1.96e+21, 1.962e+21, 0.0923922, 0.0752169, 0.0430842
1.964e+21, 1.966e+21, 0.0940409, 0.069318, 0.0481458
1.968e+21, 1.97e+21, 0.0910587, 0.0618594, 0.05278
1.972e+21, 1.974e+21, 0.0835635, 0.0535686, 0.0553785
1.976e+21, 1.978e+21, 0.0725536, 0.0443774, 0.058157
1.98e+21, 1.982e+21, 0.058941, 0.0349075, 0.0595635
1.984e+21, 1.986e+21, 0.0457129, 0.0270581, 0.0594326
1.988e+21, 1.99e+21, 0.0333906, 0.0200345, 0.0576662
1.992e+21, 1.994e+21, 0.0234834, 0.0144969, 0.0550336
1.996e+21, 1.998e+21, 0.0153074, 0.00977487, 0.0515204
2e+21, 2.002e+21, 0.00977325, 0.00656787, 0.0471629
2.004e+21, 2.006e+21, 0.0057455, 0.00416337, 0.0424901
2.008e+21, 2.01e+21, 0.00338512, 0.00242287, 0.0364732
2.012e+21, 2.014e+21, 0.00184425, 0.00152212, 0.0309524
2.016e+21, 2.018e+21, 0.00096875, 0.000912375, 0.025941
2.02e+21, 2.022e+21, 0.000481875, 0.000579125, 0.0216684
2.024e+21, 2.026e+21, 0.000239625, 0.000273375, 0.016967
2.028e+21, 2.03e+21, 0.000132375, 0.0001535, 0.013502
2.032e+21, 2.034e+21, 6.1875e-05, 8.8875e-05, 0.0106939
2.036e+21, 2.038e+21, 3.5375e-05, 5e-06, 0.00791675
2.04e+21, 2.042e+21, 1.2125e-05, 0, 0.005809
2.044e+21, 2.046e+21, 6.25e-06, 0, 0.00422537
2.048e+21, 2.05e+21, 4.75e-06, 0, 0.003127
2.052e+21, 2.054e+21, 1e-06, 0, 0.00213488
2.056e+21, 2.058e+21, 0, 0, 0.00149375
2.06e+21, 2.062e+21, 0, 0, 0.000973125
2.064e+21, 2.066e+21, 0, 0, 0.00066075
2.068e+21, 2.07e+21, 0, 0, 0.000426375
2.072e+21, 2.074e+21, 0, 0, 0.000261625
2.076e+21, 2.078e+21, 0, 0, 0.00016175
2.08e+21, 2.082e+21, 0, 0, 9.7125e-05
2.084e+21, 2.086e+21, 0, 0, 5.125e-05
2.088e+21, 2.09e+21, 0, 0, 3.1125e-05
2.092e+21, 2.094e+21, 0, 0, 1.6375e-05
2.096e+21, 2.098e+21, 0, 0, 7.875e-06
2.1e+21, 2.102e+21, 0, 0, 7e-06
2.104e+21, 2.106e+21, 0, 0, 4e-06
2.108e+21, 2.11e+21, 0, 0, 1.75e-06
2.112e+21, 2.114e+21, 0, 0, 0
2.116e+21, 2.118e+21, 0, 0, 0
2.12e+21, 2.122e+21, 0, 0, 0
2.124e+21, 2.126e+21, 0, 0, 0
2.128e+21, 2.13e+21, 0, 0, 0
2.132e+21, 2.134e+21, 0, 0, 0
2.136e+21, 2.138e+21, 0, 0, 0
2.14e+21, 2.142e+21, 0, 0, 0
2.144e+21, 2.146e+21, 0, 0, 0
2.148e+21, 2.15e+21, 0, 0, 0
2.152e+21, 2.154e+21, 0, 0, 0
2.156e+21, 2.158e+21, 0, 0, 0
2.16e+21, 2.162e+21, 0, 0, 0
2.164e+21, 2.166e+21, 0, 0, 0
2.168e+21, 2.17e+21, 0, 0, 0
2.172e+21, 2.174e+21, 0, 0, 0
2.176e+21, 2.178e+21, 0, 0, 0
2.18e+21, 2.182e+21, 0, 0, 0
2.184e+21, 2.186e+21, 0, 0, 0
2.188e+21, 2.19e+21, 0, 0, 0
2.192e+21, 2.194e+21, 0, 0, 0
2.196e+21, 2.198e+21, 0, 0, 0
2.2e+21, 2.202e+21, 0, 0, 0
