bin_low_edge, bin_center, halflifebege, halflifeinvcoax, halflifesemicoax
1.796e+21, 1.798e+21, 0, 1.75e-06, 0
1.8e+21, 1.802e+21, 0, 0, 0
1.804e+21, 1.806e+21, 0, 5.75001e-06, 0
1.808e+21, 1.81e+21, 0, 1.8125e-05, 0
1.812e+21, 1.814e+21, 0, 7.83751e-05, 0
1.816e+21, 1.818e+21, 0, 0.000124375, 0
1.82e+21, 1.822e+21, 0, 0.000271875, 0
1.824e+21, 1.826e+21, 0, 0.000576626, 0
1.828e+21, 1.83e+21, 0, 0.000829376, 0
1.832e+21, 1.834e+21, 0, 0.00135925, 2.5e-06
1.836e+21, 1.838e+21, 0, 0.00208313, 2.4125e-05
1.84e+21, 1.842e+21, 0, 0.00335938, 6.8625e-05
1.844e+21, 1.846e+21, 0, 0.00490113, 0.0002105
1.848e+21, 1.85e+21, 0, 0.00692276, 0.000527
1.852e+21, 1.854e+21, 0, 0.00990789, 0.000965875
1.856e+21, 1.858e+21, 0, 0.0135194, 0.00175775
1.86e+21, 1.862e+21, 0, 0.0186114, 0.00297125
1.864e+21, 1.866e+21, 0, 0.0241208, 0.00594875
1.868e+21, 1.87e+21, 0, 0.0308397, 0.00940175
1.872e+21, 1.874e+21, 0, 0.0377826, 0.0140655
1.876e+21, 1.878e+21, 0, 0.0458647, 0.021313
1.88e+21, 1.882e+21, 0, 0.0517422, 0.0290955
1.884e+21, 1.886e+21, 0, 0.0581896, 0.0387012
1.888e+21, 1.89e+21, 0, 0.0639006, 0.0494876
1.892e+21, 1.894e+21, 0, 0.0668046, 0.0592701
1.896e+21, 1.898e+21, 0, 0.0669411, 0.0695765
1.9e+21, 1.902e+21, 0, 0.0665162, 0.0777234
1.904e+21, 1.906e+21, 0, 0.0638469, 0.0830285
1.908e+21, 1.91e+21, 0, 0.060345, 0.0834369
1.912e+21, 1.914e+21, 0, 0.0553366, 0.0808347
1.916e+21, 1.918e+21, 0, 0.0491227, 0.0745775
1.92e+21, 1.922e+21, 0, 0.0417863, 0.0676192
1.924e+21, 1.926e+21, 0, 0.0353102, 0.0586285
1.928e+21, 1.93e+21, 0, 0.0294621, 0.0480641
1.932e+21, 1.934e+21, 0, 0.0236093, 0.0372881
1.936e+21, 1.938e+21, 0, 0.0182934, 0.0279864
1.94e+21, 1.942e+21, 0, 0.0140826, 0.0197013
1.944e+21, 1.946e+21, 0, 0.0102268, 0.0139307
1.948e+21, 1.95e+21, 0, 0.00746014, 0.009441
1.952e+21, 1.954e+21, 0, 0.00544401, 0.00614625
1.956e+21, 1.958e+21, 0, 0.00361763, 0.00358312
1.96e+21, 1.962e+21, 0, 0.00247175, 0.00200613
1.964e+21, 1.966e+21, 0, 0.00170025, 0.001196
1.968e+21, 1.97e+21, 0, 0.001052, 0.000705125
1.972e+21, 1.974e+21, 0, 0.000646626, 0.00035025
1.976e+21, 1.978e+21, 0, 0.000403251, 0.00024075
