xunit, xunit_low, fitted_data, total_model, Nnbb_bege, Ac228_cables, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_cables, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_cables, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_far, K40_holders, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_bege, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
572.5, 565, 76.9333, 76.2745, 52.1633, 0.0431915, 0.0335427, 0.43235, 0.043867, 7.20268e-05, 0.0162275, 0.350372, 0.0201452, 0.0547636, 0.00826762, 0.322998, 0.418655, 0.0799264, 2.91041, 0.000138993, 0.736193, 0.138573, 14.9115, 1.14942, 3.49122e-05, 0.0818219, 0.431938, 0.544539, 1.09293, 0.0166716, 0.0989425, 0.0473408, 0.0409727, 0.0854278, 78.5667, 73.9667, 80.8333, 71.7667, 83.0333, 69.5667, 0.292177
584, 580, 81.375, 82.8259, 52.2493, 0.0430065, 0.0333, 0.431409, 0.0437405, 0.0012693, 0.215382, 6.39379, 0.324458, 0.446334, 0.00817164, 0.322313, 0.398412, 0.0805376, 2.93886, 0.000136157, 0.727244, 0.135745, 14.4693, 1.13088, 3.40376e-05, 0.0780027, 0.419193, 0.530577, 1.11535, 0.0169543, 0.0995877, 0.0463943, 0.0407285, 0.0855129, 86.0625, 79.5625, 89.3125, 76.3125, 92.4375, 73.1875, -0.450934
596, 588, 74.3125, 75.3349, 52.6014, 0.0396229, 0.0308858, 0.399096, 0.0400347, 4.52925e-05, 0.00972977, 0.229844, 0.0121632, 0.0335755, 0.0081029, 0.319247, 0.395873, 0.0783479, 2.82207, 0.000132658, 0.726001, 0.132257, 14.0616, 1.10886, 3.3497e-05, 0.0810775, 0.407153, 0.513776, 1.00724, 0.0156074, 0.0918876, 0.0438394, 0.0398267, 0.0855821, 77.5312, 73.1562, 79.7188, 70.9688, 81.7812, 68.8438, -0.471189
608, 604, 92.375, 91.6729, 52.9604, 0.0413026, 0.0317592, 0.415349, 0.0419907, 4.31684e-05, 0.00927549, 0.217143, 0.0117498, 0.0323606, 0.00799631, 0.318336, 0.388158, 0.0759898, 2.72055, 0.000129553, 0.710182, 0.129162, 13.6622, 1.09417, 3.28692e-05, 0.0778409, 0.405924, 0.499328, 15.8828, 0.178892, 1.30237, 0.332116, 0.039676, 0.0856812, 95.0625, 88.1875, 98.4375, 84.8125, 101.812, 81.5625, 0.207401
617, 612, 72.9, 74.6623, 53.1541, 0.0422645, 0.0321943, 0.425142, 0.0425358, 4.22113e-05, 0.00918626, 0.213016, 0.0113759, 0.0315315, 0.00795353, 0.313693, 0.400124, 0.0804654, 2.74497, 0.000127386, 0.71034, 0.127001, 13.3213, 1.08301, 3.25329e-05, 0.0747661, 0.385677, 0.489379, 0.731837, 0.0109972, 0.0640914, 0.029817, 0.0396225, 0.0857191, 77.45, 71.85, 80.15, 69.15, 82.85, 66.55, -0.644957
627, 622, 72.6, 74.1976, 53.0705, 0.0399834, 0.030571, 0.404008, 0.0401141, 4.10326e-05, 0.00887173, 0.208863, 0.0112956, 0.0306976, 0.00792672, 0.313209, 0.381647, 0.0770004, 2.70622, 0.000124616, 0.695786, 0.12424, 13.119, 1.06504, 3.2176e-05, 0.075996, 0.386857, 0.480313, 0.693408, 0.0106894, 0.0614422, 0.0287502, 0.0391966, 0.0857969, 76.95, 71.45, 79.65, 68.75, 82.35, 66.05, -0.586515
637, 632, 75.2, 73.8954, 53.154, 0.0393949, 0.0299047, 0.397718, 0.039404, 4.10994e-05, 0.00868187, 0.204384, 0.0108919, 0.0301795, 0.00786511, 0.312071, 0.387541, 0.0739011, 2.67065, 0.000122405, 0.7013, 0.122035, 12.8255, 1.04656, 3.13594e-05, 0.0745719, 0.364054, 0.469097, 0.700495, 0.0106037, 0.0616675, 0.0284142, 0.038479, 0.085863, 76.65, 71.15, 79.35, 68.45, 82.05, 65.75, 0.479925
647, 642, 70.2, 73.7587, 53.3223, 0.0406502, 0.0304516, 0.410273, 0.0406205, 4.08078e-05, 0.00863438, 0.203227, 0.0108367, 0.0298276, 0.00786654, 0.312879, 0.385709, 0.0720146, 2.65366, 0.000119927, 0.688645, 0.119564, 12.5931, 1.03582, 3.12249e-05, 0.0731478, 0.359336, 0.460967, 0.677426, 0.0101501, 0.0590498, 0.0274956, 0.0389341, 0.0859158, 76.55, 70.95, 79.25, 68.25, 81.85, 65.65, -1.31034
657, 652, 79.8, 73.4588, 53.3674, 0.0399882, 0.0298078, 0.403827, 0.0398637, 3.96024e-05, 0.00842916, 0.198711, 0.0106941, 0.028998, 0.00785379, 0.311646, 0.37663, 0.0742861, 2.62978, 0.000119162, 0.709888, 0.118802, 12.3098, 1.02467, 3.07619e-05, 0.0725004, 0.356978, 0.452915, 0.665219, 0.0102056, 0.0583512, 0.0269774, 0.0383682, 0.085997, 76.25, 70.75, 78.95, 68.05, 81.55, 65.35, 2.33965
667, 662, 72.5, 73.4747, 53.5271, 0.0421222, 0.0309036, 0.425235, 0.0421396, 3.72363e-05, 0.00803327, 0.185716, 0.00987442, 0.0275886, 0.00783853, 0.311109, 0.37886, 0.0720724, 2.55864, 0.000117443, 0.676712, 0.117088, 12.0957, 1.01034, 3.04894e-05, 0.0730183, 0.332602, 0.445237, 0.851762, 0.0119865, 0.0754721, 0.033024, 0.0382573, 0.0860769, 76.25, 70.75, 78.95, 68.05, 81.55, 65.35, -0.359576
677, 672, 78.2, 73.03, 53.4669, 0.0454665, 0.0326567, 0.455622, 0.0449798, 3.54816e-05, 0.00765554, 0.180256, 0.00947914, 0.0266217, 0.00782078, 0.31187, 0.387382, 0.0708211, 2.55705, 0.000115738, 0.661978, 0.115388, 11.9164, 1.00263, 3.02066e-05, 0.0699759, 0.369558, 0.437954, 0.635985, 0.00962026, 0.0557911, 0.0254684, 0.0383409, 0.0861419, 75.75, 70.25, 78.45, 67.55, 81.15, 64.95, 1.91312
687, 682, 69, 72.7319, 53.5251, 0.0433829, 0.0311413, 0.436392, 0.0427269, 3.51946e-05, 0.00745448, 0.176639, 0.00944676, 0.02598, 0.00779241, 0.309585, 0.367551, 0.0705901, 2.55971, 0.000113752, 0.675989, 0.113408, 11.6273, 0.984785, 2.96271e-05, 0.0660919, 0.353046, 0.428584, 0.652891, 0.00970195, 0.0567848, 0.025607, 0.0378528, 0.0862056, 75.45, 69.95, 78.15, 67.35, 80.75, 64.65, -1.38378
697, 692, 74.3, 72.2309, 53.1439, 0.0441432, 0.0313643, 0.443578, 0.043672, 3.44636e-05, 0.00739729, 0.174133, 0.00914288, 0.0252185, 0.00777323, 0.31006, 0.364763, 0.0700896, 2.62925, 0.000111959, 0.674181, 0.111621, 11.4578, 0.980589, 2.95685e-05, 0.0669334, 0.349115, 0.422883, 0.646807, 0.00969969, 0.056942, 0.0253656, 0.0380473, 0.0862804, 74.95, 69.45, 77.65, 66.85, 80.25, 64.25, 0.769877
707, 702, 74.9, 71.9775, 53.2314, 0.0438557, 0.0311774, 0.439745, 0.0429285, 3.32572e-05, 0.0072466, 0.170664, 0.00892674, 0.0244414, 0.00778967, 0.31129, 0.371453, 0.0694159, 2.52839, 0.000110595, 0.666588, 0.110261, 11.1872, 0.963349, 2.89011e-05, 0.0667392, 0.350294, 0.412852, 0.7068, 0.0101754, 0.0623695, 0.0271357, 0.0384635, 0.0863541, 74.75, 69.25, 77.35, 66.55, 79.95, 63.95, 1.08933
717, 712, 70.5, 71.3977, 52.9315, 0.0373595, 0.0269718, 0.377791, 0.0365966, 3.36902e-05, 0.00724293, 0.171327, 0.00899544, 0.0244293, 0.0077793, 0.311695, 0.364206, 0.0688769, 2.5183, 0.000108783, 0.675447, 0.108454, 11.0596, 0.955261, 2.85536e-05, 0.0659624, 0.343611, 0.407873, 0.668732, 0.00980981, 0.0589188, 0.0259306, 0.0384187, 0.0864247, 74.15, 68.65, 76.75, 66.05, 79.35, 63.45, -0.335967
727, 722, 74.5, 72.9755, 52.8079, 0.040142, 0.0287428, 0.403692, 0.039554, 0.000344372, 0.0648482, 1.85173, 0.0843699, 0.0998251, 0.00780636, 0.313987, 0.361976, 0.0684149, 2.51936, 0.000107647, 0.662429, 0.107321, 10.9036, 0.950837, 2.84407e-05, 0.0680986, 0.355405, 0.402878, 0.620204, 0.00920686, 0.0542317, 0.0240182, 0.0379578, 0.086478, 75.75, 70.25, 78.45, 67.55, 81.05, 64.95, 0.564331
737.5, 732, 69.9091, 70.4351, 52.4948, 0.0349418, 0.0253848, 0.353858, 0.0344833, 2.49925e-05, 0.0053322, 0.127323, 0.00660216, 0.0197053, 0.00784009, 0.312827, 0.358536, 0.0682679, 2.55141, 0.000106681, 0.654639, 0.106358, 10.6976, 0.948181, 2.78579e-05, 0.0616136, 0.320236, 0.395803, 0.635591, 0.00938492, 0.0558724, 0.0238987, 0.0378732, 0.0865737, 73.0455, 67.8636, 75.5, 65.3182, 77.9545, 62.8636, -0.20789
748.5, 743, 70.5455, 70.0456, 52.4231, 0.0346666, 0.0251282, 0.351861, 0.0341485, 2.43526e-05, 0.00516347, 0.12199, 0.00643476, 0.0194206, 0.00787595, 0.316229, 0.364763, 0.0674454, 2.45296, 0.000105561, 0.659405, 0.105242, 10.5028, 0.928395, 2.80923e-05, 0.0624963, 0.333103, 0.388595, 0.621956, 0.00935989, 0.0546849, 0.0234549, 0.0381136, 0.0866512, 72.5909, 67.5, 75.1364, 64.9545, 77.5909, 62.5, 0.198067
759.5, 754, 65.9091, 69.5199, 52.0034, 0.0386728, 0.0274174, 0.390363, 0.0377881, 3.49396e-05, 0.00680756, 0.169764, 0.00920344, 0.024551, 0.00788397, 0.316133, 0.355134, 0.0667804, 2.48819, 0.000104672, 0.658748, 0.104356, 10.3134, 0.926189, 2.72622e-05, 0.063379, 0.322738, 0.383567, 0.596896, 0.00886468, 0.0519591, 0.0226519, 0.0382992, 0.0867226, 72.0455, 66.9545, 74.5909, 64.5, 77.0455, 62.0455, -1.43632
