xunit, xunit_low, fitted_data, total_model, Nnbb_semicoax, Ac228_cables, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_cables, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_cables, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_far, K40_holders, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_coax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
572.5, 565, 42.3333, 41.3434, 31.1439, 0.0146116, 0.0167061, 0.171495, 0.0229498, 2.88497e-05, 0.00876244, 0.157601, 0.0117948, 0.0329555, 0.00278143, 0.127668, 0.141764, 0.0396039, 1.40849, 7.2662e-05, 0.289933, 0.0724423, 5.04044, 0.416151, 8.81801e-07, 0.0479884, 1.40249, 0.286158, 0.372189, 0.00825909, 0.0495813, 0.0259399, 0.0223714, 0.00829533, 43.0333, 39.6333, 44.7, 37.9667, 46.3, 36.3667, 0.596284
584, 580, 49, 44.4838, 31.2204, 0.0144246, 0.0164676, 0.170155, 0.0225917, 0.000466028, 0.123723, 2.77469, 0.20677, 0.301021, 0.00275804, 0.126485, 0.143257, 0.0381633, 1.41402, 7.16087e-05, 0.296163, 0.0713922, 4.93469, 0.409179, 8.09443e-07, 0.0447464, 1.38388, 0.278966, 0.374527, 0.00840351, 0.0504793, 0.0256873, 0.0217875, 0.00840869, 46.9375, 42.0625, 49.3125, 39.6875, 51.5625, 37.4375, 1.91523
596, 588, 41.5, 41.1359, 31.5155, 0.0131373, 0.0151031, 0.155198, 0.0206013, 1.59915e-05, 0.00491643, 0.0920388, 0.00664557, 0.0184705, 0.00273384, 0.124919, 0.141515, 0.0385965, 1.36724, 6.99488e-05, 0.278649, 0.0697374, 4.77279, 0.401517, 8.32077e-07, 0.0469311, 1.33351, 0.273402, 0.33594, 0.00749411, 0.0446204, 0.0240866, 0.0220561, 0.00850185, 42.7812, 39.5312, 44.3438, 37.9062, 45.9062, 36.3438, 0.227051
608, 604, 42.625, 47.8017, 31.8, 0.0137101, 0.0156837, 0.163144, 0.0214827, 1.47243e-05, 0.0046852, 0.0878971, 0.00621077, 0.0176183, 0.00271425, 0.125096, 0.13818, 0.0359977, 1.37421, 6.79292e-05, 0.28057, 0.0677239, 4.6438, 0.398278, 7.94354e-07, 0.0449891, 1.32933, 0.265224, 5.78528, 0.102805, 0.824462, 0.221545, 0.0222907, 0.0086384, 50.3125, 45.3125, 52.6875, 42.8125, 55.0625, 40.4375, -2.11775
617, 612, 44.1, 41.3658, 31.8804, 0.0143175, 0.0160684, 0.168911, 0.0225178, 1.49563e-05, 0.0046487, 0.0870401, 0.00597574, 0.0173282, 0.00266059, 0.12473, 0.136587, 0.0362287, 1.34143, 6.70497e-05, 0.275169, 0.0668471, 4.55978, 0.388186, 7.95863e-07, 0.0420761, 1.35478, 0.261234, 0.440548, 0.00795581, 0.0576562, 0.0222765, 0.0216791, 0.00870224, 43.45, 39.25, 45.45, 37.25, 47.45, 35.25, 1.34433
627, 622, 45, 41.0483, 31.9303, 0.0133122, 0.0151108, 0.157886, 0.0207385, 1.45974e-05, 0.00449871, 0.0853504, 0.00599201, 0.0169806, 0.00266691, 0.1226, 0.136985, 0.0359977, 1.36319, 6.60487e-05, 0.27092, 0.0658491, 4.46249, 0.389602, 7.69995e-07, 0.0420114, 1.33041, 0.255339, 0.23744, 0.00531245, 0.0315209, 0.0155985, 0.0213232, 0.00879185, 43.15, 38.95, 45.15, 36.95, 47.15, 34.95, 1.95047
637, 632, 40.8, 40.8859, 31.9962, 0.0131218, 0.0147444, 0.155804, 0.0204679, 1.44992e-05, 0.00446173, 0.0841713, 0.00595745, 0.0168117, 0.0026594, 0.123417, 0.133959, 0.0366522, 1.27985, 6.44777e-05, 0.265948, 0.0642829, 4.35606, 0.379314, 7.42403e-07, 0.0418819, 1.3139, 0.250619, 0.242741, 0.00524069, 0.0316746, 0.0153815, 0.021576, 0.00890334, 42.95, 38.85, 44.95, 36.85, 46.95, 34.85, -0.0424724
647, 642, 42.9, 40.9777, 32.1096, 0.0135348, 0.0151172, 0.161493, 0.0210663, 1.41817e-05, 0.00448476, 0.083898, 0.00587806, 0.0163844, 0.00262198, 0.123253, 0.131092, 0.0345924, 1.30215, 6.38505e-05, 0.274174, 0.0636575, 4.32261, 0.372463, 7.88965e-07, 0.0420761, 1.31822, 0.245053, 0.233585, 0.00507641, 0.0306705, 0.0150085, 0.0209615, 0.00898275, 43.05, 38.95, 45.05, 36.85, 47.05, 34.95, 0.949597
657, 652, 38.6, 40.9218, 32.2096, 0.0133162, 0.014796, 0.159505, 0.0207803, 1.41122e-05, 0.00438198, 0.0822341, 0.0057698, 0.0160727, 0.00264188, 0.122366, 0.136109, 0.0347464, 1.34355, 6.29767e-05, 0.261157, 0.0627864, 4.19242, 0.37029, 7.93276e-07, 0.0420761, 1.27222, 0.242931, 0.230875, 0.00510619, 0.0303544, 0.0148563, 0.021681, 0.00907109, 42.95, 38.85, 45.05, 36.85, 46.95, 34.85, -1.14775
667, 662, 45.6, 40.9393, 32.2612, 0.0142059, 0.0155209, 0.168042, 0.0219654, 1.33632e-05, 0.00415836, 0.0769872, 0.0055072, 0.0152797, 0.00260172, 0.121634, 0.130455, 0.0352662, 1.27508, 6.17372e-05, 0.273541, 0.0615506, 4.13366, 0.370517, 7.69995e-07, 0.0390337, 1.27733, 0.237717, 0.300866, 0.00616904, 0.04155, 0.0192022, 0.0210937, 0.0091725, 43.05, 38.85, 45.05, 36.85, 46.95, 34.85, 2.30344
