xunit, xunit_low, fitted_data, total_model, Nnbb_invcoax, Ac228_cables, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_cables, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_cables, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_far, K40_holders, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_invcoax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
572.5, 565, 31.0667, 30.9091, 22.2073, 0.0119927, 0.030717, 0.137289, 0.0188048, 2.06213e-05, 0.0126429, 0.108525, 0.00818406, 0.0129909, 0.00229831, 0.0948666, 0.118296, 0.0500246, 1.09778, 3.32713e-05, 0.240034, 0.0331707, 5.0979, 0.307205, 7.81204e-07, 0.395775, 0.212037, 0.148902, 0.321593, 0.0133021, 0.0411361, 0.0111085, 0.16529, 0.00987842, 32.3667, 29.4333, 33.8333, 28.0333, 35.2333, 26.6333, 0.109775
584, 580, 36, 33.7534, 22.2819, 0.0119941, 0.030901, 0.137497, 0.0191365, 0.000410963, 0.356609, 2.45688, 0.186922, 0.0858534, 0.00228345, 0.0942767, 0.118966, 0.0499059, 1.10215, 3.21199e-05, 0.228818, 0.0320228, 4.94016, 0.301402, 7.48007e-07, 0.392441, 0.206894, 0.145448, 0.327821, 0.0138058, 0.0421974, 0.0108276, 0.165887, 0.00988825, 35.8125, 31.6875, 37.9375, 29.5625, 39.9375, 27.5625, 1.09376
596, 588, 31.9375, 30.7019, 22.4629, 0.0109039, 0.027413, 0.124774, 0.0170275, 1.26435e-05, 0.00858215, 0.0698675, 0.00514001, 0.00789291, 0.00223883, 0.0919934, 0.117523, 0.0505075, 1.135, 3.14778e-05, 0.230964, 0.0313826, 4.77445, 0.293629, 7.23756e-07, 0.391672, 0.184779, 0.141351, 0.287904, 0.0114059, 0.0360057, 0.0101974, 0.166499, 0.00989625, 32.0938, 29.2812, 33.4688, 27.9062, 34.8438, 26.5312, 0.891964
608, 604, 34.625, 36.8364, 22.7024, 0.0115319, 0.0296315, 0.132066, 0.0182106, 1.21912e-05, 0.00833728, 0.0683412, 0.0049437, 0.00769197, 0.00221984, 0.0915525, 0.109807, 0.0483659, 1.10016, 3.07253e-05, 0.217405, 0.0306324, 4.7114, 0.295272, 7.05972e-07, 0.380061, 0.181339, 0.137158, 5.2505, 0.295809, 0.75801, 0.0656199, 0.167943, 0.00990771, 39.0625, 34.6875, 41.1875, 32.4375, 43.3125, 30.4375, -1.03056
617, 612, 31.8, 30.5888, 22.766, 0.011849, 0.0305509, 0.13623, 0.018593, 1.20056e-05, 0.00823607, 0.0684082, 0.0048756, 0.00752218, 0.00214804, 0.0915014, 0.11588, 0.0498193, 1.07389, 3.0207e-05, 0.226897, 0.0301157, 4.54774, 0.285686, 7.38954e-07, 0.381792, 0.176523, 0.135135, 0.198851, 0.00874516, 0.0255293, 0.00691774, 0.169431, 0.00991209, 32.35, 28.75, 34.15, 27.05, 35.85, 25.35, 0.692509
627, 622, 31.3, 30.5124, 22.7693, 0.0110396, 0.028394, 0.128437, 0.0173061, 1.16521e-05, 0.00809638, 0.0662312, 0.00467854, 0.00733248, 0.00216079, 0.0897638, 0.115561, 0.05057, 1.08981, 2.98962e-05, 0.219936, 0.0298058, 4.48648, 0.282627, 7.09637e-07, 0.38477, 0.176916, 0.131416, 0.192406, 0.00835296, 0.0246911, 0.00663391, 0.169746, 0.00992109, 32.35, 28.75, 34.05, 26.95, 35.75, 25.25, 0.450893
637, 632, 31.1, 30.3688, 22.7944, 0.0108655, 0.0279161, 0.126792, 0.0169141, 1.15842e-05, 0.00797249, 0.0648376, 0.00470965, 0.00724567, 0.00214661, 0.0900045, 0.110305, 0.046874, 1.06274, 2.89066e-05, 0.215235, 0.0288193, 4.37731, 0.279139, 6.63075e-07, 0.381857, 0.170626, 0.128704, 0.192406, 0.00841434, 0.0253058, 0.00654241, 0.170776, 0.00992874, 32.15, 28.55, 33.85, 26.85, 35.55, 25.15, 0.419568
647, 642, 30.3, 30.3946, 22.8902, 0.0112808, 0.0295001, 0.131203, 0.0177762, 1.16073e-05, 0.00792976, 0.0648892, 0.00473839, 0.00709845, 0.00216866, 0.0896121, 0.108314, 0.048799, 1.05159, 2.84353e-05, 0.217766, 0.0283494, 4.30394, 0.274715, 6.7256e-07, 0.392603, 0.177702, 0.12781, 0.186603, 0.00799868, 0.0238564, 0.0064172, 0.171778, 0.00993485, 32.15, 28.65, 33.95, 26.85, 35.65, 25.15, -0.0542724
657, 652, 29.1, 30.3171, 22.9197, 0.0110343, 0.0287739, 0.129202, 0.0174247, 1.11985e-05, 0.00776974, 0.0636156, 0.00466264, 0.00694952, 0.00213636, 0.0895725, 0.112854, 0.0475093, 1.07176, 2.80776e-05, 0.210896, 0.0279927, 4.21407, 0.273452, 6.92392e-07, 0.38108, 0.168267, 0.124355, 0.182648, 0.00807947, 0.0236608, 0.0062686, 0.173287, 0.00994424, 32.15, 28.55, 33.85, 26.75, 35.55, 25.05, -0.69898
667, 662, 32.2, 30.4222, 23.0317, 0.0117139, 0.0310198, 0.137392, 0.0183991, 1.08343e-05, 0.00720923, 0.0596173, 0.00434646, 0.00665717, 0.00210216, 0.0888439, 0.10473, 0.0489338, 1.0707, 2.80179e-05, 0.218851, 0.0279333, 4.13053, 0.26832, 6.648e-07, 0.376873, 0.173771, 0.12194, 0.244287, 0.0112251, 0.0331135, 0.00753581, 0.174417, 0.00995347, 32.25, 28.65, 33.95, 26.85, 35.65, 25.15, 1.01927
677, 672, 29.8, 30.2302, 23.0468, 0.0127317, 0.0344391, 0.150341, 0.0204504, 1.0312e-05, 0.00698832, 0.0574768, 0.00418024, 0.00650554, 0.00214554, 0.0886922, 0.107836, 0.0462965, 1.02983, 2.71843e-05, 0.214512, 0.0271021, 4.03918, 0.267891, 6.24274e-07, 0.379009, 0.167087, 0.121408, 0.176444, 0.00779785, 0.0223423, 0.00593001, 0.176783, 0.00996099, 32.05, 28.45, 33.75, 26.75, 35.45, 25.05, -0.247401
687, 682, 30.6, 30.1613, 23.0888, 0.0120914, 0.0326468, 0.144263, 0.0191901, 1.01328e-05, 0.00703935, 0.0565203, 0.00404836, 0.00640734, 0.00207535, 0.0884647, 0.103137, 0.047105, 0.985237, 2.70123e-05, 0.212343, 0.0269307, 3.98386, 0.269079, 6.88081e-07, 0.382634, 0.16119, 0.11867, 0.183029, 0.00797296, 0.023666, 0.00600281, 0.178897, 0.00996836, 31.95, 28.35, 33.65, 26.65, 35.35, 24.95, 0.252578
697, 692, 29.9, 29.924, 22.9187, 0.0123538, 0.0333576, 0.146017, 0.0197383, 9.94647e-06, 0.00680011, 0.0560868, 0.0039809, 0.00626133, 0.002108, 0.0876305, 0.102739, 0.0456997, 0.978336, 2.65961e-05, 0.199777, 0.0265157, 3.93127, 0.267006, 6.56177e-07, 0.37519, 0.177309, 0.117501, 0.181765, 0.00794543, 0.0231439, 0.00587191, 0.180904, 0.009977, 31.75, 28.15, 33.45, 26.45, 35.15, 24.75, -0.0138969
707, 702, 30.9, 29.9056, 22.9579, 0.012342, 0.0333557, 0.146068, 0.0197543, 9.70495e-06, 0.00644949, 0.055167, 0.00387376, 0.00614909, 0.00210156, 0.0889824, 0.101544, 0.0463927, 0.96825, 2.61477e-05, 0.205472, 0.0260687, 3.87993, 0.26195, 6.22549e-07, 0.3715, 0.163549, 0.114337, 0.199935, 0.00907146, 0.0265806, 0.00621751, 0.182569, 0.00998552, 31.65, 28.15, 33.45, 26.45, 35.05, 24.75, 0.575051
