xunit, xunit_low, fitted_data, total_model, Ac228_cables, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_cables, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_cables, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_far, K40_holders, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
530, 520, 11.65, 12.2216, 0.0322265, 0.0400451, 0.360727, 0.0375385, 9.04322e-05, 0.0313809, 0.502921, 0.0290545, 0.0389106, 0.00662306, 0.303695, 0.168145, 0.0388419, 1.27783, 6.37843e-05, 0.312774, 0.0635915, 6.41806, 0.419423, 4.12115e-06, 0.0920658, 0.412706, 0.250695, 1.14012, 0.0265711, 0.117636, 0.0291466, 0.0707196, 13.025, 11.425, 13.825, 10.625, 14.575, 9.875, -0.731214
550, 540, 12.4, 11.9248, 0.0321738, 0.0396944, 0.359749, 0.0372812, 9.08593e-05, 0.0314299, 0.509223, 0.0290915, 0.0377734, 0.00651026, 0.298631, 0.163447, 0.0382933, 1.26062, 6.21792e-05, 0.310649, 0.0619913, 6.21585, 0.41474, 4.04678e-06, 0.090577, 0.405138, 0.24321, 1.0987, 0.0256546, 0.113711, 0.0279785, 0.0724941, 12.725, 11.125, 13.475, 10.375, 14.225, 9.625, 0.615461
570, 560, 12.95, 11.7013, 0.0322302, 0.0393991, 0.35997, 0.0372167, 9.34708e-05, 0.0321141, 0.522828, 0.0296088, 0.037225, 0.00640834, 0.29419, 0.159863, 0.037504, 1.25703, 6.09744e-05, 0.307101, 0.0607901, 6.02701, 0.401956, 3.99332e-06, 0.0881981, 0.396194, 0.236688, 1.09815, 0.0253151, 0.112409, 0.0271817, 0.0745778, 12.475, 10.925, 13.275, 10.175, 13.975, 9.425, 1.6325
584, 580, 13, 12.9267, 0.0306947, 0.0377385, 0.343307, 0.035515, 0.00031743, 0.093031, 1.70918, 0.0931496, 0.109682, 0.00633277, 0.293684, 0.167399, 0.0370083, 1.24904, 6.01153e-05, 0.303678, 0.0599336, 5.90348, 0.402749, 3.92057e-06, 0.0902614, 0.37865, 0.231437, 1.10858, 0.025351, 0.112406, 0.026928, 0.0770523, 14.3125, 11.5625, 15.5625, 10.3125, 16.8125, 9.0625, 0.0577017
596, 588, 12.125, 11.24, 0.0300786, 0.0370948, 0.338724, 0.0348147, 6.83638e-05, 0.0246452, 0.392895, 0.0221344, 0.0263123, 0.00631404, 0.289286, 0.162595, 0.0368639, 1.24108, 5.9102e-05, 0.304073, 0.0589233, 5.83025, 0.392599, 3.88258e-06, 0.086074, 0.36317, 0.227872, 1.09416, 0.0249726, 0.11076, 0.0261674, 0.0779834, 12.0938, 10.3438, 12.9688, 9.53125, 13.7812, 8.71875, 1.05593
608, 604, 11.25, 14.4842, 0.030306, 0.0371603, 0.339914, 0.0350285, 6.78411e-05, 0.0244531, 0.39081, 0.0220681, 0.0256439, 0.00628049, 0.289585, 0.159235, 0.0378625, 1.23625, 5.84527e-05, 0.297011, 0.058276, 5.72859, 0.387614, 3.83165e-06, 0.0841118, 0.374473, 0.226675, 4.07035, 0.0788543, 0.381213, 0.0832845, 0.0790092, 15.9375, 13.0625, 17.1875, 11.6875, 18.5625, 10.4375, -2.4036
622, 612, 11.25, 10.7015, 0.0302603, 0.036974, 0.339644, 0.0347214, 7.1121e-05, 0.0257431, 0.408292, 0.0229871, 0.0256246, 0.00623471, 0.286581, 0.16267, 0.0379949, 1.23068, 5.77439e-05, 0.300909, 0.0575693, 5.62705, 0.383706, 3.79307e-06, 0.087486, 0.372015, 0.221692, 0.801357, 0.0191718, 0.0830307, 0.0188596, 0.0801259, 11.475, 9.925, 12.175, 9.225, 12.875, 8.525, 0.749827
642, 632, 11.75, 10.5707, 0.0297968, 0.0363736, 0.33545, 0.0341098, 7.44195e-05, 0.0269092, 0.429221, 0.0238933, 0.0250012, 0.00619321, 0.285697, 0.160878, 0.036426, 1.2204, 5.65542e-05, 0.303734, 0.0563833, 5.5189, 0.378871, 3.74198e-06, 0.0860134, 0.374669, 0.215785, 0.784894, 0.0189221, 0.0812573, 0.0180179, 0.0827706, 11.325, 9.825, 12.025, 9.075, 12.775, 8.375, 1.62214
662, 652, 10.75, 10.4833, 0.0298872, 0.0363487, 0.336185, 0.0341702, 7.38556e-05, 0.0270228, 0.430034, 0.0238154, 0.0243004, 0.0061939, 0.284647, 0.162252, 0.0366474, 1.2085, 5.56019e-05, 0.297248, 0.0554338, 5.36152, 0.37314, 3.68744e-06, 0.0841199, 0.364742, 0.211218, 0.879997, 0.0212227, 0.0905707, 0.0186431, 0.0852647, 11.225, 9.725, 11.975, 9.025, 12.675, 8.325, 0.368435
682, 672, 10.9, 10.3718, 0.0304891, 0.0368912, 0.342045, 0.0346649, 7.52667e-05, 0.0274718, 0.436365, 0.0241419, 0.0236531, 0.00614599, 0.283439, 0.161734, 0.0369794, 1.21753, 5.49061e-05, 0.296615, 0.0547402, 5.27048, 0.365443, 3.58526e-06, 0.0823398, 0.368182, 0.207048, 0.852094, 0.0207639, 0.087586, 0.0173525, 0.0874281, 11.125, 9.625, 11.825, 8.925, 12.525, 8.225, 0.733544
