xunit, xunit_low, fitted_data, total_model, Nnbb_bege, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_bege, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
572.5, 565, 76.9333, 76.0814, 52.3367, 0.0365322, 0.394402, 0.0452065, 0.0163895, 0.361666, 0.0205524, 0.0560277, 0.33542, 0.506217, 0.075755, 2.53506, 0.711793, 0.336424, 0.120172, 11.9142, 1.22701, 0.0471215, 0.0988858, 0.348305, 3.14482, 1.12255, 0.0169354, 0.0989854, 0.0473968, 0.0415861, 0.0852576, 78.3667, 73.7667, 80.6333, 71.5667, 82.7667, 69.3667, 0.37828
584, 580, 81.375, 82.8623, 52.423, 0.0362679, 0.393543, 0.0450761, 0.217532, 6.59989, 0.331016, 0.456636, 0.334708, 0.481741, 0.0763343, 2.55984, 0.70314, 0.339712, 0.11772, 11.561, 1.20723, 0.045941, 0.0942701, 0.338028, 3.06419, 1.14557, 0.0172225, 0.0996309, 0.0464492, 0.0413382, 0.0853425, 86.1875, 79.5625, 89.3125, 76.4375, 92.4375, 73.1875, -0.46214
596, 588, 74.3125, 75.1641, 52.7763, 0.0336385, 0.364067, 0.0412571, 0.00982688, 0.237253, 0.0124091, 0.0343505, 0.331524, 0.478671, 0.0742589, 2.45811, 0.701938, 0.326212, 0.114695, 11.2352, 1.18372, 0.0452114, 0.0979862, 0.328319, 2.96716, 1.03454, 0.0158543, 0.0919275, 0.0438913, 0.0404229, 0.0854116, 77.3438, 72.9688, 79.5312, 70.7812, 81.6562, 68.7188, -0.392925
608, 604, 92.375, 91.9163, 53.1365, 0.0345898, 0.378893, 0.0432729, 0.00936806, 0.224142, 0.0119873, 0.0331076, 0.330578, 0.469342, 0.0720238, 2.36968, 0.686643, 0.314477, 0.11201, 10.9161, 1.16803, 0.044364, 0.0940745, 0.327329, 2.88372, 16.3132, 0.181722, 1.30293, 0.332509, 0.0402699, 0.0855105, 95.3125, 88.4375, 98.6875, 85.0625, 102.062, 81.8125, 0.135311
617, 612, 72.9, 74.5155, 53.3308, 0.0350636, 0.387827, 0.0438346, 0.00927794, 0.219882, 0.0116059, 0.0322593, 0.325758, 0.483811, 0.0762659, 2.39095, 0.686796, 0.3173, 0.110136, 10.6437, 1.15613, 0.0439102, 0.0903585, 0.311002, 2.82626, 0.751669, 0.0111712, 0.0641192, 0.0298523, 0.0402156, 0.0855483, 77.25, 71.75, 80.05, 69.05, 82.65, 66.35, -0.591812
627, 622, 72.6, 74.0466, 53.2469, 0.0332957, 0.368547, 0.041339, 0.00896027, 0.215596, 0.0115239, 0.0314062, 0.325254, 0.46147, 0.0729817, 2.3572, 0.672725, 0.31282, 0.107742, 10.4821, 1.13694, 0.0434283, 0.0918449, 0.311953, 2.7739, 0.712199, 0.0108585, 0.0614688, 0.0287842, 0.0397834, 0.085626, 76.85, 71.25, 79.55, 68.55, 82.15, 65.95, -0.531625
637, 632, 75.2, 73.755, 53.3307, 0.03257, 0.362809, 0.0406072, 0.00876852, 0.210972, 0.011112, 0.0308761, 0.324073, 0.468596, 0.0700442, 2.32622, 0.678056, 0.308709, 0.10583, 10.2475, 1.11721, 0.0423262, 0.0901238, 0.293565, 2.70913, 0.719478, 0.0107714, 0.0616942, 0.0284479, 0.039055, 0.085692, 76.55, 70.95, 79.25, 68.25, 81.85, 65.65, 0.532085
647, 642, 70.2, 73.6242, 53.4996, 0.0331656, 0.374263, 0.0418608, 0.00872056, 0.209778, 0.0110558, 0.0305161, 0.324912, 0.466381, 0.0682561, 2.31142, 0.66582, 0.306746, 0.103687, 10.0618, 1.10575, 0.0421447, 0.0884027, 0.289761, 2.66218, 0.695784, 0.0103107, 0.0590754, 0.0275282, 0.0395169, 0.0857447, 76.35, 70.85, 79.05, 68.15, 81.75, 65.55, -1.26197
657, 652, 79.8, 73.3402, 53.5448, 0.0324644, 0.368383, 0.0410809, 0.00851328, 0.205116, 0.0109102, 0.0296673, 0.323631, 0.455403, 0.0704091, 2.29062, 0.686359, 0.303984, 0.103026, 9.83549, 1.09385, 0.0415197, 0.0876204, 0.287859, 2.61568, 0.683245, 0.0103671, 0.0583765, 0.0270093, 0.0389425, 0.0858257, 76.05, 70.55, 78.75, 67.85, 81.45, 65.25, 2.38533
667, 662, 72.5, 73.3701, 53.7051, 0.0336579, 0.387911, 0.0434263, 0.00811345, 0.191702, 0.010074, 0.0282254, 0.323073, 0.458099, 0.0683108, 2.22866, 0.654283, 0.295762, 0.10154, 9.66442, 1.07855, 0.041152, 0.0882462, 0.268203, 2.57134, 0.874844, 0.0121761, 0.0755048, 0.033063, 0.03883, 0.0859054, 76.15, 70.65, 78.85, 67.95, 81.45, 65.25, -0.321233
