xunit, xunit_low, fitted_data, total_model, Nnbb_invcoax, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_invcoax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
572.5, 565, 31, 30.8164, 22.3739, 0.0334547, 0.125239, 0.019379, 0.012769, 0.112024, 0.00834948, 0.0132907, 0.098515, 0.143038, 0.0474138, 0.956196, 0.232079, 0.126895, 0.028766, 4.07321, 0.327944, 0.0010544, 0.478313, 0.170982, 0.859941, 0.330308, 0.0135126, 0.0411539, 0.0111216, 0.167764, 0.00977997, 32.3, 29.3667, 33.7, 27.9, 35.1, 26.5, 0.128082
584, 580, 36.125, 33.7611, 22.4491, 0.0336551, 0.125428, 0.0197209, 0.360168, 2.53607, 0.1907, 0.0878352, 0.0979024, 0.143848, 0.0473012, 0.960011, 0.221234, 0.127402, 0.0277705, 3.94718, 0.321749, 0.0010096, 0.474284, 0.166835, 0.83999, 0.336704, 0.0140242, 0.0422157, 0.0108405, 0.16837, 0.00978971, 35.9375, 31.6875, 37.9375, 29.5625, 39.9375, 27.5625, 1.15069
596, 588, 31.875, 30.6428, 22.6314, 0.0298562, 0.113822, 0.0175474, 0.0086678, 0.0721197, 0.0052439, 0.0080751, 0.0955313, 0.142103, 0.0478714, 0.988621, 0.223309, 0.131198, 0.0272153, 3.81478, 0.313452, 0.000976864, 0.473355, 0.149002, 0.816333, 0.295705, 0.0115863, 0.0360213, 0.0102094, 0.168992, 0.00979763, 32.0312, 29.2188, 33.4062, 27.8438, 34.7812, 26.5312, 0.890374
608, 604, 34.75, 36.9079, 22.8728, 0.0322724, 0.120474, 0.0187667, 0.00842049, 0.0705441, 0.00504362, 0.00786952, 0.0950734, 0.132774, 0.0458416, 0.958277, 0.210199, 0.127171, 0.0265647, 3.7644, 0.315206, 0.000952861, 0.459322, 0.146228, 0.792117, 5.39279, 0.300489, 0.758339, 0.0656975, 0.170457, 0.00980898, 39.0625, 34.6875, 41.3125, 32.5625, 43.3125, 30.4375, -1.00464
617, 612, 31.8, 30.5437, 22.9368, 0.0332738, 0.124273, 0.0191607, 0.00831826, 0.0706133, 0.00497415, 0.00769581, 0.0950203, 0.140116, 0.0472191, 0.935389, 0.219376, 0.124134, 0.0261166, 3.63364, 0.304972, 0.000997376, 0.461415, 0.142344, 0.780435, 0.204239, 0.00888351, 0.0255404, 0.00692592, 0.171967, 0.00981331, 32.35, 28.75, 34.05, 27.05, 35.75, 25.35, 0.718853
627, 622, 31.3, 30.463, 22.9401, 0.0309246, 0.117164, 0.0178346, 0.00817718, 0.0683662, 0.0047731, 0.00750174, 0.0932159, 0.139731, 0.0479307, 0.949261, 0.212646, 0.125975, 0.0258479, 3.58469, 0.301707, 0.000957807, 0.465014, 0.142661, 0.758955, 0.19762, 0.00848512, 0.0247018, 0.00664176, 0.172287, 0.00982222, 32.25, 28.65, 33.95, 26.95, 35.65, 25.25, 0.479557
637, 632, 31.1, 30.3289, 22.9654, 0.0304042, 0.115664, 0.0174306, 0.00805206, 0.0669276, 0.00480484, 0.00741291, 0.0934659, 0.133375, 0.0444276, 0.925679, 0.208102, 0.122845, 0.0249924, 3.49746, 0.297983, 0.000894962, 0.461493, 0.137589, 0.743293, 0.19762, 0.00854747, 0.0253168, 0.00655015, 0.173333, 0.0098298, 32.15, 28.55, 33.85, 26.85, 35.55, 25.15, 0.442753
647, 642, 30.2, 30.3653, 23.062, 0.0321293, 0.119687, 0.018319, 0.0080089, 0.0669809, 0.00483416, 0.0072623, 0.0930584, 0.130968, 0.0462521, 0.91597, 0.210549, 0.121557, 0.0245849, 3.43884, 0.293261, 0.000907764, 0.47448, 0.143295, 0.738128, 0.19166, 0.00812523, 0.0238667, 0.00642479, 0.174349, 0.00983584, 32.15, 28.55, 33.85, 26.85, 35.55, 25.15, -0.0948549
657, 652, 29.2, 30.2901, 23.0917, 0.0313383, 0.117862, 0.0179568, 0.00784728, 0.0656662, 0.00475688, 0.00710993, 0.0930173, 0.136457, 0.0450297, 0.93354, 0.203906, 0.123889, 0.0242756, 3.36703, 0.291912, 0.000934531, 0.460555, 0.135687, 0.718177, 0.187598, 0.00820729, 0.023671, 0.00627602, 0.175881, 0.00984514, 32.05, 28.55, 33.85, 26.75, 35.55, 25.05, -0.626374
667, 662, 32.1, 30.3975, 23.2045, 0.0337844, 0.125333, 0.0189609, 0.00728118, 0.0615391, 0.00443432, 0.00681083, 0.0922606, 0.126634, 0.0463799, 0.932615, 0.211598, 0.123766, 0.024224, 3.30029, 0.286434, 0.00089729, 0.455469, 0.140125, 0.70423, 0.250907, 0.0114027, 0.0331279, 0.00754473, 0.177028, 0.00985428, 32.15, 28.65, 33.95, 26.85, 35.65, 25.15, 0.976505
677, 672, 29.9, 30.2208, 23.2197, 0.0375085, 0.137145, 0.0210749, 0.00705807, 0.0593296, 0.00426474, 0.0066557, 0.0921031, 0.13039, 0.0438802, 0.897012, 0.207402, 0.119041, 0.0235033, 3.2273, 0.285975, 0.000842591, 0.458051, 0.134736, 0.701154, 0.181225, 0.00792121, 0.022352, 0.00593703, 0.17943, 0.00986172, 32.05, 28.45, 33.75, 26.75, 35.45, 25.05, -0.184556
687, 682, 30.6, 30.1533, 23.2621, 0.0355564, 0.1316, 0.019776, 0.00710961, 0.0583422, 0.00413019, 0.00655523, 0.0918669, 0.124708, 0.0446465, 0.858172, 0.205305, 0.113887, 0.0233545, 3.18309, 0.287244, 0.000928712, 0.462432, 0.12998, 0.685342, 0.187989, 0.00809909, 0.0236763, 0.00600991, 0.181575, 0.00986902, 31.95, 28.35, 33.65, 26.65, 35.35, 24.95, 0.257224
697, 692, 29.9, 29.915, 23.0907, 0.0363305, 0.133201, 0.020341, 0.00686797, 0.0578947, 0.00406136, 0.00640586, 0.0910006, 0.124227, 0.0433146, 0.852161, 0.193156, 0.113089, 0.0229947, 3.14107, 0.285031, 0.000885652, 0.453435, 0.142978, 0.678592, 0.18669, 0.00807113, 0.0231539, 0.00587886, 0.183612, 0.00987758, 31.65, 28.15, 33.45, 26.45, 35.05, 24.75, -0.00868148
707, 702, 30.7, 29.8938, 23.1302, 0.0363286, 0.133248, 0.0203575, 0.00651386, 0.0569453, 0.00395206, 0.00629102, 0.0924044, 0.122782, 0.0439715, 0.843376, 0.198662, 0.111923, 0.022607, 3.10005, 0.279634, 0.000840263, 0.448976, 0.131882, 0.660319, 0.205353, 0.00921498, 0.0265921, 0.00622487, 0.185302, 0.00988601, 31.65, 28.15, 33.35, 26.35, 35.05, 24.75, 0.466271
717, 712, 32.3, 29.7308, 23.0507, 0.0306902, 0.11402, 0.0171021, 0.00661627, 0.0565824, 0.0039316, 0.00610774, 0.092199, 0.120664, 0.0439167, 0.860947, 0.192195, 0.114255, 0.0222065, 3.03474, 0.275398, 0.000834444, 0.463684, 0.139491, 0.655155, 0.192836, 0.00865612, 0.0249656, 0.00597481, 0.187031, 0.00989409, 31.55, 27.95, 33.25, 26.25, 34.85, 24.55, 1.49001
727, 722, 31.5, 30.6307, 23.0149, 0.034894, 0.128351, 0.0195669, 0.111396, 0.864776, 0.0568328, 0.0227726, 0.0913328, 0.129523, 0.04461, 0.859097, 0.200498, 0.114009, 0.0218149, 2.99965, 0.274507, 0.000825134, 0.453905, 0.134102, 0.640462, 0.175884, 0.00781439, 0.0225861, 0.0054827, 0.191193, 0.00990019, 32.45, 28.85, 34.15, 27.05, 35.85, 25.35, 0.496719
737.5, 732, 26.2727, 29.4172, 22.914, 0.0290373, 0.109002, 0.0162276, 0.00505378, 0.0418802, 0.00296452, 0.00504538, 0.0916518, 0.118624, 0.0446018, 0.859602, 0.19252, 0.114076, 0.0215144, 2.95048, 0.272243, 0.000799848, 0.454531, 0.12681, 0.63009, 0.177292, 0.00790421, 0.0225308, 0.00546872, 0.19325, 0.00991115, 31.1364, 27.7727, 32.6818, 26.1364, 34.3182, 24.5, -1.92282
748.5, 743, 28.4545, 29.3265, 22.8899, 0.0291621, 0.109125, 0.0161682, 0.00492918, 0.0406081, 0.00290707, 0.00500606, 0.0919631, 0.127729, 0.0435236, 0.841947, 0.196414, 0.111733, 0.0216063, 2.90366, 0.267778, 0.000813602, 0.454033, 0.122199, 0.62492, 0.177442, 0.00795172, 0.0221687, 0.00546963, 0.197433, 0.00992002, 31.0455, 27.6818, 32.5909, 26.0455, 34.2273, 24.4091, -0.534026
759.5, 754, 26.9091, 29.1231, 22.7212, 0.0343322, 0.125349, 0.0189401, 0.00781568, 0.0593994, 0.00457751, 0.00618818, 0.0931863, 0.127729, 0.0435402, 0.844049, 0.197288, 0.112012, 0.0211602, 2.83106, 0.268711, 0.000781862, 0.450975, 0.128539, 0.609596, 0.170487, 0.00750619, 0.0213762, 0.00513806, 0.202287, 0.0099282, 30.7727, 27.4091, 32.4091, 25.8636, 33.9545, 24.2273, -1.3607
770.5, 765, 28.7273, 29.3025, 22.5386, 0.0382227, 0.136518, 0.021248, 0.00472939, 0.0390594, 0.0027296, 0.00471501, 0.0944345, 0.127641, 0.0425616, 0.841106, 0.188945, 0.111622, 0.0206483, 2.81216, 0.259487, 0.000838994, 0.460363, 0.126234, 0.603765, 0.504975, 0.0258069, 0.0693141, 0.0100129, 0.206769, 0.00993653, 30.9545, 27.5909, 32.5909, 26.0455, 34.2273, 24.4091, -0.352431
