xunit, xunit_low, fitted_data, total_model, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
530, 520, 11.65, 12.0953, 0.0436142, 0.329066, 0.0386848, 0.031694, 0.519133, 0.0296418, 0.0398088, 0.315375, 0.203313, 0.0368147, 1.11303, 0.302407, 0.147708, 0.0551472, 5.12802, 0.447737, 0.00556238, 0.111266, 0.332797, 1.44782, 1.17101, 0.0269915, 0.117687, 0.0291811, 0.0717782, 12.875, 11.275, 13.675, 10.525, 14.425, 9.775, -0.572587
550, 540, 12.4, 11.8027, 0.0432322, 0.328173, 0.0384196, 0.0317436, 0.525638, 0.0296796, 0.0386453, 0.310115, 0.197632, 0.0362947, 1.09804, 0.300353, 0.145719, 0.0537595, 4.96645, 0.442738, 0.005462, 0.109467, 0.326694, 1.40459, 1.12847, 0.0260605, 0.113761, 0.0280116, 0.0735793, 12.575, 11.025, 13.375, 10.225, 14.125, 9.475, 0.777497
570, 560, 12.95, 11.5863, 0.0429105, 0.328375, 0.0383531, 0.0324346, 0.539681, 0.0302073, 0.0380842, 0.305504, 0.193298, 0.0355466, 1.09491, 0.296923, 0.145304, 0.0527178, 4.81557, 0.429091, 0.00538985, 0.106592, 0.319482, 1.36692, 1.1279, 0.0257156, 0.112458, 0.0272138, 0.0756942, 12.375, 10.825, 13.125, 10.025, 13.875, 9.325, 1.79171
584, 580, 13, 12.8619, 0.0411019, 0.313174, 0.0365995, 0.0939595, 1.76428, 0.0950324, 0.112214, 0.304978, 0.202411, 0.0350768, 1.08795, 0.293612, 0.144381, 0.0519751, 4.71687, 0.429938, 0.00529165, 0.109085, 0.305335, 1.33659, 1.13862, 0.0257521, 0.112455, 0.0269599, 0.0782058, 14.1875, 11.5625, 15.4375, 10.3125, 16.6875, 9.0625, 0.108952
596, 588, 12.1875, 11.1277, 0.0404008, 0.308994, 0.0358778, 0.0248912, 0.40556, 0.0225818, 0.0269197, 0.300412, 0.196602, 0.03494, 1.08102, 0.293995, 0.14346, 0.0510989, 4.65836, 0.419102, 0.00524037, 0.104025, 0.292852, 1.31601, 1.12381, 0.0253677, 0.110808, 0.0261984, 0.0791507, 11.9688, 10.2812, 12.8438, 9.40625, 13.6562, 8.59375, 1.27084
608, 604, 11.375, 14.4646, 0.0404722, 0.310079, 0.0360981, 0.0246971, 0.403408, 0.0225142, 0.0262358, 0.300722, 0.19254, 0.0358865, 1.07681, 0.287167, 0.142902, 0.0505375, 4.57713, 0.413781, 0.00517163, 0.101653, 0.301966, 1.30909, 4.18065, 0.0801018, 0.381379, 0.083383, 0.0801919, 15.8125, 13.0625, 17.1875, 11.6875, 18.5625, 10.4375, -2.29769
622, 612, 11.2, 10.591, 0.0402693, 0.309833, 0.0357816, 0.0260001, 0.421453, 0.0234517, 0.0262161, 0.297603, 0.196693, 0.0360119, 1.07196, 0.290936, 0.142258, 0.0499247, 4.496, 0.409609, 0.00511955, 0.105731, 0.299985, 1.28032, 0.823073, 0.0194751, 0.0830667, 0.0188819, 0.0813253, 11.325, 9.825, 12.075, 9.125, 12.775, 8.425, 0.836917
642, 632, 11.7, 10.4534, 0.0396154, 0.306007, 0.0351514, 0.0271777, 0.443057, 0.0243763, 0.0255783, 0.296684, 0.194526, 0.0345249, 1.06301, 0.293667, 0.14107, 0.0488961, 4.40959, 0.404448, 0.0050506, 0.103951, 0.302125, 1.24621, 0.806164, 0.0192215, 0.0812925, 0.0180393, 0.0840097, 11.225, 9.725, 11.925, 8.975, 12.625, 8.275, 1.72426
662, 652, 10.8, 10.3801, 0.0395883, 0.306677, 0.0352135, 0.0272925, 0.443896, 0.0242968, 0.0248613, 0.295594, 0.196187, 0.0347347, 1.05264, 0.287396, 0.139695, 0.0480728, 4.28384, 0.39833, 0.00497699, 0.101663, 0.29412, 1.21983, 0.903844, 0.0215585, 0.09061, 0.0186652, 0.086541, 11.125, 9.625, 11.825, 8.925, 12.525, 8.225, 0.58282
682, 672, 10.9, 10.2636, 0.0401791, 0.312023, 0.0357234, 0.027746, 0.450431, 0.0246299, 0.0241991, 0.29434, 0.195561, 0.0350495, 1.0605, 0.286784, 0.140738, 0.0474712, 4.2111, 0.390113, 0.00483908, 0.0995117, 0.296894, 1.19575, 0.875185, 0.0210924, 0.087624, 0.0173731, 0.0887369, 11.025, 9.525, 11.725, 8.825, 12.425, 8.125, 0.88838
