xunit, xunit_low, fitted_data, total_model, Nnbb_bege, Ac228_cables, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_cables, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_cables, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_far, K40_holders, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_bege, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
7.5, 0, 0, 334.488, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 334.488, 353.5, 315.5, 371.5, 297.5, 389.5, 279.5, -18.289
22.5, 15, 0, 1.27527, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27527, 2.5, 0, 3.5, 0, 5.5, 0, -1.55696
37.5, 30, 18884, 719.189, 64.342, 0.819333, 0.747664, 7.63282, 0.906075, 0.00153612, 0.387617, 6.9353, 0.452095, 1.69733, 0.124731, 4.40731, 9.4042, 1.58948, 64.2262, 0.00346088, 17.5117, 3.45042, 420.764, 36.5201, 0.00109195, 2.01512, 10.898, 15.2883, 40.9594, 0.679204, 3.7674, 1.79185, 0.604381, 1.26106, 746.5, 691.5, 773.5, 665.5, 799.5, 639.5, 677.344
52.5, 45, 60063, 2096.37, 198.17, 2.37572, 2.1469, 22.098, 2.61413, 0.00443148, 1.11247, 20.1467, 1.31391, 4.88183, 0.360803, 12.752, 28.4547, 4.76613, 192.61, 0.00993877, 53.393, 9.90873, 1209.13, 107.83, 0.0029783, 5.96575, 32.47, 44.1825, 118.66, 1.94953, 10.9154, 5.14764, 1.73925, 1.25807, 2142.5, 2050.5, 2188.5, 2004.5, 2232.5, 1959.5, 1266.03
67.5, 60, 95837, 2282.95, 210.833, 2.45269, 2.24851, 22.5689, 2.7401, 0.00470899, 1.17208, 21.288, 1.40185, 5.30271, 0.374034, 13.0329, 32.479, 5.14305, 216.683, 0.0107738, 60.0074, 10.7412, 1321.76, 118.732, 0.00273611, 6.63638, 35.108, 48.9781, 121.261, 2.01939, 11.322, 5.61405, 1.77868, 1.25737, 2331.5, 2234.5, 2378.5, 2187.5, 2425.5, 2140.5, 1958.01
82.5, 75, 130557, 2886.4, 224.535, 2.99864, 2.78761, 26.946, 3.39294, 0.00559827, 1.43636, 24.8088, 1.69024, 6.9893, 0.446104, 15.1227, 38.1257, 6.3227, 265.934, 0.0140859, 71.7011, 14.0433, 1753.5, 134.331, 0.00257904, 8.5544, 46.7137, 64.722, 144.141, 2.49145, 13.7922, 7.50037, 2.09043, 1.26282, 2940.5, 2832.5, 2994.5, 2778.5, 3046.5, 2726.5, 2376.36
97.5, 90, 138644, 3511.62, 240.905, 3.7034, 3.43456, 32.8306, 4.20364, 0.00653968, 1.72395, 28.2981, 2.00278, 8.82209, 0.527316, 17.6824, 42.4575, 7.44459, 304.537, 0.0176244, 78.941, 17.5711, 2219.58, 142.076, 0.00242658, 10.2018, 55.9212, 80.5954, 174.78, 3.08575, 16.9649, 9.58731, 2.46328, 1.256, 3571.5, 3451.5, 3630.5, 3392.5, 3687.5, 3335.5, 2280.37
112.5, 105, 124966, 3834.48, 257.997, 3.94544, 3.77864, 34.9107, 4.53336, 0.00720283, 1.92166, 30.9258, 2.22012, 9.89791, 0.577206, 19.1503, 43.0062, 7.98225, 315.308, 0.0195923, 79.873, 19.5331, 2466.83, 139.776, 0.00226347, 10.8802, 60.3441, 88.3577, 195.596, 3.45011, 18.9774, 10.7081, 2.7143, 1.25707, 3896.5, 3772.5, 3958.5, 3710.5, 4018.5, 3650.5, 1956.16
127.5, 120, 102294, 3897.61, 275.663, 4.6522, 4.14497, 41.8907, 5.16124, 0.00741337, 1.98041, 31.8487, 2.29104, 10.0474, 0.605777, 20.2789, 42.8533, 8.12046, 314.57, 0.020025, 78.4077, 19.9644, 2497.08, 133.041, 0.00209884, 10.7385, 60.6626, 88.7703, 206.295, 3.59971, 19.9306, 10.8401, 2.88675, 1.25464, 3960.5, 3834.5, 4022.5, 3772.5, 4083.5, 3711.5, 1576.09
142.5, 135, 79742, 3745.9, 295.6, 4.06861, 3.80998, 36.5928, 4.62299, 0.0072419, 1.92039, 31.223, 2.23447, 9.55236, 0.598102, 20.1078, 40.4608, 7.74509, 300.54, 0.0191222, 73.1439, 19.0644, 2364.03, 122.903, 0.00194757, 10.2795, 57.8477, 83.8017, 216.977, 3.65675, 20.5838, 10.407, 2.8443, 1.25451, 3807.5, 3684.5, 3868.5, 3623.5, 3928.5, 3563.5, 1241.69
157.5, 150, 60887, 3464.74, 314.411, 4.00938, 3.65045, 36.4914, 4.48673, 0.00681799, 1.79519, 29.5139, 2.09522, 8.75077, 0.561847, 19.0544, 36.4906, 7.2415, 272.825, 0.017435, 66.3189, 17.3823, 2144.06, 110.061, 0.00179381, 9.24963, 52.1903, 75.7151, 211.544, 3.50715, 19.8147, 9.55918, 2.67399, 1.25673, 3524.5, 3405.5, 3582.5, 3346.5, 3639.5, 3289.5, 975.54
172.5, 165, 45916, 3150.17, 335.787, 3.54067, 3.28622, 32.2544, 3.99341, 0.00658973, 1.69414, 28.7917, 2.00753, 8.00158, 0.522865, 17.8595, 33.1082, 6.55697, 245.64, 0.015685, 59.0772, 15.6376, 1918.16, 98.1372, 0.00166275, 8.31942, 46.3638, 67.6862, 181.197, 3.07861, 17.1553, 8.51755, 2.49673, 1.26992, 3206.5, 3093.5, 3262.5, 3037.5, 3317.5, 2983.5, 761.956
187.5, 180, 34921, 2875.66, 355.829, 3.26752, 3.0117, 30.044, 3.6562, 0.00656886, 1.63846, 29.231, 1.97977, 7.29198, 0.487738, 16.846, 30.1336, 5.93327, 222.273, 0.0140412, 53.6145, 13.9988, 1704.49, 87.5622, 0.00154518, 7.42417, 41.0642, 60.0979, 166.031, 2.78462, 15.6558, 7.6342, 2.33264, 1.32998, 2929.5, 2821.5, 2983.5, 2768.5, 3035.5, 2716.5, 597.58
202.5, 195, 26417, 2645.41, 377.545, 4.24472, 3.39206, 40.8607, 4.37094, 0.005947, 1.48337, 26.4898, 1.79023, 6.49685, 0.46611, 16.3697, 27.6185, 5.47646, 204.941, 0.0126004, 48.2476, 12.5623, 1514.02, 79.0057, 0.00143587, 6.71406, 37.1013, 53.4693, 146.201, 2.47215, 13.8214, 6.74421, 2.23484, 1.25047, 2697.5, 2593.5, 2748.5, 2542.5, 2798.5, 2492.5, 462.18
217.5, 210, 20205, 2473.82, 397.349, 2.88202, 2.54661, 27.1954, 3.13473, 0.00521917, 1.32, 23.1939, 1.57309, 5.75889, 0.511234, 18.5631, 28.3575, 5.41852, 205.297, 0.0116856, 50.4045, 11.6503, 1373.1, 76.0392, 0.00137975, 6.20914, 34.6598, 48.7903, 126.286, 2.16289, 11.9608, 5.94131, 2.24597, 1.25091, 2523.5, 2423.5, 2573.5, 2374.5, 2621.5, 2325.5, 356.495
232.5, 225, 15993, 2316.49, 417.479, 2.36369, 2.16942, 22.0962, 2.61969, 0.00470993, 1.18571, 21.1218, 1.41551, 5.13899, 0.467131, 16.8996, 27.4432, 5.21023, 200.53, 0.0106958, 49.0151, 10.6635, 1239.51, 72.5921, 0.00132447, 5.92756, 32.0887, 44.4345, 114.672, 1.96569, 10.8532, 5.29753, 2.06342, 1.25197, 2365.5, 2267.5, 2413.5, 2219.5, 2459.5, 2173.5, 284.158
247.5, 240, 12416, 2180.02, 440.036, 2.03589, 1.89996, 19.074, 2.26205, 0.00429356, 1.06732, 19.2333, 1.28619, 4.60287, 0.401374, 14.5318, 23.6236, 4.57228, 175.246, 0.00948463, 41.5673, 9.45596, 1093.8, 63.3979, 0.00122199, 5.12164, 28.0157, 39.1285, 165.276, 2.35731, 13.9041, 5.01566, 1.84109, 1.25284, 2227.5, 2132.5, 2273.5, 2086.5, 2319.5, 2040.5, 219.23
262.5, 255, 9629, 1939, 462.269, 2.09908, 1.84333, 19.9467, 2.2599, 0.00380295, 0.952756, 17.1232, 1.1372, 4.08482, 0.350757, 12.7177, 20.4514, 4.03059, 150.238, 0.00841127, 36.3749, 8.38584, 969.203, 55.9388, 0.00113178, 4.63355, 25.7315, 34.7157, 87.7236, 1.50077, 8.2984, 4.0564, 1.66152, 1.25417, 1983.5, 1894.5, 2027.5, 1850.5, 2070.5, 1807.5, 174.638
277.5, 270, 7864, 1804.62, 480.909, 2.08534, 1.73625, 20.0223, 2.19239, 0.0042941, 0.973198, 19.7429, 1.24676, 3.90004, 0.311079, 11.3053, 18.0924, 3.58225, 132.248, 0.00750377, 31.9291, 7.48109, 863.271, 50.0203, 0.00106713, 4.11375, 22.146, 30.8417, 81.0668, 1.38362, 7.60279, 3.6525, 1.49231, 1.25515, 1847.5, 1761.5, 1889.5, 1719.5, 1931.5, 1678.5, 142.638
292.5, 285, 6473, 1841.99, 502.167, 1.48594, 1.36803, 14.2092, 1.62701, 0.00354319, 0.834226, 16.6043, 1.02466, 3.31217, 0.279009, 10.2325, 15.9667, 3.18512, 115.776, 0.0067013, 28.0656, 6.68105, 770.819, 45.0965, 0.00101466, 3.63473, 19.6849, 27.6546, 224.989, 2.83533, 17.4551, 4.38454, 1.35407, 1.25619, 1885.5, 1798.5, 1928.5, 1755.5, 1969.5, 1714.5, 107.902
