xunit, xunit_low, fitted_data, total_model, Nnbb_semicoax, Ac228_cables, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_cables, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_cables, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_far, K40_holders, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_coax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
7.5, 0, 0, 461.49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 461.49, 483.5, 439.5, 504.5, 418.5, 525.5, 397.5, -21.4823
22.5, 15, 0, 0.121439, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.121439, 0.5, 0, 1.5, 0, 2.5, 0, -0.595235
37.5, 30, 9701, 121.218, 13.2386, 0.124657, 0.154588, 1.42294, 0.195611, 0.000234827, 0.0783597, 1.30445, 0.0954867, 0.337822, 0.020707, 0.923322, 1.36985, 0.333027, 13.1117, 0.000702134, 3.12503, 0.700012, 51.99, 4.82142, 8.407e-06, 0.479021, 16.8188, 2.95218, 6.05587, 0.136839, 0.813816, 0.353053, 0.161426, 0.0981249, 132.5, 109.5, 143.5, 98.5, 154.5, 88.5, 870.107
52.5, 45, 26567, 385.574, 48.5544, 0.371605, 0.453998, 4.26656, 0.583653, 0.000691521, 0.23345, 3.87009, 0.287034, 1.00947, 0.0626155, 2.73505, 4.34689, 1.00081, 39.452, 0.00208886, 9.39496, 2.08255, 154.674, 15.5613, 2.5997e-05, 1.36327, 63.3989, 8.8599, 18.5148, 0.409267, 2.45957, 1.05479, 0.477239, 0.0925305, 405.5, 365.5, 425.5, 345.5, 444.5, 326.5, 1333.34
67.5, 60, 36350, 473.283, 62.5233, 0.403667, 0.501928, 4.6179, 0.638302, 0.000774366, 0.258713, 4.35473, 0.324926, 1.16692, 0.0671297, 2.96779, 5.12978, 1.18022, 49.8139, 0.00240184, 11.4587, 2.39458, 171.35, 20.8355, 3.07136e-05, 1.70311, 96.1127, 10.6943, 19.823, 0.44855, 2.68694, 1.22635, 0.505515, 0.0912051, 495.5, 451.5, 517.5, 429.5, 538.5, 408.5, 1649.12
82.5, 75, 50830, 663.916, 75.1455, 0.553276, 0.697377, 6.22469, 0.888303, 0.00102777, 0.355652, 5.72039, 0.440333, 1.78676, 0.0878665, 3.81574, 6.93528, 1.6276, 71.5412, 0.00362768, 15.664, 3.61671, 259.029, 29.1116, 4.52426e-05, 2.55629, 128.048, 16.7087, 26.4286, 0.621991, 3.63664, 1.92815, 0.643586, 0.098494, 690.5, 637.5, 715.5, 612.5, 740.5, 586.5, 1946.95
97.5, 90, 55849, 886.183, 87.7329, 0.769222, 0.963633, 8.50827, 1.24598, 0.00135816, 0.477479, 7.44559, 0.578408, 2.61517, 0.117135, 4.93185, 9.14775, 2.19778, 92.3501, 0.00525149, 20.4098, 5.23562, 384.847, 35.9726, 6.27636e-05, 3.39004, 146.931, 24.0421, 36.5864, 0.872223, 5.02344, 2.86246, 0.833521, 0.0895884, 916.5, 855.5, 946.5, 826.5, 975.5, 797.5, 1846.32
112.5, 105, 52393, 1044.74, 100.426, 0.908438, 1.16228, 9.94867, 1.45756, 0.0016572, 0.58208, 8.9554, 0.701645, 3.24851, 0.140014, 5.80746, 10.3655, 2.5156, 104.942, 0.00643612, 22.8967, 6.41667, 486.669, 39.193, 7.33435e-05, 3.99982, 148.342, 29.1429, 45.0352, 1.06431, 6.18163, 3.55472, 0.988102, 0.090929, 1077.5, 1011.5, 1109.5, 979.5, 1141.5, 948.5, 1588.62
127.5, 120, 44910, 1127.13, 113.001, 1.12166, 1.35719, 12.3886, 1.79681, 0.00182178, 0.639279, 9.79273, 0.775913, 3.53586, 0.157005, 6.53583, 11.1954, 2.71754, 111.386, 0.0070516, 24.362, 7.03029, 536.303, 40.0658, 7.9043e-05, 4.23804, 143.617, 31.2795, 50.6385, 1.17843, 6.94373, 3.85811, 1.11447, 0.0876154, 1161.5, 1093.5, 1194.5, 1059.5, 1227.5, 1026.5, 1304.12
142.5, 135, 37144, 1141.17, 127.206, 1.04808, 1.31161, 11.5633, 1.67168, 0.00187117, 0.651431, 10.0437, 0.792301, 3.54761, 0.161955, 6.73329, 11.0735, 2.7287, 110.462, 0.00710714, 23.9398, 7.08566, 542.396, 38.6869, 8.0345e-05, 4.15259, 135.644, 31.0053, 55.3016, 1.25465, 7.56797, 3.91424, 1.13271, 0.087135, 1175.5, 1106.5, 1209.5, 1073.5, 1241.5, 1040.5, 1065.76
