xunit, xunit_low, fitted_data, total_model, Nnbb_invcoax, Ac228_cables, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_cables, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_cables, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_far, K40_holders, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_invcoax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
7.5, 0, 0, 38.6784, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38.6784, 44.5, 31.5, 51.5, 26.5, 58.5, 21.5, -3.9
22.5, 15, 0, 0.147466, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.147466, 0.5, 0, 1.5, 0, 2.5, 0, -0.627828
37.5, 30, 7335, 96.0834, 9.06904, 0.0971423, 0.245651, 1.09546, 0.154417, 0.000181237, 0.113063, 0.938773, 0.07151, 0.127235, 0.0160022, 0.627143, 1.12854, 0.45642, 10.2558, 0.00028284, 2.27529, 0.281985, 51.5328, 3.39375, 7.51887e-06, 3.84964, 2.10727, 1.36572, 4.92589, 0.234752, 0.667842, 0.120343, 0.785565, 0.145822, 106.5, 85.5, 116.5, 76.5, 125.5, 66.5, 738.498
52.5, 45, 24680, 306.359, 33.2371, 0.294505, 0.748901, 3.31411, 0.468965, 0.000555149, 0.354174, 2.83112, 0.223217, 0.379168, 0.0484832, 1.91869, 3.63329, 1.58236, 33.3101, 0.000843359, 7.54634, 0.84081, 155.492, 12.6261, 2.29791e-05, 16.1954, 6.49872, 4.20471, 14.9564, 0.730063, 2.05338, 0.365715, 2.35839, 0.145477, 324.5, 288.5, 341.5, 270.5, 358.5, 253.5, 1392.53
67.5, 60, 35067, 412.191, 42.6301, 0.3535, 0.88503, 3.87455, 0.565295, 0.000691451, 0.445043, 3.54333, 0.280473, 0.474722, 0.0569848, 2.21434, 4.74749, 2.32349, 49.7768, 0.00103827, 11.1396, 1.03513, 205.802, 19.8691, 3.26278e-05, 22.8817, 9.78936, 5.61379, 17.5854, 0.842274, 2.42302, 0.461849, 2.42888, 0.145396, 432.5, 391.5, 453.5, 371.5, 472.5, 351.5, 1706.92
82.5, 75, 42295, 631.854, 51.3327, 0.530246, 1.3122, 5.65019, 0.854314, 0.000998647, 0.624015, 5.0407, 0.405152, 0.761084, 0.0822274, 2.99773, 7.00377, 3.27521, 73.7123, 0.00161792, 16.4179, 1.61303, 346.672, 28.1305, 5.3641e-05, 26.4232, 16.005, 8.93555, 25.8275, 1.19177, 3.53878, 0.754433, 2.61425, 0.146026, 657.5, 606.5, 682.5, 581.5, 706.5, 556.5, 1657.46
97.5, 90, 41667, 850.4, 60.1545, 0.741464, 1.83474, 7.78058, 1.19858, 0.00133322, 0.804257, 6.54009, 0.534993, 1.095, 0.110173, 3.98123, 8.78139, 3.99189, 91.7077, 0.00230294, 20.4361, 2.29598, 497.175, 33.4843, 7.02308e-05, 27.3068, 21.2142, 12.4925, 35.9724, 1.66434, 4.97961, 1.0993, 2.87302, 0.145238, 880.5, 820.5, 909.5, 791.5, 937.5, 763.5, 1399.67
112.5, 105, 36321, 980.217, 69.2389, 0.863207, 2.08685, 9.08041, 1.38348, 0.00158271, 0.954905, 7.72777, 0.638892, 1.329, 0.129677, 4.69053, 9.55631, 4.24908, 100.456, 0.00278868, 21.9611, 2.78025, 587.59, 35.1402, 7.99829e-05, 26.2296, 23.3411, 14.7698, 43.4854, 2.01223, 6.01599, 1.32898, 3.02714, 0.145361, 1011.5, 948.5, 1043.5, 917.5, 1073.5, 886.5, 1128.8
127.5, 120, 29217, 1037.22, 78.6498, 1.03524, 2.66036, 11.2109, 1.68493, 0.00169843, 1.03425, 8.33192, 0.687159, 1.4187, 0.14406, 5.24557, 9.97523, 4.37959, 103.779, 0.00302415, 22.7538, 3.01501, 620.924, 34.5374, 8.09228e-05, 24.2695, 24.5088, 15.5913, 47.7668, 2.25181, 6.63528, 1.42565, 3.1528, 0.14508, 1069.5, 1004.5, 1101.5, 972.5, 1133.5, 941.5, 874.989
142.5, 135, 23230, 1026.2, 89.0535, 0.954533, 2.36296, 10.3181, 1.54156, 0.00171772, 1.05712, 8.43172, 0.695759, 1.4197, 0.145527, 5.42648, 9.7379, 4.33012, 100.206, 0.00301722, 21.7224, 3.0081, 606.011, 32.8946, 8.10348e-05, 22.2894, 23.5023, 15.409, 51.1075, 2.51954, 7.21136, 1.43172, 3.26322, 0.145065, 1058.5, 993.5, 1090.5, 961.5, 1121.5, 930.5, 693.124
