xunit, xunit_low, fitted_data, total_model, Ac228_cables, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_cables, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_cables, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_far, K40_holders, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
7.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
22.5, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
37.5, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
52.5, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
67.5, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
82.5, 75, 30, 3.65745, 0.00673105, 0.00712448, 0.0688357, 0.00750944, 1.3884e-05, 0.0043496, 0.0710049, 0.00445365, 0.0110604, 0.00112079, 0.0454506, 0.048582, 0.0123201, 0.34408, 1.96999e-05, 0.091301, 0.0196404, 2.23335, 0.127272, 1.36236e-06, 0.0271877, 0.0766637, 0.080989, 0.31315, 0.00607472, 0.0300524, 0.0101811, 0.008926, 5.5, 1.5, 7.5, 0, 10.5, 0, 2.56188
97.5, 90, 123, 18.1559, 0.0335418, 0.0354901, 0.339653, 0.0375624, 7.08453e-05, 0.0213335, 0.353236, 0.0218728, 0.0542087, 0.00561887, 0.232133, 0.238131, 0.050724, 1.77107, 9.72326e-05, 0.405883, 0.0969387, 10.973, 0.628903, 6.57902e-06, 0.122344, 0.497331, 0.40446, 1.55571, 0.0314206, 0.149916, 0.0503629, 0.0448828, 22.5, 13.5, 26.5, 9.5, 32.5, 6.5, 3.38235
112.5, 105, 228, 33.9564, 0.0628856, 0.0687233, 0.641986, 0.071061, 0.000133637, 0.04167, 0.676875, 0.0419778, 0.102065, 0.0106967, 0.441417, 0.461529, 0.0957693, 3.28686, 0.000178727, 0.819901, 0.178187, 20.2182, 1.23202, 1.23734e-05, 0.234979, 1.0615, 0.744478, 2.93875, 0.0595399, 0.282378, 0.0947336, 0.0879181, 39.5, 27.5, 46.5, 22.5, 52.5, 17.5, 3.47794
127.5, 120, 448, 56.3763, 0.106038, 0.118749, 1.09047, 0.121263, 0.000221558, 0.0705704, 1.11871, 0.0709125, 0.172502, 0.0173905, 0.725479, 0.697271, 0.166513, 5.59504, 0.00029496, 1.36002, 0.294069, 33.3823, 2.13493, 2.04657e-05, 0.410081, 1.73574, 1.24712, 4.8671, 0.101506, 0.474957, 0.157693, 0.139257, 64.5, 48.5, 71.5, 40.5, 79.5, 33.5, 52.158
142.5, 135, 795, 87.9505, 0.169251, 0.19366, 1.73909, 0.195331, 0.000346637, 0.109871, 1.73583, 0.110912, 0.270331, 0.0275122, 1.12473, 1.14446, 0.2644, 8.82447, 0.000462897, 2.16591, 0.461498, 51.3965, 3.44292, 3.16448e-05, 0.651209, 2.90339, 1.96006, 7.68198, 0.162551, 0.752423, 0.249681, 0.211735, 97.5, 78.5, 107.5, 68.5, 116.5, 59.5, 75.3929
