xunit, xunit_low, fitted_data, total_model, Nnbb_bege, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_bege, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
7.5, 0, 0, 333.821, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 333.821, 352.5, 315.5, 370.5, 296.5, 388.5, 279.5, -18.2708
22.5, 15, 0, 1.27273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27273, 2.5, 0, 3.5, 0, 5.5, 0, -1.55447
37.5, 30, 18884, 710.119, 64.5559, 0.814299, 6.96287, 0.933742, 0.391485, 7.15886, 0.461233, 1.73651, 4.57681, 11.3711, 1.50652, 55.943, 16.9313, 7.42411, 2.99224, 336.189, 38.9855, 1.47382, 2.43538, 8.78794, 88.2929, 42.0693, 0.68995, 3.76904, 1.79397, 0.613429, 1.25854, 737.5, 683.5, 763.5, 656.5, 789.5, 630.5, 681.996
52.5, 45, 60063, 2071.42, 198.829, 2.33824, 20.1584, 2.69395, 1.12357, 20.7961, 1.34047, 4.99452, 13.2424, 34.4061, 4.51738, 167.769, 51.6233, 22.2644, 8.59295, 966.091, 115.109, 4.01986, 7.2099, 26.1831, 255.163, 121.875, 1.98037, 10.9202, 5.15373, 1.76528, 1.25557, 2117.5, 2025.5, 2162.5, 1980.5, 2206.5, 1935.5, 1274.18
67.5, 60, 95837, 2258.52, 211.534, 2.44891, 20.588, 2.82377, 1.18378, 21.9742, 1.43019, 5.42511, 13.5341, 39.2721, 4.87463, 188.738, 58.0185, 25.0471, 9.31488, 1056.08, 126.747, 3.69297, 8.02039, 28.3103, 282.859, 124.548, 2.05134, 11.3269, 5.62069, 1.80531, 1.25487, 2306.5, 2210.5, 2353.5, 2163.5, 2400.5, 2116.5, 1969.08
82.5, 75, 130557, 2848.99, 225.281, 3.03605, 24.5809, 3.49654, 1.45069, 25.6085, 1.72441, 7.15064, 15.7043, 46.0998, 5.99271, 231.637, 69.3246, 30.7402, 12.1785, 1401.04, 143.4, 3.48097, 10.3384, 37.6689, 373.783, 148.047, 2.53087, 13.7982, 7.50924, 2.12173, 1.2603, 2902.5, 2795.5, 2955.5, 2741.5, 3007.5, 2690.5, 2392.62
97.5, 90, 138644, 3454.76, 241.706, 3.74067, 29.949, 4.33199, 1.74116, 29.2103, 2.04326, 9.02573, 18.3624, 51.3375, 7.05605, 265.261, 76.3246, 35.2024, 15.2379, 1773.44, 151.667, 3.27519, 12.3294, 45.0937, 465.455, 179.516, 3.13456, 16.9723, 9.59865, 2.50016, 1.2535, 3513.5, 3395.5, 3572.5, 3336.5, 3629.5, 3279.5, 2300.03
112.5, 105, 124966, 3763.92, 258.854, 4.11542, 31.8465, 4.67179, 1.94084, 31.9227, 2.265, 10.1264, 19.8868, 52.001, 7.56565, 274.643, 77.2257, 36.4474, 16.9393, 1970.99, 149.212, 3.05503, 13.1493, 48.6602, 510.284, 200.897, 3.50469, 18.9857, 10.7207, 2.75493, 1.25456, 3825.5, 3702.5, 3886.5, 3641.5, 3946.5, 3581.5, 1975.56
127.5, 120, 102294, 3821.27, 276.579, 4.51439, 38.2139, 5.31883, 2.00018, 32.8753, 2.33734, 10.2793, 21.0588, 51.8161, 7.69665, 274, 75.8089, 36.3621, 17.3134, 1995.16, 142.022, 2.83284, 12.978, 48.917, 512.666, 211.885, 3.65666, 19.9393, 10.853, 2.92997, 1.25214, 3883.5, 3759.5, 3945.5, 3697.5, 4005.5, 3637.5, 1592.99
142.5, 135, 79742, 3673.47, 296.583, 4.14955, 33.381, 4.76415, 1.93956, 32.2294, 2.27963, 9.77285, 20.8811, 48.9233, 7.34086, 261.78, 70.7196, 34.7404, 16.5328, 1888.86, 131.2, 2.62866, 12.4233, 46.6471, 483.972, 222.857, 3.7146, 20.5928, 10.4193, 2.88688, 1.25201, 3734.5, 3612.5, 3794.5, 3552.5, 3853.5, 3493.5, 1255.07
157.5, 150, 60887, 3397.61, 315.456, 3.97579, 33.2885, 4.62373, 1.81311, 30.4653, 2.13757, 8.95276, 19.7871, 44.1227, 6.86356, 237.639, 64.1208, 31.5367, 15.0741, 1713.1, 117.491, 2.42113, 11.1786, 42.0851, 437.27, 217.277, 3.56263, 19.8233, 9.57049, 2.71402, 1.25423, 3456.5, 3338.5, 3514.5, 3280.5, 3571.5, 3224.5, 986.282
172.5, 165, 45916, 3090.2, 336.904, 3.5791, 29.4234, 4.11534, 1.71105, 29.7198, 2.04811, 8.18628, 18.5464, 40.0329, 6.21475, 213.96, 57.1191, 28.3944, 13.561, 1532.61, 104.762, 2.24424, 10.0544, 37.3868, 390.902, 186.107, 3.12732, 17.1627, 8.52762, 2.53411, 1.26739, 3146.5, 3034.5, 3201.5, 2978.5, 3255.5, 2924.5, 770.393
