xunit, xunit_low, fitted_data, total_model, Nnbb_semicoax, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_coax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
7.5, 0, 0, 461.821, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 461.821, 483.5, 439.5, 505.5, 418.5, 526.5, 397.5, -21.49
22.5, 15, 0, 0.121526, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.121526, 0.5, 0, 1.5, 0, 2.5, 0, -0.595249
37.5, 30, 9702, 121.922, 13.2117, 0.168366, 1.29804, 0.201584, 0.0791417, 1.3465, 0.0974167, 0.345619, 0.958831, 1.65636, 0.315646, 11.4207, 3.02145, 1.51563, 0.607058, 41.5399, 5.14691, 0.011347, 0.57892, 13.5623, 17.0495, 6.21998, 0.139004, 0.814169, 0.35347, 0.163843, 0.0981954, 133.5, 110.5, 144.5, 99.5, 155.5, 88.5, 867.618
52.5, 45, 26565, 385.555, 48.4559, 0.49446, 3.89207, 0.601475, 0.23578, 3.99485, 0.292836, 1.03277, 2.84023, 5.25605, 0.948579, 34.3639, 9.08358, 4.56038, 1.806, 123.584, 16.6118, 0.0350886, 1.64758, 51.1235, 51.1678, 19.0165, 0.415742, 2.46064, 1.05604, 0.484383, 0.092597, 405.5, 365.5, 425.5, 345.5, 444.5, 326.5, 1333.27
67.5, 60, 36349, 472.653, 62.3966, 0.546662, 4.21258, 0.657792, 0.261295, 4.4951, 0.331494, 1.19386, 3.08193, 6.20268, 1.11863, 43.3895, 11.0789, 5.75815, 2.07661, 136.908, 22.242, 0.0414545, 2.0583, 77.5031, 61.7617, 20.3602, 0.455646, 2.68811, 1.2278, 0.513082, 0.0912706, 494.5, 450.5, 516.5, 428.5, 537.5, 407.5, 1650.2
82.5, 75, 50824, 668.683, 74.9931, 0.759531, 5.67834, 0.915427, 0.359201, 5.90478, 0.449233, 1.828, 3.96249, 8.3858, 1.54265, 62.3146, 15.1448, 8.26967, 3.13645, 206.963, 31.0768, 0.0610646, 3.0894, 103.255, 96.4961, 27.1448, 0.631831, 3.63822, 1.93044, 0.65322, 0.0985648, 695.5, 642.5, 720.5, 616.5, 745.5, 591.5, 1939.58
97.5, 90, 55850, 897.433, 87.555, 1.04952, 7.76149, 1.28402, 0.482244, 7.6856, 0.590099, 2.67554, 5.12152, 11.061, 2.08308, 80.4398, 19.7334, 10.675, 4.54038, 307.492, 38.4011, 0.084713, 4.09703, 118.482, 138.848, 37.5779, 0.886022, 5.02562, 2.86585, 0.845998, 0.0896527, 927.5, 867.5, 957.5, 837.5, 986.5, 808.5, 1834.37
112.5, 105, 52400, 1059.85, 100.223, 1.26587, 9.07546, 1.50207, 0.587889, 9.24407, 0.715827, 3.3235, 6.0308, 12.5334, 2.38431, 91.4074, 22.1378, 12.1305, 5.5646, 388.847, 41.8388, 0.0989928, 4.83398, 119.62, 168.307, 46.2556, 1.08115, 6.18431, 3.55892, 1.00289, 0.0909943, 1092.5, 1026.5, 1125.5, 994.5, 1156.5, 962.5, 1577.02
127.5, 120, 44908, 1143.21, 112.772, 1.47815, 11.3012, 1.85167, 0.645659, 10.1084, 0.791596, 3.61748, 6.78718, 13.5369, 2.57571, 97.0206, 23.5545, 12.8755, 6.09674, 428.505, 42.7706, 0.106686, 5.12188, 115.809, 180.646, 52.0107, 1.19707, 6.94675, 3.86268, 1.13115, 0.0876783, 1177.5, 1108.5, 1211.5, 1075.5, 1244.5, 1042.5, 1294.38
142.5, 135, 37143, 1156.4, 126.948, 1.4285, 10.5483, 1.72272, 0.657932, 10.3674, 0.808315, 3.6295, 6.99224, 13.3896, 2.58629, 96.2161, 23.1464, 12.7687, 6.14475, 433.373, 41.2986, 0.108443, 5.01861, 109.38, 179.062, 56.8002, 1.2745, 7.57125, 3.91887, 1.14966, 0.0871976, 1190.5, 1121.5, 1224.5, 1088.5, 1257.5, 1054.5, 1058.25
157.5, 150, 29791, 1116.2, 139.632, 1.42098, 10.7726, 1.75464, 0.637465, 10.1235, 0.788362, 3.46136, 6.8611, 12.6923, 2.46185, 90.5705, 21.9228, 12.0195, 5.81805, 414.02, 38.3269, 0.102403, 4.8066, 97.9544, 168.956, 57.2277, 1.27532, 7.62775, 3.74968, 1.12971, 0.0892237, 1150.5, 1082.5, 1183.5, 1049.5, 1215.5, 1016.5, 858.28
172.5, 165, 23585, 1057.8, 154.284, 1.32883, 9.93032, 1.61804, 0.618952, 10.0376, 0.781555, 3.27879, 6.5662, 11.6812, 2.35968, 85.9328, 20.1914, 11.404, 5.40138, 385.487, 35.0089, 0.0954665, 4.41857, 87.6194, 155.884, 51.2352, 1.16212, 6.81397, 3.46856, 1.08593, 0.10905, 1090.5, 1024.5, 1123.5, 992.5, 1154.5, 960.5, 692.636
187.5, 180, 18803, 1002.07, 168.185, 1.25957, 9.4481, 1.52257, 0.614525, 10.3278, 0.796764, 3.09807, 6.30451, 11.062, 2.18945, 79.6445, 18.5989, 10.5695, 4.98553, 355.165, 31.7404, 0.0884371, 4.16744, 79.028, 142.718, 48.5918, 1.08779, 6.42858, 3.21316, 1.04336, 0.193053, 1034.5, 969.5, 1065.5, 938.5, 1096.5, 907.5, 562.332
202.5, 195, 15532, 950.707, 182.884, 1.42879, 11.8538, 1.86604, 0.571897, 9.5336, 0.743441, 2.83337, 6.18437, 10.4293, 2.07231, 73.6012, 17.2695, 9.7675, 4.607, 325.735, 29.1477, 0.0808375, 3.87955, 71.1817, 130.49, 43.7484, 0.995131, 5.78519, 2.91984, 1.01472, 0.0816279, 981.5, 919.5, 1012.5, 888.5, 1042.5, 858.5, 472.904
217.5, 210, 12714, 924.041, 196.217, 1.15453, 9.17267, 1.45577, 0.525733, 8.65817, 0.669372, 2.57535, 6.96163, 10.488, 2.0787, 76.6945, 17.9827, 10.178, 4.36105, 301.594, 28.3579, 0.0758099, 3.6957, 71.077, 121.8, 38.511, 0.894898, 5.08694, 2.63273, 1.05836, 0.0825324, 954.5, 893.5, 985.5, 862.5, 1014.5, 833.5, 387.853
232.5, 225, 10689, 900.155, 211.375, 0.975136, 7.34663, 1.17329, 0.48344, 7.99984, 0.613309, 2.3671, 6.53912, 10.6334, 2.02761, 75.7467, 17.6331, 10.0522, 4.10502, 280.791, 27.9572, 0.0740409, 3.43128, 68.9086, 114.13, 36.6272, 0.848392, 4.81793, 2.42015, 0.994564, 0.0839215, 930.5, 869.5, 960.5, 839.5, 989.5, 810.5, 326.267
247.5, 240, 8766, 861.7, 226.089, 0.874156, 6.47291, 1.0244, 0.44726, 7.39891, 0.571425, 2.16333, 5.79579, 9.3488, 1.86304, 66.8181, 15.5032, 8.86733, 3.71143, 254.959, 24.4752, 0.0664297, 3.09175, 60.0255, 102.629, 48.7527, 1.02352, 6.3894, 2.35272, 0.900178, 0.0851019, 891.5, 831.5, 920.5, 802.5, 949.5, 774.5, 269.268
262.5, 255, 7518, 794.86, 241.183, 0.878836, 6.8254, 1.08487, 0.405965, 6.65581, 0.512474, 1.95474, 5.13617, 8.59863, 1.69463, 59.5311, 13.7665, 7.90028, 3.36707, 231.106, 21.8281, 0.0606922, 2.79055, 51.7956, 92.4567, 28.1287, 0.664107, 3.69411, 1.92387, 0.829794, 0.0867013, 823.5, 766.5, 851.5, 738.5, 879.5, 710.5, 238.466
277.5, 270, 6357, 755.005, 254.341, 0.824618, 6.60912, 1.04039, 0.423163, 7.58914, 0.582926, 1.92816, 4.61807, 7.27161, 1.46547, 52.3134, 12.3227, 6.94243, 3.05664, 209.25, 19.5067, 0.0549663, 2.51596, 45.7975, 83.6453, 26.2476, 0.619063, 3.42998, 1.76219, 0.758876, 0.0880738, 782.5, 727.5, 810.5, 699.5, 837.5, 672.5, 203.877
292.5, 285, 5614, 776.244, 268.593, 0.661071, 4.91271, 0.769506, 0.369712, 6.45884, 0.482104, 1.63945, 4.18652, 6.81708, 1.36804, 47.3983, 10.9391, 6.29016, 2.76041, 190.988, 17.7176, 0.0506951, 2.29456, 42.5131, 76.0628, 69.4901, 1.34483, 9.09262, 2.2578, 0.696702, 0.0895625, 804.5, 747.5, 832.5, 720.5, 859.5, 693.5, 173.638
307.5, 300, 4664, 717.515, 284.095, 0.617592, 4.58449, 0.714052, 0.313184, 5.2705, 0.400609, 1.48297, 3.84454, 5.96193, 1.23485, 43.3433, 10.0922, 5.75202, 2.5275, 179.486, 19.1634, 0.0500085, 2.28595, 48.9772, 73.3666, 18.9583, 0.442997, 2.47556, 1.33726, 0.645167, 0.0912097, 744.5, 690.5, 771.5, 663.5, 797.5, 637.5, 147.331
322.5, 315, 3901, 677.648, 299.353, 0.733889, 6.10527, 0.95573, 0.308102, 5.37977, 0.401704, 1.3987, 3.56432, 5.54592, 1.17811, 39.5564, 8.91402, 5.24947, 2.3055, 159.348, 14.6029, 0.042467, 1.94642, 35.1898, 63.0304, 17.8701, 0.417251, 2.31268, 1.24314, 0.601093, 0.0931752, 704.5, 651.5, 730.5, 625.5, 755.5, 599.5, 123.824
337.5, 330, 3565, 671.888, 313.386, 1.42258, 13.9337, 2.08701, 0.279717, 4.8759, 0.367909, 1.30198, 3.34221, 5.10197, 1.0732, 36.4446, 8.43419, 4.8365, 2.13006, 145.809, 13.3214, 0.0388942, 1.83612, 32.3936, 58.04, 16.9982, 0.395992, 2.21023, 1.16669, 0.564854, 0.0945098, 698.5, 645.5, 724.5, 619.5, 749.5, 594.5, 111.614
352.5, 345, 3257, 740.944, 325.64, 0.407849, 3.06866, 0.471396, 0.263984, 4.61678, 0.348451, 1.19921, 3.12675, 4.83619, 0.998389, 33.5409, 7.90629, 4.45115, 1.9648, 134.435, 12.5467, 0.0335523, 1.60689, 30.6024, 53.6152, 97.6679, 1.80203, 12.805, 2.35743, 0.534813, 0.0963888, 768.5, 713.5, 795.5, 686.5, 822.5, 659.5, 92.4331
367.5, 360, 2675, 632.038, 338.043, 0.384982, 2.90366, 0.450314, 0.253689, 4.53903, 0.33927, 1.12993, 2.97678, 4.51262, 0.941829, 32.0612, 7.26389, 4.2548, 1.82807, 124.972, 11.6873, 0.0324351, 1.52553, 28.6908, 49.8411, 10.4071, 0.227601, 1.36369, 0.805656, 0.502503, 0.0981132, 657.5, 606.5, 682.5, 581.5, 707.5, 556.5, 81.2623
382.5, 375, 2233, 626.849, 350.94, 0.367985, 2.79551, 0.431259, 0.24746, 4.50079, 0.333982, 1.07949, 2.83842, 4.27957, 0.891654, 29.6754, 6.79892, 3.93817, 1.7, 116.858, 10.9104, 0.0314808, 1.3941, 26.6365, 46.4571, 10.7407, 0.228903, 1.40779, 0.786102, 0.479725, 0.099889, 652.5, 601.5, 677.5, 576.5, 701.5, 552.5, 64.1512
