xunit, xunit_low, fitted_data, total_model, Nnbb_invcoax, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_invcoax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
7.5, 0, 0, 38.2929, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38.2929, 44.5, 31.5, 50.5, 25.5, 57.5, 20.5, -3.9
22.5, 15, 0, 0.145996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.145996, 0.5, 0, 1.5, 0, 2.5, 0, -0.627741
37.5, 30, 7347, 92.9358, 9.13709, 0.267545, 0.999314, 0.159133, 0.114191, 0.969034, 0.0729554, 0.130172, 0.651262, 1.36457, 0.432599, 8.93313, 2.19988, 1.1855, 0.24454, 41.1746, 3.62286, 0.0101483, 4.65248, 1.69925, 7.88733, 5.05938, 0.238466, 0.668131, 0.120486, 0.797325, 0.144369, 103.5, 82.5, 112.5, 73.5, 122.5, 63.5, 752.471
52.5, 45, 24683, 298.385, 33.4865, 0.815647, 3.02323, 0.483285, 0.357708, 2.92238, 0.227729, 0.387921, 1.99248, 4.39321, 1.49977, 29.0142, 7.29623, 3.85043, 0.729159, 124.238, 13.4785, 0.0310153, 19.573, 5.24043, 24.2831, 15.3617, 0.741613, 2.05427, 0.366147, 2.39369, 0.144027, 316.5, 280.5, 333.5, 263.5, 350.5, 246.5, 1411.65
67.5, 60, 35059, 402.003, 42.95, 0.963908, 3.53448, 0.582556, 0.449484, 3.65755, 0.286142, 0.485679, 2.2995, 5.74044, 2.20222, 43.3571, 10.7704, 5.75386, 0.897678, 164.436, 21.2104, 0.0440382, 27.6536, 7.89393, 32.4208, 18.0619, 0.855599, 2.42407, 0.462396, 2.46524, 0.143947, 422.5, 381.5, 442.5, 361.5, 462.5, 341.5, 1728.53
82.5, 75, 42296, 609.26, 51.7178, 1.42915, 5.15427, 0.880401, 0.630243, 5.20318, 0.413341, 0.778652, 3.11302, 8.46862, 3.10428, 64.2057, 15.8738, 8.52064, 1.39883, 276.99, 30.0296, 0.0724, 31.9337, 12.9061, 51.6046, 26.5274, 1.21063, 3.54031, 0.755325, 2.65338, 0.144571, 634.5, 584.5, 659.5, 559.5, 683.5, 535.5, 1688.87
97.5, 90, 41666, 814.05, 60.6059, 1.99827, 7.09766, 1.23518, 0.812284, 6.75091, 0.545806, 1.12027, 4.13434, 10.618, 3.78355, 79.8803, 19.7587, 10.6008, 1.9911, 397.242, 35.7448, 0.0947915, 33.0016, 17.1067, 72.1468, 36.9473, 1.69067, 4.98177, 1.10061, 2.91603, 0.14379, 843.5, 785.5, 871.5, 756.5, 899.5, 728.5, 1431.82
112.5, 105, 36316, 936.1, 69.7584, 2.27284, 8.2834, 1.42572, 0.964435, 7.97687, 0.651805, 1.35968, 4.87092, 11.555, 4.02731, 87.5003, 21.2332, 11.612, 2.41106, 469.483, 37.5125, 0.107954, 31.6998, 18.8218, 85.2984, 44.6638, 2.04407, 6.0186, 1.33055, 3.07245, 0.143912, 967.5, 905.5, 997.5, 874.5, 1027.5, 844.5, 1156.37
127.5, 120, 29228, 989.554, 79.2399, 2.89747, 10.2269, 1.73638, 1.04457, 8.60049, 0.701048, 1.45145, 5.4473, 12.0616, 4.15102, 90.3948, 21.9997, 11.9962, 2.61464, 496.117, 36.8689, 0.109223, 29.3309, 19.7634, 90.043, 49.0612, 2.28743, 6.63816, 1.42734, 3.2, 0.143634, 1021.5, 957.5, 1052.5, 926.5, 1083.5, 895.5, 897.679
142.5, 135, 23230, 980.683, 89.7218, 2.57356, 9.41249, 1.58863, 1.06767, 8.70352, 0.709822, 1.45247, 5.63517, 11.7746, 4.10412, 87.283, 21.0024, 11.5832, 2.60866, 484.202, 35.1152, 0.109374, 26.9378, 18.9518, 88.9902, 52.4925, 2.5594, 7.21448, 1.43342, 3.31207, 0.14362, 1012.5, 948.5, 1043.5, 917.5, 1074.5, 887.5, 710.481
