xunit, xunit_low, fitted_data, total_model, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
7.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
22.5, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
37.5, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
52.5, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
67.5, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
82.5, 75, 30, 3.59592, 0.00775945, 0.0627939, 0.00773874, 0.00439301, 0.0732937, 0.00454367, 0.0113157, 0.0471986, 0.058743, 0.0116771, 0.299705, 0.0882749, 0.0397733, 0.0170324, 1.78445, 0.135864, 0.0018388, 0.0328576, 0.0618199, 0.467728, 0.321636, 0.00617083, 0.0300655, 0.0101931, 0.00905962, 5.5, 1.5, 7.5, 0, 10.5, 0, 2.55861
97.5, 90, 123, 17.8602, 0.0386532, 0.309841, 0.0387094, 0.0215464, 0.364622, 0.0223149, 0.05546, 0.24106, 0.287937, 0.0480767, 1.54266, 0.39243, 0.204724, 0.0840663, 8.76739, 0.67136, 0.00887979, 0.147859, 0.401037, 2.33584, 1.59787, 0.0319178, 0.149981, 0.0504225, 0.0455547, 22.5, 13.5, 26.5, 9.5, 31.5, 6.5, 3.37972
112.5, 105, 228, 33.3902, 0.0748483, 0.585638, 0.0732308, 0.0420858, 0.698694, 0.0428263, 0.104421, 0.458393, 0.558058, 0.090771, 2.86296, 0.792726, 0.379939, 0.154525, 16.1543, 1.3152, 0.0167005, 0.283984, 0.855968, 4.29952, 3.01838, 0.0604819, 0.282501, 0.0948457, 0.0892342, 39.5, 27.5, 45.5, 21.5, 51.5, 16.5, 3.47548
127.5, 120, 448, 55.5216, 0.129333, 0.994758, 0.124966, 0.0712747, 1.15477, 0.0723458, 0.176484, 0.75338, 0.843106, 0.157823, 4.87346, 1.31495, 0.646749, 0.255019, 26.6724, 2.27906, 0.0276228, 0.495603, 1.39967, 7.20237, 4.999, 0.103111, 0.475163, 0.15788, 0.141342, 63.5, 47.5, 70.5, 40.5, 78.5, 32.5, 52.6726
142.5, 135, 794, 86.7989, 0.21092, 1.58645, 0.201295, 0.110968, 1.79179, 0.113154, 0.276571, 1.16798, 1.38383, 0.250601, 7.68639, 2.09413, 1.02005, 0.400216, 41.0657, 3.67534, 0.0427114, 0.787019, 2.34123, 11.3197, 7.89015, 0.165122, 0.75275, 0.249976, 0.214904, 96.5, 76.5, 105.5, 67.5, 114.5, 58.5, 75.9077
157.5, 150, 1058, 121.937, 0.305504, 2.2782, 0.289675, 0.160915, 2.58636, 0.162593, 0.394705, 1.64207, 1.95296, 0.358705, 10.7797, 2.98474, 1.43056, 0.560744, 57.5284, 5.12721, 0.0579165, 1.12146, 3.14965, 15.8983, 11.201, 0.237893, 1.07887, 0.352305, 0.296816, 133.5, 110.5, 144.5, 99.5, 155.5, 88.5, 84.769
